<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0233.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0233.txt </filename>
<title>자연과 씨름하는  사람들 : 지구촌의 이색풍속도 '중국대륙편'</title>
<author>김능화  </author>
<date>1993  </date>
<publisher>간경도감  </publisher>
<kdc>380.912  </kdc>
<ddc>390.09517  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한반도의	한반도/nq+의/jcm
질병퇴치나	질병/ncn+퇴치/ncn+나/jcj
분쟁해결에	분쟁/ncn+해결/ncn+에/jca
몸바쳐온	몸/ncn+바치/pvg+어/ecx+오/px+ㄴ/etm
지도자였다	지도/ncn+자/xsn+이/jp+었/ep+다/ef
.	./sf
그러나	그러나/maj
그는	그/npp+는/jxc
점차	점차/mag
봉건사회의	봉건/ncn+사회/ncn+의/jcm
부폐나	부폐/ncn+나/jcj
지도층의	지도/ncn+층/ncn+의/jcm
압제와	압제/ncn+와/jcj
부정부패에	부정/ncn+부패/ncn+에/jca
분개	분개/pvg+어/ecs
,	,/sp
종종	종종/mag
우의	우의/ncn
(	(/sl
寓意	寓意/nq
)	)/sr
가	가/jcs
ㄱ은	ㄱ은/ncn
풍자나	풍자/ncn+나/jcj
기지에	기지/ncn+에/jca
넘치는	넘치/pvg+는/etm
소화로	소화/ncn+로/jca
사회의	사회/ncn+의/jcm
위선을	위선/ncn+을/jco
폭로하는	폭로/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
서슴지	서슴/pvg+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
그리하여	그리하/pvg+어/ecs
사람들은	사람/ncn+들/xsn+은/jxc
옛부터	옛/ncn+부터/jxc
지금까지	지금/ncn+까지/jca
이	이/npd
같은	같/paa+ㄴ/etm
소화를	소화/ncn+를/jco
통쾌하게	통쾌/ncps+하/xsm+게/ecx
여기며	여기/pvg+며/ecc
즐겼다	즐기/pvg+었/ep+다/ef
.	./sf
트기	트/pvg+기/etn
나수레딩이	나수레딩/nq+이/jcs
구사해온	구사/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
익살과	익살/ncn+과/jcj
재치를	재치/ncn+를/jco
무기로	무기/ncn+로/jca
한	하/pvg+ㄴ/etm
골계담	골계담/ncn
(	(/sl
滑稽譚	滑稽譚/ncn
)	)/sr
의	의/jcm
가지가지는	가지가지/ncn+는/jxc
세대와	세대/ncn+와/jcj
세대를	세대/ncn+를/jco
초월하고	초월/ncpa+하/xsv+고/ecc
국경을	국경/ncn+을/jco
뛰어넘어	뛰/pvg+어/ecs+넘/pvg+어/ecs
오늘날까지	오늘날/ncn+까지/jca
전해지고	전하/pvg+어/ecx+지/px+고/ecx
있다	있/px+다/ef
.	./sf
또한	또한/maj
세월이	세월/ncn+이/jcs
지남에	지나/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
고사를	고사/ncn+를/jco
핑계로	핑계/ncn+로/jca
억지	억지/ncn
창작된	창작/ncpa+되/xsv+ㄴ/etm
이야기도	이야기/ncn+도/jxc
적지	적/pvg+지/ecx
않지만	않/px+지만/ecs
에팽디	에팽디/nq
소화만은	소화/ncn+만/jxc+은/jxc
역사가	역사/ncn+가/jcs
오래이며	오래/ncn+이/jp+며/ecc
변형되지	변형/ncpa+되/xsv+지/ecx
않은	않/px+은/etm
채	채/nbn
전해져	전하/pvg+어/ecx+지/px+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
에팽디에	에팽디/nq+에/jca
관한	관하/pvg+ㄴ/etm
이야기는	이야기/ncn+는/jxc
비단	비단/mag
위그르족을	위그르족/nq+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
소수민족	소수/ncn+민족/ncn
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
중국	중국/nq
사람들이라면	사람/ncn+들/xsn+이/jp+라면/ecs
거의	거의/mag
알고	알/pvg+고/ecx
있으며	있/px+으며/ecs
에팽디란	에팽디/nq+란/jxc
말만	말/ncn+만/jxc
들먹여도	들먹이/pvg+어도/ecs
웃음을	웃음/ncn+을/jco
참지	참/pvg+지/ecx
못해	못하/px+어/ecs
혼자서	혼자/ncn+서/jca
웃을	웃/pvg+을/etm
정도로	정도/ncn+로/jca
유명하다	유명/ncpa+하/xsv+다/ef
.	./sf
그러면	그러면/maj
지금까지	지금/ncn+까지/jxc
중국인들에게	중국/nq+인/xsn+들/xsn+에게/jca
널리	널리/mag
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
수많은	수많/paa+은/etm
에팽디의	에팽디/nq+의/jcm
소화가운데	소화/ncn+가운데/ncn
중국인들이	중국/nq+인/xsn+들/xsn+이/jcs
가장	가장/mag
흥미진진한	흥미진진/ncps+하/xsm+ㄴ/etm
화제거리로	화제/ncn+거리/xsn+로/jca
삼는	삼/pvg+는/etm
설화	설화/ncn
금씨앗	금씨앗/ncn
뿌리는	뿌리/pvg+는/etm
이야기를	이야기/ncn+를/jco
소개하고자	소개/ncpa+하/xsv+고자/ecx
한다	하/px+ㄴ다/ef
.	./sf
중국인들이	중국/nq+인/xsn+들/xsn+이/jcs
웃음거리로	웃음/ncn+거리/xsn+로/jca
삼는	삼/pvg+는/etm
소화의	소화/ncn+의/jcm
하나인	하나/ncn+이/jp+ㄴ/etm
에팽디의	에팽디/nq+의/jcm
금씨앗	금씨앗/ncn
뿌리기	뿌리/pvg+기/etn
스토리는	스토리/ncn+는/jxc
대략	대략/ncn
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
어느	어느/mmd
날	날/ncn
에팽디는	에팽디/nq+는/jxc
금을	금/ncn+을/jco
조금	조금/mag
빌려	빌리/pvg+어/ecs
당나귀를	당나귀/ncn+를/jco
타고	타/pvg+고/ecc
야외로	야외/ncn+로/jca
나와	나오/pvg+아/ecs
모래밭	모래/ncn+밭/ncn
위에	위/ncn+에/jca
금을	금/ncn+을/jco
집어	집/pvg+어/ecx
던지는	던지/pvg+는/etm
흉내를	흉내/ncn+를/jco
내고	내/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
얼마	얼마/ncn
후	후/ncn
왕이	왕/ncn+이/jcs
수렵차	수렵/ncn+차/nbn
그곳을	그/npd+곳/nbn+을/jco
지나치다가	지나치/pvg+다가/ecs
에팽디의	에팽디/nq+의/jcm
거동에	거동/ncn+에/jca
관심을	관심/ncn+을/jco
갖게	갖/pvg+게/ecx
되었다	되/px+었/ep+다/ef
.	./sf
"	"/sl
야	야/ii
!,	!/sf+,/sp
에팽디	에팽디/nq
무엇을	무엇/npd+을/jco
하고	하/pvg+고/ecx
있는거야	있/px+는/ep+거야/ef
?"	?/sf+"/sl
"	"/sl
예	예/ii
,	,/sp
폐하	폐하/ncn
!	!/sf
저	저/ii
...	./sf+./sf+./sf
말씀이지요	말씀/ncn+이/jp+지/ef+요/jxf
.	./sf
방금	방금/mag
금을	금/ncn+을/jco
뿌리고	뿌리/pvg+고/ecx
있는	있/px+는/etm
참인데요	참/nbn+이/jp+ㄴ데/ef+요/jxf
."	./sf+"/sl
"	"/sr
뭐	뭐/ii
!	!/sf
금을	금/ncn+을/jco
뿌리면	뿌리/pvg+면/ecs
어떻게	어떻/pad+게/ecx
된다는	되/px+ㄴ다/ef+는/jxc
거야	거/nbn+야/jcv
!"	!/sf+"/sl
"	"/sl
아니	아니/ii
폐하께서는	폐하/ncn+께서/jcs+는/jxc
모르고	모르/pvg+고/ecx
계신	계시/px+ㄴ/etm
것	것/nbn
같은데	같/paa+은데/ecs
지금	지금/ncn
이렇게	이렇/pad+게/ecx
모래밭이	모래/ncn+밭/ncn+이/jcs
금을	금/ncn+을/jco
뿌려	뿌리/pvg+어/ecx
놓으면	놓/px+으면/ecs
금요일	금요일/ncn
예배	예배/ncn
날에는	날/ncn+에/jca+는/jxc
몇	몇/nnc
곱절의	곱절/nbu+의/jcm
금이	금/ncn+이/jcs
생장	생장/ncn
,	,/sp
큰	크/paa+ㄴ/etm
수확을	수확/ncn+을/jco
올릴	올리/pvg+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문이지요	때문/nbn+이/jp+지/ef+요/jxf
"	"/sr
"	"/sl
친애하는	친애/ncpa+하/xsv+는/etm
나의	나/npp+의/jcm
에팽디	에팽디/nq
!	!/sf
자네	자네/npp
이렇게	이렇/pad+게/ecx
적은	적/pvg+은/etm
금으로	금/ncn+으로/jca
어느	어느/mmd
정도의	정도/ncn+의/jcm
수확을	수확/ncn+을/jco
바라볼	바라보/pvg+ㄹ/etm
수	수/nbn
있기에	있/paa+기/etn+에/jca
부지런히	부지런히/mag
뿌리고	뿌리/pvg+고/ecx
있지	있/px+지/ef
?	?/sf
이왕	이왕/mag
뿌릴	뿌리/pvg+ㄹ/etm
바엔	바/nbn+에/jca+ㄴ/jxc
더	더/mag
많이	많/paa+이/xsa
뿌리면	뿌리/pvg+면/ecs
어떨까	어떠/pad+ㄹ까/ef
?	?/sf
그리고	그리고/maj
자네가	자네/npp+가/jcs
뿌려	뿌리/pvg+어/ecs
금이	금/ncn+이/jcs
생장	생장/ncn
하거든	하/pvg+거든/ecs
내	내/npp
몫은	몫/ncn+은/jxc
그중	그/npd+중/xsn
80	80/nnc
%	%/su
만	만/nbn
주면	주/pvg+면/ecs
좋겠어	좋/paa+겠/ep+어/ecs
"	"/sl
"	"/sr
네	네/ii
좋아요	좋/paa+아/ef+요/jxf
좋아요	좋/paa+아/ef+요/jxf
!	!/sf
정말	정말/mag
좋아요	좋/paa+아/ef+요/jxf
.	./sf
폐하	폐하/ncn
..."	./sf+./sf+./sf+"/sl
다음날	다음날/ncn
아침	아침/ncn
에팽디는	에팽디/nq+는/jxc
여윈	여위/pvg+ㄴ/etm
당나귀를	당나귀/ncn+를/jco
타고	타/pvg+고/ecc
궁전으로	궁전/ncn+으로/jca
갔다	가/pvg+았/ep+다/ef
.	./sf
이어	잇/pvg+어/ecx
시종을	시종/ncn+을/jco
불러	부르/pvg+러/ecs
우선	우선/mag
금	금/ncn
2	2/nnc
Kg	Kg/f
을	을/jco
가져와	가지/pvg+어/ecx+오/px+아/ecs
건네	건네/pvg+어/ecx
주었다	주/px+었/ep+다/ef
.	./sf
에팽디는	에팽디/nq+는/jxc
일주일이	일주일/ncn+이/jcs
지난	지나/pvg+ㄴ/etm
후	후/ncn
10	10/nnc
Kg	Kg/f
가량의	가량/nbn+의/jcm
금을	금/ncn+을/jco
친구로부터	친구/ncn+로/jca+부터/jxc
빌려	빌리/pvg+어/ecs
당나귀에	당나귀/ncn+에/jca
가득	가득/mag
싣고	싣/pvg+고/ecc
왕에게	왕/ncn+에게/jca
가지고	가지/pvg+고/ecx
갔다	가/px+았/ep+다/ef
.	./sf
왕은	왕/ncn+은/jxc
자루를	자루/ncn+를/jco
열어보자마자	열/pvg+어/ecx+보/px+자마자/ecs
눈부시게	눈부시/paa+게/ecx
빛나는	빛나/pvg+는/etm
그	그/mmd
많은	많/paa+은/etm
양의	양/nbn+의/jcm
금을	금/ncn+을/jco
보는	보/pvg+는/etm
순간	순간/ncn
기뻐	기쁘/paa+어/ecs
어쩔	어쩔/mma
줄	줄/nbn
몰랐다	모르/pvg+았/ep+다/ef
.	./sf
"	"/sl
자네	자네/npp
금	금/ncn
증산	증산/ncn
기술에	기술/ncn+에/jca
나는	나/npp+는/jxc
탐복했네	탐복/ncpa+하/xsv+었/ep+네/ef
!	!/sf
궁전	궁전/ncn
창고에	창고/ncn+에/jca
보관	보관/ncn
돼	되/pvg+어/ecx
있는	있/px+는/etm
금	금/ncn
모두를	모두/ncn+를/jco
다	다/mag
줄	주/pvg+ㄹ/etm
터이니	터/nbn+이/jp+니/ecs
가지고	가지/pvg+고/ecx
가서	가/px+서/ecs
다시	다시/mag
뿌리게	뿌리/pvg+게/ecx
......"	./sf+./sf+./sf+./sf+./sf+./sf+"/sl
왕은	왕/ncn+은/jxc
탄복한	탄복/ncpa+하/xsv+ㄴ/etm
나머지	나머지/ncn
이번엔	이번/npd+에/jca+ㄴ/jxc
궁전	궁전/ncn
마차를	마차/ncn+를/jco
동원	동원/ncn
,	,/sp
목적지까지	목적/ncn+지/xsn+까지/jca
실어다	싣/pvg+어다/ecs
주었다	주/px+었/ep+다/ef
.	./sf
에팽디는	에팽디/nq+는/jxc
그	그/mmd
금을	금/ncn+을/jco
모조리	모조리/mag
가난한	가난/ncpa+하/xsv+ㄴ/etm
이웃	이웃/ncn
사람들에게	사람/ncn+들/xsn+에게/jca
나눠주고	나누/pvg+어/ecx+주/px+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
일주일이	일주일/ncn+이/jcs
지나서	지나/pvg+서/ecs
에팽디는	에팽디/nq+는/jxc
빈손으로	빈손/ncn+으로/jca
울적한	울적/ncps+하/xsm+ㄴ/etm
표정을	표정/ncn+을/jco
지으며	짓/pvg+으며/ecs
왕을	왕/ncn+을/jco
찾아갔다	찾/pvg+아/ecx+가/px+았/ep+다/ef
.	./sf
왕은	왕/ncn+은/jxc
에팽디가	에팽디/nq+가/jcs
오는	오/pvg+는/etm
것을	것/nbn+을/jco
보자마자	보/pvg+자마자/ecs
헐레벌떡	헐레벌떡/mag
쫓아나가	쫓/pvg+아/ecx+나/px+아/ecx+가/px+아/ecs
싱글벙글	싱글벙글/mag
웃으며	웃/pvg+으며/ecs
눈을	눈/ncn+을/jco
가늘게	가늘/ncn+게/jca
뜨고는	뜨/pvg+고는/ecc
"	"/sl
오오	오오/ii
!	!/sf
어서	어서/ii
응접실로	응접/ncn+실/xsn+로/jca
들어오너라	들/pvg+어/ecs+오/pvg+너라/ef
.	./sf
이번엔	이번/ncn+에/jca+ㄴ/jxc
금을	금/ncn+을/jco
잔뜩	잔뜩/mag
실은	싣/pvg+은/etm
여러마리	여러마리/ncn
당나귀와	당나귀/ncn+와/jcj
차	차/ncn
(	(/sl
車	車/ncn
)	)/sr
도	도/jxc
같이	같/paa+이/xsa
왔겠지	오/pvg+았/ep+겠/ep+지/ecx
?"	?/sf+"/sl
"	"/sl
아니올시다	아니/paa+올시/ep+다/ef
.	./sf
이번엔	이번/ncn+에/jca+ㄴ/jxc
날씨가	날씨/ncn+가/jcs
고르지	고르/pvg+지/ecx
못해	못하/px+어/ecs
실농하고	실농/ncpa+하/xsv+고/ecx
말았습니다	말/px+았/ep+습니다/ef
."	./sf+"/sl
에팽디는	에팽디/nq+는/jxc
금새	금새/ncn
울음을	울음/ncn+을/jco
터뜨렸다	터뜨리/pvg+었/ep+다/ef
.	./sf
"	"/sl
폐하께서도	폐하/ncn+께서/jcs+도/jxc
잘	잘/mag
아시다시피	알/pvg+시/ep+다/ef+시/ep+피/ecs
요	요/mmd
며칠	며칠/ncn
동안	동안/ncn
비가	비/ncn+가/jcs
한	한/nnc
방울도	방울/ncn+도/jxc
내리지	내리/pvg+지/ecx
않아	않/px+아/ecs
금이	금/ncn+이/jcs
몽땅	몽땅/mag
시들고	시들/pvg+고/ecx
말았습니다	말/px+았/ep+습니다/ef
.	./sf
그래서	그래서/maj
수확은	수확/ncn+은/jxc
커녕	커녕/nbn
종자조차도	종자/ncn+조차/ncn+도/jxc
건지지	건지/pvg+지/ecx
못했습니다	못하/px+었/ep+습니다/ef
."	./sf+"/sl
이	이/npd
말을	말/ncn+을/jco
들은	들/pvg+은/etm
왕은	왕/ncn+은/jxc
금세	금세/ncn
화가	화/ncn+가/jcs
치밀어	치밀/pvg+어/ecs
의자를	의자/ncn+를/jco
발길로	발길/ncn+로/jca
차면서	차/pvg+면서/ecc
"	"/sl
아무렇게나	아무렇/pad+게/ecx+나/jxc
나오는	나오/px+는/etm
대로	대/nbn+로/jca
지껄이면	지껄이/pvg+면/ecs
되는	되/pvg+는/etm
줄	줄/nbn
아느냐	알/pvg+느냐/ef
?	?/sf
그런	그렇/pad+ㄴ/etm
말을	말/ncn+을/jco
어찌	어찌/mag
내가	내/npp+가/jcs
믿을	믿/pvg+을/etm
수	수/nbn
있단	있/paa+다/ef+ㄴ/etm
말인가	말/ncn+이/jp+ㄴ가/ef
?	?/sf
당나귀	당나귀/ncn
같이	같/paa+이/xsa
생긴	생기/pvg+ㄴ/etm
놈이	놈/nbn+이/jcs
감히	감히/mag
왕의	왕/ncn+의/jcm
금괴를	금괴/ncn+를/jco
편취하려고	편취/ncpa+하/xsv+려고/ecs
수작을	수작/ncn+을/jco
부리다니	부리/pvg+다/ef+니/ef
..."	./sf+./sf+./sf+"/sl
화가	화/ncn+가/jcs
머리	머리/ncn
끝까지	끝/ncn+까지/jca
치민	치밀/pvg+ㄴ/etm
왕의	왕/ncn+의/jcm
말이	말/ncn+이/jcs
끝나자마자	끝나/pvg+자마자/ecs
에팽디가	에팽디/nq+가/jcs
다시금	다시금/mag
"	"/sl
폐하는	폐하/ncn+는/jxc
금이	금/ncn+이/jcs
시들어	시들/pvg+어/ecx
죽는다는	죽/pvg+는/ep+다/ef+는/jxc
사실을	사실/ncn+을/jco
믿지	믿/pvg+지/ecx
않으시면서	않/px+으시/ep+면서/ecs
그럼	그럼/mag
어째서	어째서/mag
금을	금/ncn+을/jco
모래밭에	모래/ncn+밭/ncn+에/jca
뿌려	뿌리/pvg+어/ecx
놓으면	놓/px+으면/ecs
생장한다고	생장/ncpa+하/xsv+ㄴ다고/ecs
믿으시는지요	믿/pvg+으시/ep+는/ep+지/ef+요/jxf
"	"/sr
라고	라고/jcr
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
이	이/npd
말	말/ncn
한마디에	한마디/ncn+에/jca
왕은	왕/ncn+은/jxc
입안에	입/ncn+안/ncn+에/jca
진흙덩어리를	진흙/ncn+덩어리/ncn+를/jco
억지로	억지/ncn+로/jca
삼킨	삼키/pvg+ㄴ/etm
듯	듯/nbn
말문이	말문/ncn+이/jcs
막히고	막히/pvg+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
아시마	아시마/nq
(	(/sl
阿時瑪	阿時瑪/nq
)	)/sr
자매	자매/ncn
이야기	이야기/ncn
중국	중국/nq
소수민족에게는	소수/ncn+민족/ncn+에게는/jca
흥미진진한	흥미진진/ncps+하/xsm+ㄴ/etm
설화가	설화/ncn+가/jcs
수	수/nbn
없이	없/paa+이/xsa
많다	많/paa+다/ef
.	./sf
그	그/mmd
대표적인	대표/ncn+적/xsn+이/jp+ㄴ/etm
것으로는	것/nbn+으로/jca+는/jxc
아시마를	아시마/nq+를/jco
꼽을	꼽/pvg+을/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이	이/npd
아시마야말로	아시마/nq+야말로/jxc
소수민족이	소수/ncn+민족/ncn+이/jcs
항상	항상/mag
화제로	화제/ncn+로/jca
떠올리는	떠올리/pvg+는/etm
구비문학	구비/ncn+문학/ncn
가운데	가운데/ncn
빼놓을	빼/pvg+어/ecx+놓/px+을/etm
수	수/nbn
없는	없/paa+는/etm
유명한	유명/ncpa+하/xsv+ㄴ/etm
설화이다	설화/ncn+이/jp+다/ef
.	./sf
이	이/npd
설화의	설화/ncn+의/jcm
고향은	고향/ncn+은/jxc
원난성	원난성/nq
(	(/sl
雲南省	雲南省/nq
)	)/sr
로남지역의	로남지역/nq+의/jcm
이족계	이족계/nq
(	(/sl
族系	族系/nq
)	)/sr
부족인	부족/ncn+이/jp+ㄴ/etm
사니인	사니/nbn+이/jp+ㄴ/etm
집단거주	집단/ncn+거주/ncn
마을이다	마을/ncn+이/jp+다/ef
설화의	설화/ncn+의/jcm
주인공은	주인/ncn+공/xsn+은/jxc
이	이/npd
지방의	지방/ncn+의/jcm
지배계급으로	지배/ncn+계급/ncn+으로/jca
군림해	군림/ncpa+하/xsv+어/ecx
온	오/px+ㄴ/etm
전제군주	전제/ncn+군주/ncn
루푸파라家의	루푸파라家/nq+의/jcm
압제에	압제/ncn+에/jca
맞서	맞서/pvg+어/ecx
용감무쌍하게	용감무쌍/ncpa+하/xsv+게/ecx
싸운	싸우/pvg+ㄴ/etm
여장부	여/ncn+장부/ncn
아해이와	아해이/nq+와/jcj
그의	그/npp+의/jcm
동생인	동생/ncn+이/jp+ㄴ/etm
절세의	절세/ncn+의/jcm
미인소녀	미인/ncn+소녀/ncn
아시마이다	아시마/nq+이/jp+다/ef
.	./sf
언니	언니/ncn
아해이는	아해이/nq+는/jxc
말을	말/ncn+을/jco
타고	타/pvg+고/ecx
달리면서	달리/pvg+면서/ecc
초인적인	초인/ncn+적/xsn+이/jp+ㄴ/etm
지혜와	지혜/ncn+와/jcj
백발백중의	백발백중/ncn+의/jcm
명궁사	명궁사/ncn
(	(/sl
名弓士	名弓士/nq
)	)/sr
솜씨까지	솜씨/ncn+까지/jxc
발휘	발휘/ncn
,	,/sp
포효하는	포효/ncpa+하/xsv+는/etm
범을	범/ncn+을/jco
사로잡아	사로잡/pvg+아/ecs
포악한	포악/ncps+하/xsm+ㄴ/etm
압제자의	압제/ncn+자/xsn+의/jcm
기를	기/ncn+를/jco
꺾어	꺾/paa+어/ecs
시종	시종/mag
맥을	맥/ncn+을/jco
못추게	못추/pvg+게/ecx
한다	하/px+ㄴ다/ef
.	./sf
더욱이	더욱이/mag
주인공은	주인/ncn+공/xsn+은/jxc
압제자가	압제/ncn+자/xsn+가/jcs
권세를	권세/ncn+를/jco
앞세워	앞세우/pvg+어/ecs
절세의	절세/ncn+의/jcm
미녀인	미녀/ncn+이/jp+ㄴ/etm
동생	동생/ncn
아시마를	아시마/nq+를/jco
납치해	납치/ncpa+하/xsv+어/ecx
간데	가/px+ㄴ데/ecs
대해	대하/pvg+어/ecx
분개하고	분개/ncpa+하/xsv+고/ecc
압제자의	압제/ncn+자/xsn+의/jcm
성벽을	성벽/ncn+을/jco
박차고	박차/pvg+고/ecx
들어가	들/pvg+어/ecx+가/px+아/ecs
절대	절대/ncn
권력자의	권력/ncn+자/xsn+의/jcm
정신적인	정신/ncn+적/xsn+이/jp+ㄴ/etm
지주로	지주/ncn+로/jca
신성시	신성/ncn+시/xsn
해	하/pvg+어/ecx
온	오/px+ㄴ/etm
신령제단	신령/ncn+제단/ncn
(	(/sl
神靈際壇	神靈際壇/nq
)	)/sr
까지	까지/jxc
모조리	모조리/mag
깨부숴	깨부수/pvg+어/ecx
버리므로써	버리/px+므로써/ecs
전제군주를	전제/ncn+군주/ncn+를/jco
몰락케	몰락/ncpa+하/xsv+게/ecx
했었다	하/px+었었/ep+다/ef
.	./sf
그러나	그러나/maj
하늘	하늘/ncn
아래	아래/ncn
둘도	둘/nnc+도/jxc
없는	없/paa+는/etm
동생	동생/ncn
아시마는	아시마/nq+는/jxc
압제자의	압제/ncn+자/xsn+의/jcm
최후	최후/ncn
발악으로	발악/ncn+으로/jca
인해	인하/pvg+어/ecx
필사적인	필사/ncn+적/xsn+이/jp+ㄴ/etm
구출	구출/ncn
노력에도	노력/ncn+에/jca+도/jxc
살아남지	살/pvg+아/ecs+남/pvg+지/ecx
못하게	못하/pvg+게/ecx
되어	되/px+어/ecs
결국	결국/mag
통분을	통분/ncn+을/jco
감수해야만	감수/ncpa+하/xsv+어야만/ecs
하는	하/pvg+는/etm
애절한	애절/ncps+하/xsm+ㄴ/etm
사연을	사연/ncn+을/jco
끝맺고	끝맺/pvg+고/ecx
있어	있/px+어/ecs
사니인들의	사니인/nq+들/xsn+의/jcm
마음을	마음/ncn+을/jco
몹시	몹시/mag
아프게	아프/ncn+게/jca
하고	하/pvg+고/ecx
있다	있/px+다/ef
.	./sf
태고적	태고/ncn+적/xsn
이곳에	이곳/npd+에/jca
뿌리를	뿌리/ncn+를/jco
두고	두/pvg+고/ecx
살아온	살/pvg+아/ecx+오/px+ㄴ/etm
사니인들은	사니인/nq+들/xsn+은/jxc
항상	항상/mag
인간생활을	인간/ncn+생활/ncn+을/jco
멋대로	멋/ncn+대로/jca
지배하는	지배/ncpa+하/xsv+는/etm
냉확한	냉확/ncpa+하/xsv+ㄴ/etm
자연의	자연/ncn+의/jcm
힘에서	힘/ncn+에서/jca
어떻게하면	어떻/pad+게/ecx+하/px+면/ecs
벗어날	벗어나/pvg+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
하고	하/pvg+고/ecc
생각하며	생각/ncpa+하/xsv+며/ecc
평화롭게	평화롭/pvg+게/ecx
살고	살/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
그러나	그러나/maj
뜻밖에도	뜻밖/ncn+에/jca+도/jxc
자연의	자연/ncn+의/jcm
부자비보다	부자/ncn+비보/ncn+다/jca
더	더/mag
가증스런	가증스럽/paa+ㄴ/etm
압제세력이	압제/ncn+세력/ncn+이/jcs
나타나	나타나/pvg+아/ecs
민족의	민족/ncn+의/jcm
갈등을	갈등/ncn+을/jco
심화시켰다	심화/ncpa+시키/xsv+었/ep+다/ef
.	./sf
사니인들은	사니인/nq+들/xsn+은/jxc
굴조을	굴조/ncn+을/jco
강요하는	강요/ncpa+하/xsv+는/etm
마귀	마귀/ncn
같은	같/paa+은/etm
압제자를	압제/ncn+자/xsn+를/jco
어떻게	어떻/pad+게/ecx
하면	하/px+면/ecs
제거해버릴	제거/ncpa+하/xsv+어/ecx+버리/px+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
하고	하/pvg+고/ecx
온	오/px+ㄴ/etm
지혜를	지혜/ncn+를/jco
모아	모으/pvg+아/ecx
보았지만	보/px+았/ep+지만/ecs
뾰족한	뾰족/ncps+하/xsm+ㄴ/etm
수가	수/nbn+가/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
이럴	이렇/pad+ㄹ/etm
때	때/ncn
혜성	혜성/ncn
같이	같이/mag
나타난	나타나/pvg+ㄴ/etm
아해이가	아해이/nq+가/jcs
민족의	민족/ncn+의/jcm
염원을	염원/ncn+을/jco
말끔히	말끔히/mag
풀어	풀/pvg+어/ecx
주었다는	주/px+었/ep+다/ef+는/etm
데서	데/nbn+서/jca
혜성	혜성/ncn
같이	같이/mag
나타난	나타나/pvg+ㄴ/etm
아해이가	아해이/nq+가/jcs
민족의	민족/ncn+의/jcm
염원을	염원/ncn+을/jco
말끔히	말끔히/mag
풀어	풀/pvg+어/ecx
주었다는	주/px+었/ep+다/ef+는/etm
데서	데/nbn+서/jca
사니인들은	사니인/nq+들/xsn+은/jxc
그를	그/npp+를/jco
설화속의	설화/ncn+속/ncn+의/jcm
주인공이라기보다	주인/ncn+공/xsn+이/jp+라/ef+기/etn+보다/jca
당시	당시/ncn
실제로	실제/ncn+로/jca
생존했던	생존/ncpa+하/xsv+었/ep+던/etm
위대한	위대/ncps+하/xsm+ㄴ/etm
조상이었다고	조상/ncn+이/jp+었/ep+다/ef+고/jcr
확신	확신/ncn
,	,/sp
지금껏	지금껏/mag
널리	널리/mag
자랑하고	자랑/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
더욱이	더욱이/mag
주인공의	주인/ncn+공/xsn+의/jcm
동생	동생/ncn
아시마가	아시마/nq+가/jcs
죽은	죽/pvg+은/etm
후	후/ncn
그	그/npd
영혼이	영혼/ncn+이/jcs
메아리가	메아리/ncn+가/jcc
되어	되/pvg+어/ecx
영원히	영원/ncn+히/xsa
죽지	죽/pvg+지/ecx
않고	않/px+고/ecc
살아	살/pvg+아/ecx
있다고	있/px+다/ef+고/jcr
믿게	믿/px+게/ecx
된	되/px+ㄴ/etm
것은	것/nbn+은/jxc
사니인의	사니인/nq+의/jcm
생활	생활/ncn
환경과도	환경/ncn+과/jct+도/jxc
밀접한	밀접/ncpa+하/xsv+ㄴ/etm
관계가	관계/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
