<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0401.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0401.txt </filename>
<title>그림 속으로 여행하는 상대성이론  </title>
<author>루이스 엡스타인 저 ; 박성근 역  </author>
<date>1993  </date>
<publisher>에드덱  </publisher>
<kdc>420.12  </kdc>
<ddc> 530.11 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
갈릴레오의	갈릴레오/nq+의/jcm
놀랍게도	놀랍/paa+게/ecs+도/jxc
빛의	빛/ncn+의/jcm
속도는	속도/ncn+는/jxc
이렇지	이렇/pad+지/ecx
않다	않/px+다/ef
.	./sf
별을	별/ncn+을/jco
향해	향하/pvg+어/ecs
달리건	달리/pvg+건/ecc
,	,/sp
등지고	등지/pvg+고/ecs
달리건	달리/pvg+건/ecc
,	,/sp
빛의	빛/ncn+의/jcm
속력은	속력/ncn+은/jxc
3	3/nnc
m	m/su
/	//sp
sec이다	sec/f+이/jp+다/jca
.	./sf
빛의	빛/ncn+의/jcm
속력은	속력/ncn+은/jxc
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
아이슈타인은	아이슈타인/nq+은/jxc
이	이/mmd
빛의	빛/ncn+의/jcm
예상치	예상/ncpa+하/xsv+지/ecx
못했던	못하/px+었/ep+던/etm
행동을	행동/ncn+을/jco
우리가	우리/npp+가/jcs
갖고	갖/pvg+고/ecx
있는	있/px+는/etm
시간과	시간/ncn+과/jcj
공간의	공간/ncn+의/jcm
개념이	개념/ncn+이/jcs
불완전하기	불/xp+완전/ncps+하/xsv+기/etn
때문이라	때문/nbn+이/jp+라/ef
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf
질문	질문/ncn
만약	만약/mag
달려가는	달리/pvg+어/ecx+가/px+는/etm
기차에서	기차/ncn+에서/jca
기차의	기차/ncn+의/jcm
진행방향으로	진행/ncn+방향/ncn+으로/jca
총을	총/ncn+을/jco
쏘았을	쏘/pvg+았/ep+을/etm
때	때/ncn
,	,/sp
총알은	총알/ncn+은/jxc
기차의	기차/ncn+의/jcm
속력에다	속력/ncn+에다/jxc
총알의	총알/ncn+의/jcm
속력을	속력/ncn+을/jco
더한	더하/pvg+ㄴ/etm
값을	값/ncn+을/jco
갖고	갖/pvg+고/ecs
앞으로	앞/ncn+으로/jca
나갈	나가/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
마찬가지로	마찬가지/ncn+로/jca
돌진하는	돌진/ncpa+하/xsv+는/etm
기차의	기차/ncn+의/jcm
전조등을	전조등/ncn+을/jco
켰을	켜/pvg+었/ep+을/ep
때	때/ncn
,	,/sp
이	이/mmd
때의	때/ncn+의/jcm
빛의	빛/ncn+의/jcm
속도는	속도/ncn+는/jxc
기차의	기차/ncn+의/jcm
속력에	속력/ncn+에/jca
의해	의하/pvg+어/ecs
빨라질	빠르/paa+아/ecx+지/px+ㄹ/etm
것인가	것/nbn+이/jp+ㄴ가/ef
?	?/sf
a	a/f
)	)/sr
전조등에서	전조등/ncn+에서/jca
나오는	나오/pvg+는/etm
빛의	빛/ncn+의/jcm
속도는	속도/ncn+는/jxc
기차의	기차/ncn+의/jcm
속력과	속력/ncn+과/jct
합해져서	합하/pvg+어/ecx+지/px+어서/ecs
더	더/mag
빨라진다	빠르/paa+아/ecx+지/px+ㄴ다/ef
.	./sf
b	b/f
)	)/sr
달리는	달리/pvg+는/etm
기차의	기차/ncn+의/jcm
전조등에서	전조등/ncn+에서/jca
나오는	나오/pvg+는/etm
빛의	빛/ncn+의/jcm
속도는	속도/ncn+는/jxc
역에	역/ncn+에/jca
정지해	정지/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
기차의	기차/ncn+의/jcm
전조등에서	전조등/ncn+에서/jca
나오는	나오/pvg+는/etm
빛의	빛/ncn+의/jcm
속력과	속력/ncn+과/jct
다를	다르/paa+ㄹ/etm
바	바/nbn
없다	없/paa+다/ef
.	./sf
해답	해답/ncn
정답은	정답/ncn+은/jxc
b이다	b/f+이/jp+다/ef
.	./sf
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
생각할	생각/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
당신이	당신/npp+이/jcs
광원을	광원/ncn+을/jco
향해	향하/pvg+어/ecs
움직이면	움직이/pvg+면/ecs
당신의	당신/npp+의/jcm
움직임은	움직임/ncn+은/jxc
당신을	당신/npp+을/jco
통과하는	통과/ncpa+하/xsv+는/etm
빛에	빛/ncn+에/jca
아무런	아무렇/pad+ㄴ/etm
영향도	영향/ncn+도/jxc
미치지	미치/pvg+지/ecx
않는다	않/px+는다/ef
-	-/sd
두	두/nnc
트럭	트럭/ncn
실험을	실험/ncn+을/jco
다시	다시/mag
생각해보자	생각/ncpa+하/xsv+어/ecx+보/px+자/ef
(	(/sl
그림	그림/ncn
2	2/nno
-	-/sd
2	2/nno
).	)/sr+./sf
상대성	nq[상대/ncn+성/xsn
원리에	원리/ncn]nq+에/jca
따르면	따르/pvg+면/ecs
당신이	당신/npp+이/jcs
어떤	어떤/mmd
움직임을	움직임/ncn+을/jco
취하더라도	취하/pvg+더라도/ecs
빛의	빛/ncn+의/jcm
속력에는	속력/ncn+에/jca+는/jxc
변함이	변하/pvg+ㅁ/etn+이/jcs
없다	없/paa+다/ef
.	./sf
이것이	이것/npd+이/jcs
실생활에서	실생활/ncn+에서/jca
얻은	얻/pvg+은/etm
경험과	경험/ncpa+과/jct
일치합니까	일치/ncpa+하/xsv+ㅂ니까/ef
?	?/sf
아무리	아무리/mag
기차가	기차/ncn+가/jcs
빨리	빨리/mag
간다	가/pvg+ㄴ다/ef
해도	하/pvg+어도/ecs
좋은	좋/paa+은/etm
실험을	실험/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
정도로	정도/ncn+로/jca
빠르진	빠르/pvg+지/ecx+는/jxc
못한다	못하/px+ㄴ다/ef
.	./sf
그러나	그러나/maj
어떤	어떤/mmd
별들은	별/ncn+들/xsn+은/jxc
정말	정말/mag
빠르게	빠르/paa+게/ecs
움직인다	움직이/pvg+ㄴ다/ef
.	./sf
아마도	아마도/mag
지구를	지구/ncn+를/jco
향해	향하/pvg+어/ecs
움직이는	움직이/pvg+는/etm
별에서	별/ncn+에서/jca
나오는	나오/pvg+는/etm
빛의	빛/ncn+의/jcm
속도는	속도/ncn+는/jxc
지구로부터	지구/ncn+로/jca+부터/jxc
멀어지는	멀/paa+어/ecx+지/px+는/etm
별에서	별/ncn+에서/jca
나오는	나오/pvg+는/etm
빛의	빛/ncn+의/jcm
속도는	속도/ncn+는/jxc
더	더/mag
빠를	빠르/paa+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
지금까지	지금/ncn+까지/jxc
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
별들의	별/ncn+들/xsn+의/jcm
약	약/mma
3분의	3/nnc+분/nbu+의/jcm
1	1/nnc
정도가	정도/ncn+가/jcs
위성을	위성/ncn+을/jco
갖고	갖/pvg+고/ecx
있다	있/px+다/ef
.	./sf
이	이/mmd
위성들은	위성/ncn+들/xsn+은/jxc
자기의	자기/npp+의/jcm
궤도를	궤도/ncn+를/jco
돌면서	돌/pvg+면서/ecs
차례로	차례/ncn+로/jca
지구를	지구/ncn+를/jco
향해	향하/pvg+어/ecs
왔다가	오/pvg+았/ep+다가/ecs
물러가곤	물러가/pvg+고/ecx+는/jxc
하는	하/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
포인카는	포인카/nq+는/jxc
이	이/mmd
이중별들을	이중/ncn+별/ncn+들/xsn+을/jco
이용하여	이용/ncpa+하/xsv+어/ecs
빛의	빛/ncn+의/jcm
속도가	속도/ncn+가/jcs
그	그/mmd
광원의	광원/ncn+의/jcm
속력에	속력/ncn+에/jca
관계가	관계/ncn+가/jcs
있는지를	있/paa+는지/ef+를/jco
알아보려	알/pvg+아/ecx+보/px+려/ecs
했다	하/pvg+었/ep+다/ef
.	./sf
결과는	결과/ncn+는/jxc
광원에	광원/ncn+에/jca
무관하다는	무관/ncps+하/xsm+다/ef+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
간단히	간단/ncn+히/xsa
말하면	말/ncpa+하/xsv+면/ecs
포인카의	포인카/nq+의/jcm
실험방법은	실험/ncn+방법/ncn+은/jxc
매우	매우/mag
간단한	간단/ncps+하/xsm+ㄴ/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
그림	그림/ncn
2	2/nno
-	-/sd
5에서처럼	5/nno+에서/jca+처럼/jxc
위성이	위성/ncn+이/jcs
1의	1/nno+의/jcm
위치에서는	위치/ncn+에서/jca+는/jxc
지구로부터	지구/ncn+로/jca+부터/jxc
멀어지고	멀/paa+어/ecx+지/px+고/ecs
,	,/sp
2	2/nno
위치에서는	위치/ncn+에서/jca+는/jxc
지구로	지구/ncn+로/jca
향하는	향하/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
빛의	빛/ncn+의/jcm
속도가	속도/ncn+가/jcs
1의	1/nno+의/jcm
위치에서	위치/ncn+에서/jca
나오는	나오/pvg+는/etm
빛의	빛/ncn+의/jcm
속도보다	속도/ncn+보다/jca
더	더/mag
빠를	빠르/paa+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
먼	멀/paa+ㄴ/etm
곳에	곳/ncn+에/jca
위치한	위치/ncpa+하/xsv+ㄴ/etm
별에서	별/ncn+에서/jca
나오는	나오/pvg+는/etm
빛은	빛/ncn+은/jxc
먼	멀/paa+ㄴ/etm
거리를	거리/ncn+를/jco
달려	달리/pvg+어/ecx
와야	오/px+아야/ecs
하는데	하/px+는데/ecs
,	,/sp
2의	2/nno+의/jcm
위치에서	위치/ncn+에서/jca
나오는	나오/pvg+는/etm
빛을	빛/ncn+을/jco
따라	따르/pvg+아/ecs
잡아서	잡/pvg+아서/ecs
마치	마치/mag
위성이	위성/ncn+이/jcs
1	1/nno
위치를	위치/ncn+를/jco
떠나기	떠나/pvg+기/etn
전에	전/ncn+에/jca
2의	2/nno+의/jcm
위치에	위치/ncn+에/jca
도달하는	도달/ncpa+하/xsv+는/etm
것처럼	것/nbn+처럼/jca
보일	보이/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
실제로	실제로/mag
이런	이런/mmd
일은	일/ncn+은/jxc
일어나지	일어나/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
우연히도	우연/ncn+히/xsa+도/jxc
기차의	기차/ncn+의/jcm
기적에서	기적/ncn+에서/jca
나오는	나오/pvg+는/etm
음파의	음파/ncn+의/jcm
속도는	속도/ncn+는/jxc
전조등에서	전조등/ncn+에서/jca
나오는	나오/pvg+는/etm
빛의	빛/ncn+의/jcm
속도처럼	속도/ncn+처럼/jca
기차의	기차/ncn+의/jcm
속력에	속력/ncn+에/jca
영향을	영향/ncn+을/jco
받지	받/pvg+지/ecx
않는다	않/px+는다/ef
(	(/sl
여기서	여기/npd+서/jca
속력과	속력/ncn+과/jcj
진동수를	진동/ncn+수/ncn+를/jco
혼동해서는	혼동/ncpa+하/xsv+어서/ecs+는/jxc
안된다	안/mag+되/pvg+ㄴ다/ef
).	)/sr+./sf
그러나	그러나/maj
만약	만약/mag
당신이	당신/npp+이/jcs
소리를	소리/ncn+를/jco
내는	내/pvg+는/etm
음원을	음원/ncn+을/jco
향해	향하/pvg+어/ecs
움직이면	움직이/pvg+면/ecs
당신에	당신/npp+에/jca
대해	대하/pvg+어/ecs
상대적으로	상대/ncn+적/xsn+으로/jca
음파의	음파/ncn+의/jcm
속도는	속도/ncn+는/jxc
증가한다	증가/ncpa+하/xsv+ㄴ다/ef
.	./sf
지금	지금/mag
당신은	당신/npp+은/jxc
아마도	아마도/mag
"	"/sl
어떻게	어떠하/pad+게/ecs
음파가	음파/ncn+가/jcs
상대성	nq[상대/ncn+성/xsn
원리를	원리/ncn]nq+를/jco
위배할	위배/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?"	?/sf+"/sr
그것에	그것/npd+에/jca
대한	대하/pvg+ㄴ/etm
답은	답/ncpa+은/jxc
공기라는	공기/ncn+라/ef+는/etm
제3의	제/xp+3/nno+의/jcm
것이	것/nbn+이/jcs
있기	있/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
마치	마치/mag
음파에	음파/ncn+에/jca
대한	대하/pvg+ㄴ/etm
공기의	공기/ncn+의/jcm
역할처럼	역할/ncn+처럼/jca
빛에	빛/ncn+에/jca
대해	대하/pvg+어/ecs
그	그/mmd
어떤	어떤/mmd
것이	것/nbn+이/jcs
존재할	존재/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있었을	있/paa+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
이	이/mmd
세상은	세상/ncn+은/jxc
그렇게	그러하/pad+게/ecs
만들어지지	만들/pvg+어/ecx+지/px+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
이	이/mmd
빈	비/paa+ㄴ/etm
공간에는	공간/ncn+에/jca+는/jxc
아무	아무/mmd
것도	것/nbn+도/jxc
존재치	존재/ncpa+하/xsv+지/ecx
않으면	않/px+으면/ecs
따라서	따라서/maj
누가	누가/npp
운동을	운동/ncn+을/jco
하고	하/pvg+고/ecx
있는가를	있/px+는가/ef+를/jco
알려줄	알리/pvg+어/ecx+주/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
기준점이	기준/ncn+점/ncn+이/jcs
없는	없/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
마지막으로	마지막/ncn+으로/jca
한	한/nnc
가지	가지/nbu
놀라운	놀랍/paa+ㄴ/etm
사실은	사실/ncn+은/jxc
달리는	달리/pvg+는/etm
전조등에서	전조등/ncn+에서/jca
나오는	나오/pvg+는/etm
빛의	빛/ncn+의/jcm
속력은	속력/ncn+은/jxc
증가하지	증가/ncpa+하/xsv+지/ecx
않지만	않/px+지만/ecs
앞으로	앞/ncn+으로/jca
나가는	나가/pvg+는/etm
그	그/mmd
빛의	빛/ncn+의/jcm
운동량과	운동/ncn+량/ncn+과/jcj
에너지는	에너지/ncn+는/jxc
증가한다	증가/ncpa+하/xsv+ㄴ다/ef
.	./sf
아주	아주/mag
익숙한	익숙/ncps+하/xsm+ㄴ/etm
개념인	개념/ncn+이/jp+ㄴ/etm
속력보다	속력/ncn+보다/jca
좀	좀/mag
덜	덜/mag
익숙한	익숙/ncps+하/xsm+ㄴ/etm
운동량과	운동/ncn+량/ncn+과/jcj
에너지의	에너지/ncn+의/jcm
개념이	개념/ncn+이/jcs
우리의	우리/npp+의/jcm
직관과	직관/ncn+과/jct
잘	잘/mag
일치한다는	일치/ncpa+하/xsv+ㄴ다/ef+는/etm
것이	것/nbn+이/jcs
좀	좀/mag
이상스럽게	이상/ncps+스럽/xsm+게/ecs
느껴지기도	느끼/pvg+어/ecx+지/px+기/etn+도/jxc
한다	하/px+ㄴ다/ef
.	./sf
질문	질문/ncn
진공	진공/ncn
속에서	속/ncn+에서/jca
광속	광속/ncn
(	(/sl
빛의	빛/ncn+의/jcm
다발	다발/ncn
)	)/sr
이	이/jcs
그림에서처럼	그림/ncn+에서/jca+처럼/jca
옆으로	옆/ncn+으로/jca
진행할	진행/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
a	a/f
)	)/sr
가끔	가끔/mag
.	./sf
b	b/f
)	)/sr
절대로	절대로/mag
안된다	안/mag+되/pvg+ㄴ다/ef
.	./sf
해답	해답/ncn
정답은	정답/ncn+은/jxc
b이다	b/f+이/jp+다/ef
.	./sf
이	이/mmd
답은	답/ncn+은/jxc
광속이	광속/ncn+이/jcs
파동의	파동/ncn+의/jcm
연속이라는	연속/ncn+이/jp+라/ef+는/etm
가정	가정/ncn
하에서	하/ncn+에서/jca
나온	나오/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
(	(/sl
나중에	나중/ncn+에/jca
같은	같/paa+은/etm
결론이	결론/ncn+이/jcs
빛이	빛/ncn+이/jcs
입자의	입자/ncn+의/jcm
연속이라는	연속/ncn+이/jp+라/ef+는/etm
데서도	데/nbn+서/jca+도/jxc
나올	나오/pvg+ㄹ/etm
수	수/nbn
있음을	있/paa+음/etn+을/jco
보여	보이/pvg+어/ecx
주겠다	주/px+겠/ep+다/ef
.)	./sf+)/sr
파동이	파동/ncn+이/jcs
진행할	진행/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
이유는	이유/ncn+는/jxc
파동의	파동/ncn+의/jcm
각	각/mma
점이	점/ncn+이/jcs
사방으로	사방/ncn+으로/jca
동심원을	동심/ncn+원/ncn+을/jco
그리며	그리/pvg+며/ecs
퍼져나가는데	퍼지/pvg+어/ecx+나가/px+는데/ecs
,	,/sp
이	이/mmd
작은	작/paa+은/etm
동심원들이	동심/ncn+원/ncn+들/xsn+이/jcs
다	다/mag
모여져서	모이/pvg+어/ecx+지/px+어서/ecs
파동의	파동/ncn+의/jcm
새로운	새롭/paa+ㄴ/etm
점을	점/ncn+을/jco
만들며	만들/pvg+며/ecs
진행하기	진행/ncpa+하/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
파동이	파동/ncn+이/jcs
측면으로	측면/ncn+으로/jca
진행한다면	진행/ncpa+하/xsv+ㄴ다면/ecs
동심원을	동심/ncn+원/ncn+을/jco
그리며	그리/pvg+며/ecs
나아가는	나아가/pvg+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
,	,/sp
타원을	타원/ncn+을/jco
그려야	그리/pvg+어야/ecx
하는	하/px+는/etm
데	데/nbn
빛의	빛/ncn+의/jcm
속도처럼	속도/ncn+처럼/jca
사방으로	사방/ncn+으로/jca
일정한	일정/ncps+하/xsm+ㄴ/etm
속도로	속도/ncn+로/jca
퍼져나갈	퍼지/pvg+어/ecx+나가/px+ㄹ/etm
때는	때/ncn+는/jxc
오직	오직/mag
동심원을	동심/ncn+원/ncn+을/jco
그리며	그리/pvg+며/ecs
나갈	나가/pvg+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없다	없/paa+다/ef
.	./sf
어느	어느/mmd
물리학자의	물리/ncn+학자/ncn+의/jcm
머리	머리/ncn
속	속/ncn
.	./sf
실험실은	실험/ncn+실/xsn+은/jxc
물리학의	물리/ncn+학/xsn+의/jcm
대법원이다	대/xp+법원/ncn+이/jp+다/ef
.	./sf
그러나	그러나/maj
진실의	진실/ncn+의/jcm
판결은	판결/ncn+은/jxc
매우	매우/mag
더디고	더디/paa+고/ecs
어떤	어떤/mmd
이론	이론/ncn
물리학자들은	물리/ncn+학자/ncn+들/xsn+은/jxc
매우	매우/mag
성급하다	성급/ncps+하/xsm+다/ef
.	./sf
특히	특히/mag
두	두/nnc
트럭	트럭/ncn
실험은	실험/ncn+은/jxc
기술적인	기술/ncn+적/xsn+이/jp+ㄴ/etm
문제가	문제/ncn+가/jcs
있어서	있/paa+어서/ecs
거의	거의/mag
실행	실행/ncpa
불가능하다	불/xp+가능/ncps+하/xsm+다/ef
.	./sf
그러니	그러니/maj
이것의	이것/npd+의/jcm
결과는	결과/ncn+는/jxc
이론적으로	이론/ncn+적/xsn+으로/jca
크게	크/paa+게/ecs
기대되고	기대/ncpa+되/xsv+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
어떻게	어떠하/pad+게/ecs
결과를	결과/ncn+를/jco
예측할	예측/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었을까	있/paa+었/ep+을까/ef
?	?/sf
바로	바로/mag
전자기학의	전자기/ncn+학/xsn+의/jcm
법칙들을	법칙/ncn+들/xsn+을/jco
이해함으로서였다	이해/ncpa+하/xsv+ㅁ/etn+으로서/jca+이/jp+었/ep+다
ef	이해/ncpa+하/xsv+ㅁ/etn+으로서/jca+이/jp+었/ep+다
.	./sf
헤르쯔에	헤르쯔/nq+에/jca
의해	의하/pvg+어/ecs
중명되었듯이	중명/ncpa+되/xsv+었/ep+듯이/ecs
광파	광파/ncn
(	(/sl
빛	빛/ncn
)	)/sr
는	는/jxc
전자기파이다	전자기/ncn+파/ncn+이/jp+다/ef
.	./sf
이것의	이것/npd+의/jcm
원리는	원리/ncn+는/jxc
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
:	:/sp
자기장의	자기장/ncn+의/jcm
세기를	세기/ncn+를/jco
늘였다	늘이/pvg+었/ep+다/ef
,	,/sp
줄였다	줄이/pvg+었/ep+다/ef
하면	하/pvg+면/ecs
그	그/mmd
변화하는	변화/ncpa+하/xsv+는/etm
자기장을	자기장/ncn+을/jco
수직	수직/ncn
방향으로	방향/ncn+으로/jca
통과하는	통과/ncpa+하/xsv+는/etm
전기장이	전기장/ncn+이/jcs
생기게	생기/pvg+게/ecx
된다	되/px+ㄴ다/ef
.	./sf
이것이	이것/npd+이/jcs
바로	바로/mag
변압기의	변압/ncn+기/xsn+의/jcm
원리인	원리/ncn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
꺼꾸로	꺼꾸로/mag
전기장의	전기장/ncn+의/jcm
세기가	세기/ncn+가/jcs
커졌다	크/paa+어/ecx+지/px+었/ep+다/ecc
,	,/sp
작아졌다	작/paa+아/ecx+지/px+었/ep+다/ef
하면	하/pvg+면/ecs
자기장이	자기장/ncn+이/jcs
유도되는데	유도/ncpa+되/xsv+는데/ecs
이	이/mmd
역시	역시/mag
변화하는	변화/ncpa+하/xsv+는/etm
전기장에	전기장/ncn+에/jca
수직방향으로	수직/ncn+방향/ncn+으로/jca
둘러싼다	둘러싸/pvg+ㄴ다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
이중성이	이중/ncn+성/xsn+이/jcs
한마디	한마디/ncn+로/jca
전자기학의	전자기/ncn+학/xsn+의/jcm
핵심이다	핵심/ncn+이/jp+다/ef
.	./sf
이	이/mmd
때문에	때문/nbn+에/jca
일단	일단/mag
우주에	우주/ncn+에/jca
생성된	생성/ncpa+되/xsv+ㄴ/etm
전기장이나	전기장/ncn+이나/jcj
자기장은	자기장/ncn+은/jxc
영원히	영원/ncn+히/xsa
남게	남/pvg+게/ecx
되는데	되/px+는데/ecs
,	,/sp
이것은	이것/npd+은/jxc
어디론가를	어디/npd+로/jca+ㄴ가/ef+를/jco
행해	행하/pvg+어/ecs
영원히	영원/ncn+히/xsa
가는	가/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약에	만약/ncn+에/jca
전기적으로	전기/ncn+적/xsn+으로/jca
하전된	하전/ncpa+되/xsv+ㄴ/etm
입자들을	입자/ncn+들/xsn+을/jco
방전시켜	방전/ncpa+시키/xsv+어/ecs
연관된	연관/ncpa+되/xsv+ㄴ/etm
전기장을	전기장/ncn+을/jco
없애려	없애/pvg+려/ecx
한다거나	하/px+ㄴ다/ef+거나/ecs
혹은	혹은/maj
연관된	연관/ncpa+되/xsv+ㄴ/etm
전기장을	전기장/ncn+을/jco
없애기	없애/pvg+기/etn
위하여	위하/pvg+어/ecs
자석을	자석/ncn+을/jco
파괴시켜	파괴/ncpa+시키/xsv+어/ecx
버려도	버리/px+어도/ecs
어느	어느/mmd
장의	장/ncn+의/jcm
사라짐은	사라지/pvg+ㅁ/etn+은/jxc
새로운	새롭/paa+ㄴ/etm
종류의	종류/ncn+의/jcm
장의	장/ncn+의/jcm
출현이	출현/ncn+이/jcc
되므로	되/pvg+므로/ecs
(	(/sl
전기장에서	전기장/ncn+에서/jca
자기장으로	자기장/ncn+으로/jca
,	,/sp
자기장에서	자기장/ncn+에서/jca
전기장으로	전기장/ncn+으로/jca
)	)/sr
이	이/mmd
죽어가는	죽/pvg+어/ecx+가/px+는/etm
장은	장/ncn+은/jxc
변화하는	변화/ncpa+하/xsv+는/etm
장이	장/ncn+이/jcc
되고	되/pvg+고/ecs
,	,/sp
이것이	이것/npd+이/jcs
새로운	새롭/paa+ㄴ/etm
종류의	종류/ncn+의/jcm
장으로	장/ncn+으로/jca
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
그래서	그래서/maj
이것이	이것/npd+이/jcs
영원히	영원/ncn+히/xsa
가는	가/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
전기장이	전기장/ncn+이/jcs
사라짐으로써	사라지/pvg+ㅁ/etn+으로써/jca
전기장이	전기장/ncn+이/jcc
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
지속적인	지속/ncpa+적/xsn+이/jp+ㄴ/etm
운동이	운동/ncn+이/jcs
바로	바로/mag
라디오파나	라디오/ncn+파/xsn+나/jcj
광파나	광파/ncn+나/jcj
심지어는	심지어/mag+는/jxc
X-ray를	X-ray/f+를/jco
공중으로	공중/ncn+으로/jca
보낼	보내/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
원인이	원인/ncn+이/jcc
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
가고	가/pvg+고/ecc
또	또/maj
가는	가/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
방송극이	방송/ncn+극/ncn+이/jcs
조용해져도	조용/ncps+하/xsm+어/ecx+지/px+어도/ecs
이	이/mmd
파는	파/ncn+는/jxc
"	"/sl
영원히	영원/ncn+히/xsa
결코	결코/mag
중단하지	중단/ncpa+하/xsv+지/ecx
말라	말/px+라/ef
"	"/sr
는	는/etm
명령을	명령/ncn+을/jco
충실히	충실/ncn+히/xsa
따를	따르/pvg+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
당신이	당신/npp+이/jcs
트럭을	트럭/ncn+을/jco
타고	타/pvg+고/ecs
파동이	파동/ncn+이/jcs
진행하는	진행/ncpa+하/xsv+는/etm
방향으로	방향/ncn+으로/jca
움직인다고	움직이/pvg+ㄴ다/ef+고/ecs
가정해보자	가정/ncpa+하/xsv+어/ecx+보/px+자/ef
.	./sf
만약	만약/mag
파동이	파동/ncn+이/jcs
천천히	천천/ncn+히/xsa
움직이면	움직이/pvg+면/ecs
트럭을	트럭/ncn+을/jco
좀	좀/mag
더	더/mag
빨리	빨리/mag
몰아서	몰/pvg+아서/ecs
파동이	파동/ncn+이/jcs
더욱	더욱/mag
천천히	천천/ncn+히/xsa
가는	가/pvg+는/etm
것을	것/nbn+을/jco
측정할	측정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
트럭을	트럭/ncn+을/jco
매우	매우/mag
빨리	빨리/mag
달려서	달리/pvg+어서/ecs
파동이	파동/ncn+이/jcs
마치	마치/mag
정지해	정지/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
것처럼	것/nbn+처럼/jca
느낄	느끼/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
만약	만약/mag
파동이	파동/ncn+이/jcs
정지해	정지/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
측정되면	측정/ncpa+되/xsv+면/ecs
파동을	파동/ncn+을/jco
만드는	만들/pvg+는/etm
장	장/ncn
(	(/sl
field	field/f
)	)/sr
이	이/npd
또한	또한/maj
정지해	정지/ncpa+하/xsv+어/ecx
