<tdmsfile>
<tdmsfile>
kbs1.hwp
여러분	여러분/npp
301조가	301/nno+조/nbu]nq+가/jcs
국제	국제/ncn
무역질서를	무역/ncn+질서/ncn+를/jco
위협한다는	위협/ncpa+하/xsv+ㄴ다/ef+는/etm
점을	점/ncn+을/jco
여론화하기로	여론/ncn+화/xsn+하/xsv+기/etn+로/jca
하고	하/pvg+고/ecs
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
작업에	작업/ncn+에/jca
착수했습니다.	착수/ncpa+하/xsv+었/ep+습니다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
오는	오/pvg+는/etm
20일과	20/nno+일/nbu+과/jcj
21일	21/nno+일/nbu
파리에서	파리/nq+에서/jca
열리는	열리/pvg+는/etm
OECD	nq[OECD/f
무역위원회에	무역/ncn+위원/ncn+회/xsn]nq+에/jca
대표단을	대표/ncn+단/xsn+을/jco
보내	보내/pvg+어/ecs
슈퍼	nq[슈퍼/ncn
301조의	301/nno+조/nbu]nq+의/jcm
부당성을	부당/ncn+성/xsn+을/jco
거론하고	거론/ncpa+하/xsv+고/ecs
이에	이/npd+에/jca
대한	대하/pvg+ㄴ/etm
공동	공동/ncn
대응	대응/ncn
방안을	방안/ncn+을/jco
모색하기로	모색/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
또	또/maj
아시아.	nq[아시아/nq+./sp
태평양	태평양/nq
경제협력회의	경제/ncn+협력/ncn+회의/ncn]nq
APEC과	APEC/f+과/jcj
아시아유럽	nq[아시아/nq+유럽/nq
정상회의	정상/ncn+회의/ncn]nq
ASEM	ASEM/f
등	등/nbn
다자간	다자간/ncn
국제기구의	국제/ncn+기구/ncn+의/jcm
경제장관회의에서	경제/ncn+장관/ncn+회의/ncn+에서/jca
미국의	미국/nq+의/jcm
슈퍼301조가	nq[슈퍼/ncn+301/nno+조/nbu]nq+가/jcs
국제규범을	국제/ncn+규범/ncn+을/jco
무시한	무시/ncpa+하/xsv+ㄴ/etm
독소	독소/ncn
조항이라는	조항/ncn+이/jp+라/ef+는/etm
점을	점/ncn+을/jco
집중	집중/ncn
부각한다는	부각/ncpa+하/xsv+ㄴ다/ef+는/etm
입장입니다.	입장/ncn+이/jp+ㅂ니다/ef+./sf
정부는	정부/ncn+는/jxc
오는	오/pvg+는/etm
6일	6/nno+일/nbu
대외조정위원회를	대외/ncn+조정/ncn+위원/ncn+회/xsn+를/jco
열어	열/pvg+어/ecs
협상	협상/ncn
과정과	과정/ncn+과/jcj
슈퍼	nq[슈퍼/ncn
301조	301/nno+조/nbu]nq
발동의	발동/ncn+의/jcm
미국측	미국/nq+측/nbn
진의를	진의/ncn+를/jco
종합	종합/ncn
점검하고	점검/ncpa+하/xsv+고/ecc
자동차	자동/ncn+차/ncn
협상력을	협상/ncn+력/xsn+을/jco
강화하기	강화/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
정부	정부/ncn
차원의	차원/ncn+의/jcm
특별대책반을	특별/ncn+대책/ncn+반/ncn+을/jco
구성할	구성/ncpa+하/xsv+ㄹ/etm
방침입니다.	방침/ncn+이/jp+ㅂ니다/ef+./sf
관세인하와	관세/ncn+인하/ncn+와/jcj
세제개편	세제/ncn+개편/ncn
저당권	저당/ncn+권/xsn
제도,	제도/ncn+,/sp
이	이/mmd
문제를	문제/ncn+를/jco
가지고	가지/pvg+고/ecs
미국이	미국/nq+이/jcs
시비를	시비/ncn+를/jco
건다해도	걸/pvg+ㄴ다/ef+하/pvg+어도/ecs
그건	그거/npd+ㄴ/jxc
우리가	우리/npp+가/jcs
어쩔	어쩌/pvd+ㄹ/etm
수	수/nbn
없다,	없/paa+다/ef+,/sp
그러나	그러나/maj
그	그/mmd
외의	외/nbn+의/jcm
사항에	사항/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
정부가	정부/ncn+가/jcs
취할	취하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
최대한의	최대한/ncn+의/jcm
조치를	조치/ncn+를/jco
가지고	가지/pvg+고/ecs
협상에	협상/ncn+에/jca
임하자.	임하/pvg+자/ef+./sf
또	또/maj
현재	현재/ncn
국장급인	국장/ncn+급/ncn+이/jp+ㄴ/etm
한미	nq[한미/nq
자동차협상	자동/ncn+차/ncn+협상/ncn
대표단의	대표/ncn+단/xsn]nq+의/jcm
지위를	지위/ncn+를/jco
차관보급으로	차관보/ncn+급/ncn+으로/jca
높히는	높히/pvg+는/etm
방안도	방안/ncn+도/jxc
추진하기로	추진/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
정부는	정부/ncn+는/jxc
특히	특히/mag
우리측이	우리/npp+측/nbn+이/jcs
충분히	충분/ncn+히/xsa
양보했는데도	양보/ncpa+하/xsv+었/ep+는데/ecs+도/jxc
슈퍼	nq[슈퍼/ncn
301조가	301/nno+조/nbu]nq+가/jcs
발동된	발동/ncpa+되/xsv+ㄴ/etm
것은	것/nbn+은/jxc
미	미/nq
자동차업계의	자동/ncn+차/ncn+업계/ncn+의/jcm
압력에	압력/ncn+에/jca
따른	따르/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
판단하고,	판단/ncpa+하/xsv+고/ecs+,/sp
앞으로	앞/ncn+으로/jca
양자	양자/ncn
협의과정에서의	협의/ncn+과정/ncn+에서/jca+의/jcm
협상력을	협상/ncn+력/xsn+을/jco
높히기	높히/pvg+기/etn
위해	위하/pvg+어/ecs
국내	국내/ncn
자동차업계와	자동/ncn+차/ncn+업계/ncn+와/jct
공동	공동/ncn
대처하는	대처/ncpa+하/xsv+는/etm
방안을	방안/ncn+을/jco
마련하기로	마련/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
박장범입니다.	박장범/nq+이/jp+ㅂ니다/ef+./sf
수출	수출/ncn
다변화	다변화/ncn
미국의	미국/nq+의/jcm
슈퍼	nq[슈퍼/ncn
301조	301/nno+조/nbu]nq
발동으로	발동/ncn+으로/jca
지금	지금/mag
발등에	발등/ncn+에/jca
불이	불/ncn+이/jcs
떨어진	떨어지/pvg+ㄴ/etm
것은	것/nbn+은/jxc
우리	우리/npp
자동차	자동/ncn+차/ncn
업계입니다.	업계/ncn+이/jp+ㅂ니다/ef+./sf
미국이	미국/nq+이/jcs
단일국가로서는	단일/ncn+국가/ncn+로서/jca+는/jxc
우리의	우리/npp+의/jcm
최대	최대/ncn
수출시장이기는	수출/ncn+시장/ncn+이/jp+기/etn+는/jxc
하지만	하/px+지만/ecs
그러나	그러나/maj
지난	지나/pvg+ㄴ/etm
88년을	88/nno+년/nbu+을/jco
정점으로	정점/ncn+으로/jca
해서	하/pvg+어서/ecs
대미수출이	대미/ncn+수출/ncn+이/jcs
부진해지면서	부진/ncpa+하/xsv+어/ecx+지/px+면서/ecs
우리	우리/npp
자동차업계는	자동/ncn+차/ncn+업계/ncn+는/jxc
90년대	90/nno+년대/nbu
초반부터	초반/ncn+부터/jxc
수출세는	수출/ncn+세/xsn+는/jxc
유럽	유럽/nq
등으로	등/nbn+으로/jca
다변화하고	다변화/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
이런	이런/mmd
수출	수출/ncn
다변화가	다변화/ncn+가/jcs
대미	대미/ncn
수출차질의	수출/ncn+차질/ncn+의/jcm
공백을	공백/ncn+을/jco
최소화할	최소/ncn+화/xsn+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것으로	것/nbn+으로/jca
기대되고	기대/ncpa+되/xsv+고/ecx
있다는	있/px+다/ef+는/etm
소식입니다.	소식/ncn+이/jp+ㅂ니다/ef+./sf
김혜례	김혜례/nq
기자가	기자/ncn+가/jcs
계속해서	계속/ncpa+하/xsv+어서/ecs
전해	전하/pvg+어/ecx
드립니다.	드리/px+ㅂ니다/ef+./sf
지난해	지나/pvg+ㄴ/etm+해/ncn
우리나라가	우리/npp+나라/ncn+가/jcs
해외로	해외/ncn+로/jca
수출한	수출/ncpa+하/xsv+ㄴ/etm
자동차는	자동/ncn+차/ncn+는/jxc
모두	모두/mag
121만대,	121만/nnc+대/nbu+,/sp
유럽이	유럽/nq+이/jcs
45만대로	45만/nnc+대/nbu+로/jca
가장	가장/mag
많고	많/paa+고/ecc
미국을	미국/nq+을/jco
포함한	포함/ncpa+하/xsv+ㄴ/etm
북미지역이	북미/nq+지역/ncn+이/jcs
22만대,	22만/nnc+대/nbu+,/sp
중남미가	중남미/nq+가/jcs
17만대,	17만/nnc+대/nbu+,/sp
중동과	중동/nq+과/jcj
호주	호주/nq
등	등/nbn
태평양	태평양/nq
지역이	지역/ncn+이/jcs
11만대순입니다.	11만/nnc+대/nbu+순/xsn+이/jp+ㅂ니다/ef+./sf
지난	지나/pvg+ㄴ/etm
88년을	88/nno+년/nbu+을/jco
정점으로	정점/ncn+으로/jca
미국에	미국/nq+에/jca
대한	대하/pvg+ㄴ/etm
자동차	자동/ncn+차/ncn
수출이	수출/ncpa+이/jcs
줄어들면서	줄/pvg+어/ecx+들/px+면서/ecs
우리	우리/npp
자동차	자동/ncn+차/ncn
업계가	업계/ncn+가/jcs
수출선을	수출/ncn+선/ncn+을/jco
다변화한	다변화/ncpa+하/xsv+ㄴ/etm
결과입니다.	결과/ncn+이/jp+ㅂ니다/ef+./sf
특히	특히/mag
서유럽지역은	서유럽/nq+지역/ncn+은/jxc
지난	지나/pvg+ㄴ/etm
94년에	94/nno+년/nbu+에/jca
14만대에서	14만/nnc+대/nbu+에서/jca
불과	불과/mag
2년만인	2/nnc+년/nbu+만/nbn+이/jp+ㄴ/etm
지난해에	지나/pvg+ㄴ/etm+해/ncn+에/jca
30만대를	30만/nnc+대/nbu+를/jco
넘어섰고,	넘/pvg+어/ecs+서/pvg+었/ep+고/ecc+,/sp
그중에서도	그/mmd+중/nbn+에서/jca+도/jxc
이태리와	이태리/nq+와/jcj
스페인은	스페인/nq+은/jxc
최근들어	최근/ncn+들/pvg+어/ecs
한국	한국/nq
자동차들이	자동/ncn+차/ncn+들/xsn+이/jcs
돌풍을	돌풍/ncn+을/jco
일으키는	일으키/pvg+는/etm
지역으로	지역/ncn+으로/jca
꼽힙니다.	꼽히/pvg+ㅂ니다/ef+./sf
한국차는	한국/nq+차/ncn+는/jxc
가격.	가격/ncn+./sp
품질.	품질/ncn+./sp
성능이	성능/ncn+이/jcs
조화를	조화/ncn+를/jco
이루고	이루/pvg+고/ecx
있어서	있/px+어서/ecs
스페인	스페인/nq
시장에서	시장/ncn+에서/jca
경쟁력이	경쟁/ncn+력/xsn+이/jcs
있고	있/paa+고/ecc
성장할	성장/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
국민소득이	국민/ncn+소득/ncn+이/jcs
각각	각각/mag
2만달러와	2만/nnc+달러/nbu+와/jcj
만3천달러의	만/nnc+3천/nnc+달러/nbu+의/jcm
이태리와	이태리/nq+와/jcj
스페인은	스페인/nq+은/jxc
소비자들이	소비/ncn+자/xsn+들/xsn+이/jcs
가격보다는	가격/ncn+보다/jca+는/jxc
디자인과	디자인/ncn+과/jcj
품질을	품질/ncn+을/jco
따지기	따지/pvg+기/etn
때문에	때문/nbn+에/jca
국내	국내/ncn
자동차	자동/ncn+차/ncn
회사들이	회사/ncn+들/xsn+이/jcs
신차나	신차/ncn+나/jcj
스포츠카	스포츠카/ncn
등의	등/nbn+의/jcm
수출에	수출/ncn+에/jca
주력하고	주력/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
국내	국내/ncn
자동차	자동/ncn+차/ncn
업계의	업계/ncn+의/jcm
몸부림은	몸부림/ncn+은/jxc
선진	선진/ncn
자동차	자동/ncn+차/ncn
메이커들이	메이커/ncn+들/xsn+이/jcs
시장을	시장/ncn+을/jco
선점한	선점/ncpa+하/xsv+ㄴ/etm
서유럽에서	서유럽/nq+에서/jca
더욱	더욱/mag
치열합니다.	치열/ncps+하/xsm+ㅂ니다/ef+./sf
또	또/maj
동유럽	동유럽/nq
지역을	지역/ncn+을/jco
중심으로	중심/ncn+으로/jca
현지에	현지/ncn+에/jca
공장을	공장/ncn+을/jco
지어	짓/pvg+어/ecs
자동차를	자동/ncn+차/ncn+를/jco
생산판매하는	생산/ncn+판매/ncpa+하/xsv+는/etm
현지	현지/ncn
경영을	경영/ncn+을/jco
강화해	강화/ncpa+하/xsv+어/ecs
미국시장에	미국/nq+시장/ncn+에/jca
대한	대하/pvg+ㄴ/etm
수출의존도를	수출/ncn+의존/ncn+도/xsn+를/jco
낮춘다는	낮추/pvg+ㄴ다/ef+는/etm
것이	것/nbn+이/jcs
국내	국내/ncn
자동차	자동/ncn+차/ncn
업계의	업계/ncn+의/jcm
신전략입니다.	신/xp+전략/ncn+이/jp+ㅂ니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
김혜례입니다.	김혜례/nq+이/jp+ㅂ니다/ef+./sf
"반드시	"/sl+반드시/mag
이긴다"	이기/pvg+ㄴ다/ef+"/sr
다음	다음/ncn
소식입니다.	소식/ncn+이/jp+ㅂ니다/ef+./sf
내일	내일/mag
서울	서울/nq
잠실주경기장에서는	잠실주경기장/nq+에서/jca+는/jxc
월드컵	월드컵/ncn
본선에	본선/ncn+에/jca
진출하는데	진출/ncpa+하/xsv+는데/ecs
최대	최대/ncn
난적으로	난적/ncn+으로/jca
꼽는	꼽/pvg+는/etm
아랍에미레이트와의	아랍에미레이트/nq+와/jct+의/jcm
한판	한판/ncn
승부가	승부/ncn+가/jcs
벌어집니다.	벌어지/pvg+ㅂ니다/ef+./sf
무승부는	무/xp+승부/ncn+는/jxc
곧	곧/mag
패배다라는	패배/ncn+다/ef+라/ef+는/etm
각오로	각오/ncn+로/jca
우리	우리/npp
대표팀은	대표/ncn+팀/ncn+은/jxc
공격축구로	공격/ncn+축구/ncn+로/jca
초반에	초반/ncn+에/jca
아랍에미레이트를	아랍에미레이트/nq+를/jco
제압하겠다는	제압/ncpa+하/xsv+겠/ep+다/ef+는/etm
결의를	결의/ncn+를/jco
다지고	다지/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
박종복	박종복/nq
기자의	기자/ncn+의/jcm
보도입니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
일본을	일본/nq+을/jco
이긴	이기/pvg+ㄴ/etm
투지와	투지/ncn+와/jcj
열의로	열의/ncn+로/jca
아랍에미레이트를	아랍에미레이트/nq+를/jco
꼭	꼭/mag
이겨주기	이기/pvg+어/ecx+주/px+기/etn
바랍니다.	바라/pvg+ㅂ니다/ef+./sf
통쾌한	통쾌/ncps+하/xsm+ㄴ/etm
승리를	승리/ncn+를/jco
거두어주었으면	거두/pvg+어/ecx+주/px+었/ep+으면/ecs
좋겠어요.	좋/paa+겠/ep+어/ef+요/jxf+./sf
힘	힘/ncn
내라!	내/pvg+라/ef+!/sf
화이팅!	화이팅/ncn+!/sf
한.	한/nq+./sp
일전의	일/nq+전/xsn+의/jcm
흥분이	흥분/ncn+이/jcs
채	채/mag
가시기도	가시/pvg+기/etn+도/jxc
전에	전/ncn+에/jca
맞은	맞/pvg+은/etm
두번째	두/nno+번째/nbu
고비,	고비/ncn+,/sp
사실상	사실/ncn+상/xsn
B조의	B/f+조/ncn+의/jcm
결승전이	결승/ncn+전/xsn+이/jcc
될	되/pvg+ㄹ/etm
아랍에미레이트전을	아랍에미레이트/nq+전/xsn+을/jco
앞두고	앞/ncn+두/pvg+고/ecs
우리	우리/npp
대표팀은	대표/ncn+팀/ncn+은/jxc
필승의	필승/ncn+의/jcm
각오로	각오/ncn+로/jca
마지막	마지막/ncn
훈련을	훈련/ncn+을/jco
했습니다.	하/pvg+었/ep+습니다/ef+./sf
선수들은	선수/ncn+들/xsn+은/jxc
정말	정말/mag
한마음이	한마음/ncn+이/jcc
되어서	되/pvg+어서/ecs
꼭	꼭/mag
이번	이/mmd+번/nbn
경기를	경기/ncn+를/jco
이기도록	이기/pvg+도록/ecs
최선을	최선/ncn+을/jco
다할	다하/pvg+ㄹ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
우리나라는	우리/npp+나라/ncn+는/jxc
아랍에미레이트가	아랍에미레이트/nq+가/jcs
십중팔구	십중팔구/ncn
수비위주의	수비/ncn+위주/ncn+의/jcm
역습작전을	역습/ncn+작전/ncn+을/jco
펼	펴/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
따라서	따라서/maj
역습에	역습/ncn+에/jca
대비한	대비/ncpa+하/xsv+ㄴ/etm
수비전술과	수비/ncn+전술/ncn+과/jcj
역습을	역습/ncn+을/jco
되받아치는	되받/pvg+아/ecs+치/pvg+는/etm
공격	공격/ncn
등	등/nbn
이중전	이중/ncn
전술을	전술/ncn+을/jco
마련해놓고	마련/ncpa+하/xsv+어/ecx+놓/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
역습시	역습/ncn+시/nbn
생기는	생기/pvg+는/etm
공간은	공간/ncn+은/jxc
서정원.	서정원/nq+./sf
최용수	최용수/nq
등	등/nbn
발빠른	발/ncn+빠르/paa+ㄴ/etm
공격수들이	공격/ncn+수/xsn+들/xsn+이/jcs
파고	파/pvg+고/ecx
들고	들/px+고/ecc
상대의	상대/ncn+의/jcm
두터운	두텁/paa+ㄴ/etm
수비는	수비/ncn+는/jxc
중거리슛으로	중거리/ncn+슛/ncn+으로/jca
뚫는다는	뚫/pvg+는다/ef+는/etm
작전입니다.	작전/ncn+이/jp+ㅂ니다/ef+./sf
아랍에미레이트가	아랍에미레이트/nq+가/jcs
다양한	다양/ncps+하/xsm+ㄴ/etm
공격을	공격/ncn+을/jco
보임에	보이/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
수비는	수비/ncn+는/jxc
한.	한/nq+./sp
일전처럼	일/nq+전/xsn+처럼/jca
적극적인	적극/ncn+적/xsn+이/jp+ㄴ/etm
맨투맨을	맨투맨/ncn+을/jco
펴기로	펴/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
지금	지금/mag
선수들의	선수/ncn+들/xsn+의/jcm
컨디션이	컨디션/ncn+이/jcs
좋기	좋/paa+기/etn
때문에	때문/nbn+에/jca
실제로는	실제로/mag+는/jxc
실점을	실점/ncn+을/jco
안하는데	안/mag+하/pvg+는데/ecs
주력할	주력/ncpa+하/xsv+ㄹ/etm
생각이예요.	생각/ncn+이/jp+예/ef+요/jxf+./sf
아랍에미레이트는	아랍에미레이트/nq+는/jxc
상대팀의	상대/ncn+팀/ncn+의/jcm
체력이	체력/ncn+이/jcs
떨어질	떨어지/pvg+ㄹ/etm
때를	때/ncn+를/jco
기다렸다가	기다리/pvg+었/ep+다가/ecs
비밀병기들로	비밀/ncn+병기/ncn+들/xsn+로/jca
하여금	하여금/mag
득점을	득점/ncn+을/jco
노리는	노리/pvg+는/etm
전술을	전술/ncn+을/jco
주로	주로/mag
사용하고	사용/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
따라서	따라서/maj
우리로서는	우리/npp+로서/jca+는/jxc
후반	후반/ncn
막판까지	막판/ncn+까지/jxc
체력안배를	체력/ncn+안배/ncn+를/jco
통해	통하/pvg+어/ecs
경계를	경계/ncn+를/jco
늦추지	늦추/pvg+지/ecx
말아야	말/px+아야/ecs
할	하/px+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
우리나라는	우리/npp+나라/ncn+는/jxc
내일	내일/ncn
경기에서	경기/ncn+에서/jca
승리해	승리/ncpa+하/xsv+어/ecs
4연승을	4/nnc+연승/ncn+을/jco
거둘	거두/pvg+ㄹ/etm
경우	경우/ncn
거의	거의/mag
본선진출을	본선/ncn+진출/ncn+을/jco
굳히게	굳히/pvg+게/ecs
됩니다.	되/pvg+ㅂ니다/ef+./sf
내일	내일/ncn
경기를	경기/ncn+를/jco
승리로	승리/ncn+로/jca
이끈	이끌/pvg+ㄴ/etm
뒤	뒤/ncn
남은	남/pvg+은/etm
4경기에서	4/nnc+경기/ncn+에서/jca
최소한	최소한/ncn
2승2무만	2/nnc+승/nbu+2/nnc+무/nbu+만/jxc
해도	하/pvg+어도/ecs
일본이나	일본/nq+이나/jcj
아랍에미레이트의	아랍에미레이트/nq+의/jcm
경기	경기/ncn
결과에	결과/ncn+에/jca
관계	관계/ncn
없이	없/paa+이/xsa
조1위로	조/ncn+1/nno+위/nbu+로/jca
본선에	본선/ncn+에/jca
직행할	직행/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
박종복입니다.	박종복/nq+이/jp+ㅂ니다/ef+./sf
제공권	제공/ncn+권/xsn
맡겨라!	맡기/pvg+어라/ef+!/sf
지금	지금/mag
우리	우리/npp
대표팀에는	대표/ncn+팀/ncn+에/jca+는/jxc
걸출한	걸출/ncps+하/xsm+ㄴ/etm
기량을	기량/ncn+을/jco
가진	가지/pvg+ㄴ/etm
선수들이	선수/ncn+들/xsn+이/jcs
많이	많/paa+이/xsa
있습니다마는	있/paa+습니다/ef+마는/jxf
굳이	굳이/mag
한사람만을	한/nnc+사람/ncn+만/jxc+을/jco
꼽아보라면은	꼽/pvg+아/ecx+보/px+라/ef+면/ecs+은/jxc
최용수	최용수/nq
선수입니다.	선수/ncn+이/jp+ㅂ니다/ef+./sf
천부적인	천부/ncn+적/xsn+이/jp+ㄴ/etm
감각을	감각/ncn+을/jco
가진	가지/pvg+ㄴ/etm
이	이/mmd
공격수	공격/ncn+수/xsn
최	nq[최/nq
용수	용수/nq]nq
선수는	선수/ncn+는/jxc
최종	최종/ncn
예선전	예선/ncn+전/xsn
3경기에서	3/nnc+경기/ncn+에서/jca
모두	모두/mag
4골을	4/nnc+골/ncn+을/jco
기록해서	기록/ncpa+하/xsv+어서/ecs
일본의	일본/nq+의/jcm
미우라와	미우라/nq+와/jct
함께	함께/mag
득점	득점/ncn
부문에서	부문/ncn+에서/jca
공동	공동/ncn
선두를	선두/ncn+를/jco
달리고	달리/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
따라서	따라서/maj
이번	이/mmd+번/nbn
아랍에미레이트와의	아랍에미레이트/nq+와/jct+의/jcm
경기에서도	경기/ncn+에서/jca+도/jxc
이	이/mmd
최선수의	최/nq+선수/ncn+의/jcm
활약이	활약/ncn+이/jcs
기대되고	기대/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
계속해서	계속/ncpa+하/xsv+어서/ecs
김인수	김인수/nq
기자가	기자/ncn+가/jcs
전해	전하/pvg+어/ecx
드립니다.	드리/px+ㅂ니다/ef+./sf
뛰어난	뛰어나/paa+ㄴ/etm
헤딩감각을	헤딩/ncn+감각/ncn+을/jco
갖고	갖/pvg+고/ecx
있는	있/px+는/etm
최용수는	최용수/nq+는/jxc
현재	현재/ncn
대표팀	대표/ncn+팀/ncn
공격수	공격/ncn+수/xsn
가운데	가운데/ncn
고공플레이가	고공/ncn+플레이/ncn+가/jcs
가장	가장/mag
돋보이는	돋보이/pvg+는/etm
선수입니다.	선수/ncn+이/jp+ㅂ니다/ef+./sf
예선	예선/ncn
3경기를	3/nnc+경기/ncn+를/jco
통해	통하/pvg+어/ecs
대표팀이	대표/ncn+팀/ncn+이/jcs
기록한	기록/ncpa+하/xsv+ㄴ/etm
7골	7/nnc+골/ncn
가운데	가운데/ncn
4	4/nnc
골을	골/ncn+을/jco
최선수가	최/nq+선수/ncn+가/jcs
터뜨렸고,	터뜨리/pvg+었/ep+고/ecc+,/sp
그가운데	그/mmd+가운데/ncn
2골은	2/nnc+골/ncn+은/jxc
그의	그/npp+의/jcm
머리에서	머리/ncn+에서/jca
나왔습니다.	나오/pvg+았/ep+습니다/ef+./sf
또	또/maj
일본전에서	일본/nq+전/xsn+에서/jca
서정원이	서정원/nq+이/jcs
넣은	넣/pvg+은/etm
동점골도	동점/ncn+골/ncn+도/jxc
최용수의	최용수/nq+의/jcm
헤딩	헤딩/ncn
어시스트에서	어시스트/ncn+에서/jca
기록됐습니다.	기록/ncpa+되/xsv+었/ep+습니다/ef+./sf
힘과	힘/ncn+과/jcj
스피드를	스피드/ncn+를/jco
바탕으로	바탕/ncn+으로/jca
한	하/pvg+ㄴ/etm
일	일/nnc
대일	대/nbn+일/nnc
개인돌파,	개인/ncn+돌파/ncn+,/sp
그리고	그리고/maj
상대골문앞에서	상대/ncn+골문/ncn+앞/ncn+에서/jca
위치선정과	위치/ncn+선정/ncn+과/jcj
골감각이	골/ncn+감각/ncn+이/jcs
뛰어난	뛰어나/paa+ㄴ/etm
것도	것/nbn+도/jxc
그만의	그/npp+만/jxc+의/jcm
장점입니다.	장점/ncn+이/jp+ㅂ니다/ef+./sf
따라서	따라서/maj
최용수는	최용수/nq+는/jxc
내일도	내일/ncn+도/jxc
아랍에미레이트의	아랍에미레이트/nq+의/jcm
모래바람을	모래/ncn+바람/ncn+을/jco
잠재울	잠/ncn+재우/pvg+ㄹ/etm
가장	가장/mag
믿음직한	믿/pvg+음직하/xsm+ㄴ/etm
카드로	카드/ncn+로/jca
기대를	기대/ncn+를/jco
모으고	모으/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
힘닿는	힘/ncn+닿/pvg+는/etm
데까지	데/nbn+까지/jxc
뛰겠습니다.	뛰/pvg+겠/ep+습니다/ef+./sf
그리고	그리고/maj
득점찬스가	득점/ncn+찬스/ncn+가/jcs
반드시	반드시/mag
저한테	저/npp+한테/jca
오기	오/pvg+기/etn
때문에	때문/nbn+에/jca
그때	그/mmd+때/ncn
집중해서	집중/ncpa+하/xsv+어서/ecs
꼭	꼭/mag
득점할	득점/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
하겠습니다.	하/pvg+겠/ep+습니다/ef+./sf
그러나	그러나/maj
아랍에미레이트도	아랍에미레이트/nq+도/jxc
최용수를	최용수/nq+를/jco
위험선수	위험/ncn+선수/ncn
제1호로	제/xp+1/nno+호/nbu+로/jca
지목하고	지목/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
만큼	만큼/nbn
최용수에게	최용수/nq+에게/jca
집중수비를	집중/ncn+수비/ncn+를/jco
펼	펴/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
예상됩니다.	예상/ncpa+되/xsv+ㅂ니다/ef+./sf
이	이/mmd
