<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0146.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0146.txt </filename>
<title>정보화사회와 글로벌도시  </title>
<author>원제무, 박용훈 공저  </author>
<date> 1993 </date>
<publisher>박영사  </publisher>
<kdc>331.541  </kdc>
<ddc> 303.483 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
국제환경	국제/ncn+환경/ncn
명으로	명/nbu+으로/jca
예상되며	예상/ncpa+되/xsv+며/ecc
지속적인	지속/ncn+적/xsn+이/jp+ㄴ/etm
상업화와	상업/ncn+화/xsn+와/jcj
도시화의	도시/ncn+화/xsn+의/jcm
진전으로	진전/ncn+으로/jca
인구의	인구/ncn+의/jcm
약	약/mma
85	85/nnc
%	%/su
이상이	이상/ncn+이/jcs
도시지역에	도시/ncn+지역/ncn+에/jca
거주하며	거주/ncpa+하/xsv+며/ecc
14	14/nnc
세	세/nbu
이하의	이하/ncn+의/jcm
인구비중이	인구/ncn+비중/ncn+이/jcs
감소하고	감소/ncpa+하/xsv+고/ecc
65	65/nnc
세	세/nbu
이상	이상/ncn
노령인구의	노령/ncn+인구/ncn+의/jcm
증가로	증가/ncn+로/jca
고령화	고령/ncn+화/xsn
사회가	사회/ncn+가/jcs
도래될	도래/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
국가의	국가/ncn+의/jcm
백년대계라고	백년/ncn+대계/ncn+라고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
교육측면에는	교육/ncn+측면/ncn+에/jca+는/jxc
현재의	현재/ncn+의/jcm
골간을	골간/ncn+을/jco
유지하며	유지/ncpa+하/xsv+며/ecc
새로운	새롭/paa+ㄴ/etm
교육제도와	교육/ncn+제도/ncn+와/jcj
정보화	정보/ncn+화/xsn
사회에	사회/ncn+에/jca
걸맞는	걸맞/paa+는/etm
교육풍토를	교육/ncpa+풍토/ncn+를/jco
정착시켜	정착/ncpa+시키/xsv+어/ecx
나갈	나가/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
훌륭한	훌륭/ncps+하/xsm+ㄴ/etm
인적	인/ncn+적/xsn
자원을	자원/ncn+을/jco
확보하는	확보/ncpa+하/xsv+는/etm
데	데/nbn
원동력이	원동/ncn+력/xsn+이/jcc
되어	되/pvg+어/ecx
왔던	오/px+았/ep+던/etm
국민들의	국민/ncn+들/xsn+의/jcm
교육열은	교육/ncn+열/ncn+은/jcs
좀처럼	좀처럼/mag
사라지지	사라지/pvg+지/ecx
않을	않/px+을/etm
전망이기	전망/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
앞으로도	앞/ncn+으로/jca+도/jxc
우리나라는	우리/npp+나라/ncn+는/jcs
높은	높/paa+은/etm
교육수준을	교육/ncn+수준/ncn+을/jco
유지하게	유지/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
정보통신의	정보/ncn+통신/ncn+의/jcm
발달과	발달/ncn+과/jcj
도시과밀	도시/ncn+과밀/ncn
문제로	문제/ncn+로/jca
인하여	인하/pvg+어/ecs
기업의	기업/ncn+의/jcm
지방분산	지방/ncn+분산/ncn
,	,/sp
지방자치제	지방/ncn+자치/ncn+제/xsn
실시	실시/ncn
,	,/sp
정부기능	정부/ncn+기능/ncn
지방이전	지방/ncn+이전/ncn
등을	등/nbn+을/jco
통한	통하/pvg+ㄴ/etm
분권화와	분권/ncn+화/xsn+와/jcj
지방화	지방/ncn+화/xsn
시대가	시대/ncn+가/jcs
도래하며	도래/ncpa+하/xsv+며/ecc
,	,/sp
행정	행정/ncn
경영	경영/ncn
개발	개발/ncn
등	등/nbn
모든	모든/mmd
면에서	면/ncn+에서/jca
지역주민의	지역/ncn+주민/ncn+의/jcm
참여가	참여/ncn+가/jcs
필연적으로	필연/ncn+적/xsn+으로/jca
증대되고	증대/ncpa+되/xsv+고/ecc
그	그/mmd
영향력이	영향/ncn+력/xsn+이/jcs
더욱	더욱/mag
증대될	증대/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예상된다	예상/ncpa+되/xsv+ㄴ다/ef
.	./sf
앞으로	앞/ncn+으로/jca
우리	우리/npp
사회는	사회/ncn+는/jxc
다양화된	다양/ncn+화/xsn+되/xsv+ㄴ/etm
사회로	사회/ncn+로/jca
발전될	발전/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
사회구성원들은	사회/ncn+구성/ncn+원/xsn+들/xsn+은/jcs
생활의	생활/ncn+의/jcm
질에	질/ncn+에/jca
대해	대하/pvg+어/ecx
깊은	깊/paa+은/etm
관심을	관심/ncn+을/jco
보일	보이/pvg+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
그	그/mmd
질에대한	질/ncn+에/jca+대하/pvg+ㄴ/etm
욕구를	욕구/ncn+를/jco
증대시킬	증대/ncpa+시키/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
또한	또한/maj
개성적이고	개성/ncn+적/xsn+이/jp+고/ecc
다양한	다양/ncps+하/xsm+ㄴ/etm
가치관이	가치/ncn+관/xsn+이/jcs
정립되어	정립/ncpa+되/xsv+어/ecx
지역별	지역/ncn+별/xsn
개인별로	개인/ncn+별/xsn+로/jca
다양한	다양/ncps+하/xsm+ㄴ/etm
문화와	문화/ncn+와/jcj
생활방식이	생활/ncn+방식/ncn+이/jcs
출현할	출현/ncpa+하/xsv+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
다양한	다양/ncps+하/xsm+ㄴ/etm
정보원에	정보/ncn+원/xsn+에/jca
대한	대하/pvg+ㄴ/etm
접근이	접근/ncn+이/jcs
가능하여	가능/ncpa+하/xsv+어/ecx
개개인이	개개/ncn+인/xsn+이/jcs
선택의	선택/ncn+의/jcm
자유와	자유/ncn+와/jcj
폭이	폭/ncn+이/jcs
확대될	확대/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
특히	특히/mag
국내에서는	국내/ncn+에서/jca+는/jxc
그	그/mmd
동안	동안/ncn
국제	국제/ncn
여건의	여건/ncn+의/jcm
변화	변화/ncn
,	,/sp
한반도	한반도/nq
주변국가	주변/ncn+국가/ncn
정세변화	정세/ncn+변화/ncn
,	,/sp
남북간	남북/ncn+간/nbn
관계변화	관계/ncn+변화/ncn
,	,/sp
문민정부의	문민/ncn+정부/ncn+의/jcm
출범과	출범/ncn+과/jcj
사회개혁	사회/ncn+개혁/ncpa
,	,/sp
북한	북한/nq
내	내/nbn
정치변화	정치/ncn+변화/ncn
등의	등/nbn+의/jcm
영향을	영향/ncn+을/jco
받게	받/pvg+게/ecs
되어	되/pvg+어/ecs
통일에	통일/ncn+에/jca
대한	대하/pvg+ㄴ/etm
국민의	국민/ncn+의/jcm
기대가	기대/ncn+가/jcs
차츰	차츰/mag
증폭되고	증폭/ncpa+되/xsv+고/ecc
가시화되어질	가시/ncn+화/xsn+되/xsv+어/ecx+지/px+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
지구촌의	지구/ncn+촌/xsn+의/jcm
인구	인구/ncn
21	21/nno
세기	세기/ncn
지구촌의	지구/ncn+촌/xsn+의/jcm
인구	인구/ncn
우리가	우리/npp+가/jcs
살고	살/pvg+고/ecx
있는	있/px+는/etm
지구촌의	지구/ncn+촌/xsn+의/jcm
표면적은	표면적/ncn+은/jcs
51,064	51,064/nnc
만	만/nnc
평방킬로미터다	평방/nbu+킬로/nbu+미터/nbu+다/ef
.	./sf
그러나	그러나/maj
이	이/mmd
중에서	중/nbn+에서/jca
36,106	36,106/nnc
만	만/nnc
평방킬로미터다	평방/nbu+킬로/nbu+미터/nbu+다/ef
.	./sf
그러나	그러나/maj
이	이/mmd
중에서	중/ncn+에서/jca
36,106	36,106/nnc
만	만/nnc
평방킬로미터는	평방/nbu+킬로/nbu+미터/nbu+는/jcs
바다로서	바다/ncn+로서/jca
지구촌의	지구/ncn+촌/xsn+의/jcm
70	70/nnc
%	%/su
를	를/jco
점유하고	점유/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
사람이	사람/ncn+이/jcs
살고	살/pvg+고/ecx
있지	있/px+지/ecx
않은	않/px+은/etm
남극대륙을	남극/nq+대륙/ncn+을/jco
포함하더라도	포함/ncpa+하/xsv+더라도/ecs
육지는	육지/ncn+는/jcs
지구	지구/ncn
표면적의	표면적/ncn+의/jcm
29.2	29.2/nnc
%	%/su
인	이/jp+ㄴ/etm
149	149/nnc
백만	백/nnc+만/nnc
km2에	km2/su+에/jca
불과한데	불과/ncps+하/xsm+ㄴ데/ecs
이	이/mmd
육지에는	육지/ncn+에는/jca
현재	현재/ncn
약	약/mma
54	54/nnc
억	억/nnc
명의	명/nbu+의/jcm
사람이	사람/ncn+이/jcs
살고	살/pvg+고/ecx
있다	있/px+다/ef
.	./sf
지구가	지구/ncn+가/jcs
생성된	생성/ncpa+되/xsv+ㄴ/etm
이래로	이래/ncn+로/jca
가장	가장/mag
많은	많/paa+은/etm
사람들이	사람/ncn+들/xsn+이/jcs
살고	살/pvg+고/ecx
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
지구촌에서는	지구/ncn+촌/xsn+에서/jca+는/jxc
지금	지금/ncn
이	이/mmd
순간에도	순간/ncn+에도/jca
매	매/mma
초당	초/ncn+당/xsn
7	7/nnc
명꼴로	명/nbu+꼴/xsn+로/jca
인구가	인구/ncn+가/jcs
늘어나고	늘/pvg+어/ecs+나/pvg+고/ecx
있다	있/px+다/ef
.	./sf
1	1/nnc
초에	초/nbu+에/jca
7	7/nnc
명이	명/nbu+이/jcs
늘어난다는	늘/pvg+어/ecs+나/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
하루에	하루/ncn+에/jca
25	25/nnc
만	만/nnc
명의	명/nbu+의/jcm
인구가	인구/ncn+가/jcs
늘어나는	늘/pvg+어/ecs+나/pvg+는/etm
것을	것/nbn+을/jco
의미하며	의미/ncpa+하/xsv+며/ecc
,	,/sp
궁극적으로	궁극/ncn+적/xsn+으로/jca
한달이면	한/nnc+달/nbu+이/jp+면/ecs
750	750/nnc
만	만/nnc
명	명/nbu
,	,/sp
그리고	그리고/maj
1	1/nnc
년이면	년/nbu+이/jp+면/ecs
9,700	9,700/nnc
만	만/nnc
명의	명/nbu+의/jcm
인구가	인구/ncn+가/jcs
증가하는	증가/ncpa+하/xsv+는/etm
규모다	규모/ncn+다/ef
.	./sf
17	17/nno
세기까지만	세기/ncn+까지/jca+만/jxc
하더라도	하/pvg+더라도/ecs
지구상의	지구/ncn+상/xsn+의/jcm
인구는	인구/ncn+는/jxc
약	약/mma
5	5/nnc
억	억/nbu
명	명/nbu
정도에	정도/ncn+에/jca
불과했다	불과/ncps+하/xsm+었/ep+다/ef
.	./sf
이	이/mmd
당시	당시/ncn
인구증가율은	인구/ncn+증가/ncn+율/xsn+은/jcs
0.3	0.3/nnc
%	%/su
수준으로서	수준/ncn+으로서/jca
인구가	인구/ncn+가/jcs
배로	배/ncn+로/jca
불어나는데	불/pvg+어/ecs+나/pvg+는데/ecs
약	약/mma
250	250/nnc
년이	년/nbu+이/jcs
걸렸다	걸리/pvg+었/ep+다/ef
.	./sf
1900	1900/nno
년경에	년/nbu+경/xsn+에/jca
이르러서	이르/pvg+어서/ecs
지구상의	지구/ncn+상/xsn+의/jcm
인구는	인구/ncn+는/jcs
16	16/nnc
억으로	억/nbu+으로/jca
늘어났는데	늘/pvg+어/ecs+나/pvg+았/ep+는데/ecs
이	이/mmd
인구가	인구/ncn+가/jcs
배로	배/ncn+로/jca
증가하는	증가/ncpa+하/xsv+는/etm
기간은	기간/ncn+은/jxc
140	140/nnc
년이	년/nbu+이/jcs
소요되었다	소요/ncpa+되/xsv+었/ep+다/ef
.	./sf
70	70/nnc
년이	년/nbu+이/jcs
지난	지나/pvg+ㄴ/etm
1970	1970/nno
년에는	년/nbu+에는/jca
인구수가	인구/ncn+수/ncn+가/jcs
36	36/nnc
억	억/nbu
명에	명/nbu+에/jca
육박했고	육박/ncpa+하/xsv+었/ep+고/ecc
인구증가율도	인구/ncn+증가/ncn+율/xsn+도/jxc
2.1	2.1/nnc
%로	%/su+로/jca
높아졌다	높/paa+아/ecx+지/px+었/ep+다/ef
.	./sf
이것은	이것/npd+은/jxc
단순한	단순/ncps+하/xsv+ㄴ/etm
증가가	증가/ncn+가/jcc
아니라	아니/paa+라/ecs
증가율	증가/ncn+율/xsn
자체가	자체/ncn+가/jcs
증가한	증가/ncpa+하/xsv+ㄴ/etm
것이기	것/nbn+이/jp+기/etn
때문에	때문/nbn+에/jca
지구촌의	지구/ncn+촌/xsn+의/jcm
인구문제를	인구/ncn+문제/ncn+를/jco
심각한	심각/ncps+하/xsm+ㄴ/etm
상황으로	상황/ncn+으로/jca
몰고	몰/pvg+고/ecs
갔다	가/pvg+았/ep+다/ef
.	./sf
이렇게	이렇/pad+게/ecs
인구증가율이	인구/ncn+증가/ncn+율/xsn+이/jcs
높아진	높아지/pvg+ㄴ/etm
것은	것/nbn+은/jxc
사망률이	사망/ncn+률/xsn+이/jcs
낮아진	낮아지/pvg+ㄴ/etm
것이	것/nbn+이/jcs
가장	가장/mag
큰	크/paa+ㄴ/etm
이유였다	이유/ncn+였/ep+다/ef
.	./sf
유엔을	유엔/nq+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
국제기구에서	국제/ncn+기구/ncn+에서/jca
인구문제에	인구/ncn+문제/ncn+에/jca
관심을	관심/ncn+을/jco
쏟으면서	쏟/pvg+으면서/ecs
출생률이	출생/ncn+률/xsn+이/jcs
다소	다소/mag
둔화되긴	둔화/ncpa+되/xsv+기/etn+ㄴ/etm
했지만	하/pvg+었/ep+지만/ecs
총량을	총량/ncn+을/jco
조절하는	조절/ncpa+하/xsv+는/etm
데	데/nbn
큰	크/paa+ㄴ/etm
역할을	역할/ncn+을/jco
하지는	하/pvg+지/ecx+는/etm
못했다	못하/px+었/ep+다/ef
.	./sf
현재의	현재/ncn+의/jcm
여건과	여건/ncn+과/jcj
증가추세를	증가/ncn+추세/ncn+를/jco
고려하여	고려/ncpa+하/xsv+어/ecs
장래의	장래/ncn+의/jcm
지구촌	지구/ncn+촌/xsn
인구를	인구/ncn+를/jco
전망해	전망/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
오는	오/pvg+는/etm
1998	1998/nno
년에	년/nbu+에/jca
세계인구는	세계/ncn+인구/ncn+는/jcs
60	60/nnc
억을	억/nbu+을/jco
돌파할	돌파/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
앞으로	앞/ncn+으로/jca
10	10/nnc
년	년/nbu
동안	동안/ncn
세계인구는	세계/ncn+인구/ncn+는/jxc
아프리카	아프리카/nq
,	,/sp
아시아	아시아/nq
,	,/sp
라틴아메리카	라틴아메리카/nq
등	등/nbn
저개발국가를	저/xp+개발/ncn+국가/ncn+를/jco
중심으로	중심/ncn+으로/jca
해마다	해/ncn+마다/jxc
9,700여	9,700/nnc+여/xsn
098958900	만/nnc
명이	명/nbu+이/jcs
증가하게	증가/ncpa+하/xsv+게/ecs
되는데	되/pvg+는데/ecs
그	그/mmd
중	중/nbn
절반	절반/ncn
이상이	이상/ncn+이/jcs
아프리카와	아프리카/nq+와/jcj
남아시아같은	남아시아/nq+같/paa+은/etm
저개발국가에서	저/xp+개발/ncn+국가/ncn+에서/jca
증가하게	증가/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
서기	서기/ncn
2000	2000/nno
년에는	년/nbu+에는/jca
세계인구는	세계/ncn+인구/ncn+는/jcs
116	116/nnc
억으로	억/nbu+으로/jca
증가하고	증가/ncpa+하/xsv+고/ecc
2150	2150/nno
년경에는	년/nbu+경/xsn+에는/jca
207	207/nnc
억을	억/nbu+을/jco
돌파할	돌파/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예상된다	예상/ncpa+되/xsv+ㄴ다/ef
.	./sf
인구문제를	인구/ncn+문제/ncn+를/jco
이대로	이/npd+대로/jca
방치할	방치/ncpa+하/xsv+ㄹ/etm
경우	경우/ncn
지구촌은	지구/ncn+촌/xsn+은/jxc
공멸하게	공멸/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
위기	위기/ncn
의식에	의식/ncn+에/jca
반대하는	반대/ncpa+하/xsv+는/etm
사람은	사람/ncn+은/jxc
이제	이제/mag
없다	없/paa+다/ef
.	./sf
늘어나는	늘/pvg+어/ecs+나/pvg+는/etm
인구가	인구/ncn+가/jcs
먹고	먹/pvg+고/ecs
살아야	살/pvg+아야/ecx
할	하/px+ㄹ/etm
식량도	식량/ncn+도/jxc
문제고	문제/ncn+고/jcj
사람들이	사람/ncn+들/xsn+이/jcs
생활하면서	생활/ncpa+하/xsv+면서/ecc
소비하는	소비/ncpa+하/xsv+는/etm
에너지도	에너지/ncn+도/jxc
문제가	문제/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
식량과	식량/ncn+과/jcj
에너지의	에너지/ncn+의/jcm
소비는	소비/ncn+는/jxc
곧	곧/maj
지구의	지구/ncn+의/jcm
환경을	환경/ncn+을/jco
악화시키는	악화/ncpa+시키/xsv+는/etm
것과	것/nbn+과/jct
같기	같/paa+기/etn
때문에	때문/nbn+에/jca
환경문제에	환경/ncn+문제/ncn+에/jca
대한	대하/pvg+ㄴ/etm
우려도	우려/ncn+도/jxc
크게	크/paa+게/ecx
나타나고	나타나/pvg+고/ecx
있다	있/paa+다/ef
.	./sf
이제	이제/mag
인구문제는	인구/ncn+문제/ncn+는/jxc
지구촌의	지구/ncn+촌/xsn+의/jcm
생존문제와	생존/ncn+문제/ncn+와/jct
직결되는	직결/ncpa+되/xsv+는/etm
것으로	것/nbn+으로/jca
인식되고	인식/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그	그/mmd
동안	동안/ncn
지구환경이	지구/ncn+환경/ncn+이/jcs
빠른	빠르/paa+ㄴ/etm
속도로	속도/ncn+로/jca
파괴되면서	파괴/ncpa+되/xsv+면서/ecc
지구멸망의	지구/ncn+멸망/ncn+의/jcm
위기감이	위기/ncn+감/xsn+이/jcs
점점	점점/mag
고조되어	고조/ncpa+되/xsv+어/ecx
왔는데	오/px+았/ep+는데/ecs
,	,/sp
이러한	이러하/pad+ㄴ/etm
지구의	지구/ncn+의/jcm
위기가	위기/ncn+가/jcs
바로	바로/mag
인구	인구/ncn
문제에서	문제/ncn+에서/jca
비롯되었다는	비롯/ncpa+되/xsv+었/ep+다/ef+는/etm
주장까지	주장/ncn+까지/jxc
제기되고	제기/ncpa+되/xsv+고/ecx
있다	있/paa+다/ef
.	./sf
물론	물론/mag
이러한	이러하/pad+ㄴ/etm
주장은	주장/ncn+은/jcs
인구문제의	인구/ncn+문제/ncn+의/jcm
중심에서	중심/ncn+에서/jca
벗어난	벗어나/pvg+ㄴ/etm
선진국에서	선진/ncn+국/xsn+에서/jca
나오고	나오/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그러나	그러나/maj
여기에	여기/npd+에/jca
대해서	대하/pvg+어서/ecs
저개발국가들은	저/xp+개발/ncn+국가/ncn+들/xsn+은/jxc
크게	크/paa+게/ecx
반발하고	반발/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
환경문제의	환경/ncn+문제/ncn+의/jcm
본질을	본질/ncn+을/jco
왜곡하고	왜곡/ncpa+하/xsv+고/ecx
있다는	있/px+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그들은	그/npp+들/xsn+은/jxc
오히려	오히려/mag
인구증가를	인구/ncn+증가/ncn+를/jco
환경파괴의	환경/ncn+파괴/ncn+의/jcm
주범으로	주범/ncn+으로/jca
보기보다는	보/pvg+기/etn+보다/jca+는/jxc
소비형태	소비/ncn+형태/ncn
,	,/sp
즉	즉/maj
현대문명생활을	현대/ncn+문명/ncn+생활/ncn+을/jco
환경파괴의	환경/ncn+파괴/ncn+의/jcm
주범으로	주범/ncn+으로/jca
보기보다는	보/pvg+기/etn+보다/jca+는/jxc
소비형태	소비/ncn+형태/ncn
,	,/sp
즉	즉/mag
현대문명생활을	현대/ncn+문명/ncn+생활/ncn+을/jco
환경파괴의	환경/ncn+파괴/ncn+의/jcm
주범으로	주범/ncn+으로/jca
보고	보/pvg+고/ecx
있다	있/px+다/ef
.	./sf
아무튼	아무튼/mag
인구의	인구/ncn+의/jcm
증가는	증가/ncn+는/jxc
지구의	지구/ncn+의/jcm
생활여건을	생활/ncn+여건/ncn+을/jco
어렵게	어렵/paa+게/ecs
만들	만들/pvg+ㄹ/etm
것이고	것/nbn+이/jp+고/ecc
문명생활을	문명/ncn+생활/ncn+을/jco
하는	하/pvg+는/etm
인구가	인구/ncn+가/jcs
늘어나면	늘/pvg+어/ecs+나/pvg+면/ecs
늘어날수록	늘/pvg+어/ecs+나/pvg+ㄹ수록/ecs
환경은	환경/ncn+은/jcs
급속도로	급속도/ncn+로/jca
파괴될	파괴/ncpa+되/xsv+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없다	없/paa+다/ef
.	./sf
대체로	대체로/mag
문명생활은	문명/ncn+생활/ncn+은/jcs
도시에서	도시/ncn+에서/jca
이루어진다	이루/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
UN	UN/f
통계를	통계/ncn+를/jco
보면	보/pvg+면/ecs
인구	인구/ncn
1,000	1,000/nnc
만	만/nnc
명이	명/nbu+이/jcs
넘는	넘/pvg+는/etm
11	11/nnc
개	개/nbu
도시	도시/ncn
가운데	가운데/ncn
7	7/nnc
개	개/nbu
도시가	도시/ncn+가/jcs
개발도상국에	개발/ncn+도상/ncn+국/xsn+에/jca
있다	있/paa+다/ef
.	./sf
개발도상국의	개발/ncn+도상/ncn+국/xsn+의/jcm
도시인구는	도시/ncn+인구/ncn+는/jxc
1950	1950/nno
년에	년/nbu+에/jca
2	2/nnc
억	억/nbu
8	8/nnc
천	천/nnc
5	5/nnc
백만	백만/nnc
명	명/nbu
,	,/sp
1970	1970/nno
년	년/nbu
6	6/nnc
억	억/nbu
7	7/nnc
천	천/nnc
5	5/nnc
백만	백만/nnc
명	명/nbu
,	,/sp
1990	1990/nno
년	년/nbu
13	13/nnc
억	억/nbu
8	8/nnc
천	천/nnc
4	4/nnc
백만	백만/nnc
명으로	명/nbu+으로/jca
증가했으며	증가/ncpa+하/xsv+었/ep+으며/ecs
,	,/sp
서기	서기/nnc
2000	2000/nno
년에는	년/nbu+에는/jca
전세계	전/mma+세계/ncn
24	24/nnc
개	개/nbu
도시	도시/ncn
중에서	중/nbn+에서/jca
개발도상국의	개발/ncn+도상/ncn+국/xsn+의/jcm
18	18/nnc
개	개/nbu
도시가	도시/ncn+가/jcs
1,000	1,000/nnc
만	만/nnc
명이	명/nbu+이/jcs
넘는	넘/pvg+는/etm
인구를	인구/ncn+를/jco
갖게	갖/pvg+게/ecs
될	되/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
전망되며	전망/ncpa+되/xsv+며/ecc
,	,/sp
2025	2025/nno
년에는	년/nbu+에는/jca
개도국의	개도/ncn+국/xsn+의/jcm
도시인구가	도시/ncn+인구/ncn+가/jcs
40	40/nnc
억	억/nbu
5	5/nnc
천만	천만/nnc
명으로	명/nbu+으로/jca
급팽창할	급팽창/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예측된다	예측/ncpa+되/xsv+ㄴ다/ef
.	./sf
결국	결국/mag
서기	서기/ncn
2025	2025/nno
년에는	년/nbu+에는/jca
개발도상국	개발/ncn+도상/ncn+국/xsn
전체인구의	전체/ncn+인구/ncn+의/jcm
56.9	56.9/nnc
%	%/su
가	가/jcs
도시에	도시/ncn+에/jca
거주하게	거주/ncpa+하/xsv+게/ecs
되며	되/pvg+며/ecc
,	,/sp
이런	이런/mmd
추세로	추세/ncn+로/jca
도시인구가	도시/ncn+인구/ncn+가/jcs
계속	계속/mag
증가한다면	증가/ncpa+하/xsv+ㄴ다면/ecs
주택	주택/ncn
,	,/sp
식량	식량/ncn
,	,/sp
교통문제	교통/ncn+문제/ncn
뿐만아니라	뿐/nbn+만/jxc+아니/paa+라/ecs
,	,/sp
대기오염	대기/ncn+오염/ncn
,	,/sp
상하수도	상하수도/ncn
,	,/sp
쓰레기문제	쓰레기/ncn+문제/ncn
등	등/nbn
도시	도시/ncn
환경문제가	환경/ncn+문제/ncn+가/jcs
심각한	심각/ncps+하/xsm+ㄴ/etm
사회문제로	사회/ncn+문제/ncn+로/jca
부각될	부각/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리고	그리고/maj
심각한	심각/ncps+하/xsm+ㄴ/etm
사회문제는	사회/ncn+문제/ncn+는/jxc
더	더/mag
나아가서	나아가/pvg+서/ecs
지구의	지구/ncn+의/jcm
환경문제와	환경/ncn+문제/ncn+와/jct
직결되는	직결/ncpa+되/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
인구폭발이	인구/ncn+폭발/ncn+이/jcs
가져올	가지/pvg+어/ecx+오/px+ㄹ/etm
재앙을	재앙/ncn+을/jco
걱정하고	걱정/ncpa+하/xsv+고/ecc
인류는	인류/ncn+는/jxc
범지구차원에서	범/xp+지구/ncn+차원/ncn+에서/jca
인구계획을	인구/ncn+계획/ncn+을/jco
추진해	추진/ncpa+하/xsv+어/ecs
왔다	오/pvg+았/ep+다/ef
.	./sf
국제연합을	국제연합/nq+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
인구문제와	인구/ncn+문제/ncn+와/jct
관련된	관련/ncpa+되/xsv+ㄴ/etm
국제기구들은	국제/ncn+기구/ncn+들/xsn+은/jcs
그	그/mmd
동안	동안/ncn
아시아	아시아/nq
,	,/sp
아프리카	아프리카/nq
등지에서	등지/ncn+에서/jca
산아제한을	산아/ncn+제한/ncn+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
인구줄이기	인구/ncn+줄이/ncn+기/etn
운동을	운동/ncn+을/jco
펴왔다	피/pvg+어/ecx+오/px+았/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
국제기구의	국제/ncn+기구/ncn+의/jcm
활동을	활동/ncn+을/jco
위해서는	위하/pvg+어서/ec+는/jxc
G7을	G7/f+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
선진국들의	선진/ncn+국/xsn+들/xsn+의/jcm
원조가	원조/ncn+가/jcs
절대적인	절대/ncn+적/xsn+이/jp+ㄴ/etm
힘을	힘/ncn+을/jco
발휘했다	발휘/ncpa+하/xsv+었/ep+다/ef
.	./sf
그러나	그러나/maj
선진국	선진/ncn+국/xsn
중에는	중/nbn+에/jca+는/jxc
아직	아직/mag
인구가	인구/ncn+가/jcs
줄어들	줄/pvg+어/ecx+들/px+ㄹ/etm
우려가	우려/ncn+가/jcs
없는	없/paa+는/etm
데도	데/nbn+도/jxc
불구하고	불구/ncps+하/xsm+고/ecc
자국	자국/ncn
내에서는	내/ncn+에서/jca+는/jxc
