<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_bac027.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_bac027.txt </filename>
<title> 한국의 토종 </title>
<author> 박남일 </author>
<date>  </date>
<publisher>  </publisher>
<kdc>380.911  </kdc>
<ddc>390.09519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한국의	nq[한국/nq+의/jcm
경우	경우/ncn
,	,/sp
동남아시아에서생산되는	동남아시아/nq+에서/jca+생산/ncpa+되/xsv+는/etm
안남미	안남미/ncn
(	(/sl
安南米	安南米/ncn
)	)/sr
는	는/jxc
우리가	우리/npp+가/jcs
먹어보면	먹/pvg+어/ecx+보/px+면/ecs
맛이	맛/ncn+이/jcs
좋지	좋/paa+지/ecx
않고	않/px+고/ecc
끈기가	끈기/ncn+가/jcs
없는반면	없/paa+는/etm+반면/maj
동남아	동남아/nq
지역	지역/ncn
사람들은	사람/ncn+들/xsn+은/jxc
오히려	오히려/mag
우리	우리/npp
쌀이	쌀/ncn+이/jcs
찐득거려서	찐득/mag+거리/xsv+어서/ecs
체질에	체질/ncn+에/jca
맞지	맞/pvg+지/ecx
않는다고한다	않/px+는다/ef+고/jcr+하/pvg+ㄴ다/ef
.	./sf
이것은	이것/npd+은/jxc
열대지방	열대/ncn+지방/ncn
사람들에겐	사람/ncn+들/xsn+에게/jca+는/jxc
안남미가	안남미/ncn+가/jcs
건강에	건강/ncn+에/jca
좋고	좋/paa+고/ecc
우리나라사람들에겐	우리/npp+나라/ncn+사람/ncn+들/xsn+에게/jca+는/jxc
우리	우리/npp
쌀이	쌀/ncn+이/jcs
맛이나	맛/ncn+이나/jcj
영양면에서	영양/ncn+면/ncn+에서/jca
좋다는	좋/paa+다/ef+는/etm
것을	것/nbn+을/jco
뜻한다	뜻/ncpa+하/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
토산물의	토산/ncn+물/xsn+의/jcm
종류에	종류/ncn+에/jca
따라서는	따르/pvg+아서/ecs++는/jxc
동일한	동일/ncps+하/xsm+ㄴ/etm
작물이라도	작물/ncn+이/jp+라도/jxc
우리	우리/npp
흙에서	흙/ncn+에서/jca
난	나/pvg+ㄴ/etm
것이외국산에	것/nbn+이/jcs+외국/ncn+산/xsn+에/jca
비해	비하/pvg+어/ecs
절대적으로	절대/ncn+적/xsn+으로/jca
품질이	품질/ncn+이/jcs
우수한	우수/ncps+하/xsm+ㄴ/etm
경우가	경우/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
흔한	흔하/paa+ㄴ/etm
예로	예/ncn+로/jca
쇠고기가	쇠고기/ncn+가/jcs
그렇고인삼이나	그렇/pad+고/ecc+인삼/ncn+이나/jcj
더덕	더덕/ncn
등도	등/nbn+도/jxc
마찬가지다	마찬가지/ncn+다/ef
.	./sf
고려인삼의	고려/nq+인삼/ncn+의/jcm
약효는	약효/ncn+는/jxc
객관적으로	객관/ncn+적/xsn+으로/jca
보아서도	보/pvg+아서/ecs+도/jxc
미국이나	미국/nq+이나/jcj
캐나다산보다	캐나다/nq+산/xsn+보다/jca
단연코	단연코/mag
그	그/mmd
질이우수하다는	질/ncn+이/jcs+우수/ncps+하/xsm+다/ef+는/etm
사실이	사실/ncn+이/jcs
오래	오래/mag
전에	전/ncn+에/jca
입증되었고	입증/ncpa+되/xsv+었/ep+고/ecc
,	,/sp
더덕도	더덕/ncn+도/jxc
중국산은	중국/nq+산/xsn+은/jxc
거의향기가	거의/mag+향기/ncn+가/jcs
없으며	없/paa+으며/ecc
육질이	육질/ncn+이/jcs
나무뿌리처럼	나무/ncn+뿌리/ncn+처럼/jca
질겨서	질기/paa+어서/ecs
상품으로서의	상품/ncn+으로서/jca+의/jcm
가치가	가치/ncn+가/jcs
거의	거의/mag
없다	없/paa+다/ef
.	./sf
고려인삼의	고려/nq+인삼/ncn+의/jcm
씨앗을	씨앗/ncn+을/jco
일본에	일본/nq+에/jca
가져다	가지/pvg+어다/ecs
심으면	심/pvg+으면/ecs
당근	당근/ncn
같은	같은/jxc
인삼이	인삼/ncn+이/jcs
만들어지고	만들/pvg+어/ecx+지/px+고/ecc
중국땅에	중국/nq+땅/ncn+에/jca
심으면	심/pvg+으면/ecs
엿가락	엿가락/ncn
같은	같은/jxc
인삼이	인삼/ncn+이/jcs
나온다	나오/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
미국이나	미국/nq+이나/jcj
캐나다에	캐나다/nq+에/jca
심으면무처럼	심/pvg+으면/ecs+무/ncn+처럼/jca
크기만	크/paa+기/etn+만/jxc
하고	하/pvg+고/ecc
맛없는	맛/ncn+없/paa+는/etm
인삼이	인삼/ncn+이/jcc
된다고	되/pvg+ㄴ다고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
사과의	사과/ncn+의/jcm
경우는	경우/ncn+는/jxc
어떤가	어떻/pad+ㄴ가/ef
.	./sf
원래	원래/mag
일본	일본/nq
아오모리현이	아오모리현/nq+이/jcs
본고장인	본고장/ncn+이/jp+ㄴ/etm
'	'/sl
후지	후지/nq
'	'/sl
사과의경우	사과/ncn+의/jcm+경우/ncn
본토보다도	본토/ncn+보다/jca+도/jxc
우리나라에	우리/npp+나라/ncn+에/jca
건너온	건너/pvg+어/ecs+오/pvg+ㄴ/etm
뒤로	뒤/ncn+로/jca
세계적으로	세계/ncn+적/xsn+으로/jca
맛좋은	맛/ncn+좋/paa+은/etm
사과가	사과/ncn+가/jcc
되었다	되/pvg+었/ep+다/ef
.	./sf
그리고	그리고/maj
마늘의	마늘/ncn+의/jcm
경우도	경우/ncn+도/jxc
일본이나	일본/nq+이나/jcj
중국에	중국/nq+에/jca
-	-/sd
15	15/nno
-	-/sd
심으면	심/pvg+으면/ecs
약효가	약효/ncn+가/jcs
현저하게	현저/ncps+하/xsm+게/ecs
떨어진다	떨어지/pvg+ㄴ다/ef
.	./sf
이와	이/npd+와/jct
같은	같/paa+은/etm
사실은	사실/ncn+은/jxc
우리의	우리/npp+의/jcm
토양에는어떤	토양/ncn+에/jca+는/jxc+어떤/mmd
특별한	특별/ncps+하/xsm+ㄴ/etm
성분이	성분/ncn+이/jcs
내재되어	내재/ncps+되/xsm+어/ecx
있음을	있/px+음/etn+을/jco
말해주고	말/ncpa+하/xsv+어/ecx+주/px+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
어떤	어떤/mmd
사람들은이러한	사람/ncn+들/xsn+은/jxc+이러하/pad+ㄴ/etm
성분을	성분/ncn+을/jco
'	'/sl
희토류	희토/ncn+류/xsn
(	(/sl
稀土類	稀土類/ncn
)'	)/sr+'/sl
라고	라고/jcr
설명한다	설명/ncpa+하/xsv+ㄴ다/ef
.	./sf
이것은	이것/npd+은/jxc
과학적으로는	과학/ncn+적/xsn+으로/jca+는/jxc
아직설명하기	아직/mag+설명/ncpa+하/xsv+기/etn
어려운	어렵/paa+ㄴ/etm
희귀한	희귀/ncps+하/xsm+ㄴ/etm
화합물의	화합/ncn+물/xsn+의/jcm
원소로	원소/ncn+로/jca
추정할	추정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다고	있/paa+다고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
역학의원리에	역학/ncn+의/jcm+원리/ncn+에/jca
입각하여	입각/ncpa+하/xsv+어/ecs
그	그/mmd
원인을	원인/ncn+을/jco
분석하는	분석/ncpa+하/xsv+는/etm
사람들도	사람/ncn+들/xsn+도/jxc
있다	있/paa+다/ef
.	./sf
이들의	이/npd+들/xsn+의/jcm
주장에	주장/ncn+에/jca
의하면한반도는	의하/pvg+면/ecs+한반도/ncn+는/jxc
지구의	지구/ncn+의/jcm
두뇌에	두뇌/ncn+에/jca
해당되는	해당/ncpa+되/xsv+는/etm
곳이라	곳/ncn+이라/jca
한다	하/pvg+ㄴ다/ef
.	./sf
그래서	그래서/maj
다른	다르/paa+ㄴ/etm
나라에서는	나라/ncn+에서/jca+는/jxc
보기	보/pvg+기/etn
힘든감로수	힘/ncn+들/pvg+ㄴ/etm+감로수/ncn
(	(/sl
甘露水	甘露水/ncn
)	)/sr
라는	라/ef+는/etm
기운이	기운/ncn+이/jcs
전국에	전국/ncn+에/jca
흐르고	흐르/pvg+고/ecx
있으며	있/px+으며/ecc
이것이	이것/npd+이/jcs
곡식이나	곡식/ncn+이나/jcj
과일	과일/ncn
,	,/sp
채소	채소/ncn
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
물고기까지도	물고기/ncn+까지/jxc+도/jxc
맛이	맛/ncn+이/jcs
들게	들/pvg+게/ecx
해준다고	하/px+어/ecx+주/px+ㄴ다고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
물론	물론/mag
이러한	이러하/pad+ㄴ/etm
주장들이	주장/ncn+들/xsn+이/jcs
과학적으로	과학/ncn+적/xsn+으로/jca
입증된	입증/ncpa+되/xsv+ㄴ/etm
것은	것/nbn+은/jxc
아니기	아니/paa+기/etn
때문에	때문/nbn+에/jca
정설로	정설/ncn+로/jca
받아들이기는	받/pvg+아/ecs+들이/pvg+기/etn+는/jxc
곤란하다	곤란/ncps+하/xsm+다/ef
.	./sf
하지만	하지만/maj
앞에서열거한	앞/ncn+에서/jca+열거/ncpa+하/xsv+ㄴ/etm
여러	여러/mma
가지	가지/nbu
사례들로	사례/ncn+들/xsn+로/jca
미루어	미루/pvg+어/ecs
우리	우리/npp
풍토에는	풍토/ncn+에/jca+는/jxc
뭔가	무어/npd+ㄴ가/etm
특별한	특별/ncps+하/xsm+ㄴ/etm
성분이	성분/ncn+이/jcs
내재해있다는	내재/ncps+하/xsm+어/ecx+있/px+다/ef+는/etm
사실을	사실/ncn+을/jco
어느	어느/mmd
누구도	누구/npp+도/jxc
부인하지	부인/ncpa+하/xsv+지/ecx
못할	못하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
지구	지구/ncn
환경은	환경/ncn+은/jxc
나날이오염의	나날/ncn+이/xsa+오염/ncn+의/jcm
도를	도/ncn+를/jco
더해가고	더하/pvg+어/ecx+가/px+고/ecx
있으며	있/px+으며/ecc
거기에서	거기/npd+에서/jca
우리	우리/npp
토양과	토양/ncn+과/jcj
기후도	기후/ncn+도/jxc
예외일	예외/ncn+이/jp+ㄹ/etm
수는	수/nbn+는/jxc
없다	없/paa+다/ef
.	./sf
또한	또한/maj
물밀듯이	물/ncn+밀/pvg+듯이/ecs
들어오는	들어오/pvg+는/etm
외국	외국/ncn
농산물이나	농산/ncn+물/xsn+이나/jcj
종자도	종자/ncn+도/jxc
우리를	우리/npp+를/jxc
위기에	위기/ncn+에/jca
빠지게	빠지/pvg+게/ecx
할	하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그것들로부터	그것/npd+들/xsn+로/jca+부터/jxc
풍토를	풍토/ncn+를/jco
지키고	지키/pvg+고/ecc
토종을	토종/ncn+을/jco
지키는	지키/pvg+는/etm
일은	일/ncn+은/jxc
우리의	우리/npp+의/jcm
생활터전을	생활/ncn+터전/ncn+을/jco
지키는일만큼이나	지키/pvg+는/etm+일/ncn+만큼/jxc+이나/jxc
중요하고	중요/ncps+하/xsm+고/ecc
뜻있는	뜻/ncn+있/paa+는/etm
일이	일/ncn+이/jcc
아닐	아니/paa+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
토종이란	토종/ncn+이/jp+란/jxc
무엇인가	무엇/npd+이/jp+ㄴ가/ef
?	?/sf
한	한/nnc
생명이	생명/ncn+이/jcs
살아갈	살/pvg+아/ecx+가/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
기초	기초/ncn
조건으로	조건/ncn+으로/jca
바람과	바람/ncn+과/jcj
흙을	흙/ncn+을/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
우리나라는	우리/npp+나라/ncn+는/jxc
우리나라만의	우리/npp+나라/ncn+만/jxc+의/jcm
독특한	독특/ncps+하/xsm+ㄴ/etm
풍토가	풍토/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
그리고	그리고/maj
우리	우리/npp
풍토에	풍토/ncn+에/jca
알맞는	알맞/paa+는/etm
생명의종자들이	생명/ncn+의/jcm+종자/ncn+들/xsn+이/jcs
이	이/mmd
땅에서	땅/ncn+에서/jca
자라왔다	자라/pvg+아/ecx+오/px+았/ep+다/ef
.	./sf
풀	풀/ncn
한	한/nnc
포기	포기/nbu
,	,/sp
나무	나무/ncn
한	한/nnc
그루	그루/nbu
,	,/sp
아무리	아무리/mag
하찮은생명일지라도	하찮/paa+은/etm+생명/ncn+이/jp+ㄹ지라도/ecs
그것이	그것/npd+이/jcs
이	이/mmd
땅에서	땅/ncn+에서/jca
숨	숨/ncn
쉬고	쉬/pvg+고/ecc
성장해온	성장/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
역사는	역사/ncn+는/jxc
이미	이미/mag
수만	수만/nnc
년이	년/nbu+이/jcs
넘었다	넘/pvg+었/ep+다/ef
.	./sf
바람과	바람/ncn+과/jcj
흙과	흙/ncn+과/jcj
종자	종자/ncn
,	,/sp
이것은	이것/npd+은/jxc
우리	우리/npp
삶의	삶/ncn+의/jcm
조건이고	조건/ncn+이/jp+고/ecc
삶의	삶/ncn+의/jcm
뿌리다	뿌리/ncn+다/ef
.	./sf
그들은	그/npp+들/xsn+은/jxc
우리	우리/npp
선조들의	선조/ncn+들/xsn+의/jcm
오랜	오래/paa+ㄴ/etm
친구였고	친구/ncn+이/jp+었/ep+고/ecc
충실한	충실/ncps+하/xsm+ㄴ/etm
일꾼이었으며	일꾼/ncn+이/jp+었/ep+으며/ecc
또한	또한/maj
오랜식량이었다	오래/paa+ㄴ/etm+식량/ncn+이/jp+었/ep+다/ef
.	./sf
그리고	그리고/maj
그들은	그/npp+들/xsn+은/jxc
우리의	우리/npp+의/jcm
역사이고	역사/ncn+이/jp+고/ecc
문화이기도	문화/ncn+이/jp+기/etn+도/jxc
하다	하/pvg+다/ef
.	./sf
토종이란	토종/ncn+이/jp+란/jxc
우리	우리/npp
조상들의	조상/ncn+들/xsn+의/jcm
생활	생활/ncn
문화	문화/ncn
속에서	속/ncn+에서/jca
오랜	오래/paa+ㄴ/etm
세월	세월/ncn
동안	동안/nbn
우리나라의	우리/npp+나라/ncn+의/jcm
기후	기후/ncn
,	,/sp
풍토에	풍토/ncn+에/jca
알맞게	알맞/paa+게/ecs
적응하면서	적응/ncpa+하/xsv+면서/ecs
외래	외래/ncn
종자와	종자/ncn+와/jct
섞이지	섞이/pvg+지/ecx
않은	않/px+은/etm
순수한	순수/ncps+하/xsm+ㄴ/etm
우리나라	우리/npp+나라/ncn
재래종을	재래/ncn+종/xsn+을/jco
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
토종은	토종/ncn+은/jxc
우리만이	우리/npp+만/jxc+이/jcs
가진	가지/pvg+ㄴ/etm
살아있는재산	살/pvg+아/ecx+있/px+는/etm+재산/ncn
,	,/sp
우리가	우리/npp+가/jcs
지키고	지키/pvg+고/ecc
가꾸어야	가꾸/pvg+어야/ecs
할	하/pvg+ㄹ/etm
우리의	우리/npp+의/jcm
보물인	보물/ncn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러면	그러면/maj
우리	우리/npp
식생활의	식생활/ncn+의/jcm
원천이어야	원천/ncn+이/jp+어야/ecs
할	하/pvg+ㄹ/etm
우리	우리/npp
토산물은	토산/ncn+물/xsn+은/jxc
무한정	무/xp+한정/ncn
널려있는	널리/pvg+어/ecx+있/px+는/etm
것인가	것/nbn+이/jp+ㄴ가/ef
?	?/sf
결코	결코/mag
그렇지	그렇/pad+지/ecx
않다	않/px+다/ef
.	./sf
외국	외국/ncn
농산물의	농산/ncn+물/xsn+의/jcm
직접적인	직접/ncn+적/xsn+이/jp+ㄴ/etm
침투뿐만	침투/ncn+뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
종자의	종자/ncn+의/jcm
침투또한	침투/ncn+또한/maj
심각한	심각/ncps+하/xsm+ㄴ/etm
현상이다	현상/ncn+이/jp+다/ef
.	./sf
한	한/nnc
고장에서	고장/ncn+에서/jca
하나의	하나/nnc+의/jcm
토종이	토종/ncn+이/jcs
만들어지기까지는	만들/pvg+어/ecx+지/px+기/etn+까지/jxc+는/jxc
숱하게오랜	숱하/paa+게/ecs+오래/paa+ㄴ/etm
세월을	세월/ncn+을/jco
필요로	필요/ncn+로/jca
한다	하/pvg+ㄴ다/ef
.	./sf
갖은	갖은/mma
신고를	신고/ncn+를/jco
거치면서	거치/pvg+면서/ecs
그	그/mmd
토양의	토양/ncn+의/jcm
성질을	성질/ncn+을/jco
닮아가는것이다	닮/paa+아/ecx+가/px+는/etm+것/nbn+이/jp+다/ef
.	./sf
그런데	그런데/maj
우리의	우리/npp+의/jcm
금수강산은	금수강산/ncn+은/jxc
수천	수천/nnc
년전이나	년/nbu+전/ncn+이나/jcj
지금이나	지금/ncn+이나/jcj
크게	크/paa+게/ecs
변함이	변하/pvg+ㅁ/etn+이/jcs
없건만	없/paa+건만/ecs
지금	지금/ncn
이땅에는	이/mmd+땅/ncn+에/jca+는/jxc
고유한	고유/ncps+하/xsm+ㄴ/etm
생명의	생명/ncn+의/jcm
종자들이하나	종자/ncn+들/xsn+이/jcs+하나/nnc
둘씩	둘/nnc+씩/xsn
사라져가고	사라지/pvg+어/ecx+가/px+고/ecx
있다	있/px+다/ef
.	./sf
대신	대신/nbn
우리	우리/npp
풍토에는	풍토/ncn+에/jca+는/jxc
맞지도	맞/pvg+지/ecx+도/jxc
않은	않/px+은/etm
생면부지의	생면부지/ncn+의/jcm
낯선	낯/ncn+설/paa+ㄴ/etm
종자들이	종자/ncn+들/xsn+이/jcs
마치	마치/mag
우리것인	우리/npp+것/nbn+이/jp+ㄴ/etm
양	양/nbn
,	,/sp
마구잡이로번식해가고	마구잡이/ncn+로/jca+번식/ncpa+하/xsv+어/ecx+가/px+고
마구잡이로번식해가고	/ecx
있다	있/px+다/ef
.	./sf
지금	지금/ncn
선진	선진/ncn
각국에서는	각국/ncn+에서/jca+는/jxc
이른바종자전쟁이	이른바/mag+종자/ncn+전쟁/ncn+이/jcs
벌어지고	벌어지/pvg+고/ecx
있다	있/px+다/ef
.	./sf
자기	자기/npp
땅에서	땅/ncn+에서/jca
난	나/pvg+ㄴ/etm
순수한	순수/ncps+하/xsm+ㄴ/etm
종자를	종자/ncn+를/jco
유전학적으로	유전/ncn+학/xsn+적/xsn+으로/jca
연구하고보전하려는	연구/ncpa+하/xsv+고/ecc+보전/ncpa+하/xsv+려는/etm
몸부림은	몸부림/ncn+은/jxc
파괴되어	파괴/ncpa+되/xsv+어/ecx
가는	가/px+는/etm
지구	지구/ncn
환경과	환경/ncn+과/jcj
다른생태계를	다르/paa+ㄴ/etm+생태/ncn+계/xsn+를/jco
복원하려는	복원/ncpa+하/xsv+려는/etm
치열한노력인	치열/ncps+하/xsm+ㄴ/etm+노력/ncn+이/jp+ㄴ/etm
동시에	동시/ncn+에/jca
자기것을	자기/npp+것/nbn+을/jco
지키려는	지키/pvg+려는/etm
안간힘인	안간힘/ncn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
우리는	우리/npp+는/jxc
사라져가는	사라지/pvg+어/ecx+가/px+는/etm
토종을	토종/ncn+을/jco
발굴하고	발굴/ncpa+하/xsv+고/ecc
지켜내야	지키/pvg+어/ecx+내/px+야/ecs
하는	하/pvg+는/etm
의미를	의미/ncn+를/jco
다음과같이	다음/ncn+과/jct+같이/jxc
정리할	정리/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
첫째	첫째/nno
,	,/sp
신토불이	신토불이/ncn
,	,/sp
향토식이	향토식/ncn+이/jcs
건강의지름길이다	건강/ncn+의/jcm+지름길/ncn+이/jp+다/ef
.	./sf
둘째	둘째/nno
,	,/sp
토종을	토종/ncn+을/jco
지키는	지키/pvg+는/etm
노력은	노력/ncn+은/jxc
우리의환경을	우리/npp+의/jcm+환경/ncn+을/jco
지키는	지키/pvg+는/etm
노력과	노력/ncn+과/jct
일치한다	일치/ncpa+하/xsv+ㄴ다/ef
.	./sf
셋째	셋째/nno
,	,/sp
종자	종자/ncn
그	그/mmd
자체가	자체/ncn+가/jcs
우리의	우리/npp+의/jcm
문화유산이요	문화/ncn+유산/ncn+이/jp+요/ecc
,	,/sp
민족적	민족/ncn+적/xsn
힘이	힘/ncn+이/jcc
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
넷째	넷째/nno
,	,/sp
토종을	토종/ncn+을/jco
가꾸고	가꾸/pvg+고/ecc
지키는	지키/pvg+는/etm
것은	것/nbn+은/jxc
문화적	문화/ncn+적/xsn
경제적	경제/ncn+적/xsn
종속으로부터	종속/ncn+으로/jca+부터/jxc
우리의자율성을	우리/npp+의/jcm+자율/ncn+성/xsn+을/jco
지켜내는	지키/pvg+어/ecx+내/px+는/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
점점	점점/mag
복잡해져가는	복잡/ncps+하/xsm+어/ecx+지/px+어/ecx+가/px+는/etm
국제화	국제/ncn+화/xsn
시대에	시대/ncn+에/jca
우리가	우리/npp+가/jcs
정녕	정녕/mag
사활을	사활/ncn+을/jco
걸고	걸/pvg+고/ecc
지켜야	지키/pvg+어야/ecs
할	하/pvg+ㄹ/etm
것이많겠지만	것/nbn+이/jcs+많/paa+겠/ep+지만/ecs
그	그/mmd
중에서도	중/nbn+에서/jca+도/jxc
우리의	우리/npp+의/jcm
흙과	흙/ncn+과/jcj
,	,/sp
종자를	종자/ncn+를/jco
지켜내는	지키/pvg+어/ecx+내/px+는/etm
일은	일/ncn+은/jxc
이	이/mmd
땅에	땅/ncn+에/jca
발붙이고사는	발/ncn+붙이/pvg+고/ecs+살/pvg+는/etm
인간을	인간/ncn+을/jco
지켜내는	지키/pvg+어/ecx+내/px+는/etm
일이라	일/ncn+이/jp+라/ef
할	하/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
1572    <       </sl
곡류	곡류/ncn
>	>/sr
1	1/nno
.	./sf
쌀	쌀/ncn
우리	우리/npp
민족의	민족/ncn+의/jcm
생명원	생명/ncn+원/xsn
(	(/sl
生命原	生命原/ncn
)	)/sr
쌀은	쌀/ncn+은/jxc
아무리	아무리/mag
먹어도	먹/pvg+어도/ecs
질리지	질리/pvg+지/ecx
않는	않/px+는/etm
특유의	특유/ncn+의/jcm
맛	맛/ncn
때문에	때문/nbn+에/jca
아득한	아득/ncps+하/xsm+ㄴ/etm
옛날부터	옛날/ncn+부터/jxc
우리	우리/npp
민족의주식	민족/ncn+의/jcm+주식/ncn
(	(/sl
主食	主食/ncn
)	)/sr
으로	으로/jca
고락을	고락/ncn+을/jco
같이	같이/mag
해왔다	하/pvg+어/ecx+오/px+았/ep+다/ef
.	./sf
쌀의	쌀/ncn+의/jcm
원산지는	원산/ncn+지/xsn+는/jxc
인도	인도/nq
동북부아삼	동북부/ncn+아삼/nq
(	(/sl
Assam	Assam/f
)	)/sr
지방에서	지방/ncn+에서/jca
중국	중국/nq
윈난	윈난/nq
(	(/sl
雲南	雲南/ncn
)	)/sr
지방에	지방/ncn+에/jca
걸친	걸치/pvg+ㄴ/etm
넓고	넓/paa+고/ecc
긴평야지대로	길/paa+ㄴ/etm+평야/ncn+지대/ncn+로/jca
추정된다	추정/ncpa+되/xsv+ㄴ다/ef
.	./sf
이	이/mmd
지대에서	지대/ncn+에서/jca
출발하여	출발/ncpa+하/xsv+어/ecs
아시아	아시아/nq
각	각/mma
지역에	지역/ncn+에/jca
방사선모양으로	방사선/ncn+모양/ncn+으로/jca
쌀이	쌀/ncn+이/jcs
전파된	전파/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
그	그/mmd
중에	중/nbn+에/jca
한	한/nnc
갈래가	갈래/ncn+가/jcs
양쯔강	양쯔강/nq
하류로	하류/ncn+로/jca
뻗어나가	뻗/pvg+어/ecs+나가/pvg+아/ecs
다시	다시/mag
북으로	북/ncn+으로/jca
전파되고	전파/ncpa+되/xsv+고/ecc
황하	황하/nq
유역으로퍼졌으며	유역/ncn+으로/jca+퍼지/pvg+었/ep+으며/ecc
또다시	또다시/mag
동쪽으로	동쪽/ncn+으로/jca
전래되어	전래/ncpa+되/xsv+어/ecs
우리나라에	우리/npp+나라/ncn+에/jca
들어왔다	들어오/pvg+았/ep+다/ef
.	./sf
일반적으로	일반/ncn+적/xsn+으로/jca
우리	우리/npp
쌀의	쌀/ncn+의/jcm
모양은	모양/ncn+은/jxc
뭉특하거나	뭉특/ncps+하/xsm+거나/ecc
타원형이다	타원/ncn+형/xsn+이/jp+다/ef
.	./sf
그리고	그리고/maj
품종에따라서는	품종/ncn+에/jca+따르/pvg+아서/ecs+는/jxc
젖색깔	젖/ncn+색깔/ncn
(	(/sl
백복	백복/ncn
)	)/sr
이	이/jcs
난다	나/pvg+ㄴ다/ef
.	./sf
반면에	반면/maj+에/jca
동남아시아	동남아시아/nq
등지에서	등지/ncn+에서/jca
재배되는	재배/ncpa+되/xsv+는/etm
남방형쌀은	남방/ncn+형/xsn+쌀/ncn+은/jxc
긴	길/paa+ㄴ/etm
직사각형	직사각형/ncn
모양으로	모양/ncn+으로/jca
각을	각/ncn+을/jco
이루고	이루/pvg+고/ecc
씨눈	씨눈/ncn
제거	제거/ncn
부위가	부위/ncn+가/jcs
뾰족하다	뾰족/ncps+하/xsm+다/ef
.	./sf
또한	또한/maj
밥을지어놓았을	밥/ncn+을/jco+짓/pvg+어/ecx+놓/px+았/ep+을/etm
때	때/ncn
끈기가	끈기/ncn+가/jcs
부족하고	부족/ncps+하/xsm+고/ecc
비타민	비타민/ncn
함유량이	함유/ncn+량/ncn+이/jcs
우리	우리/npp
쌀에	쌀/ncn+에/jca
비해	비하/pvg+어/ecs
떨어진다	떨어지/pvg+ㄴ다/ef
.	./sf
외국쌀	외국/ncn+쌀/ncn
중에서	중/nbn+에서/jca
북방형은	북방/ncn+형/xsn+은/jxc
필요	필요/ncn
이상으로	이상/ncn+으로/jca
투명하고	투명/ncps+하/xsm+고/ecc
윤기가	윤기/ncn+가/jcs
있으며	있/paa+으며/ecc
모양이	모양/ncn+이/jcs
둥글다	둥글/paa+다/ef
.	./sf
대체로	대체로/mag
쌀앙은	쌀앙/ncn+은/jxc
굵은	굵/paa+은/etm
편이며	편/nbn+이/jp+며/ecc
밥맛이	밥맛/ncn+이/jcs
좋지	좋/paa+지/ecx
않다	않/px+다/ef
.	./sf
우리나라는	우리/npp+나라/ncn+는/jxc
고대	고대/ncn
삼한시대부터	삼한/nq+시대/ncn+부터/jxc
쌀을	쌀/ncn+을/jco
식량으로	식량/ncn+으로/jca
이용해왔으나	이용/ncpa+하/xsv+어/ecx+오/px+았/ep+으나/ecs
실제	실제/ncn
벼농사를	벼/ncn+농사/ncn+를/jco
지은	짓/pvg+ㄴ/etm
것은	것/nbn+은/jxc
백제	백제/nq
초기라고	초기/ncn+라고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
1977	1977/nno
년에경기도	년/nbu+에/jca+경기도/nq
여주군	여주군/nq
흔암리에서	흔암리/nq+에서/jca
발굴된	발굴/ncpa+되/xsv+ㄴ/etm
탄화미	탄화미/ncn
(	(/sl
