<tdmsfile>
<tdmsfile>
Han2.hwp
전대협과	전대협/nq+과/jcj
중-미	중/nq+-/sd+미/nq
정상회담에	정상/ncn+회담/ncn+에/jca
관한	관하/pvg+ㄴ/etm
특집기사에서,	특집/ncn+기사/ncn+에서/jca+,/sp
양쪽	양쪽/ncn
해군	해군/ncn
함정들이	함정/ncn+들/xsn+이/jcs
공해상에서	공해/ncn+상/xsn+에서/jca
본의	본의/ncn
아니게	아니/paa+게/ecs
서로	서로/mag
부딪치거나	부딪치/pvg+거나/ecc
심지어는	심지어/mag+는/jxc
충돌까지	충돌/ncn+까지/jxc
할	하/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
가능성이	가능/ncn+성/xsn+이/jcs
증대됨에	증대/ncpa+되/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
두나라	두/nnc+나라/ncn
군	군/ncn
당국이	당국/ncn+이/jcs
이	이/mmd
문제를	문제/ncn+를/jco
현재	현재/ncn
논의	논의/ncn
중이라면서	중/nbn+이/jp+라/ef+면서/ecs
이같이	이/npd+같이/jxc
보도했다.	보도/ncpa+하/xsv+었/ep+다/ef+./sf
이	이/mmd
신문은	신문/ncn+은/jxc
중국의	중국/nq+의/jcm
종합국력	종합/ncn+국력/ncn
증강에	증강/ncn+에/jca
발맞춰	발/ncn+맞추/pvg+어/ecs
중국해군이	중국/nq+해군/ncn+이/jcs
연근해방어에서	연근해/ncn+방어/ncn+에서/jca
원양방어로	원양/ncn+방어/ncn+로/jca
나가고	나가/pvg+고/ecx
있다면서	있/px+다/ef+면서/ecs
이로	이/npd+로/jca
인해	인하/pvg+어/ecs
앞으로	앞/ncn+으로/jca
양국	양국/ncn
해군의	해군/ncn+의/jcm
공해상	공해/ncn+상/xsn
조우기회가	조우/ncn+기회/ncn+가/jcs
늘어날	늘/pvg+어/ecx+나/px+ㄹ/etm
것으로	것/nbn+으로/jca
보이나	보이/pvg+나/ecs
서로의	서로/ncn+의/jcm
해상활동	해상/ncn+활동/ncn
과정과	과정/ncn+과/jcj
순서가	순서/ncn+가/jcs
다르고	다르/paa+고/ecc
통신연락	통신/ncn+연락/ncn
수단이	수단/ncn+이/jcs
없어	없/paa+어/ecs
뜻밖의	뜻밖/ncn+의/jcm
사고발생	사고/ncn+발생/ncn
가능성이	가능/ncn+성/xsn+이/jcs
커지고	커지/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
지적했다.	지적/ncpa+하/xsv+었/ep+다/ef+./sf
중국의	중국/nq+의/jcm
젊은	젊/paa+은/etm
두뇌를	두뇌/ncn+를/jco
확보하기	확보/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
외국	외국/ncn
대기업들의	대/xp+기업/ncn+들/xsn+의/jcm
경쟁이	경쟁/ncn+이/jcs
치열하다.	치열/ncps+하/xsm+다/ef+./sf
외국의	외국/ncn+의/jcm
유명	유명/ncn
대기업들은	대/xp+기업/ncn+들/xsn+은/jxc
베이징대	베이징대/nq
등	등/nbn
명문	명문/ncn
대학에	대학/ncn+에/jca
거액의	거액/ncn+의/jcm
각종	각종/ncn
장학금을	장학/ncn+금/xsn+을/jco
기부해	기부/ncpa+하/xsv+어/ecs
인재들을	인재/ncn+들/xsn+을/jco
선점하고	선점/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
미국의	미국/nq+의/jcm
모토롤라,	모토롤라/nq+,/sp
독일의	독일/nq+의/jcm
벤츠,	벤츠/nq+,/sp
일본의	일본/nq+의/jcm
소니,	소니/nq+,/sp
네델란드의	네델란드/nq+의/jcm
필립스,	필립스/nq+,/sp
한국의	한국/nq+의/jcm
삼성과	삼성/nq+과/jcj
대우	대우/nq
등	등/nbn
대기업들은	대/xp+기업/ncn+들/xsn+은/jxc
지난	지나/pvg+ㄴ/etm
95년부터	95/nno+년/nbu+부터/jxc
베이징대에만	베이징대/nq+에/jca+만/jxc
300만위안(약	300만/nnc+위안/nbu+(/sl+약/mma
3억원)	3억/nnc+원/nbu+)/sr
이상의	이상/ncn+의/jcm
장학금을	장학/ncn+금/xsn+을/jco
지급하고	지급/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
이	이/mmd
대학의	대학/ncn+의/jcm
외부	외부/ncn
장학금은	장학/ncn+금/xsn+은/jxc
모두	모두/mag
46개에	46/nnc+개/nbu+에/jca
달한다.	달하/pvg+ㄴ다/ef+./sf
필립스는	필립스/nq+는/jxc
한	한/nnc
학기에	학기/ncn+에/jca
1인당	1/nnc+인/nbu+당/xsn
4000위안(약	4000/nnc+위안/nbu+(/sl+약/mma
40만원),	40만/nnc+원/nbu+)/sr+,/sp
벤츠는	벤츠/nq+는/jxc
3000위안을	3000/nnc+위안/nbu+을/jco
지급하고	지급/ncpa+하/xsv+고/ecx
있는데,	있/px+는데/ecs+,/sp
수혜자들은	수혜/ncn+자/xsn+들/xsn+은/jxc
80%	80/nnc+%/su
이상이	이상/ncn+이/jcs
성적이	성적/ncn+이/jcs
우수한	우수/ncps+하/xsm+ㄴ/etm
국비	국비/ncn
장학생들이다.	장학/ncn+생/xsn+들/xsn+이/jp+다/ef+./sf
한	한/nnc
학기	학기/ncn
학비가	학비/ncn+가/jcs
1000위안	1000/nnc+위안/nbu
정도인	정도/ncn+이/jp+ㄴ/etm
것을	것/nbn+을/jco
감안할	감안/ncpa+하/xsv+ㄹ/etm
때	때/ncn
지원규모는	지원/ncn+규모/ncn+는/jxc
파격적이다.	파격/ncn+적/xsn+이/jp+다/ef+./sf
외국	외국/ncn
기업들은	기업/ncn+들/xsn+은/jxc
장학금	장학/ncn+금/xsn
외에도	외/nbn+에/jca+도/jxc
기숙사를	기숙사/ncn+를/jco
건립하거나	건립/ncpa+하/xsv+거나/ecc
혹은	혹은/maj
아예	아예/mag
경영대학을	경영/ncn+대학/ncn+을/jco
설립해	설립/ncpa+하/xsv+어/ecs
우수	우수/ncn
학생들을	학생/ncn+들/xsn+을/jco
일찍부터	일찍/mag+부터/jxc
확보하기도	확보/ncpa+하/xsv+기/etn+도/jxc
한다.	하/px+ㄴ다/ef+./sf
최근	최근/ncn
베이징대	베이징대/nq
구내에는	구내/ncn+에/jca+는/jxc
광화관리학원의	광화관리학원/nq+의/jcm
신축교사가	신축/ncn+교사/ncn+가/jcs
완공됐다.	완공/ncpa+되/xsv+었/ep+다/ef+./sf
광화집단은	광화집단/nq+은/jxc
졸업생	졸업/ncn+생/xsn
중	중/nbn
우수한	우수/ncps+하/xsm+ㄴ/etm
학생들을	학생/ncn+들/xsn+을/jco
자신의	자신/ncn+의/jcm
회사에	회사/ncn+에/jca
우선적으로	우선/ncn+적/xsn+으로/jca
채용하고	채용/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
외국	외국/ncn
기업들의	기업/ncn+들/xsn+의/jcm
이런	이런/mmd
장학금	장학/ncn+금/xsn
공세는	공세/ncn+는/jxc
특히	특히/mag
인간관계를	인간/ncn+관계/ncn+를/jco
중시하는	중시/ncpa+하/xsv+는/etm
중국의	중국/nq+의/jcm
풍토	풍토/ncn
속에서,	속/ncn+에서/jca+,/sp
우수	우수/ncn
집단의	집단/ncn+의/jcm
소속원을	소속/ncn+원/xsn+을/jco
채용하는	채용/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
중국내	중국/nq+내/nbn
사업에	사업/ncn+에/jca
매우	매우/mag
유리하다는	유리/ncps+하/xsm+다/ef+는/etm
점을	점/ncn+을/jco
고려한	고려/ncpa+하/xsv+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
국립	국립/ncn
하노이대학에서	하노이대학/nq+에서/jca
법학과	법학/ncn+과/jcj
역사학을	역사/ncn+학/xsn+을/jco
전공한	전공/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
모교	모교/ncn
교수로	교수/ncn+로/jca
재직하다	재직/ncpa+하/xsv+다/ecs
베트남	nq[베트남/nq
독립전쟁에	독립/ncn+전쟁/ncn]nq+에/jca
뛰어들어	뛰/pvg+어/ecs+들/pvg+어/ecs
군	군/ncn
최고사령관이	최고/ncn+사령/ncn+관/xsn+이/jcc
된	되/pvg+ㄴ/etm
그는	그/npp+는/jxc
베트남	베트남/nq
통일이후	통일/ncn+이후/ncn
국방장관과	국방/ncn+장관/ncn+과/jcj
부총리를	부총리/ncn+를/jco
지내면서	지내/pvg+면서/ecs
최고	최고/ncn
권력자로	권력/ncn+자/xsn+로/jca
추앙받았으나	추앙/ncn+받/pvg+았/ep+으나/ecs
지난	지나/pvg+ㄴ/etm
82년	82/nno+년/nbu
스스로	스스로/ncn
권좌에서	권좌/ncn+에서/jca
물러났다.	무르/pvg+어/ecx+나/px+았/ep+다/ef+./sf
박승준=베트남의	박승준/nq+=/sy+베트남/nq+의/jcm
영웅인	영웅/ncn+이/jp+ㄴ/etm
장군을	장군/ncn+을/jco
만나게	만나/pvg+게/ecs
돼	되/pvg+어/ecs
기쁘다.	기쁘/paa+다/ef+./sf
보=호치민에	보/nq+=/sy+호치민/nq+에/jca
한국문화원을	한국문화원/nq+을/jco
준공하고	준공/ncpa+하/xsv+고/ecc
하노이대와	하노이대/nq+와/jcj
사회과학원을	사회과학원/nq+을/jco
도와준	돕/pvg+아/ecx+주/px+ㄴ/etm
것에	것/nbn+에/jca
대해	대하/pvg+어/ecs
베트남	베트남/nq
국민의	국민/ncn+의/jcm
한	한/nnc
사람으로	사람/ncn+으로/jca
매우	매우/mag
감사하게	감사/ncpa+하/xsv+게/ecs
생각한다.	생각/ncpa+하/xsv+ㄴ다/ef+./sf
베트남과	베트남/nq+과/jcj
한국간의	한국/nq+간/nbn+의/jcm
기본관계는	기본/ncn+관계/ncn+는/jxc
우호관계다.	우호/ncn+관계/ncn+다/ef+./sf
역사적으로	역사/ncn+적/xsn+으로/jca
순탄하지만은	순탄/ncps+하/xsm+지만/ecs+은/jxc
않았지만	않/px+았/ep+지만/ecs
두	두/nnc
나라는	나라/ncn+는/jxc
독립과	독립/ncn+과/jcj
자유,	자유/ncn+,/sp
통일이라는	통일/ncn+이/jp+라/ef+는/etm
비슷한	비슷/ncps+하/xsm+ㄴ/etm
삶을	삶/ncn+을/jco
지향해왔다.	지향/ncpa+하/xsv+어/ecx+오/px+았/ep+다/ef+./sf
베트남이나	베트남/nq+이나/jcj
한국이	한국/nq+이/jcs
역사적	역사/ncn+적/xsn
조류에	조류/ncn+에/jca
따르지	따르/pvg+지/ecx
못하도록	못하/px+도록/ecs
하는	하/pvg+는/etm
어려움도	어려움/ncn+도/jxc
있었으나	있/paa+었/ep+으나/ecs
두	두/nnc
나라는	나라/ncn+는/jxc
역사의	역사/ncn+의/jcm
순리에	순리/ncn+에/jca
따라	따르/pvg+아/ecs
더욱	더욱/mag
발전할	발전/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
기대한다.	기대/ncpa+하/xsv+ㄴ다/ef+./sf
박=한국문화원은	박/nq+=/sy+한국문화원/nq+은/jxc
베트남과	베트남/nq+과/jcj
한국의	한국/nq+의/jcm
문화교류	문화/ncn+교류/ncn
채널이	채널/ncn+이/jcc
될	되/pvg+ㄹ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
앞으로	앞/ncn+으로/jca
두	두/nnc
나라	나라/ncn
관계의	관계/ncn+의/jcm
발전방향에	발전/ncn+방향/ncn+에/jca
대해	대하/pvg+어/ecs
어떻게	어떻/pad+게/ecs
생각하나.	생각/ncpa+하/xsv+나/ef+./sf
보=두	보/nq+=/sy+두/nnc
나라는	나라/ncn+는/jxc
새로운	새롭/paa+ㄴ/etm
시대에	시대/ncn+에/jca
걸맞은	걸맞/paa+은/etm
방식으로	방식/ncn+으로/jca
접근해야	접근/ncpa+하/xsv+어야/ecs
할	하/px+ㄹ/etm
때다.	때/ncn+다/ef+./sf
나라의	나라/ncn+의/jcm
발전과정에는	발전/ncn+과정/ncn+에/jca+는/jxc
나름대로	나름/nbn+대로/jxc
어려움이	어려움/ncn+이/jcs
있을	있/paa+을/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
베트남의	베트남/nq+의/jcm
약점	약점/ncn
중	중/nbn
하나는	하나/ncn+는/jxc
경제문제다.	경제/ncn+문제/ncn+다/ef+./sf
경제적	경제/ncn+적/xsn
약점은	약점/ncn+은/jxc
사회문화적	사회/ncn+문화/ncn+적/xsn
문제와도	문제/ncn+와/jct+도/jxc
연관돼	연관/ncpa+되/xsv+어/ecx
있다.	있/px+다/ef+./sf
이	이/mmd
측면에서	측면/ncn+에서/jca
볼	보/pvg+ㄹ/etm
때	때/ncn
문화분야에서	문화/ncn+분야/ncn+에서/jca
한국의	한국/nq+의/jcm
지원과	지원/ncn+과/jcj
협력이	협력/ncn+이/jcs
필요하다고	필요/ncps+하/xsm+다/ef+고/jcr
생각한다.	생각/ncpa+하/xsv+ㄴ다/ef+./sf
아울러	아울러/mag
한국	한국/nq
기업들이	기업/ncn+들/xsn+이/jcs
베트남과의	베트남/nq+과/jct+의/jcm
협력을	협력/ncn+을/jco
확대하는	확대/ncpa+하/xsv+는/etm
것도	것/nbn+도/jxc
중요하다.	중요/ncps+하/xsm+다/ef+./sf
호치민	호치민/nq
주석이	주석/ncn+이/jcs
주창한	주창/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
베트남의	베트남/nq+의/jcm
독립과	독립/ncn+과/jcj
베트남	베트남/nq
인민의	인민/ncn+의/jcm
자유였다.	자유ncn+이/jp+었/ep+다/ef+./sf
그것은	그것/npd+은/jxc
바로	바로/mag
베트남	베트남/nq
국민들의	국민/ncn+들/xsn+의/jcm
행복을	행복/ncn+을/jco
위한	위하/pvg+ㄴ/etm
것이었다.	것/nbn+이/jp+었/ep+다/ef+./sf
이런	이런/mmd
과업은	과업/ncn+은/jxc
인민이	인민/ncn+이/jcs
해야	하/pvg+어야/ecs
되고	되/pvg+고/ecc
인민을	인민/ncn+을/jco
위한	위하/pvg+ㄴ/etm
것이어야	것/nbn+이/jp+어야/ecs
한다.	하/px+ㄴ다/ef+./sf
이것이	이것/npd+이/jcs
바로	바로/mag
호치민	호치민/nq
주석이	주석/ncn+이/jcs
주창한	주창/ncpa+하/xsv+ㄴ/etm
인본주의이며	인본/ncn+주의/ncn+이/jp+며/ecs
이의	이/npd+의/jcm
실현을	실현/ncn+을/jco
위해서는	위하/pvg+어서/ecs+는/jxc
교육이	교육/ncn+이/jcs
중요하다.	중요/ncps+하/xsm+다/ef+./sf
박=지구상의	박/nq+=/sy+지구/ncn+상/xsn+의/jcm
유일한	유일/ncps+하/xsm+ㄴ/etm
분단국인	분단/ncn+국/xsn+이/jp+ㄴ/etm
한국의	한국/nq+의/jcm
통일을	통일/ncn+을/jco
위한	위하/pvg+ㄴ/etm
바람직한	바라/pvg+ㅁ직하/xsm+ㄴ/etm
방향에	방향/ncn+에/jca
대해	대하/pvg+어/ecs
평소	평소/ncn
생각해온	생각/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
점이	점/ncn+이/jcs
있다면	있/paa+다면/ecs
말해달라.	말/ncpa+하xsv+어/ecx+달/px+라/ef+./sf
보=중국도	보/nq+=/sy+중국/nq+도/jxc
아직	아직/mag
분단상태에	분단/ncn+상태/ncn+에/jca
있으니까	있/paa+으니까/ecs
한국이	한국/nq+이/jcs
유일한	유일/ncps+하/xsm+ㄴ/etm
분단국은	분단/ncn+국/xsn+은/jxc
아니다.	아니/paa+다/ef+./sf
하나의	하나/nnc+의/jcm
민족이	민족/ncn+이/jcs
통일을	통일/ncn+을/jco
이루기	이루/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
첫째,	첫째/nno+,/sp
통일에	통일/ncn+에/jca
대한	대하/pvg+ㄴ/etm
국민적	국민/ncn+적/xsn
합의가	합의/ncn+가/jcs
확고해야	확고/ncps+하/xsm+어야/ecs
한다.	하/px+ㄴ다/ef+./sf
나라마다	나라/ncn+마다/jxc
분단의	분단/ncn+의/jcm
상황이	상황/ncn+이/jcs
여러	여러/mma
형태로	형태/ncn+로/jca
다를	다르/paa+ㄹ/etm
수	수/nbn
있지만	있/paa+지만/ecs
통일의	통일/ncn+의/jcm
방안은	방안/ncn+은/jxc
국민들	국민/ncn+들/xsn
속에서	속/ncn+에서/jca
나와야	나오/pvg+아야/ecs
한다.	하/px+ㄴ다/ef+./sf
둘째,	둘째/nno+,/sp
한	한/nnc
나라의	나라/ncn+의/jcm
통일은	통일/ncn+은/jxc
물리적	물리/ncn+적/xsn
통일뿐	통일/ncn+뿐/jxc
아니라	아니/paa+라/ecs
문화적	문화/ncn+적/xsn
통일도	통일/ncn+도/jxc
중요하다.	중요/ncps+하/xsm+다/ef+./sf
한국은	한국/nq+은/jxc
같은	같/paa+은/etm
문화를	문화/ncn+를/jco
누리는	누리/pvg+는/etm
단일민족이기	단일/ncn+민족/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
문화적	문화/ncn+적/xsn
통일이	통일/ncn+이/jcs
쉽다고	쉽/paa+다/ef+고/jcr
생각한다.	생각/ncpa+하/xsv+ㄴ다/ef+./sf
베트남은	베트남/nq+은/jxc
54개	54/nnc+개/nbu
민족들이	민족/ncn+들/xsn+이/jcs
저마다	저/npp+마다/jxc
고유한	고유/ncps+하/xsm+ㄴ/etm
문화를	문화/ncn+를/jco
지니고	지니/pvg+고/ecx
있다.	있/px+다/ef+./sf
그런데다	그러/pvd+ㄴ데다/ecs
1000년	1000/nnc+년/nbu
이상	이상/ncn
외세의	외세/ncn+의/jcm
지배	지배/ncn
아래서	아래/ncn+서/jca
동화정책과	동화/ncn+정책/ncn+과/jcj
문화말살정책에	문화/ncn+말살/ncn+정책/ncn+에/jca
시달려왔다.	시달리/pvg+어/ecx+오/px+았/ep+다/ef+./sf
문화를	문화/ncn+를/jco
대표하는	대표/ncpa+하/xsv+는/etm
서적이	서적/ncn+이/jcs
불태워지기도	불/ncn+태우/pvg+어/ecx+지/px+기/etn+도/jxc
했다.	하/px+었/ep+다/ef+./sf
역사가들은	역사/ncn+가/xsn+들/xsn+은/jxc
한	한/nnc
나라가	나라/ncn+가/jcs
외세에	외세/ncn+에/jca
300년	300/nnc+년/nbu
이상	이상/ncn
지배받으면	지배/ncn+받/pvg+으면/ecs
반드시	반드시/mag
동화되게	동화/ncpa+되/xsv+게/ecs
마련이라고	마련/nbn+이/jp+라/ef+고/jcr
말한다.	말/ncpa+하/xsv+ㄴ다/ef+./sf
그러나	그러나/maj
베트남이	베트남/nq+이/jcs
그들에게	그/npp+들/xsn+에게/jca
동화되지	동화/ncpa+되/xsv+지/ecx
않은	않/px+은/etm
것은	것/nbn+은/jxc
고유문화가	고유/ncn+문화/ncn+가/jcs
살아	살/pvg+아/ecx
있었기	있/px+었/ep+기/etn
때문이고,	때문/nbn+이/jp+고/ecc+,/sp
베트남	베트남/nq
문화의	문화/ncn+의/jcm
정체성이	정체/ncn+성/xsn+이/jcs
통일의	통일/ncn+의/jcm
기반이	기반/ncn+이/jcs
될	되/pvg+ㄹ/etm
수	수/nbn
있었다.	있/paa+었/ep+다/ef+./sf
그런	그런/mmd
의미에서	의미/ncn+에서/jca
남북간의	남북/nq+간/nbn+의/jcm
문화적	문화/ncn+적/xsn
유대,	유대/ncn+,/sp
특히	특히/mag
문화적	문화/ncn+적/xsn
통일이	통일/ncn+이/jcs
중요하다고	중요/ncps+하/xsm+다/ef+고/jcr
생각한다.	생각/ncpa+하/xsv+ㄴ다/ef+./sf
박=한국과	박/nq+=/sy+한국/nq+과/jcj
베트남간의	베트남/nq+간/nbn+의/jcm
경제협력	경제/ncn+협력/ncn
전망에	전망/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
어떻게	어떻/pad+게/ecs
생각하는가.	생각/ncpa+하/xsv+는가/ef+./sf
보=베트남은	보/nq+=/sy+베트남/nq+은/jxc
천혜의	천혜/ncn+의/jcm
자원을	자원/ncn+을/jco
지니고	지니/pvg+고/ecx
있고	있/px+고/ecc
한국은	한국/nq+은/jxc
자본과	자본/ncn+과/jcj
발전된	발전/ncpa+되/xsv+ㄴ/etm
기술을	기술/ncn+을/jco
지니고	지니/pvg+고/ecx
있다.	있/px+다/ef+./sf
서로의	서로/ncn+의/jcm
장점을	장점/ncn+을/jco
공유하고	공유/ncpa+하/xsv+고/ecc
보완해	보완/ncpa+하/xsv+어/ecs
상호이익이	상호/ncn+이익/ncn+이/jcc
되는	되/pvg+는/etm
방향으로	방향/ncn+으로/jca
협력관계를	협력/ncn+관계/ncn+를/jco
유지해	유지/ncpa+하/xsv+어/ecx
나가는	나가/px+는/etm
것이	것/nbn+이/jcs
공동번영을	공동/ncn+번영/ncn+을/jco
위해	위하/pvg+어/ecs
유익하다고	유익/ncps+하/xsm+다/ef+고/jcr
생각한다.	생각/ncpa+하/xsv+ㄴ다/ef+./sf
박=장군은	박/nq+=/sy+장군/ncn+은/jxc
베트남	베트남/nq
국민들로부터	국민/ncn+들/xsn+로/jca+부터/jca
영웅으로	영웅/ncn+으로/jca
칭송받고	칭송/ncn+받/pvg+고/ecx
있다.	있/px+다/ef+./sf
흔히	흔히/mag
영웅을	영웅/ncn+을/jco
갖지	갖/pvg+지/ecx
않은	않/px+은/etm
민족은	민족/ncn+은/jxc
불행한	불행/ncps+하/xsm+ㄴ/etm
민족이라고	민족/ncn+이/jp+라/ef+고/jcr
하는데	하/pvg+는데/ecs
그런	그런/mmd
면에서	면/ncn+에서/jca
베트남	베트남/nq
국민은	국민/ncn+은/jxc
행복하다고	행복/ncps+하/xsm+다/ef+고/jcr
생각한다.	생각/ncpa+하/xsv+ㄴ다/ef+./sf
보=과찬의	보/nq+=/sy+과찬/ncn+의/jcm
말이다.	말/ncn+이/jp+다/ef+./sf
나는	나/npp+는/jxc
그에게	그/npp+에게/jca
이렇게	이렇/pad+게/ecs
대답했다.	대답/ncpa+하/xsv+었/ep+다/ef+./sf
병사나	병사/ncn+나/jcj
지휘자나	지휘/ncn+자/xsn+나/jxc
모두가	모두/ncn+가/jcs
평등했고	평등/ncps+하/xsm+었/ep+고/ecc
서로를	서로/ncn+를/jco
존경했다.	존경/ncpa+하/xsv+었/ep+다/ef+./sf
어떤	어떤/mmd
강력한	강력/ncps+하/xsm+ㄴ/etm
힘도	힘/ncn+도/jxc
이런	이런/mmd
민족의	민족/ncn+의/jcm
의지를	의지/ncn+를/jco
꺾을	꺾/pvg+을/etm
수는	수/nbn+는/jxc
없을	없/paa+을/etm
것이다.	것/nbn+이/jp+다/ef+./sf
박=귀한	박/nq+=/sy+귀하/paa+ㄴ/etm
시간을	시간/ncn+을/jco
내주어	내/pvg+어/ecs+주/pvg+어/ecs
고맙다.	고맙/paa+다/ef+./sf
미국	미국/nq
해군분석센터는	해군분석센터/nq+는/jxc
31일	31/nno+일/nbu
북한이	북한/nq+이/jcs
내전발생으로	내전/ncn+발생/ncn+으로/jca
붕괴했을	붕괴/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
동아시아	동아시아/nq
전략환경이	전략/ncn+환경/ncn+이/jcs
어떻게	어떻/pad+게/ecs
변하는지를	변하/pvg+는지/ecs+를/jco
주제로	주제/ncn+로/jca
한	하/pvg+ㄴ/etm
안전보장	안전/ncn+보장/ncn
시뮬레이션	시뮬레이션/ncn
결과	결과/ncn
미국은	미국/nq+은/jxc
한반도	한반도/nq
안정을	안정/ncn+을/jco
위해	위하/pvg+어/ecs
통일보다는	통일/ncn+보다/jca+는/jxc
북한의	북한/nq+의/jcm
민주화를	민주/ncn+화/xsn+를/jco
추구할	추구/ncpa+하/xsv+ㄹ/etm
것이라는	것/nbn+이/jp+라/jcr+는/etm
의견	의견/ncn
등이	등/nbn+이/jcs
제시됐다고	제시/ncpa+되/xsv+었/ep+다/ef+고/jcr
<산케이신문>이 </sl+산케이신문/nq+>/sr+이/jcs
보도했다.	보도/ncpa+하/xsv+었/ep+다/ef+./sf
시뮬레이션에는	시뮬레이션/ncn+에/jca+는/jxc
슐레진저	슐레진저/nq
전	전/mma
미	미/nq
국방장관과	국방/ncn+장관/ncn+과/jcj
레이니	레이니/nq
전	전/mma
주한대사,	주한/ncn+대사/ncn+,/sp
솔로먼	솔로먼/nq
전	전/mma
국무차관보	국무/ncn+차관보/ncn
등이	등/nbn+이/jcs
참석했다.	참석/ncpa+하/xsv+었/ep+다/ef+./sf
임신중	임신/ncn+중/nbn
미량의	미량/ncn+의/jcm
술을	술/ncn+을/jco
마셔도	마시/pvg+어도/ecs
태아	태아/ncn
발육과	발육/ncn+과/jcj
성장에	성장/ncn+에/jca
큰장애를	크/paa+ㄴ/etm+장애/ncn+를/jco
일으킨다는	일으키/pvg+ㄴ다/ef+는/etm
연구결과가	연구/ncn+결과/ncn+가/jcs
나왔다.	나오/pvg+았/ep+다/ef+./sf
임신중	임신/ncn+중/nbn
음주에	음주/ncn+에/jca
대한	대하/pvg+ㄴ/etm
연구는	연구/ncn+는/jxc
대부분	대부분/ncn
과도한	과도/ncps+하/xsm+ㄴ/etm
음주에	음주/ncn+에/jca
의해	의하/pvg+어/ecs
태아가	태아/ncn+가/jcs
성장과정에서	성장/ncn+과정/ncn+에서/jca
정신지체와	정신/ncn+지체/ncn+와/jcj
행동	행동/ncn
및	및/maj
학습장애를	학습/ncn+장애/ncn+를/jco
일으키는	일으키/pvg+는/etm
태아	태아/ncn
알코올증후군에	알코올/ncn+증후군/ncn+에/jca
초점을	초점/ncn+을/jco
맞췄으나	맞추/pvg+었/ep+으나/ecs
이번연구는	이/mmd+번/nbn+연구/ncn+는/jxc
소량을	소량/ncn+을/jco
마셔도	마시/pvg+어도/ecs
이	이/mmd
질병에	질병/ncn+에/jca
걸릴	걸리/pvg+ㄹ/etm
위험이	위험/ncn+이/jcs
높다는	높/paa+다/ef+는/etm
것을	것/nbn+을/jco
보여	보이/pvg+어/ecx
주었다는	주/px+었/ep+다/ef+는/etm
데	데/nbn
