
그리스	그리스/nq
것이다	것/nbn+이/jp+다/ef
.	./sf

1890	1890/nno
년대	년대/nbu
젤라틴에	젤라틴/ncn+이/jcs
부족한	부족/ncps+하/xsm+ㄴ/etm
다른	다르/paa+ㄴ/etm
아미노산을	아미노산/ncn+을/jco
첨가하여	첨가/ncpa+하/xsv+어/ecx
젤라틴을	젤라틴/ncn+을/jco
좀더	좀더/mag
효율적인	효율/ncn+적/xsn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
만들려는	만들/pvg+려는/etm
시도가	시도/ncn+가/jcs
있었으나	있/paa+었/ep+으나/ecs
성공하지	성공/ncpa+하/xsv+지/ecx
못했다	못하/px+었/ep+다/ef
.	./sf

그	그/mmd
결과	결과/ncn
쥐는	쥐/ncn+는/jxc
14	14/nnc
일만에	일/nbu+만/jxc+에/jca
죽었다	죽/pvg+었/ep+다/ef
(	(/sl
트립토판이	트립토판/ncn+이/jcs
부족하면	부족/ncps+하/xsm+면/ecs
아프리카	아프리카/nq
어린이에게서	어린이/ncn+에게/jca+서/jca
종종	종종/mag
나타나는	나타나/pvg+는/etm
쿼시오커라는	쿼시오커/ncn+라/ef+는/etm
단백질	단백질/ncn
부족증이	부족/ncn+증/xsn+이/jcs
걸린다	걸리/pvg+ㄴ다/ef
).	)/sr+./sf

단백질보다는	단백질/ncn+보다/jca+는/jxc
아미노산이	아미노산/ncn+이/jcs
필요하다는	필요/ncps+하/xsm+다/ef+는/etm
사실이	사실/ncn+이/jcs
처음으로	처음/ncn+으로/jca
밝혀진	밝히/pvg+어/ecx+지/px+ㄴ/etm
중요한	중요/ncps+하/xsm+ㄴ/etm
실험이었다	실험/ncn+이/jp+었/ep+다/ef
(	(/sl
비록	비록/mag
쥐가	쥐/ncn+가/jcs
완전히	완전/nccn+히/xsa
크지	크/paa+지/ecx
못한	못하/px+ㄴ/etm
채	채/nbn
죽었지만	죽/pvg+었/ep+지만/ecs
이는	이/npd+는/jxc
아마도	아마도/mag
그때까지는	그/mmd+때/ncn+까지/jxc+는/jxc
밝혀지지	밝히/pvg+어/ecx+지/px+지/ecx
않았던	않/px+았/ep+던/etm
몇몇	몇몇/mma
비타민의	비타민/ncn+의/jcm
부족	부족/ncn
때문으로	때문/nbn+으로/jca
생각된다	생각/ncpa+되/xsv+ㄴ다/ef
).	)/sr+./sf

그때에는	그/mmd+때/ncn+에/jca+는/jxc
주요	주요/ncn
비타민이	비타민/ncn+이/jcs
알려져	알리/pvg+어/ecx+지/px+어/ecx
있어서	있/px+어서/ecs
실험	실험/ncn
동물에	동물/ncn+에/jca
비타민을	비타민/ncn+을/jco
공급하면서	공급/ncpa+하/xsv+면서/ecc
아미노산에	아미노산/ncn+에/jca
초점을	초점/ncn+을/jco
맞추어	맞추/pvg+어/ecx
보았다	보/px+았/ep+다/ef
.	./sf

그는	그/npp+는/jxc
이	이/mmd
실험에서	실험/ncn+에서/jca
트레오닌이라는	트레오닌/ncn+이/jp+라/ef+는/etm
아미노산을	아미노산/ncn+을/jco
찾아냈는데	찾/pvg+아/ecx+내/px+었/ep+는데/ecs
이는	이/npd+는/jxc
마지막으로	마지막/ncn+으로/jca
발견된	발견/ncpa+되/xsv+ㄴ/etm
주요	주요/ncn
아미노산이다	아미노산/ncn+이/jp+다/ef
.	./sf

이	이/mmd
방법을	방법/ncn+을/jco
통해	통하/pvg+어/ecs
그는	그/npp+는/jxc
쥐를	쥐/ncn+를/jco
키우는	키우/pvg+는/etm
데	데/nbn
필요한	필요/ncps+하/xsm+ㄴ/etm
10	10/nnc
가지의	가지/nbu+의/jcm
필수	필수/ncn
아미노산을	아미노산/ncn+을/jco
밝히는	밝히/pvg+는/etm
데	데/nbn
성공하였다	성공/ncpa+하/xsv+였/ep+다/ef
.	./sf

이러한	이러하/pad+ㄴ/etm
아미노산만	아미노산/ncn+만/jxc
충분히	충분/ncn+히/xsa
공급되면	공급/ncpa+되/xsv+면/ecs
쥐는	쥐/ncn+는/jxc
필요한	필요/ncps+하/xsm+ㄴ/etm
다른	다르/paa+ㄴ/etm
아미노산	아미노산/ncn
즉	즉/maj
글리신	글리신/ncn
,	,/sp
프롤린	프롤린/ncn
,	,/sp
아스파르트산	아스파르트/ncn+산/ncn
,	,/sp
알라닌	알라닌/ncn
등을	등/nbn+을/jco
모두	모두/mag
만들	만들/pvg+ㄹ/etm
수	수/nbn
있었다	있/paa+었/ep+다/ef
.	./sf

그는	그/npp+는/jxc
아미노산	아미노산/ncn
혼합물을	혼합/ncn+물/xsn+을/jco
유일한	유일/ncps+하/xsm+ㄴ/etm
질소원으로	질소/ncn+원/xsn+으로/jca
사용하여	사용/ncpa+하/xsv+어/ecs
통제된	통제/ncpa+되/xsv+ㄴ/etm
실험을	실험/ncn+을/jco
하였다	하/pvg+였/ep+다/ef
.	./sf

쥐에는	쥐/ncn+에/jca+는/jxc
꼭	꼭/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
피스티딘과	피스티딘/ncn+과/jcj
아르기닌	아르기닌/ncn
등이	등/nbn+이/jcs
사람에게는	사람/ncn+에게/jca+는/jxc
필요하지	필요/ncps+하/xsm+지/ecx
않았는데	않/px+았/ep+는데/ecs
이런	이런/mmd
점에서	점/nbn+에서/jca
사람이	사람/ncn+이/jcs
쥐나	쥐/ncn+나/jxc
다른	다르/paa+ㄴ/etm
포유	포유/ncn
동물보다	동물/ncn+보다/jca
덜	덜/mag
분화되었다고	분화/ncpa+되/xsv+었/ep+다/ef+고/jcr
볼	보/pvg+ㄹ/etm
수	수/nbn
있겠다	있/paa+겠/ep+다/ef
.	./sf

즉	즉/mag
이	이/mmd
8	8/nnc
가지의	가지/nbu+의/jcm
아미노산을	아미노산/ncn+을/jco
충분히	충분/ncn+히/xsa
공급하면	공급/ncpa+하/xsv+면/ecs
필요한	필요/ncps+하/xsm+ㄴ/etm
아미노산뿐	아미노산/ncn+뿐/jxc
아니라	아니/paa+라/ecs
탄수화물과	탄수화물/ncn+과/jcj
지질도	지질/ncn+도/jxc
만들	만들/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

하지만	하지만/maj
아미노산으로만	아미노산/ncn+으로/jca+만/jxc
되어	되/pvg+어/ecx
있는	있/px+는/etm
음식물이	음식/ncn+물/xsn+이/jcs
단순하고	단순/ncps+하/xsm+고/ecc
단조롭다는	단조/ncps+롭/xsm+다/ef+는/etm
것은	것/nbn+은/jxc
제쳐두고라도	제치/pvg+어/ecs+두/pvg+고/ecs+라도/jxc
너무	너무/mag
비싸다	비싸/paa+다/ef
.	./sf

그러나	그러나/maj
사람에게	사람/ncn+에게/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
아미노산에	아미노산/ncn+에/jca
대한	대하/pvg+ㄴ/etm
내용을	내용/ncn+을/jco
자세히	자세/ncn+히/xsa
알고	알/pvg+고/ecx
있으면	있/px+으면/ecs
가장	가장/mag
효율적으로	효율/ncn+적/xsn+으로/jca
질소를	질소/ncn+를/jco
흡수하고	흡수/ncpa+하/xsv+고/ecc
이용하는데	이용/ncpa+하/xsv+는데/ecs
도움이	도움/ncn+이/jcc
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

지방도	지방/ncn+도/jxc
간단한	간단/ncps+하/xsm+ㄴ/etm
구성	구성/ncn
성분으로	성분/ncn+으로/jca
나누어질	나누/pvg+어/ecx+지/px+ㄹ/etm
수	수/nbn
있는데	있/paa+는데/ecs
그	그/mmd
중요	중요/ncn
구성원은	구성/ncn+원/xsn+은/jxc
지방산이다	지방/ncn+산/ncn+이/jp+다/ef
.	./sf

지방산은	지방/ncn+산/ncn+은/jxc
모든	모든/mma
탄소에	탄소/ncn+에/jca
수소가	수소/ncn+가/jcs
결합되어	결합/ncpa+되/xsv+어/ecc
포화되거나	포화/ncpa+되/xsv+거나/ecc
한	한/nnc
쌍	쌍/nbu
혹은	혹은/maj
몇	몇/mmd
쌍의	쌍/nbu+의/jcm
수소가	수소/ncn+가/jcs
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
포화되지	포화/ncpa+되/xsv+지/ecx
않을	않/px+을/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf

인체는	인체/ncn+는/jxc
포화	포화/ncn
지방산으로부터	지방/ncn+산/ncn+으로/jca+부터/jxc
고도	고도/ncn
불포화	불/xp+포화/ncn
지방산을	지방/ncn+산/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
고도	고도/ncn
불포화	불/xp+포화/ncn
지방산을	지방/ncn+산/ncn+을/jco
필수	필수/ncn
지방산이라	지방/ncn+산/ncn+이/jp+라/ef
한다	하/pvg+ㄴ다/ef
.	./sf

이런	이런/mmd
점에서	점/ncn+에서/jca
채식주의자들은	채식/ncn+주의/ncn+자/ncn+들/xsn+은/jxc
지방산	지방/ncn+산/ncn
섭취에	섭취/ncn+에/jca
유리하며	유리/ncps+하/xsm+며/ecc
그	그/mmd
결핍으로	결핍/ncn+으로/jca
인한	인하/pvg+ㄴ/etm
고생을	고생/ncn+을/jco
덜	덜/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

따지고	따지/pvg+고/ecx
보면	보/px+면/ecs
요즘과	요즘/ncn+과/jct
같이	같/paa+이/xsa
계몽된	계몽/ncpa+되/xsv+ㄴ/etm
시대이기	시대/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
음식물에	음식/ncn+물/xsn+에/jca
대한	대하/pvg+ㄴ/etm
속설	속설/ncn
(	(/sl
풍문	풍문/ncn
)	)/sr
이	이/jcs
가능한지도	가능/ncps+하/xsm+ㄴ지/ecs+도/jxc
모른다	모르/pvg+ㄴ다/ef
.	./sf

인간의	인간/ncn+의/jcm
역사를	역사/ncn+를/jco
보면	보/pvg+면/ecs
사람의	사람/ncn+의/jcm
음식은	음식/ncn+은/jxc
주변에서	주변/ncn+에서/jca
생산될	생산/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것들이었으며	것/nbn+들/xsn+이/jp+었/ep+으며/ecs
대개의	대개/ncn+의/jcm
경우	경우/ncn
넉넉하지	넉넉/ncps+하/xsm+지/ecx
못했다	못하/px+었/ep+다/ef
.	./sf

먹느냐	먹/pvg+느냐/ef
굶느냐	굶/pvg+느냐/ef
하는	하/pvg+는/etm
게	거/nbn+이/jcs
주된	주되/pvg+ㄴ/etm
문제였기	문제/ncn+이/jp+었/ep+기/etn
때문에	때문/nbn+에/jca
누구도	누구/npp+도/jxc
먹는	먹/pvg+는/etm
것에	것/nbn+에/jca
대한	대하/pvg+ㄴ/etm
여유가	여유/ncn+가/jcs
없었고	없/paa+었/ep+고/ecc
그러다	그렇/pad+다/ecs
보니	보/pvg+니/ecs
음식에	음식/ncn+에/jca
대한	대하/pvg+ㄴ/etm
풍문	풍문/ncn
따위는	따위/nbn+는/jxc
생길	생기/pvg+ㄹ/etm
여지가	여지/ncn+가/jcs
없었던	없/paa+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

수송의	수송/ncn+의/jcm
근대화로	근대/ncn+화/xsn+로/jca
인해	인하/pvg+어/ecs
한	한/nnc
지역에서	지역/ncn+에서/jca
멀리	멀리/mag
떨어진	떨어지/pvg+ㄴ/etm
다른	다르/paa+ㄴ/etm
지역으로	지역/ncn+으로/jca
,	,/sp
특히	특히/mag
대단위	대/xp+단위/ncn
냉장을	냉장/ncn+을/jco
이용하여	이용/ncpa+하/xsv+어/ecc
식량을	식량/ncn+을/jco
운반할	운반/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되면서	되/pvg+면서/ecs
기아의	기아/ncn+의/jcm
위협을	위협/ncn+을/jco
줄일	줄이/pvg+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

왜냐하면	왜냐하면/maj
바로	바로/mag
옆	옆/ncn
지방에	지방/ncn+에/jca
식량이	식량/ncn+이/jcs
남아돌아도	남/pvg+아/ecx+돌/px+아도/ecs
기아지역으로의	기아/ncn+지역/ncn+으로/jca+의/jcm
수송이	수송/ncn+이/jcs
어려웠기	어렵/paa+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

말리거나	말리/pvg+거나/ecc
소금에	소금/ncn+에/jca
절이고	절이/pvg+고/ecc
,	,/sp
당도를	당도/ncn+를/jco
높이고	높이/pvg+고/ecc
,	,/sp
발효시키는	발효/ncpa+시키/xsv+는/etm
등	등/nbn
일찍부터	일찍/mag+부터/jxc
사람들이	사람/ncn+들/xsn+이/jcs
알고	알/pvg+고/ecx
있었던	있/px+었/ep+던/etm
식량	식량/ncn
저장법과	저장/ncn+법/ncn+과/jct
함께	함께/mag
다양한	다양/ncps+하/xsm+ㄴ/etm
음식물의	음식/ncn+물/xsn+의/jcm
저장이	저장/ncn+이/jcs
가능해졌다	가능/ncps+하/xsm+어/ecx+지/px+었/ep+다/ef
.	./sf

음식물을	음식/ncn+물/xsn+을/jco
진공	진공/ncn
저장하는	저장/ncpa+하/xsv+는/etm
방법이	방법/ncn+이/jcs
개발되면서	개발/ncpa+되/xsv+면서/ecs
처음	처음/ncn
조리된	조리/ncpa+되/xsv+ㄴ/etm
상태와	상태/ncn+와/jcj
아주	아주/mag
비슷하게	비슷/ncps+하/xsm+게/ecc
음식을	음식/ncn+을/jco
저장할	저장/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되었다	되/pvg+었/ep+다/ef
(	(/sl
가열하면	가열/ncpa+하/xsv+면/ecs
미생물이	미생물/ncn+이/jcs
죽고	죽/pvg+고/ecc
진공을	진공/ncn+을/jco
유지하면	유지/ncpa+하/xsv+면/ecs
미생물의	미생물/ncn+의/jcm
증식을	증식/ncn+을/jco
막게	막/pvg+게/ecx
된다	되/pvg+ㄴ다/ef
).	)/sr+./sf

진공저장은	진공/ncn+저장/ncn+은/jxc
프랑스의	프랑스/nq+의/jcm
요리사	요리/ncn+사/xsn
아페르가	아페르/nq+가/jcs
최초로	최초/ncn+로/jca
실용화하였는데	실용/ncn+화/xsn+하/xsv+였/ep+는데/ecs
그는	그/npp+는/jxc
이	이/mmd
방법을	방법/ncn+을/jco
개발하여	개발/ncpa+하/xsv+어/ecs
나폴레옹	나폴레옹/nq
1	1/nno
세와	세/nbu+와/jct
그의	그/npp+의/jcm
군대로	군대/ncn+로/jca
하여금	하여금/mag
음식을	음식/ncn+을/jco
저장할	저장/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
하여	하/px+어/ecs
상을	상/ncn+을/jco
받기도	받/pvg+기/etn+도/jxc
하였다	하/pvg+였/ep+다/ef
.	./sf

2	nq[2/nno
차대전	차/nbu+대전/ncn]nq
이후	이후/ncn
냉동	냉동/ncn
음식이	음식/ncn+이/jcs
유행하였으며	유행/ncpa+하/xsv+였/ep+으며/ecs
가정용	가정/ncn+용/xsn
냉장고의	냉장고/ncn+의/jcm
보급으로	보급/ncn+으로/jca
인해	인하/pvg+어/ecc
신선한	신선/ncps+하/xsm+ㄴ/etm
음식물이	음식/ncn+물/xsn+이/jcs
일반화되고	일반/ncn+화/xsn+되/xsv+고/ecc
다양화되었다	다양/ncn+화/xsn+되/xsv+었/ep+다/ef
.	./sf

결핍증은	결핍/ncn+증/xsn+은/jxc
인체의	인체/ncn+의/jcm
화학	화학/ncn
기구에	기구/ncn+에/jca
미량으로	미량/ncn+으로/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
필수	필수/ncn
물질이	물질/ncn+이/jcs
부족하면	부족/ncps+하/xsm+면/ecs
발생한다	발생/ncpa+하/xsv+ㄴ다/ef
.	./sf

유명한	유명/ncps+하/xsm+ㄴ/etm
예로	예/ncn+로/jca
나이팅게일을	나이팅게일/nq+을/jco
들	들/pvg+ㄹ/etm
수	수/nbn
있는데	있/paa+는데/ecs
,	,/sp
그녀는	그녀/npp+는/jxc
크림전쟁에서	크림전쟁/nq+에서/jca
헌신적으로	헌신/ncn+적/xsn+으로/jca
병사들을	병사/ncn+들/xsn+을/jco
간호하면서	간호/ncpa+하/xsv+면서/ecc
적절한	적절/ncps+하/xsm+ㄴ/etm
섭생을	섭생/ncn+을/jco
하도록	하/pvg+도록/ecs
하였다	하/pvg+였/ep+다/ef
.	./sf

그러나	그러나/maj
영양학은	영양/ncn+학/xsn+은/jxc
그	그/mmd
세기가	세기/ncn+가/jcs
끝날	끝/ncn+나/pvg+ㄹ/etm
때까지	때/ncn+까지/jxc
태동되지	태동/ncpa+되/xsv+지/ecx
않았거니와	않/px+았/ep+거니와/ecs
음식물에	음식/ncn+물/xsn+에/jca
소량으로	소량/ncn+으로/jca
들어	들/pvg+어/ecx
있는	있/px+는/etm
생명에	생명/ncn+에/jca
필수적인	필수/ncn+적/xsn+이/jp+ㄴ/etm
물질도	물질/ncn+도/jxc
발견하지	발견/ncpa+하/xsv+지/ecx
못했다	못하/px+었/ep+다/ef
.	./sf

괴혈병은	괴혈병/ncn+은/jxc
이미	이미/mag
오래	오래/mag
전부터	전/ncn+부터/jxc
잘	잘/mag
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
병으로	병/ncn+으로/jca
모세혈관이	모세/ncn+혈관/ncn+이/jcs
약해지면서	약하/paa+어/ecx+지/px+면서/ecs
잇몸에	잇몸/ncn+에/jca
피가	피/ncn+가/jcs
나고	나/pvg+고/ecc
이빨이	이빨/ncn+이/jcs
흔들리며	흔들리/pvg+며/ecc
상처가	상처/ncn+가/jcs
잘	잘/mag
낫지	낫/pvg+지/ecx
않아	않/px+아/ecs
결국	결국/mag
환자는	환자/ncn+는/jxc
점점	점점/mag
약해져	약하/paa+어/ecx+지/px+어/ecs
죽게	죽/pvg+게/ecx
되는	되/pvg+는/etm
병이다	병/ncn+이/jp+다/ef
.	./sf

긴	길/paa+ㄴ/etm
항해를	항해/ncn+를/jco
하는	하/pvg+는/etm
배에	배/ncn+에/jca
냉장	냉장/ncn
시설이	시설/ncn+이/jcs
없던	없/paa+던/etm
때인지라	때/ncn+이/jp+ㄴ지라/ecs
썩지	썩/pvg+지/ecx
않는	않/px+는/etm
음식물인	음식/ncn+물/xsn+이/jp+ㄴ/etm
딱딱한	딱딱/ncps+하/xsm+ㄴ/etm
빵과	빵/ncn+과/jcj
소금에	소금/ncn+에/jca
절인	절이/pvg+ㄴ/etm
돼지고기를	돼지고기/ncn+를/jco
가지고	가지/pvg+고/ecs
갈	가/pvg+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없었다	없/paa+었/ep+다/ef
.	./sf

절망적이었던	절망/ncn+적/xsn+이/jp+었/ep+던/etm
대원들은	대원/ncn+들/xsn+은/jxc
,	,/sp
이	이/mmd
유치하게	유치/ncps+하/xsm+게/ecx
보이는	보이/px+는/etm
제안을	제안/ncn+을/jco
따랐으며	따르/pvg+았/ep+으며/ecs
이로써	이/npd+로써/jca
그들은	그/npp+들/xsn+은/jxc
모두	모두/mag
나았다	낫/pvg+았/ep+다/ef
.	./sf

1772	1772/nno
년부터	년/nbu+부터/jxc
1775	1775/nno
년	년/nbu
사이에	사이/ncn+에/jca
태평양	태평양/nq
횡단	횡단/ncn
탐험을	탐험/ncn+을/jco
했던	하/pvg+었/ep+던/etm
쿠크	쿠크/nq
선장은	선장/ncn+은/jxc
선원들에게	선원/ncn+들/xsn+에게/jca
주기적으로	주기/ncn+적/xsn+으로/jca
양배추	양배추/ncn
절임을	절임/ncn+을/jco
먹게	먹/pvg+게/ecx
하여	하/px+어/ecs
괴혈병에	괴혈병/ncn+에/jca
걸리지	걸리/pvg+지/ecx
않도록	않/px+도록/ecs
하였다	하/pvg+였/ep+다/ef
.	./sf

그렇지만	그렇지만/maj
영국	영국/nq
해군의	해군/ncn+의/jcm
고위	고위/ncn
장교들이	장교/ncn+들/xsn+이/jcs
린드의	린드/nq+의/jcm
실험을	실험/ncn+을/jco
충분히	충분/ncn+히/xsa
인식하여	인식/ncpa+하/xsv+어/ecs
영국	영국/nq
해군에	해군/ncn+에/jca
매일	매일/mag
라임	라임/ncn
쥬스를	쥬스/ncn+를/jco
공급하였던	공급/ncpa+하/xsv+였/ep+던/etm
것은	것/nbn+은/jxc
1795	1795/nno
년이	년/nbu+이/jcc
되어서였다	되/pvg+어서/ecs+이/jp+었/ep+다/ef
(	(/sl
그	그/mmd
이후	이후/ncn
영국	영국/nq
수병은	수병/ncn+은/jxc
'	'/sl
limeys	limeys/f
'	'/sr
라고	라고/jcr
불리게	불리/pvg+게/ecx
되었으며	되/pvg+었/ep+으며/ecs
,	,/sp
라임을	라임/ncn+을/jco
만들어	만들/pvg+어/ecs
보관했던	보관/ncpa+하/xsv+었/ep+던/etm
런던의	런던/nq+의/jcm
템즈	템즈/nq
지역을	지역/ncn+을/jco
'	'/sl
라임	nq[라임/ncn
하우스	하우스/ncn]nq
'	'/sr
라고	라고/jcr
한다	하/pvg+ㄴ다/ef
).	)/sr+./sf

그	그/mmd
결과	결과/ncn
'	'/sl
각기병	각기병/ncn
'	'/sr
이라	이/jp+라/ef
불리던	불리/pvg+던/etm
질병이	질병/ncn+이/jcs
일본	일본/nq
해군에서	해군/ncn+에서/jca
사라지게	사라지/pvg+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

이처럼	이/npd+처럼/jca
음식물로	음식/ncn+물/xsn+로/jca
질병을	질병/ncn+을/jco
정복할	정복/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었음에도	있/paa+었/ep+음/etn+에/jca+도/jxc
19	19/nno
세기의	세기/ncn+의/jcm
생물학자들은	생물/ncn+학자/ncn+들/xsn+은/jxc
음식물로	음식/ncn+물/xsn+로/jca
질병을	질병/ncn+을/jco
퇴치한다는	퇴치/ncpa+하/xsv+ㄴ다/ef+는/etm
생각을	생각/ncn+을/jco
거부했는데	거부/ncpa+하/xsv+었/ep+는데/ecs
,	,/sp
특히	특히/mag
파스퇴르가	파스퇴르/nq+가/jcs
질병의	질병/ncn+의/jcm
원인이	원인/ncn+이/jcs
세균임을	세균/ncn+이/jp+ㅁ/etn+을/jco
밝힌	밝히/pvg+ㄴ/etm
후에는	후/ncn+에/jca+는/jxc
더욱	더욱/mag
심했다	심하/paa+었/ep+다/ef
.	./sf

에이크만은	에이크만/nq+은/jxc
네덜란드령	네덜란드/nq+령/xsn
동인도에	동인도/nq+에/jca
가서	가/pvg+아서/ecs
그곳에	그곳/npd+에/jca
만연하고	만연/ncps+하/xsm+고/ecx
있는	있/px+는/etm
각기병을	각기병/ncn+을/jco
조사하게	조사/ncpa+하/xsv+게/ecx
되었다	되/pvg+었/ep+다/ef
(	(/sl
의학적으로	의학/ncn+적/xsn+으로/jca
원인과	원인/ncn+과/jcj
치료법이	치료/ncn+법/ncn+이/jcs
발견된	발견/ncpa+되/xsv+ㄴ/etm
현재에도	현재/ncn+에/jca+도/jxc
이	이/mmd
지역에서는	지역/ncn+에서/jca+는/jxc
해마다	해/ncn+마다/jxc
10만	10만/nnc
명이	명/nbu+이/jcs
각기병으로	각기병/ncn+으로/jca
죽어	죽/pvg+어/ecx
간다	가/px+ㄴ다/ef
).	)/sr+./sf

각기병이	각기병/ncn+이/jcs
세균에	세균/ncn+에/jca
의한	의하/pvg+ㄴ/etm
질병이라고	질병/ncn+이/jp+라/ef+고/jcr
생각한	생각/ncpa+하/xsv+ㄴ/etm
에이크만은	에이크만/nq+은/jxc
병균을	병균/ncn+을/jco
알아내기	알/pvg+아/ecx+내/px+기/etn
위해	위하/pvg+어/ecs
닭을	닭/ncn+을/jco
이용하여	이용/ncpa+하/xsv+어/ecs
실험을	실험/ncn+을/jco
실시하였다	실시/ncpa+하/xsv+였/ep+다/ef
.	./sf

그의	그/npp+의/jcm
계획은	계획/ncn+은/jxc
자신이	자신/ncn+이/jcs
잘	잘/mag
몰랐던	모르/pvg+았/ep+던/etm
한	한/nnc
부분에	부분/ncn+에/jca
의해	의하/pvg+어/ecs
뒤바뀌게	뒤바뀌/pvg+게/ecx
되었는데	되/pvg+었/ep+는데/ecs
이것은	이것/npd+은/jxc
그에게	그/npp+에게/jca
커다란	커다랗/paa+ㄴ/etm
행운이었다고	행운/ncn+이/jp+었/ep+다/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

어느	어느/mmd
날	날/ncn
갑자기	갑자기/mag
키우던	키우/pvg+던/etm
닭이	닭/ncn+이/jcs
마비성	마비/ncn+성/xsn
질병에	질병/ncn+에/jca
걸려	걸리/pvg+어/ecs
죽게	죽/pvg+게/ecx
되었는데	되/pvg+었/ep+는데/ecs
그때	그/mmd+때/ncn
살아	살/pvg+아/ecs
남았던	남/pvg+았/ep+던/etm
닭은	닭/ncn+은/jxc
약	약/mma
4	4/nnc
개월이	개월/nbu+이/jcs
지나자	지나/pvg+자/ecs
건강을	건강/ncn+을/jco
되찾았다	되찾/pvg+았/ep+다/ef
.	./sf

그는	그/npp+는/jxc
닭을	닭/ncn+을/jco
키우는	키우/pvg+는/etm
사람들이	사람/ncn+들/xsn+이/jcs
군	군/ncn
병원에서	병원/ncn+에서/jca
나오는	나오/pvg+는/etm
음식물	음식/ncn+물/xsn
찌꺼지와	찌꺼지/ncn+와/jct
완전히	완전/ncn+히/xsa
도정된	도정/ncpa+되/xsv+ㄴ/etm
쌀을	쌀/ncn+을/jco
사용하고	사용/ncpa+하/xsv+고/ecx
있음을	있/px+음/etn+을/jco
알았다	알/pvg+았/ep+다/ef
(	(/sl
이렇게	이렇/pad+게/ecx
해야	하/px+어야/ecs
이익이	이익/ncn+이/jcc
되니까	되/pvg+니까/ef
).	)/sr+./sf

그는	그/npp+는/jxc
모이를	모이/ncn+를/jco
주지	주/pvg+지/ecx
않고	않/px+고/ecc
보통의	보통/ncn+의/jcm
닭	닭/ncn
사료를	사료/ncn+를/jco
주었는데	주/pvg+었/ep+는데/ecs
이	이/mmd
속에는	속/ncn+에/jca+는/jxc
껍질을	껍질/ncn+을/jco
벗기지	벗기/pvg+지/ecx
않은	않/px+은/etm
벼가	벼/ncn+가/jcs
포함되어	포함/ncpa+되/xsv+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf

도정된	도정/ncpa+되/xsv+ㄴ/etm
쌀을	쌀/ncn+을/jco
닭에게	닭/ncn+에게/jca
먹였더니	먹이/pvg+었/ep+더니/ecs
병에	병/ncn+에/jca
