<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0058.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0058.txt </filename>
<title>(속)나무이야기  </title>
<author>권영한  </author>
<date>1993  </date>
<publisher>전원문화사  </publisher>
<kdc>480.4  </kdc>
<ddc>580  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
가을이	가을/ncn+이/jcc
적격인데,	적격/ncn+이/jp+ㄴ데/ecs+,/sp
중국	중국/nq
북경	북경/nq
교외의	교외/ncn+의/jcm
아스팔트길을	아스팔트길/ncn+을/jco
따라	따르/pvg+아/ecs
끝없이	끝/ncn+없/paa+이/jca
심어진	심/pvg+어/ecx+지/px+ㄴ/etm
가죽나무	가죽나무/ncn
가로수는	가로수/ncn+는/jxc
매우	매우/mag
인상	인상/ncn
깊은	깊/paa+은/etm
장관입니다.	장관/ncn+이/jp+ㅂ니다/ef+./sf
방랑	방랑/ncn
시인	시인/ncn
김삿갓이	김삿갓/nq+이/jcs
어느	어느/mma
때	때/ncn
금강산에	금강산/nq+에/jca
들어갔는데,	들/pvg+어/ecs+가/pvg+았/ep+는데/ecs+,/sp
금강산	금강산/nq
어느	어느/mma
작은	작/paa+은/etm
암자에	암자/ncn+에/jca
시를	시/ncn+를/jco
잘	잘/mag
짓는	짓/pvg+는/etm
한	한/nnc
노스님을	노스님/ncn+을/jco
만났습니다.	만나/pvg+았/ep+습니다/ef+./sf
그	그/mmd
스님은	스님/ncn+은/jxc
김삿갓에게	김삿갓/nq+에게/jca
시	시/ncn
짓기	짓/pvg+기/etn
시합을	시합/ncn+을/jco
하자고	하/pvg+자고/ecs
제의를	제의/ncn+를/jco
했습니다.	하/pvg+었/ep+습니다/ef+./sf
그리고	그리고/maj
시합에	시합/ncn+에/jca
지는	지/pvg+는/etm
사람은	사람/ncn+은/jxc
벌로	벌/ncn+로/jca
이빨을	이빨/ncn+을/jco
하나	하나/nnc
빼주기로	빼/pvg+어/ecx+주/px+기/etn+로/jca
하자고	하/pvg+자고/ecs
하였습니다.	하/pvg+었/ep+습니다/ef+./sf
그리고	그리고/maj
스님은	스님/ncn+은/jxc
시	시/ncn
짓기	짓/pvg+기/etn
시합에	시합/ncn+에/jca
지금까지	지금/ncn+까지/jxc
이겨서	이기/pvg+어서/ecs
뺀	빼/pvg+ㄴ/etm
이빨이라고	이빨/ncn+이/jp+라고/ecs
하면서,	하/pvg+면서/ecs+,/sp
큰	크/paa+ㄴ/etm
자루에	자루/ncn+에/jca
넣어둔	넣/pvg+어/ecx+두/px+ㄴ/etm
한자루	한/nnc+자루/ncn
가득한	가득/mag+하/xsv+ㄴ/etm
이빨을	이빨/ncn+을/jco
김삿갓에게	김삿갓/nq+에게/jca
보였습니다.	보이/pvg+었/ep+습니다/ef+./sf
시	시/ncn
짓기에	짓/pvg+기/etn+에/jca
자신이	자신/ncn+이/jcs
있는	있/paa+는/etm
김삿갓은,	김삿갓/nq+은/jxc+,/sp
'이	'/sr+이/mmd
고약한	고약하/paa+ㄴ/etm
노승의	노승/ncn+의/jcm
이빨을	이빨/ncn+을/jco
빼서	빼/pvg+서/ecs
나쁜	나쁘/paa+ㄴ/etm
버릇을	버릇/ncn+을/jco
고쳐	고치/pvg+어/ecx
주어야지.'하는	주/px+어야/ecs+지/ef+./sf+'/sr+하/pvg+는/etm
생각으로	생각/ncn+으로/jca
그	그/mmd
시합에	시합/ncn+에/jca
선뜻	선뜻/mag
응했습니다.	응하/pvg+었/ep+습니다/ef+./sf
시합의	시합/ncn+의/jcm
방법은	방법/ncn+은/jxc
노승이	노승/ncn+이/jcs
먼저	먼저/mag
시를	시/ncn+를/jco
읊고,	읊/pvg+고/ecs+,/sp
김삿갓이	김삿갓/ncn+이/jcs
그	그/mmd
대구를	대구/ncn+를/jco
짓는	짓/pvg+는/etm
방식으로	방식/ncn+으로/jca
진행하기로	진행/ncpa+하/xsv+기/etn+로/jca
하였습니다.	하/pvg+였/ep+습니다/ef+./sf
이	이/mmd
두	두/nnc
분이	분/ncn+이/jcs
지은	짓/pvg+은/etm
만고의	만고/ncn+의/jcm
명시	명시/ncn
중에	중/nbn+에/jca
가죽나무도	가죽나무/ncn+도/jxc
등장합니다.	등장/ncpa+하/xsv+ㅂ니다/ef+./sf
그	그/mmd
일부를	일부/ncn+를/jco
소개하면	소개/ncpa+하/xsv+면/ecs
다음과	다음/ncn+과/jct
같습니다.	같/paa+습니다/ef+./sf
綠壁雖危花笑立	綠壁雖危花笑立/ncn
(스님)	(/sl+스님/ncn+)/sr
절벽은	절벽/ncn+은/jxc
비록	비록/mag
위태로우나	위태/ncps+롭/xsm+으나/ecs
꽃은	꽃/ncn+은/jxc
웃으면서	웃/pvg+으면서/ecs
서	서/pvg+어/ecx
있고	있/px+고/ecc
陽春最好鳥啼歸	陽春最好鳥啼歸/ncn
(삿갓)	(/sl+삿갓/nq+)/sr
봄이	봄/ncn+이/jcs
가장	가장/mag
좋은	좋/paa+은/etm
때이건만	때/ncn+이/jp+건만/jxc
새는	새/ncn+는/jxc
울면서	울/pvg+면서/ecs
돌아간다.	돌/pvg+아/ecs+가/pvg+ㄴ다/ef+./sf
影侵綠水衣無濕	影侵綠水衣無濕/ncn
(스님)	(/sl+스님/ncn+)/sr
옷	옷/ncn
그림자	그림자/ncn
푸른	푸르/paa+ㄴ/etm
물에	물/ncn+에/jca
잠겼으나	잠기/pvg+었/ep+으나/ecs
옷은	옷/ncn+은/jxc
젖지	젖/pvg+지/ecx
않고	않/px+고/ecc
夢踏靑山脚不苦	夢踏靑山脚不苦/ncn
(삭갓)	(/sl+삿갓/nq+)/sr
꿈속에서	꿈/ncn+속/ncn+에서/jca
청산을	청산/ncn+을/jco
걸었으나	걷/pvg+었/ep+으나/ecs
다리가	다리/ncn+가/jcs
아프지	아프/paa+지/ecx
않도다.	않/px+도다/ef+./sf
靑山賣得雲空得	靑山賣得雲空得/ncn
(스님)	(/sl+스님/ncn+)/sr
청산을	청산/ncn+을/jco
사고	사/pvg+고/ecx
보니	보/px+니/ecs
구름은	구름/ncn+은/jxc
공짜로	공짜/ncn+로/jca
얻은	얻/pvg+은/etm
셈이요	셈/ncn+이/jp+요/jxf
白水臨來魚自來	白水臨來魚自來/ncn
(삿갓)	(/sl+삿갓/nq+)/sr
백수물가에	백수/nq+물가/ncn+에/jca
오니	오/pvg+니/ecs
고기가	고기/ncn+가/jcs
저절로	저절로/mag
오더라.	오/pvg+더라/ef+./sf
假僧木月影軒	假僧木月影軒/ncn
(스님)	(/sl+스님/ncn+)/sr
가죽나무	가죽나무/ncn
가지	가지/ncn
부러지매	부러지/pvg+매/ecs
달	달/ncn
그림자	그림자/ncn
난간에	난간/ncn+에/jca
어리고	어리/paa+고/ecs
眞婦菜美山妊春	眞婦菜美山妊春/ncn
(삿갓)	(/sl+삿갓/nq+)/sr
참미나리	참미나리/ncn
맛나매	맛나/paa+매/ecs
산은	산/ncn+은/jxc
봄을	봄/ncn+을/jco
잉태했도다.	잉태/ncpa+하/xsv+었/ep+도다/ef+./sf
月白雪白天地白	月白雪白天地白/ncn
(스님)	(/sl+스님/ncn+)/sr
달도	달/ncn+도/jxc
희고	희/paa+고/ecc
눈도	눈/ncn+도/jxc
희고	희/paa+고/ecc
천지도	천지/ncn+도/jxc
희고	희/paa+고/ecc
山深夜深客愁深	山深夜深客愁深/ncn
(삿갓)	(/sl+삿갓/nq+)/sr
산도	산/ncn+도/jxc
깊고	깊/paa+고/ecc
밤도	밤/ncn+도/jxc
깊고	깊/paa+고/ecc
나그네	나그네/ncn
가슴속	가슴/ncn+속/ncn
수심도	수심/ncn+도/jxc
깊다.	깊/paa+다/ef+./sf
기록으로	기록/ncn+으로/jca
남아	남/pvg+아/ecx
있는	있/px+는/etm
이	이/mmd
두	두/nnc
분의	분/nbn+의/jcm
대구는	대구/ncn+는/jxc
전부	전부/ncn
16수인데	16/nnc+수/nbi+이/jp+ㄴ데/ecs
누가	누가/npp
이기고	이기/pvg+고/ecs
지고	지/pvg+고/ecc
없는	없/paa+는/etm
실로	실로/mag
만고의	만고/ncn+의/jcm
명구를	명구/ncn+를/jco
서로	서로/mag
토하면서	토하/pvg+면서/ecs
금강산의	금강산/nq+의/jcm
밤을	밤/ncn+을/jco
유쾌하게	유쾌/ncps+하/xsm+게/ecs
보냈다	보내/pvg+었/ep+다/ef
하는	하/pvg+는/etm
일화가	일화/ncn+가/jcs
있습니다.	있/paa+습니다/ef+./sf
이	이/mmd
시에	시/ncn+에/jca
가죽나무가	가죽나무/ncn+가/jcs
나오는	나오/pvg+는/etm
것을	것/nbn+을/jco
보니	보/pvg+니/ecs
가죽나무는	가죽나무/ncn+는/jxc
우리나라에	우리/npp+나라/ncn+에/jca
널리	널리/mag
퍼져	퍼지/pvg+어/ecx
있었던	있/px+었/ep+던/etm
것으로	것/nbn+으로/jca
생각됩니다.	생각/ncpa+되/xsv+ㅂ니다/ef+./sf
감귤나무	감귤나무/ncn
우리나라에는	우리/npp+나라/ncn+에/jca+는/jxc
여러	여러/mma
가지	가지/nbu
종류의	종류/ncn+의/jcm
과실이	과실/ncn+이/jcs
철	철/ncn
따라	따르/pvg+아/ecs
많이	많/paa+이/xsa
열리지만	열리/pvg+지만/ecs
감귤만큼	감귤/ncn+만큼/nbn
사람들에게	사람/ncn+들/xsn+에게/jca
많은	많/paa+은/etm
혜택을	혜택/ncn+을/jco
주는	주/pvg+는/etm
과실은	과실/ncn+은/jxc
별로	별로/maj
없습니다.	없/paa+습니다/ef+./sf
꽃에서부터	꽃/ncn+에서/jca+부터/jxc
열매에	열매/ncn+에/jca
이르기까지	이르/pvg+기/etn+까지/jxc
그	그/mmd
무엇이라도	무엇/npd+이/jp+라도/jxc
쓸데없이	쓰/pvg+ㄹ/etm+데/nbn+없/paa+이/xsa
버리는	버리/pvg+는/etm
것이	것/nbn+이/jcs
거의	거의/mag
없는	없/paa+는/etm
나무입니다.	나무/ncn+이/jp+ㅂ니다/ef+./sf
열매는	열매/ncn+는/jxc
12월경	12/nno+월/nbu+경/xsn+에/jca
수확하여	수확/ncpa+하/xsv+여/ecs
생과로	생과/ncn+로/jca
먹는데,	먹/pvg+는데/ecs+,/sp
저장도	저장/ncn+도/jxc
2	2/nnc
3개월	3/nnc+개월/nbu
동안이나	동안/ncn+이/jp+나/jxc
가능해서	가능/ncps+하/xsm+어서/ecs
중요한	중요/ncps+하/xsm+ㄴ/etm
겨울	겨울/ncn
과실의	과실/ncn+의/jcm
하나입니다.	하나/ncn+이/jp+ㅂ니다/ef+./sf
사과나	사과/ncn+나/jcj
배가	배/ncn+가/jcs
물론	물론/mag
겨울	겨울/ncn
과실로써	과실/ncn+로써/jca
비할	비하/pvg+ㄹ/etm
수	수/nbn
없이	없/paa+이/xsa
좋지만	좋/paa+지만/ecs
먹을	먹/pvg+을/etm
때마다	때/ncn+마다/jxc
일일이	일일/ncn+이/xsa
껍질을	껍질/ncn+을/jco
칼로	칼/ncn+로/jca
벗겨야	벗기/pvg+어야/ecs
하는	하/px+는/etm
번거로움이	번거롭/paa+ㅁ/etn+이/jcs
따르는	따르/pvg+는/etm
데	데/nbn
반하여,	반하/paa+여/ecs+,/sp
밀감은	밀감/ncn+은/jxc
칼	칼/ncn
없이도	없이/ncn+도/jxc
쉽게	쉽/paa+게/ecx
껍질을	껍질/ncn+을/jco
벗겨	벗기/pvg+어/ecx
먹을	먹/pvg+을/etm
수	수/nbn
있는	있/paa+는/etm
이점이	이점/ncn+이/jcs
있기	있/paa+기/etn
때문에,	때문/nbn+에/jca+,/sp
차	차/ncn
안에서나	안/ncn+에서/jca+나/jxc
사무실에서나	사무/ncn+실/xsn+에서/jca+나/jxc
혹은	혹은/maj
가정에서,	가정/ncn+에서/jca+,/sp
겨울철에	겨울철/ncn+에/jca
부족하기	부족/ncps+하/xsm+기/etn
쉬운	쉽/paa+ㄴ/etm
비타민	비타민/ncn
섭취를	섭취/ncn+를/jco
위한	위하/pvg+ㄴ/etm
식품으로	식품/ncn+으로/jca
많은	많/paa+은/etm
사랑을	사랑/ncn+을/jco
받고	받/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
생과로	생과/ncn+로/jca
먹는	먹/pvg+는/etm
것	것/nbn
외에도	외/nbn+에/jca+도/jxc
과즙으로	과즙/ncn+으로/jca
먹는	먹/pvg+는/etm
양도	양/ncn+도/jxc
무척	무척/mag
많아서,	많/paa+아서/ecs+,/sp
지금은	지금/ncn+은/jxc
국내	국내/ncn
생산량으로는	생산/ncn+량/ncn+으로/jca+는/jxc
모자라	모자라/paa+아/ecs
외국에서	외국/ncn+에서/jca
오렌지	오렌지/ncn
과즙을	과즙/ncn+을/jco
수입해서	수입/ncpa+하/xsv+어서/ecs
먹기까지	먹/pvg+기/etn+까지/jxc
합니다.	하/pvg+ㅂ니다/ef+./sf
감귤차도	감귤/ncn+차/ncn+도/jxc
또한	또한/maj
일품이며,	일품/ncn+이/jp+며/ecs+,/sp
눈이	눈/ncn+이/jcs
펑펑	펑펑/mag
쏟아지는	쏟/pvg+아/ecx+지/px+는/etm
날	날/ncn
밤	밤/ncn
따끈한	따끈하/paa+ㄴ/etm
유자차	유자/ncn+차/ncn
한	한/nnc
잔을	잔/nbu+을/jco
마시면,	마시/pvg+면/ecs+,/sp
새콤한	새콤하/paa+ㄴ/etm
향기와	향기/ncn+와/jct
함께	함께/mag
혀끝에	혀/ncn+끝/ncn+에/jca
닿는	닿/pvg+는/etm
감칠맛은	감칠맛/ncn+은/jxc
어느	어느/mma
차에도	차/ncn+에/jca+도/jxc
비길	비기/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
일품이며,	일품/ncn+이/jp+며/ecs+,/sp
추위에	추위/ncn+에/jca
웅크린	웅크리/pvg+ㄴ/etm
몸의	몸/ncn+의/jcm
피로가	피로/ncn+가/jcs
풀리고,	풀리/pvg+고/ecc+,/sp
감돌던	감돌/pvg+던/etm
감기	감기/ncn
기운마저도	기운/ncn+마저도/jxc
사라져	사라지/pvg+어/ecx
버립니다.	버리/px+ㅂ니다/ef+./sf
또한	또한/maj
꽃에서는	꽃/ncn+에서/jca+는/jxc
달콤한	달콤/ncps+하/xsm+ㄴ/etm
향료	향료/ncn
네롤리(Neroli)	네롤리/ncn+(/sl+Neroli/f+)/sr
유를	유/ncn+를/jco
추출해서	추출/ncpa+하/xsv+어서/ecs
향수로	향수/ncn+로/jca
사용하고,	사용/ncpa+하/xsv+고/ecc+,/sp
껍질을	껍질/ncn+을/jco
잘	잘/mag
말려서	말리/pvg+어서/ecs
한약재로	한약/ncn+재/xsn+로/jca
씁니다.	쓰/pvg+ㅂ니다/ef+./sf
분에	분/ncn+에/jca
심은	심/pvg+은/etm
작은	작/paa+은/etm
나무에서	나무/ncn+에서/jca
황색으로	황색/ncn+으로/jca
물든	물/ncn+들/pvg+ㄴ/etm
과일이	과일/ncn+이/jcs
몇	몇/nnc
개	개/nbu
열릴	열리/pvg+ㄹ/etm
때면	때/ncn+면/ecs
너무나	너무나/mag
보기가	보/pvg+기/etn+가/jcs
좋아서	좋/paa+아서/ecs
사랑스러운	사랑/ncps+스럽/xsm+ㄴ/etm
나머지	나머지/ncn
따먹는	따/pvg+아/ecs+먹/pvg+는/etm
것도	것/nbn+도/jxc
아깝고	아깝/paa+고/ecs
보기만	보/pvg+기/etn+만/jxc
해도	하/pvg+어도/ecs
마음이	마음/ncn+이/jcs
넉넉해집니다.	넉넉하/paa+어/ecx+지/px+ㅂ니다/ef+./sf
감귤(柑橘은)	감귤/ncn+(/sl+柑橘/ncn+)/sr+은/jxc
운향과	운향/ncn+과/jcj
감귤나무	감귤나무/ncn
아과(亞科)에	아과/ncn+(/sl+亞科/ncn+)/sr+에/jca
속하는	속하/pvg+는/etm
많은	많/paa+은/etm
식물군의	식물/ncn+군/xsn+의/jcm
이름인데,	이름/ncn+이/jp+ㄴ데/ecs+,/sp
여기에	여기/npd+에/jca
들어가는	들/pvg+어/ecs+가/pvg+는/etm
종류는	종류/ncn+는/jxc
감귤속(柑橘屬	감귤/ncn+속/ncn+(/sl+柑橘屬/ncn
Cirus),	Cirus/f+)/sr+,/sp
금감속(金柑屬,	금감/ncn+속/ncn+(/sl+金柑屬/nnc+,/sp
Fdrtunella),	Fdrtunella/f+)/sr+,/sp
탱자나무속(Pocirus),	탱자나무/ncn+속/ncn+(/sl+Poncirus/f+)/sr+,/sp
클리메니아속(Clymenia)에	클리메니아/ncn+속/ncn+(/sl+Clymenia/f+)/sr+
클리메니아속(Clymenia)에	에/jca
속하는	속하/pvg+는/etm
4종(種)과	4/nnc+종/nbu+(/sl+種/ncn+)/sr+과/jcj
여기서	여기/npd+서/jca
파생된	파생/ncpa+되/xsv+ㄴ/etm
많은	많/paa+은/etm
변종의	변종/ncn+의/jcm
총칭을	총칭/ncn+을/jco
일컫는	일컫/pvg+는/etm
말입니다.	말/ncn+이/jp+ㅂ니다/ef+./sf
감귤류의	감귤/ncn+류/xsn+의/jcm
원생지는	원생/ncn+지/xsn+는/jxc
인도,	인도/nq+,/sp
버마,	버마/nq+,/sp
말레이반도,	말레이반도/nq+,/sp
인도차이나,	인도차이나/nq+,/sp
중국,	중국/nq+,/sp
한국,	한국/nq+,/sp
일본에까지	일본/nq+에/jca+까지/jxc
이른	이르/pvg+ㄴ/etm
광범한	광범/ncps+하/xsm+ㄴ/etm
지역인데,	지역/ncn+이/jp+ㄴ데/ecs+,/sp
특히	특히/mag
동부	동부/ncn
히말라야	히말라야/nq
및	및/maj
아삼	아삼/nq
지방과	지방/ncn+과/jcj
양자강	양자강/nq
상류	상류/ncn
지방은	지방/ncn+은/jxc
중요한	중요/ncps+하/xsm+ㄴ/etm
품종의	품종/ncn+의/jcm
원생지입니다.	원생/ncn+지/xsn+이/jp+ㅂ니다/ef+./sf
우리나라에서도	우리/npp+나라/ncn+에서/jca+도/jxc
제주도에서	제주도/nq+에서/jca
많은	많/paa+은/etm
감귤이	감귤/ncn+이/jcs
생산되어	생산/ncpa+되/xsv+어/ecx
값싼	값/ncn+싸/paa+ㄴ/etm
감귤을	감귤/ncn+을/jco
안심하고	안심/ncpa+하/xsv+고/ecs
먹고	먹/pvg+고/ecx
있는데,	있/px+는데/ecs+,/sp
제주도는	제주도/nq+는/jxc
세계	세계/ncn
감귤	감귤/ncn
재배지	재배/ncn+지/xsn
중에서	중/nbn+에서/jca
가장	가장/mag
북부에	북부/ncn+에/jca
위치하고	위치/ncn+하/xsv+고/ecx
있으므로	있/px+으므로/ecs
재배	재배/ncn
품종에는	품종/ncn+에/jca+는/jxc
많은	많/paa+은/etm
제한이	제한/ncn+이/jcs
있고,	있/paa+고/ecc+,/sp
1911년	1911/nno+년/nbu
일본에서	일본/nq+에서/jca
도입한	도입/ncpa+하/xsv+ㄴ/etm
온주밀감이	온주밀감/ncn+이/jcs
주종을	주종/ncn+을/jco
이루고	이루/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
그러나	그러나/maj
우리	우리/npp
농민들의	농민/ncn+들/xsn+의/jcm
부단한	부단/ncps+하/xsm+ㄴ/etm
연구와	연구/ncn+와/jcj
노력으로	노력/ncn+으로/jca
지금은	지금/ncn+은/jxc
다른	다르/paa+ㄴ/etm
여러	여러/mma
가지	가지/nbu
신품종도	신/xp+품종/ncn+도/jxc
재배되고	재배/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
실정입니다.	실정/ncn+이/jp+ㅂ니다/ef+./sf
1960	1960/nno
년	년/nbu
초기에는	초기/ncn+에/jca+는/jxc
서귀포를	서귀포/nq+를/jco
중심으로한	중심/ncn+으로/jca+하/pvg+ㄴ/etm
제주도	제주도/nq
일부	일부/ncn
지역만이	지역/ncn+만/jxc+이/jcs
우리나라	우리/npp+나라/ncn
유일의	유일/ncn+의/jcm
감귤생산지로	감귤/ncn+생산/ncn+지/xsn+로/jca
되어	되/pvg+어/ecx
있었으나	있/px+었/ep+으나/ecs
그	그/npd
동안의	동안/ncn+의/jcm
많은	많/paa+은/etm
연구로	연구/ncn+로/jca
최근에는	최근/ncn+에/jca+는/jxc
해발	해발/ncn
200m	200/nnc+m/su
이하	이하/ncn
되는	되/pvg+는/etm
제주도	제주도/nq
일원과	일원/ncn+과/jcj
남부	남부/ncn
지방인	지방/ncn+이/jp+ㄴ/etm
통영,	통영/nq+,/sp
고흥,	고흥/nq+,/sp
완도,	완도/nq+,/sp
거제,	거제/nq+,/sp
남해,	남해/nq+,/sp
금산	금산/nq
등지에서도	등지/nbn+에서/jca+도/jxc
감귤류가	감귤/ncn+류/xsn+가/jcs
재배되고	재배/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
실정입니다.	실정/ncn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
그	그/mmd
생산량은	생산/ncn+량/ncn+은/jxc
아직도	아직도/mag
많이	많/paa+이/xsa
부족하다고	부족/ncps+하/xsm+다고/ecs
생각합니다.	생각/ncpa+하/xsv+ㅂ니다/ef+./sf
오렌지의	오렌지/ncn+의/jcm
꽃	꽃/ncn
향기는	향기/ncn+는/jxc
너무나	너무나/mag
달콤해서	달콤하/paa+어서/ecs
소녀의	소녀/ncn+의/jcm
향기라고도	향기/ncn+라고/jcr+도/jxc
할	하/pvg+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
여름철	여름철/ncn
유백색의	유백색/ncn+의/jcm
귀여운	귀엽/paa+ㄴ/etm
꽃이	꽃/ncn+이/jcs
피면	피/pvg+면/ecs
그	그/mmd
주변은	주변/ncn+은/jxc
온통	온통/mag
감미로운	감미/ncps+롭/xsm+ㄴ/etm
향기로	향기/ncn+로/jca
별천지를	별천지/ncn+를/jco
이룹니다.	이루/pvg+ㅂ니다/ef+./sf
오렌지	오렌지/ncn
향료는	향료/ncn+는/jxc
바로	바로/mag
이	이/mmd
꽃에서	꽃/ncn+에서/jca
얻어지는	얻/pvg+어/ecx+지/px+는/etm
천연	천연/ncn
향료입니다.	향료/ncn+이/jp+ㅂ니다/ef+./sf
오렌지색과	오렌지/ncn+색/ncn+과/jcj
오렌지	오렌지/ncn
향기는	향기/ncn+는/jxc
옛날부터	옛날/ncn+부터/jxc
많은	많/paa+은/etm
젊은	젊/paa+은/etm
여성들의	여성/ncn+들/xsn+의/jcm
사랑을	사랑/ncn+을/jco
받아왔습니다.	받/pvg+아/ecx+오/px+았/ep+습니다/ef+./sf
여성들은	여성/ncn+들/xsn+은/jxc
오렌지빛	오렌지/ncn+빛/ncn
사랑과	사랑/ncn+과/jcj
행복을,	행복/ncn+을/jco+,/sp
사랑하는	사랑/ncpa+하/xsv+는/etm
사람으로부터	사람/ncn+으로/jca+부터/jxc
받기	받/pvg+기/etn
소원하고,	소원/ncn+하/xsv+고/ecs+,/sp
오렌지	오렌지/ncn
향기와	향기/ncn+와/jct
같이	같/paa+이/xsa
달콤하고	달콤/ncps+하/xsm+고/ecc
매혹적인	매혹/ncn+적/xsn+이/jp+ㄴ/etm
속삭임을	속삭이/pvg+ㅁ/etn+을/jco
간절히	간절/ncn+히/xsa
바라며	바라/pvg+며/ecs
살고	살/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
그리고	그리고/maj
사랑하는	사랑/ncpa+하/xsv+는/etm
사람의	사람/ncn+의/jcm
애정으로	애정/ncn+으로/jca
정겹고	정겹/paa+고/ecc
뜨거워진	뜨겁/paa+어/ecx+지/px+ㄴ/etm
여성들은	여성/ncn+들/xsn+은/jxc
오렌지	오렌지/ncn
열매만큼이나	열매/ncn+만큼/jca+이나/jxc
달콤하고	달콤/ncps+하/xsm+고/ecc
풍부한	풍부/ncps+하/xsm+ㄴ/etm
마음을	마음/ncn+을/jco
그들의	그/npd+들/xsn+의/jcm
남자에게	남자/ncn+에게/jca
바치며	바치/pvg+며/ecc
살아갑니다.	살/pvg+아/ecx+가/px+ㅂ니다/ef+./sf
사랑이란	사랑/ncn+이/jp+란/jxc
목적이	목적/ncn+이/jcc
아닙니다.	아니/paa+ㅂ니다/ef+./sf
사랑	사랑/ncn
그	그/mmd
자체가	자체/ncn+가/jcs
목적이고	목적/ncn+이/jp+고/ecc
또	또/maj
오렌지빛	오렌지/ncn+빛/ncn
사랑을	사랑/ncn+을/jco
이루려고	이루/pvg+려고/ecs
여러	여러/mma
가지	가지/nbu
행복한	행복/ncps+하/xsm+ㄴ/etm
일들을	일/ncn+들/xsn+을/jco
하는	하/pvg+는/etm
그	그/mmd
정겨운	정겹/paa+ㄴ/etm
과정이	과정/ncn+이/jcs
바로	바로/mag
사랑입니다.	사랑/ncn+이/jp+ㅂ니다/ef+./sf
그러므로	그러므로/maj
사랑이란	사랑/ncn+이/jp+란/jxc
이루어	이루/pvg+어/ecx
나가는	나가/pvg+는/etm
일들이지	일/ncn+들/xsn+이/jp+지/ef
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
결과가	결과/ncn+가/jcc
아닙니다.	아니/paa+ㅂ니다/ef+./sf
사랑이란	사랑/ncn+이/jp+란/jxc
해마다	해/ncn+마다/jxc
피는	피/pvg+는/etm
오렌지	오렌지/ncn
꽃처럼	꽃/ncn+처럼/jca
영원히	영원/ncn+히/xsa
가슴속에서	가슴/ncn+속/ncn+에서/jca
샘솟는	샘솟/pvg+는/etm
무한한	무한/ncps+하/xsm+ㄴ/etm
샘물이고	샘물/ncn+이/jp+고/ecc
숨겨진	숨기/pvg+어/ecx+지/px+ㄴ/etm
보물이지	보물/ncn+이/jp+지/ecs
결단코	결단코/mag
노출되고	노출/ncpa+되/xsv+고/ecc
도달될	도달/ncpa+되/xsv+ㄹ/etm
종착역이	종착/ncn+역/ncn+이/jcc
아닙니다.	아니/paa+ㅂ니다/ef+./sf
바다에는	바다/ncn+에/jca+는/jxc
진주가	진주/ncn+가/jcs
있고	있/paa+고/ecc
하늘에는	하늘/ncn+에/jca+는/jxc
별이	별/ncn+이/jcs
있듯이	있/paa+듯이/ecs
우리의	우리/npp+의/jcm
마음속에는	마음/ncn+속/ncn+에/jca+는/jxc
사랑이	사랑/ncn+이/jcs
있습니다.	있/paa+습니다/ef+./sf
그러기에	그렇/pad+기/etm+에/jca
인생은	인생/ncn+은/jxc
즐겁고	즐겁/paa+고/ecc
청춘은	청춘/ncn+은/jxc
행복한	행복/ncps+하/xsm+ㄴ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
그러나	그러나/maj
이러한	이러하/pad+ㄴ/etm
사랑도	사랑/ncn+도/jxc
늘	늘/mag
돌보지	돌보/pvg+지/ecx
않으면	않/px+으면/ecs
사라져	사라지/pvg+어/ecx
버리고	버리/px+고/ecc
빛을	빛/ncn+을/jco
잃어버리기	잃/pvg+어/ecx+버리/px+기/etn
쉽습니다.	쉽/paa+습니다/ef+./sf
세상	세상/ncn
모든	모든/mma
것처럼	것/nbn+처럼/jca
사랑도	사랑/ncn+도/jxc
아끼고	아끼/pvg+고/ecs
소중하게	소중/ncps+하/xsm+게/ecs
잘	잘/mag
관리를	관리/ncn+를/jco
해야	하/pvg+어야/ecs
길이	길이/mag
아름답게	아름/ncps+답/xsm+게/ecs
빛날	빛나/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
겁니다.	것/nbn+ㅂ니다/ef+./sf
감귤에	감귤/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/etm
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
재미있는	재미/ncn+있/paa+는/etm
전설이	전설/ncn+이/jcs
있습니다.	있/paa+습니다/ef+./sf
옛날	옛날/ncn
