<tdmsfile>
<tdmsfile>
mbc.hwp
"지옥	"/sl+지옥/ncn
특단의	특단/ncn+의/jcm
대책을	대책/ncn+을/jco
검토하고	검토/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
우선	우선/mag
투신사들과	투신/ncn+사/xsn+들/xsn+과/jcj
증권	증권/ncn
회사들에게	회사/ncn+들/xsn+에게/jca
외국인들이	외국/ncn+인/xsn+들/xsn+이/jcs
투매한	투매/ncpa+하/xsv+ㄴ/etm
주식을	주식/ncn+을/jco
사들일	사/pvg+아/ecs+들이/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
한국은행이	한국은행/nq+이/jcs
특별	특별/ncn
융자를	융자/ncn+를/jco
해	하/pvg+어/ecx
주고,	주/px+고/ecc+,/sp
무기명	무/xp+기명/ncn
장기	장기/ncn
채권을	채권/ncn+을/jco
발행하며,	발행/ncpa+하/xsv+며/ecc+,/sp
투자	투자/ncn
신탁의	신탁/ncn+의/jcm
주식형	주식/ncn+형/xsn
수익	수익/ncn
증권에	증권/ncn+에/jca
투자하는	투자/ncpa+하/xsv+는/etm
돈에	돈/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
자금	자금/ncn
출처를	출처/ncn+를/jco
면제해	면제/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
방안	방안/ncn
등이	등/nbn+이/jcs
거론되고	거론/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
또	또/maj
단기적으로는	단기/ncn+적/xsn+으로/jca+는/jxc
각종	각종/ncn
연기금들이	연기/ncn+금/xsn+들/xsn+이/jcs
여유	여유/ncn
자금	자금/ncn
1조	1조/nnc
원을	원/nbu+을/jco
동원해서	동원/ncpa+하/xsv+어서/ecs
주식을	주식/ncn+을/jco
사도록	사/pvg+도록/ecs
권고하기로	권고/ncpa+하/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
천정부지로	천정부지/ncn+로/jca
치솟고	치솟/pvg+고/ecx
있는	있/px+는/etm
원화	원화/ncn
환율에	환율/ncn+에/jca
대해서도	대하/pvg+어서/ecs+도/jxc
정부는	정부/ncn+는/jxc
빠르면	빠르/paa+면/ecs
내일쯤	내일/ncn+쯤/xsn
강력히	강력/ncn+히/xsa
시장에	시장/ncn+에/jca
개입해서	개입/ncpa+하/xsv+어서/ecs
오름세를	오름/ncn+세/xsn+를/jco
저지할	저지/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
알려졌습니다	알리/pvg+어/ecx+지/px+었/ep+습니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
홍은주입니다.	홍은주/nq+이/jp+ㅂ니다/ef+./sf
"금융	"/sl+금융/ncn
위기	위기/ncn
추궁"	추궁/ncn+"/sr
위기의	위기/ncn+의/jcm
우리	우리/npp
경제는	경제/ncn+는/jxc
오늘	오늘/ncn
열린	열리/pvg+ㄴ/etm
국회	국회/ncn
경제분야	경제/ncn+분야/ncn
대정부	대/xp+정부/ncn
질문에서도	질문/ncn+에서/jca+도/jxc
집중적으로	집중/ncn+적/xsn+으로/jca
제기됐습니다.	제기/ncpa+되/xsv+었/ep+습니다/ef+./sf
그렇지만	그렇지만/maj
의석은	의석/ncn+은/jxc
텅	텅/mag
비어	비/paa+어/ecx
있었습니다.	있/px+었/ep+습니다/ef+./sf
김장겸	김장겸/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
여야	여야/ncn
모두	모두/ncn
경제	경제/ncn
위기에	위기/ncn+에/jca
질문의	질문/ncn+의/jcm
초점을	초점/ncn+을/jco
맞추었습니다.	맞추/pvg+었/ep+습니다/ef+./sf
이러다간	이러/pvd+다가/ecs+ㄴ/jxc
외환	외환/ncn
자금	자금/ncn
부족,	부족/ncn+,/sp
환율	환율/ncn
급등,	급등/ncn+,/sp
해외	해외/ncn
자금의	자금/ncn+의/jcm
증시	증시/ncn
이탈,	이탈/ncn+,/sp
국내	국내/ncn
주식	주식/ncn
시장의	시장/ncn+의/jcm
붕괴	붕괴/ncn
등	등/nbn
멕시코	멕시코/nq
사태가	사태/ncn+가/jcs
재현되는	재현/ncpa+되/xsv+는/etm
것이	것/nbn+이/jcc
아닌가	아니/paa+ㄴ가/ecs
하는	하/pvg+는/etm
우려의	우려/ncn+의/jcm
목소리가	목소리/ncn+가/jcs
높습니다.	높/paa+습니다/ef+./sf
우리	우리/npp
경제는	경제/ncn+는/jxc
경제	경제/ncn
성장	성장/ncn
및	및/maj
국제	국제/ncn
수지	수지/ncn
등	등/nbn
기초	기초/ncn
경제	경제/ncn
여건이	여건/ncn+이/jcs
건실한	건실/ncps+하/xsm+ㄴ/etm
모습을	모습/ncn+을/jco
보이고	보이/pvg+고/ecx
있어,	있/px+어/ecs+,/sp
전반적인	전반/ncn+적/xsn+이/jp+ㄴ/etm
경제	경제/ncn
운영은	운영/ncn+은/jxc
큰	크/paa+ㄴ/etm
어려움이	어려움/ncn+이/jcs
없는	없/paa+는/etm
것으로	것/nbn+으로/jca
생각됩니다	생각/ncpa+되/xsv+ㅂ니다/ef
구체적으로	구체/ncn+적/xsn+으로/jca
주가	주가/ncn
폭락에	폭락/ncn+에/jca
대한	대하/pvg+ㄴ/etm
대책과	대책/ncn+과/jcj
금리	금리/ncn
정책	정책/ncn
규제	규제/ncn
완화에	완화/ncn+에/jca
대한	대하/pvg+ㄴ/etm
질문이	질문/ncn+이/jcs
이어졌습니다.	잇/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
금리를	금리/ncn+를/jco
낮춘다면	낮추/pvg+ㄴ다/ef+면/ecs
이것은	이것/npd+은/jxc
바로	바로/mag
우리	우리/npp
경제를	경제/ncn+를/jco
활성화시키고	활성/ncn+화/xsn+시키/xsv+고/ecc
주식	주식/ncn
시장을	시장/ncn+을/jco
단순간에	단순간/ncn+에/jca
부양할	부양/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
좋은	좋/paa+은/etm
정책이	정책/ncn+이/jcc
되리라고...	되/pvg+리/ep+라/ef+고/ef+.../se
조속한	조속/ncps+하/xsm+ㄴ/etm
시일	시일/ncn
내에	내/nbn+에/jca
금융	금융/ncn
개혁을	개혁/ncn+을/jco
추진함으로써	추진/ncpa+하/xsv+ㅁ/etn+으로써/jca
대외	대외/ncn
신임도도	신임/ncn+도/xsn+도/jxc
재고되도록	재고/ncpa+되/xsv+도록/ecs
노력해	노력/ncpa+하/xsv+어/ecx
나가겠습니다	나가/px+겠/ep+습니다/ef
앞으로의	앞/ncn+으로/jca+의/jcm
규제	규제/ncn
혁파와	혁파/ncn+와/jcj
추진	추진/ncn
방향을	방향/ncn+을/jco
말씀해	말씀/ncpa+하/xsv+어/ecx
주시기	주/px+시/ep+기/etn
바랍니다.	바라/pvg+ㅂ니다/ef+./sf
있는	있/paa+는/etm
규제에	규제/ncn+에/jca
대해서도	대하/pvg+어서/ecs+도/jxc
제로	제로/ncn
베이스해서	베이스/ncpa+하/xsv+어서/ecs
전면	전면/ncn
재검토를	재/xp+검토/ncn+를/jco
할	하/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
농정에	농정/ncn+에/jca
대한	대하/pvg+ㄴ/etm
추궁도	추궁/ncn+도/jxc
계속됐습니다.	계속/ncpa+되/xsv+었/ep+습니다/ef+./sf
농가	농가/ncn
부채하에서도	부채/ncn+하/nbn+에서/jca+도/jxc
풍년	풍년/ncn
농사에	농사/ncn+에/jca
애쓴	애/ncn+쓰/pvg+ㄴ/etm
우리	우리/npp
농민들에게	농민/ncn+들/xsn+에게/jca
최소한	최소한/ncn
올	올/mma
추곡가를	추곡/ncn+가/xsn+를/jco
5%	5/nnc+%/su
정도는	정도/ncn+는/jxc
보장해	보장/ncpa+하/xsv+어/ecx
주어야	주/px+어야/ecs
한다고	하/px+ㄴ다/ef+고/jcr
생각하는데	생각/ncpa+하/xsv+는데/ecs
WTO	WTO/f
체제하에서는	체제/ncn+하/nbn+에서/jca+는/jxc
매년	매년/ncn
보조금을	보조/ncn+금/xsn+을/jco
감축해야	감축/ncpa+하/xsv+어야/ecs
되기	되/px+기/etn
때문에	때문/nbn+에/jca
수매가를	수매/ncn+가/xsn+를/jco
올리게	올리/pvg+게/ecx
되면	되/px+면/ecs
수매량을	수매/ncn+량/ncn+을/jco
더	더/mag
줄여야	줄이/pvg+어야/ecs
하는	하/px+는/etm
어려움이	어려움/ncn+이/jcs
있다는	있/paa+다/ef+는/etm
것	것/nbn
양해해	양해/ncpa+하/xsv+어/ecx
주시기	주/px+시/ep+기/etn
바랍니다.	바라/pvg+ㅂ니다/ef+./sf
국회	국회/ncn
내	내/nbn
전광판을	전광/ncn+판/ncn+을/jco
이용하지	이용/ncpa+하/xsv+지/ecx
못하게	못하/px+게/ecx
하는	하/px+는/etm
국회의장에	국회/ncn+의장/ncn+에/jca
대한	대하/pvg+ㄴ/etm
성토도	성토/ncn+도/jxc
있었습니다.	있/paa+었/ep+습니다/ef+./sf
9억	9억/nnc
원의	원/nbu+의/jcm
예산을	예산/ncn+을/jco
들어	들/pvg+어/ecs
설치된	설치/ncpa+되/xsv+ㄴ/etm
전광판은	전광/ncn+판/ncn+은/jxc
그림의	그림/ncn+의/jcm
떡으로	떡/ncn+으로/jca
낙후된	낙후/ncpa+되/xsv+ㄴ/etm
국회	국회/ncn
정보화의	정보/ncn+화/xsn+의/jcm
한	한/nnc
단면을	단면/ncn+을/jco
보여준	보이/pvg+어/ecx+주/px+ㄴ/etm
것	것/nbn
같습니다.	같/paa+습니다/ef+./sf
특히	특히/mag
신한국당	신한국당/nq
김윤환	김윤환/nq
의원은	의원/ncn+은/jxc
자신과	자신/npp+과/jcj
이인제	이인제/nq
전	전/mma
경기지사의	경기/nq+지사/ncn+의/jcm
계좌가	계좌/ncn+가/jcs
조사를	조사/ncn+를/jco
당했다며,	당하/pvg+었/ep+다/ef+며/ecs+,/sp
은행	은행/ncn
감독원장의	감독/ncn+원장/ncn+의/jcm
징계를	징계/ncn+를/jco
요구했습니다.	요구/ncpa+하/xsv+었/ep+습니다/ef+./sf
오늘도	오늘/ncn+도/jxc
의원들의	의원/ncn+들/xsn+의/jcm
국회	국회/ncn
출석률은	출석/ncn+률/xsn+은/jxc
매우	매우/mag
낮아	낮/paa+아/ecs
무게	무게/ncn
중심이	중심/ncn+이/jcs
민생보다는	민생/ncn+보다/jca+는/jxc
정쟁에	정쟁/ncn+에/jca
쏠렸음을	쏠리/pvg+었/ep+음/etn+을/jco
반영했습니다.	반영/ncpa+하/xsv+었/ep+습니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
김장겸입니다.	김장겸/ncn+이/jp+ㅂ니다/ef+./sf
"한반도	"/sl+한반도/nq
문제	문제/ncn
논의"	논의/ncn+"/sr
오늘	오늘/ncn
워싱턴에	워싱턴/nq+에/jca
도착한	도착/ncpa+하/xsv+ㄴ/etm
강택민	강택민/nq
중국	중국/nq
국가	국가/ncn
주석은	주석/ncn+은/jxc
클린턴	클린턴/nq
대통령과	대통령/ncn+과/jcj
비공식	비/xp+공식/ncn
회담을	회담/ncn+을/jco
가졌습니다.	가지/pvg+었/ep+습니다/ef+./sf
두	두/nnc
나라	나라/ncn
정상은	정상/ncn+은/jxc
핫라인	핫라인/ncn
설치에	설치/ncn+에/jca
합의하고	합의/ncpa+하/xsv+고/ecc
한반도	한반도/nq
문제도	문제/ncn+도/jxc
논의했습니다.	논의/ncpa+하/xsv+었/ep+습니다/ef+./sf
워싱턴	워싱턴/nq
김택곤	김택곤/nq
특파원입니다	특파/ncn+원/xsn+이/jp+ㅂ니다/ef
강택민	강택민/ncn
중국	중국/nq
국가	국가/ncn
주석은	주석/ncn+은/jxc
워싱턴에	워싱턴/nq+에/jca
도착한	도착/ncpa+하/xsv+ㄴ/etm
직후,	직후/ncn+,/sp
백악관을	백악관/nq+을/jco
방문하고	방문/ncpa+하/xsv+고/ecc
클린턴	클린턴/nq
대통령과	대통령/ncn+과/jcj
비공식	비/xp+공식/ncn
정상	정상/ncn
회담을	회담/ncn+을/jco
가졌습니다.	가지/pvg+었/ep+습니다/ef+./sf
비공식	비/xp+공식/ncn
정상	정상/ncn
회담은	회담/ncn+은/jxc
예정	예정/ncn
시간을	시간/ncn+을/jco
넘겨	넘기/pvg+어/ecs
밤	밤/ncn
늦게까지	늦/paa+게/ecs+까지/jxc
2시간	2/nnc+시간/nbu
가까이	가깝/paa+이/xsa
계속되었습니다.	계속/ncpa+되/xsv+었/ep+습니다/ef+./sf
회담을	회담/ncn+을/jco
마친	마치/pvg+ㄴ/etm
뒤	뒤/ncn
백악관은	백악관/nqn+은/jxc
두	두/nnc
나라	나라/ncn
정상이	정상/ncn+이/jcs
본질적인	본질/ncn+적/xsn+이/jp+ㄴ/etm
토의를	토의/ncn+를/jco
가졌으며,	가지/pvg+었/ep+으며/ecc+,/sp
비상	비상/ncn
사태에	사태/ncn+에/jca
대비한	대비/ncpa+하/xsv+ㄴ/etm
정상간	정상/ncn+간/nbn
핫라인	핫라인/ncn
설치에	설치/ncn+에/jca
합의했다고	합의/ncpa+하/xsv+었/ep+다/ef+고/jcr
밝혔습니다	밝히/pvg+었/ep+습니다/ef
다른	다르/paa+ㄴ/etm
관리들은	관리/ncn+들/xsn+은/jxc
무역과	무역/ncn+과/jcj
인권	인권/ncn
문제,	문제/ncn+,/sp
무기	무기/ncn
판매	판매/ncn
문제	문제/ncn
등	등/nbn
양국의	양국/ncn+의/jcm
주요	주요/ncn
현안과	현안/ncn+과/jcj
한반도를	한반도/nq+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
국제	국제/ncn
정세가	정세/ncn+가/jcs
깊이	깊이/ncn
있게	있/paa+게/ecs
논의됐다고	논의/ncpa+되/xsv+었/ep+다/ef+고/jcr
전했으나	전하/pvg+었/ep+으나/ecs
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
내용은	내용/ncn+은/jxc
밝히지	밝히/pvg+지/ecx
않았습니다	않/px+았/ep+습니다/ef
비공식	비/xp+공식/ncn
정상회담에	정상/ncn+회담/ncn+에/jca
앞서	앞서/mag
울브라이트	울브라이트/nq
미	미/nq
국무장관은	국무/ncn+장관/ncn+은/jxc
특별	특별/ncn
기자	기자/ncn
회견을	회견/ncn+을/jco
통해서	통하/pvg+어서/ecs
두	두/nnc
나라	나라/ncn
정상이	정상/ncn+이/jcs
논의할	논의/ncpa+하/xsv+ㄹ/etm
세계	세계/ncn
안정에	안정/ncn+에/jca
관련된	관련/ncpa+되/xsv+ㄴ/etm
주요	주요/ncn
현안으로	현안/ncn+으로/jca
한반도	한반도/nq
문제를	문제/ncn+를/jco
맨	맨/mag
먼저	먼저/mag
거론했습니다.	거론/ncpa+하/xsv+었/ep+습니다/ef+./sf
강택민	강택민/nq
주석은	주석/ncn+은/jxc
워싱턴	워싱턴/nq
방문에	방문/ncn+에/jca
앞서	앞서/mag
미국의	미국/nq+의/jcm
유서	유서/ncn
깊은	깊/paa+은/etm
도시	도시/ncn
윌리암스버그에	윌리암스버그/nq+에/jca
머무는	머물/pvg+는/etm
동안	동안/ncn
미국의	미국/nq+의/jcm
민주주의	민주/ncn+주의/ncn
전통에	전통/ncn+에/jca
찬사를	찬사/ncn+를/jco
아끼지	아끼/pvg+지/ecx
않았습니다.	않/px+았/ep+습니다/ef+./sf
일부	일부/ncn
미국	미국/nq
언론들은	언론/ncn+들/xsn+은/jxc
연기에	연기/ncn+에/jca
능한	능하/paa+ㄴ/etm
강	강/nq
주석이	주석/ncn+이/jcs
미국	미국/nq
국민에게	국민/ncn+에게/jca
추파를	추파/ncn+를/jco
보내고	보내/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
전하고	전하/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
워싱턴에서	워싱턴/nq+에서/jca
MBC	MBC/f
뉴스	뉴스/ncn
김택곤입니다.	김택곤/nq+이/jp+ㅂ니다/ef+./sf
"주류,	"/sl+주류/ncn+,/sp
비주류	비/xp+주류/ncn
각각	각각/mag
제	제/npp
갈길"	가/pvg+ㄹ/etm+길/ncn+"/sr
신한국당의	신한국당/nq+의/jcm
내분이	내분/ncn+이/jcs
이제	이제/mag
분당으로	분당/ncn+으로/jca
내닫고	내닫/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
주류측은	주류/ncn+측/xsn+은/jxc
이회창	이회창/nq
총재의	총재/ncn+의/jcm
친정	친정/ncn
체제를	체제/ncn+를/jco
다진	다지/pvg+ㄴ/etm
반면	반면/maj
비주류측의	비/xp+주류/ncn+측/xsn+의/jcm
일부는	일부/ncn+는/jxc
내일부터	내일/ncn+부터/jxc
탈당을	탈당/ncn+을/jco
본격화하고	본격/ncn+화/xsn+하/xsv+고/ecc
또,	또/maj+,/sp
한	한/nnc
편에서는	편/ncn+에서/jca+는/jxc
당내	당내/ncn
후보	후보/ncn
사퇴	사퇴/ncn
투쟁에	투쟁/ncn+에/jca
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
김은혜	김은혜/nq
기자입니다	기자/ncn+이/jp+ㅂ니다/ef
주류측의	주류/ncn+측/xsn+의/jcm
중단	중단/ncn
없는	없/paa+는/etm
세몰이	세몰이/ncn+는/jxc
오늘도	오늘/ncn+도/jxc
계속되었습니다.	계속/ncpa+되/xsv+었/ep+습니다/ef+./sf
인천	인천/nq
지역	지역/ncn
필승	필승/ncn
결의	결의/ncn
대회를	대회/ncn+를/jco
열어	열/pvg+어/ecs
반발	반발/ncn
세력	세력/ncn
차단과	차단/ncn+과/jcj
지지세	지지/ncn+세/xsn
확산에	확산/ncn+에/jca
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
여러분의	여러분/npp+의/jcm
뜨거운	뜨겁/paa+ㄴ/etm
환영을	환영/ncn+을/jco
받으면서	받/pvg+으면서/ecs
저는	저/npp+는/jxc
참으로	참/ncn+으로/jca
속으로부터	속/ncn+으로/jca+부터/jxc
감동이	감동/ncn+이/jcs
차	차/pvg+아/ecs
올라오는	오르/pvg+아/ecs+오/pvg+는/etm
것을	것/nbn+을/jco
느꼈습니다.	느끼/pvg+었/ep+습니다/ef+./sf
여러분!	여러분/npp+!/sf
저	저/npp
이회창과	이회창/nq+과/jct
함께	함께/mag
끝까지	끝/ncn+까지/jxc
가십시다.	가/pvg+시/ep+ㅂ시다/ef+./sf
김윤환	김윤환/nq
선대위원장은	선대위/ncn+원장/ncn+은/jxc
자신을	자신/ncn+을/jco
겨냥한	겨냥/ncpa+하/xsv+ㄴ/etm
비주류측의	비/xp+주류/ncn+측/xsn+의/jcm
압박	압박/ncn
공세에	공세/ncn+에/jca
대해	대하/pvg+어/ecs
정면으로	정면/ncn+으로/jca
맞섰습니다.	맞서/pvg+었/ep+습니다/ef+./sf
후보	후보/ncn
교체를	교체/ncn+를/jco
위한	위하/pvg+ㄴ/etm
음모라고	음모/ncn+라/ef+고/jcr
강도	강도/ncn
높게	높/paa+게/ecs
반박했습니다.	반박/ncpa+하/xsv+었/ep+습니다/ef+./sf
주류측은	주류/ncn+측/xsn+은/jxc
이어	이어/mag
공석중인	공석/ncn+중/nbn+이/jp+ㄴ/etm
당직과	당직/ncn+과/jcj
특보단	특보/ncn+단/xsn
개편을	개편/ncn+을/jco
단행해	단행/ncpa+하/xsv+어/ecs
이회창	이회창/nq
총재	총재/ncn
친정	친정/ncn
체제	체제/ncn
구축을	구축/ncn+을/jco
마무리했습니다.	마무리/ncpa+하/xsv+었/ep+습니다/ef+./sf
기조위원장에	기조/ncn+위원/ncn+장/xsn+에/jca
김영일	김영일/nq
의원,	의원/ncn+,/sp
언론특보에	언론/ncn+특보/ncn+에/jca
박희태	박희태/nq
전	전/mma
총무를	총무/ncn+를/jco
임명하는	임명/ncpa+하/xsv+는/etm
등,	등/nbn+,/sp
주류	주류/ncn
진영	진영/ncn
인사를	인사/ncn+를/jco
당직	당직/ncn
전면에	전면/ncn+에/jca
포진시켰습니다.	포진/ncpa+시키/xsv+었/ep+습니다/ef+./sf
비주류측도	비/xp+주류/ncn+측/xsn+도/jxc
오늘	오늘/ncn
정권	정권/ncn
창출을	창출/ncn+을/jco
위한	위하/pvg+ㄴ/etm
국민연대	nq[국민/ncn+연대/ncn
추진협의회를	추진/ncn+협의회/ncn]nq+를/jco
발족해	발족/ncpa+하/xsv+어/ecs
이른바	이른바/maj
반	반/xp
DJP	DJP/f
연합	연합/ncn
실현을	실현/ncn+을/jco
위한	위하/pvg+ㄴ/etm
세력	세력/ncn
확산에	확산/ncn+에/jca
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
김무성,	김무성/nq+,/sp
박종웅	박종웅/nq
의원	의원/ncn
등	등/nbn
당내	당/ncn+내/nbn
초재선	초재선/ncn
의원	의원/ncn
2명이	2/nnc+명/nbu+이/jcs
참여했습니다.	참여/ncpa+하/xsv+었/ep+습니다/ef+./sf
의원들은	의원/ncn+들/xsn+은/jxc
무엇보다	무엇/npd+보다/jca
여권	여권/ncn
후보의	후보/ncn+의/jcm
단일화가	단일/ncn+화/xsn+가/jcs
시급하다고	시급/ncps+하/xsm+다/ef+고/jcr
의견을	의견/ncn+을/jco
모았습니다	모으/pvg+았/ep+습니다/ef
야권이	야권/ncn+이/jcs
단일	단일/ncn
후보를	후보/ncn+를/jco
만들었듯이	만들/pvg+었/ep+듯이/ecs
우리	우리/npp
여당에도	여당/ncn+에/jca+도/jxc
여권	여권/ncn
단일	단일/ncn
후보를	후보/ncn+를/jco
만들면	만들/pvg+면/ecs
이것은	이것/npd+은/jxc
분명히	분명/ncn+히/xsa
승산이	승산/ncn+이/jcs
있다.	있/paa+다/ef+./sf
앞으로	앞/ncn+으로/jca
매일	매일/ncn
지역별	지역/ncn+별/xsn
대표로	대표/ncn+로/jca
구성되는	구성/ncpa+되/xsv+는/etm
실무위원회	실무/ncn+위원/ncn+회/xsn
회의를	회의/ncn+를/jco
열어	열/pvg+어/ecs
후보	후보/ncn
교체	교체/ncn
논의를	논의/ncn+를/jco
본격화시킬	본격/ncn+화/xsn+시키/xsv+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
이와	이/npd+와/jct
함께	함께/mag
내일부터	내일/ncn+부터/jxc
비주류측의	비/xp+주류/ncn+측/xsn+의/jcm
탈당	탈당/ncn
행렬이	행렬/ncn+이/jcs
이어질	잇/pvg+어/ecx+지/px+ㄹ/etm
전망입니다.	전망/ncn+이/jp+ㅂ니다/ef+./sf
이수성	이수성/nq
고문과	고문/ncn+과/jcj
황명수	황명수/nq
중앙위	중앙위/ncn
의장이	의장/ncn+이/jcs
빠르면	빠르/paa+면/ecs
내일	내일/ncn
탈당할	탈당/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
알려졌습니다.	알리/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
이외에도	이외/ncn+에/jca+도/jxc
다음	다음/ncn
달	달/ncn
초까지	초/ncn+까지/jxc
단계적인	단계/ncn+적/xsn+이/jp+ㄴ/etm
집단	집단/ncn
탈당이	탈당/ncn+이/jcs
예고된	예고/ncpa+되/xsv+ㄴ/etm
상태입니다	상태/ncn+이/jp+ㅂ니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
김은혜입니다.	김은혜/nq+이/jp+ㅂ니다/ef+./sf
"훈련	"/sl+훈련/ncn
마무리"	마무리/ncn+"/sr
대표팀은	대표/ncn+팀/ncn+은/jxc
이번	이/mmd+번/nbn
전지	전지/ncn
훈련에서	훈련/ncn+에서/jca
특히	특히/mag
정신적인	정신/ncn+적/xsn+이/jp+ㄴ/etm
자세를	자세/ncn+를/jco
다졌고	다지/pvg+었/ep+고/ecc
세밀한	세밀/ncps+하/xsm+ㄴ/etm
부분	부분/ncn
전술	전술/ncn
훈련에도	훈련/ncn+에/jca+도/jxc
힘을	힘/ncn+을/jco
쏟았습니다.	쏟/pvg+았/ep+습니다/ef+./sf
울산에서	울산/nq+에서/jca
이상욱	이상욱/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
다시	다시/mag
시작한다는	시작/ncpa+하/xsv+ㄴ다/ef+는/etm
기분으로	기분/ncn+으로/jca
정신력을	정신/ncn+력/xsn+을/jco
집중하라.	집중/ncpa+하/xsv+라/ef+./sf
오늘로써	오늘/ncn+로써/jca
울산	울산/nq
전지	전지/ncn
훈련을	훈련/ncn+을/jco
마친	마치/pvg+ㄴ/etm
차범근	차범근/nq
감독이	감독/ncn+이/jcs
훈련	훈련/ncn
기간	기간/ncn
동안	동안/ncn
선수들에게	선수/ncn+들/xsn+에게/jca
내린	내리/pvg+ㄴ/etm
특명입니다.	특명/ncn+이/jp+ㅂ니다/ef+./sf
차범근	차범근/nq
감독은	감독/ncn+은/jxc
벼랑	벼랑/ncn
끝에	끝/ncn+에/jca
몰린	몰리/pvg+ㄴ/etm
일본	일본/nq
축구가	축구/ncn+가/jcs
안타깝게	안타깝/paa+게/ecs
여겨지지만	여기/pvg+어/ecx+지/px+지만/ecs
국민	국민/ncn
정서상	정서/ncn+상/xsn
꼭	꼭/mag
이겨야	이기/pvg+어야/ecs
하는	하/px+는/etm
경기인	경기/ncn+이/jp+ㄴ/etm
만큼	만큼/nbn
선수들의	선수/ncn+들/xsn+의/jcm
컨디션	컨디션/ncn
유지와	유지/ncn+와/jcj
정신	정신/ncn
무장을	무장/ncn+을/jco
유달리	유다르/paa+이/xsa
강조했습니다.	강조/ncpa+하/xsv+었/ep+습니다/ef+./sf
특히	특히/mag
차	차/nq
감독은	감독/ncn+은/jxc
다급해진	다급/ncps+하/xsm+어/ecx+지/px+ㄴ/etm
일본이	일본/nq+이/jcs
총공세로	총/xp+공세/ncn+로/jca
나올	나오/pvg+ㄹ/etm
경우에	경우/ncn+에/jca
대비해서	대비/ncpa+하/xsv+어서/ecs
역습을	역습/ncn+을/jco
노려	노리/pvg+어/ecs
골로	골/ncn+로/jca
연결시키는	연결/ncpa+시키/xsv+는/etm
다양하고	다양/ncps+하/xsm+고/ecc
세밀한	세밀/ncps+하/xsm+ㄴ/etm
훈련을	훈련/ncn+을/jco
반복했습니다.	반복/ncpa+하/xsv+었/ep+습니다/ef+./sf
