<tdmsfile>
<tdmsfile>
Chosun2. 2차 수정 hwp
새로운	새롭/paa+ㄴ/etm
것"이라고	것/nbn+"/sr+이/jp+라/ef+고/jcr
예상하고	예상/ncpa+하/xsv+고/ecc
"아시아	"/sl+아시아/nq
금융위기가	금융/ncn+위기/ncn+가/jcs
시작된	시작/ncpa+되/xsv+ㄴ/etm
태국과	태국/nq+과/jcj
필리핀,	필리핀/nq+,/sp
인도네시아,	인도네시아/nq+,/sp
말레시아에	말레시아/nq+에/jca
대한	대하/pvg+ㄴ/etm
미국의	미국/nq+의/jcm
수출은	수출/ncn+은/jxc
지난	지나/pvg+ㄴ/etm
96년에	96/nno+년/nbu+에/jca
4%에	4/nnc+%/su+에/jca
불과하지만	불과/ncps+하/xsm+지만/ecs
미국	미국/nq
수출의	수출/ncn
12%를	12/nnc+%/su+를/jco
차지하는	차지/ncpa+하/xsv+는/etm
홍콩과	홍콩/nq+과/jcj
한국,	한국/nq+,/sp
싱가포르,	싱가포르/nq+,/sp
대만도	대만/nq+도/jxc
금융위기에	금융/ncn+위기/ncn+에/jca
휩싸이기	휩싸이/pvg+기/etn
시작했다고	시작/ncpa+하/xsv+었/ep+다/ef+고/jcr
지적했다.	지적/ncpa+하/xsv+었/ep+다/ef+./sf
지난해,	지나/pvg+ㄴ/etm+해/ncn+,/sp
한층	한층/mag
더	더/mag
성숙해진	성숙/ncpa+하/xsv+어/ecx+지/px+ㄴ/etm
앨범	앨범/ncn
'올더'를	'/sl+올더/nq+'/sr+를/jco
내놓은	내/pvg+어/ecs+놓/pvg+은/etm
영국	영국/nq
팝가수	팝/ncn+가수/ncn
조지	nq[조지/nq
마이클이	마이클/nq]nq+이/jcs
최근	최근/mag
매우	매우/mag
솔직한	솔직/ncps+하/xsm+ㄴ/etm
고백을	고백/ncn+을/jco
했다.	하/pvg+었/ep+다/ef+./sf
영국의	영국/nq+의/jcm
타블로이드	타블로이드/nq
신문	신문/ncn
'미러'와의	'/sl+미러/nq+'/sp+와/jct+의/jcm
인터뷰에서	인터뷰/ncn+에서/jca
마이클은	마이클/nq+은/jxc
"작년	"/sl+작년/ncn
앨범	앨범/ncn
작업도중	작업/ncn+도중/ncn
마리화나를	마리화나/ncn+를/jco
하루	하루/ncn
25대씩	25/nnc+대/nbu+씩/xsn
태웠다"고	태우/pvg+었/ep+다/ef+"/sr+고/jcr
털어놓았다.	털/pvg+어/ecx+놓/pvg+았/ep+다/ef+./sf
담배도	담배/ncn+도/jxc
아닌	아니/paa+ㄴ/etm
마약을	마약/ncn+을/jco
이렇게	이렇pad+게/ecs
피워댄	피우/pvg+어/ecx+대/px+ㄴ/etm
이유는	이유/ncn+는/jxc
절친했던	절친/ncpa+하/xsv+었/ep+던/etm
브라질	브라질/nq
친구의	친구/ncn+의/jcm
죽음	죽음/ncn
때문이었다고	때문/nbn+이/jp+었/ep+다/ef+고/jcr
한다.	하/pvg+ㄴ다/ef+./sf
마이클은	마이클/nq+은/jxc
이어	잇/pvg+어/ecs
"당시	"/sl+당시/ncn
내	내/npp
상태는	상태/ncn+는/jxc
술을	술/ncn+을/jco
입에	입/ncn+에/jca
댈	대/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
정도로	정도/ncn+로/jca
엉망	엉망/ncn
이었다"며	이/jp+었/ep+다/ef+"/sr+며/ecc
"'올더'는	"/sl+'/sl+올더/nq+'/sr+는/jxc
마리화나에	마리화나/nq+에/jca
의해	의하/pvg+어/ecs
녹음된	녹음/ncpa+되/xsv+ㄴ/etm
앨범이라고도	앨범/ncn+이/jp+라/ef+고/jcr+도/jxc
할	하/pvg+ㄹ/etm
수	수/nbn
있다"	있/paa+다/ef+"/sr
고	고/jcr
설명했다.	설명/ncpa+하/xsv+었/ep+다/ef+./sf
물론	물론/mag
마이클은	마이클/nq+은/jxc
"지금은	"/sl+지금/ncn+은/jxc
마리화나에서	마리화나/nq+에서/jca
완전히	완전/ncn+히/xsa
손뗐다"	손/ncn+떼/pvg+었/ep+다/ef+"/sr
는	는/etm
말을	말/ncn+을/jco
잊지	잊/pvg+지/ecx
않았다.	않/px+았/ep+다/ef+./sf
12일	12/nno+일/nbu
밤	밤/ncn
TV	TV/f
3사가	3/nnc+사/xsn+가/jcs
공동중계한	공동/ncn+중계/ncpa+하/xsv+ㄴ/etm
'이인제	'/sl+이인제/nq
후보	후보/ncn
초청	초청/ncn
대통령후보	대통령/ncn+후보/ncn
토론회	토론/ncn+회/xsn
도중,	도중/ncn+,/sp
때아닌	때/ncn+아니/paa+ㄴ/etm
파리	파리/ncn
한마리가	한/nnc+마리/nbu+가/jcs
후보자와	후보/ncn+자/xsn+와/jcj
패널리스트들	패널리스트/ncn+들/xsn
머리	머리/ncn
위로	위/ncn+로/jca
날아	날/pvg+아/ecs
다녀,	다니/pvg+어/ecs+,/sp
제작진이	제작/ncn+진/xsn+이/jcs
곤욕을	곤욕/ncn+을/jco
치렀다.	치르/pvg+었/ep+다/ef+./sf
신문-방송사에는	신문/ncn+-/sd+방송/ncn+사/xsn+에/jca+는/jxc
"겨울에	"/sl+겨울/ncn+에/jca
웬	웬/mma
파리냐"	파리/nq+냐/ef+"/sr
"정치판이	"/sr+정치/ncn+판/ncn+이/jcs
더러워	더럽/paa+어/ecs
파리를	파리/ncn+를/jco
소품으로	소품/ncn+으로/jca
끼워	끼우/pvg+어/ecs
넣은	넣/pvg+은/etm
것이냐"는	것/nbn+이/jp+냐/ef+"/sr+는/etm
문의-비난전화가	문의/ncn+-/sd+비난/ncn+전화/ncn+가/jcs
이어졌다.	잇/pvg+어/ecs+지/px+었/ep+다/ef+./sf
방송사측은	방송/ncn+사/xsn+측/xsn+은/jxc
"스튜디오를	"/sl+스튜디오/ncn+를/jco
마련한	마련/ncpa+하/xsv+ㄴ/etm
여의도	여의도/nq
KBS	KBS/f
본관	본관/ncn
2층	2/nno+층/nbu
공개홀이	공개/ncn+홀/ncn+이/jcs
따뜻해	따뜻/ncps+하/xsm+어/ecs
파리	파리/ncn
한	한/nnc
마리가	마리/nbu+가/jcs
살아	살/pvg+아/ecx
있었던	있/px+었/ep+던/etm
모양"이라며	모양/nbn+"/sr+이/jp+라/jcr+며/ecs
"방송이	"/sl+방송/ncn+이/jcs
시작되면서	시작/ncpa+되/xsv+면서/ecc
뜨거운	뜨겁/paa+ㄴ/etm
조명을	조명/ncn+을/jco
피해	피하/pvg+어/ecs
아래로	아래/ncn+로/jca
내려온	내리/pvg+어/ecs+오/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
보인다"고	보이/pvg+ㄴ다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
이날	이/mmd+날/ncn
스튜디오에는	스튜디오/ncn+에/jca+는/jxc
이	이/nq
후보와	후보/ncn+와/jcj
패널리스트,	패널리스트/ncn+,/sp
방청객	방청/ncn+객/xsn
등	등/nbn
3백여명이	3백/nnc+여/xsn+명/nbu+이/jcs
모였지만	모이/pvg+었/ep+지만/ecs
유독	유독/mag
이	이/mmd
파리는	파리/ncn+는/jxc
계속	계속/mag
이	이/nq
후보	후보/ncn
머리와	머리/ncn+와/jcj
어깨	어깨/ncn
위로	위/ncn+로/jca
출몰해,	출몰/ncpa+하/xsv+어/ecs+,/sp
안방극장에	안방/ncn+극장/ncn+에/jca
클로즈업되는	클로즈업/ncpa+되/xsv+는/etm
결과를	결과/ncn+를/jco
낳았다.	낳/pvg+았/ep+다/ef+./sf
제작진은	제작/ncn+진/xsn+은/jxc
이날	이/mmd+날/ncn
방송	방송/ncn
전부터	전/ncn+부터/jxc
파리약을	파리/ncn+약/ncn+을/jco
뿌리며	뿌리/pvg+며/ecc
예방에	예방/ncn+에/jca
애썼지만	애쓰/pvg+었/ep+지만/ecs
생방송과	생방송/ncn+과/jct
함께	함께/mag
시작된	시작/ncpa+되/xsv+ㄴ/etm
파리의	파리/nq+의/jcm
'횡포'를	'/sl+횡포/ncn+'/sr+를/jco
속수무책	속수무책/ncn
지켜봐야	지키/pvg+어/ecs+보/pvg+아야/ecs
했다.	하/pvg+었/ep+다/ef+./sf
제작진은	제작/ncn+진/xsn+은/jxc
"이	"/sl+이/nq
후보	후보/ncn
머리	머리/ncn
스프레이	스프레이/ncn
향이	향/ncn+이/jcs
유난히	유난/ncn+히/xsa
강해	강/ncps+하/xsm+어/ecs
파리가	파리/ncn+가/jcs
유독	유독/mag
그의	그/npp+의/jcm
곁을	곁/ncn+을/jco
맴돈	맴돌/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
보인다"며	보이/pvg+ㄴ다/ef+"/sr+며/ecc
"다음	"/sl+다음/mmd
토론회부터는	토론/ncn+회/xsn+부터/jxc+는/jxc
꼭	꼭/mag
막겠다"고	막/pvg+겠/ep+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
LG반도체는	nq[LG/f+반도체/ncn]nq+는/jxc
기존	기존/ncn
PC의	PC/f+의/jcm
메모리를	메모리/ncn+를/jco
대체해나갈	대체/ncpa+하/xsv+어/ecx+나가/pvg+ㄹ/etm
차세대	차세대/ncn
고속메모리로	고속/ncn+메모리/ncn+로/jca
각광받고	각광/ncn+받/xsv+고/ecx
있는	있/px+는/etm
64메가	64/nnc+메가/nbu
램버스D램을	nq[램버스/ncn+D/f+램/ncn]nq+을/jco
개발했다고	개발/ncpa+하/xsv+었/ep+다/ef+고/jcr
13일	13/nno+일/nbu
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
이	이/mmd
제품은	제품/ncn+은/jxc
초고속,	초/xp+고속/ncn+,/sp
고집적의	고집적/ncn+의/jcm
장점을	장점/ncn+을/jco
가지고	가지/pvg+고/ecx
있어	있/px+어/ecs
내년부터	내년/ncn+부터/jxc
워크스테이션	워크스테이션/ncn
및	및/maj
서버,	서버/ncn+,/sp
디지털TV	디지털/ncn+TV/f
등의	등/nbn+의/jcm
대용량	대/xp+용량/ncn
그래픽메모리용으로	그래픽/ncn+메모리/ncn+용/xsn+으로/jca
우선	우선/mag
채용되기	채용/ncpa+되/xsv+기/etn
시작해	시작/ncpa+하/xsv+어/ecx
오는	오/pvg+는/etm
99년부터는	99/nno+년/nbu+부터/jxc+는/jxc
개인용	개인/ncn+용/xsn
컴퓨터(PC)의	컴퓨터/ncn+(/sl+PC/f+)/sr+의/jcm
주기억장치로	주/mma+기억/ncn+장치/ncn+로/jca
채택될	채택/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
LG반도체는	nq[LG/f+반도체/ncn]nq+는/jxc
예상했다.	예상/ncpa+하/xsv+었/ep+다/ef+./sf
'.	'/sr+./sf
이	이/nq
총재가	총재/ncn+가/jcs
이	이/mmd
지역까지	지역/ncn+까지/jxc
차지하느냐	차지/ncpa+하/xsv+느냐/ecs
아니면	아니/paa+면/ecs
이	이/mmd
지역	지역/ncn
민심이	민심/ncn+이/jcs
국민신당	국민신당/nq
이인제	이인제/nq
후보쪽으로	후보/ncn+쪽/nbn+으로/jca
쏠리느냐에	쏠리/pvg+느냐/ef+에/jca
따라	따르/pvg+아/ecs
2위	2/nno+위/nbu
경쟁이	경쟁/ncn+이/jcs
판가름나게	판가름/ncn+나/pvg+게/jca
돼	되/pvg+어/ecx
있기	있/px+기/etn
때문이다.	때문/nbn+이/jp+다/ef+./sf
PK지역의	PK/f+지역/ncn+의/jcm
유권자수는	유권/ncn+자/xsn+수/ncn+는/jxc
9월30일	9/nno+월/nbu+30/nno+일/nbu
현재	현재/ncn
선관위	선관위/ncn
잠정	잠정/ncn
집계로	집계/ncn+로/jca
5백	5백/nnc
45만1천3백6명으로	45만/nnc+1천/nnc+3백/nnc+6/nnc+명/nbu+으로/jca
전체	전체/ncn
유권자의	유권/ncn+자/xsn+의/jcm
16.9%에	16.9/nnc+%/su+에/jca
이른다.	이르/paa+ㄴ다/ef+./sf
흥미로운	흥미롭/paa+ㄴ/etm
것은	것/nbn+은/jxc
여론조사	여론/ncn+조사/ncn
결과는	결과/ncn+는/jxc
이인제	이인제/nq
후보에게	후보/ncn+에게/jca
유리하나	유리/ncpa+하/xsv+나/ecs
현역	현역/ncn
의원	의원/ncn
분포는	분포/ncn+는/jxc
이회창	이회창/nq
총재쪽이	총재/ncn+쪽/nbn+이/jcs
압도적이란	압도/ncn+적/xsn+이/jp+라/ef+ㄴ/etm
점.	점/ncn+./sf
가장	가장/mag
최근	최근/ncn
여론	여론/ncn
조사	조사/ncn
결과(11월8일	결과/ncn+(/sl+11/nno+월/nbu+8/nno+일/nbu
조선일보-MBC-갤럽	조선일보/nq+-/sd+MBC/f+-/sd+갤럽/nq
조사)에서는	조사/ncn+)/sr+에서/jca+는/jxc
이인제	이인제/nq
후보는	후보/ncn+는/jxc
38.3%로	38.3/nnc+%/su+로/jca
1위를	1/nno+위/nbu+를/jco
달리면서	달리/pvg+면서/ecs
2위의	2/nno+위/nbu+의/jcm
이회창	이회창/nq
총재(26.0%)를	총재/ncn+(/sl+26.0/nnc+%/su+)/sr+를/jco
12.3%	12.3/nnc+%/su
포인트	포인트/nbu
앞서있다.	앞/ncn+서/pvg+어/ecx+있/px+다/ef+./sf
갤럽	갤럽/nq
관계자들은	관계/ncn+자/xsn+들/xsn+은/jxc
"이인제	"/sl+이인제/nq
후보(28.0%)와	후보/ncn+(/sl+28.0/nnc+%/su+)/sr+와/jcj
이회창	이회창/nq
후보(21.4%)의	후보/ncn+(/sl+21.4/nnc+%/su+)/sr+의/jcm
전국	전국/ncn
지지도	지지/ncn+도/xsn
격차	격차/ncn
6.6%의	6.6/nnc+%/su+의/jcm
3분의	3/nnc+분/nbu+의/jcm
1	1/nnc
정도가	정도/ncn+가/jcs
PK지역에서	PK/f+지역/ncn+에서/jca
유발되고	유발/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
분석되고	분석/ncpa+되/xsv+고/ecx
있다"고	있/px+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
반면	반면/maj
현역	현역/ncn
의원	의원/ncn
수는	수/ncn+는/jxc
44대	44/nnc+대/nbn
4로	4/nnc+로/jca
이회창	이회창/nq
총재측이	총재/ncn+측/xsn+이/jcs
크게	크/paa+게/ecs
앞서	앞서/mag
있다	있/pvg+다/ef
국민신당측	국민신당/nq+측/xsn
인사는	인사/ncn+는/jxc
입당한	입당/ncpa+하/xsv+ㄴ/etm
서석재,	서석재/nq+,/sp
김운환,	김운환/nq+,/sp
한이헌	한이헌/nq
의원과	의원/ncn+과/jcj
입당	입당/ncn
의사를	의사/ncn+를/jco
밝힌	밝히/pvg+ㄴ/etm
권기술	권기술/nq
의원이	의원/ncn+이/jcs
전부다.	전부/ncn++다/ecs+./sf
결국	결국/mag
'이인제	'/sl+이인제/nq
바람'과	바람/ncn+'/sr+과/jcj
'이회창	'/sl+이회창/nq
조직'의	조직/ncn+'/sr+의/jcm
싸움인	싸움/ncn+이/jp+ㄴ/etm
셈이다.	셈/nbn+이/jp+다/ef+./sf
반면	반면/maj
국민신당측은	국민신당/nq+측/xsn+은/jxc
전체	전체/ncn
21명의	21/nnc+명/nbu+의/jcm
의원중	의원/ncn+중/nbn
민정계	민정/nq+계/xsn
4명을	4/nnc+명/nbu+을/jco
제외한	제외/ncpa+하/xsv+ㄴ/etm
나머지	나머지/ncn
17명이	17/nnc+명/nbu+이/jcs
민주계	민주/nq+계/xsn
또는	또는/maj
YS	YS/f
직계인	직계/ncn+이/jp+ㄴ/etm
부산에서는	부산/nq+에서/jca+는/jxc
이	이/nq
총재측의	총재/ncn+측/xsn+의/jcm
'대YS	'/sl+대/nbn+YS/f
공격'에	공격/ncn+'/sr+에/jca
대한	대하/pvg+ㄴ/etm
역풍이	역풍/ncn+이/jcs
거세게	거세/paa+게/ecs
불고,	불/pvg+고/ecc+,/sp
부산에	부산/nq+에/jca
인접한	인접/ncpa+하/xsv+ㄴ/etm
울산	울산/nq
마산	마산/nq
창원은물론	창원/nq+은/jxc+물론/mag
여타	여타/ncn
경남지역까지도	경남/nq+지역/ncn+까지도/jxc
이인제	이인제/nq
후보의	후보/ncn+의/jcm
지지세	지지/ncn+세/xsn
상승	상승/ncn
이	이/jcs
지속될것이라고	지속/ncpa+되/xsv+ㄹ/etm+것/nbn+이/jp+라/ef+고/jcr
주장한다.	주장/ncpa+하/xsv+ㄴ다/ef+./sf
대선판이	대선/ncn+판/ncn+이/jcs
어지러워지면서	어지럽/paa+어/ecx+지/px+면서/ecs
각	각/mma
정당간에	정당/ncn+간/nbn+에/jca
연대,	연대/ncn+,/sp
합당	합당/ncn
등	등/nbn
다양한	다양/ncps+하/xsm+ㄴ/etm
이름	이름/ncn
의	의/jcm
짝짓기가	짝/ncn+짓/pvg+기/etn+가/jcs
이루어지고	이루/pvg+어/ecx+지/px+고/ecx
있으나,	있/px+으나/ecs+,/sp
정책부문에서는	정책/ncn+부문/ncn+에서/jca+는/jxc
소속의원들이	소속/ncn+의원/ncn+들/xsn+이/jcs
당과는	당/ncn+과/jct+는/jxc
다른	다르/paa+ㄴ/etm
길을	길/ncn+을/jco
걷는	걷/pvg+는/etm
경우가	경우/ncn+가/jcs
빈발하고	빈발/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
이같은	이/mmd+같/paa+은/etm
'짝짓기	'/sl+짝/ncn+짓/pvg+기/etn
따로,	따로/mag+,/sp
정책	정책/ncn
따로'	따로/mag+'/sl
현상의	현상/ncn+의/jcm
대표적인	대표/ncn+적/xsn+이/jp+ㄴ/etm
사례가	사례/ncn+가/jcs
이번	이번/ncn
정기국회	정기/ncn+국회/ncn
최대의	최대/ncn+의/jcm
쟁점인	쟁점/ncn+이/jp+ㄴ/etm
재경위의	재경위/nq+의/jcm
금융개혁법안과	금융/ncn+개혁/ncn+법안/ncn+과/jcj
법사위의	법사위/nq+의/jcm
형사소송법	형사/ncn+소송/ncn+법/ncn
개정	개정/ncn
사례이다.	사례/ncn+이/jp+다/ef+./sf
금융개혁법안에서는	금융/ncn+개혁/ncn+법안/ncn+에서/jca+는/jxc
국민신당	국민신당/nq
의원이	의원/ncn+이/jcs
'영원한	'/sl+영원/ncps+하/xsm+ㄴ/etm
라이벌'인	라이벌/ncn+'/sr+이/jp+ㄴ/etm
신한국당	신한국당/nq
과	과/jcj
입장을	입장/ncn+을/jco
같이하고	같이/mag+하/pvg+고/ecx
있다.	있/px+다/ef+./sf
당은	당/ncn+은/jxc
갈라섰지만	가르/pvg+아/ecx+서/px+었/ep+지만/ecs
머리만은	머리/ncn+만/jxc+은/jxc
갈라설	가르/pvg+아/ecx+서/px+ㄹ/etm
수	수/nbn
없어서	없/paa+어서/ecs
일까.	일/pvg+ㄹ까/ef+./sf
반면	반면/maj
형사소송법에서는	형사/ncn+소송/ncn+법/ncn+에서/jca+는/jxc
당은	당/ncn+은/jxc
짝짓기를	짝/ncn+짓/pvg+기/etn+를/jco
해도	하/pvg+어도/ecs
머리만은	머리/ncn+만/jxc+은/jxc
짝짓기를	짝/ncn+짓/pvg+기/etn+를/jco
할	하/pvg+ㄹ/etm
수	수/nbn
없어서인지	없/paa+어서/ecs+이/jp+ㄴ지/ecs
자민련이	자민련/nq+이/jcs
'찰떡공조'	'/sl+찰떡/ncn+공조/ncn+'/sl
중인	중/nbn+이/jp+ㄴ/etm
국민회의를	국민회의/nq+를/jco
버리고	버리/pvg+고/ecc
신한국당과	신한국당/nq+과/jct
함께	함께/mag
갔다.	가/pvg+았/ep+다/ef+./sf
금융개혁법안의	금융/ncn+개혁/ncn+법안/ncn+의/jcm
경우,	경우/ncn+,/sp
14일	14/nno+일/nbu
이	이/mmd
법안을	법안/ncn+을/jco
표결처리키로	표결/ncn+처리/ncpa+하/xsv+기/etn+로/jca
한	하/pvg+ㄴ/etm
전체회의에	전체/ncn+회의/ncn+에/jca
자민련	자민련/nq
박종근의원은	박종근/nq+의원/ncn+은/jxc
결석했다.	결석/ncpa+하/xsv+었/ep+다/ef+./sf
박	박/nq
의원은	의원/ncn+은/jxc
"당론과는	"/sl+당론/ncn+과/jct+는/jxc
달리	다르/paa+이/xsa
통과시켜야	통과/ncpa+시키/xsv+어야/ecx
한다는	하/px+ㄴ다/ef+는/etm
것이	것/nbn+이/jcs
내	내/npp
소신"이라고	소신/ncn+"/sr+이/jp+라/ef+고/jcr
말해왔는데,	말하/pvg+어/ecx+오/px+았/ep+는데/ecs+,/sp
고민	고민/ncn
끝에	끝/ncn+에/jca
당론과	당론/ncn+과/jcj
소신을	소신/ncn+을/jco
절충한	절충/ncpa+하/xsv+ㄴ/etm
제3안으로	제/xp+3/nno+안/ncn+으로/jca
기권을	기권/ncn+을/jco
택한	택하/pvg+ㄴ/etm
것	것/nbn
이다.	이/jp+다/ef+./sf
같은	같/paa+은/etm
당	당/ncn
어준선의원도	어준선/nq+의원/ncn+도/jxc
비슷한	비슷/ncps+하/xsm+ㄴ/etm
경우지만	경우/ncn+지만/ecs
소위	소위/mag
위원으로	위원/ncn+으로/jca
책임감	책임/ncn+감/xsn
때문에	때문/nbn+에/jca
부득이	부득이/mag
당론을	당론/ncn+을/jco
선택했다.	선택/ncpa+하/xsv+었/ep+다/ef+./sf
13일	13/nno+일/nbu
소위에서	소위/ncn+에서/jca
국민회의를	국민회의/nq+를/jco
따라	따르/pvg+아/ecs
반대표를	반대/ncn+표/ncn+를/jco
던졌고,	던지/pvg+었/ep+고/ecc+,/sp
14일	14/nno+일/nbu
전체회의에서도	전체/ncn+회의/ncn+에서/jca+도/jxc
함께	함께/mag
움직였다.	움직이/pvg+었/ep+다/ef+./sf
김종필	김종필/nq
당시	당시/ncn
총재가	총재/ncn+가/jcs
'아무리	'/sl+아무리/mag
그래도	그래도/mag
국민회의와	국민회의/nq+와/jcj
공조하는	공조/ncpa+하/xsv+는/etm
쪽으로	쪽/nbn+으로/jca
해달라'고	하/pvg+어/ecx+달/px+라/ef+'/sr+고/jcr
당부했기	당부/ncpa+하/xsv+었/ep+기/ecs
때문이다.	때문/nbn+이/jp+다/ef+./sf
국민신당	국민신당/nq
한이헌의원도	한이헌/nq+의원/ncn+도/jxc
신한국당과	신한국당/nq+과/jcj
뜻을	뜻/ncn+을/jco
같이하고	같/paa+이/xsa+하/pvg+고/ecx
있다.	있/px+다/ef+./sf
한	한/nq
의원은	의원/ncn+은/jxc
14일	14/nno+일/nbu
전체회의에서	전체/ncn+회의/ncn+에서/jca
신한국당	신한국당/nq
민주당	민주당/nq
의원들이	의원/ncn+들/xsn+이/jcs
다	다/mag
모여있는데	모이/pvg+어/ecx+있/px+는데/ecs
빠져	빠지/pvg+어/ecs
'이회창	'/sl+이회창/nq
좋은	좋/paa+은/etm
일	일/ncn
시키는	시키/pvg+는/etm
일이라고	일/ncn+이/jp+라/ef+고/jcr
생각이	생각/ncn+이/jcs
달라진	다르/pvg+아/ecx+지/px+ㄴ/etm
것	것/nbn
아니냐'는	아니/paa+냐/ef+'/sr+는/etm
설도	설/ncn+도/jxc
나돌았으나	나/pvg+아/ecs+돌/pvg+았/ep+으나/ecs
확인	확인/ncn
결과	결과/ncn
원래대로였다.	원래/ncn+대로/jxc+이/jp+었/ep+다/ef+./sf
민주당	민주당/nq
이중재	이중재/nq
제정구의원은	제정구/nq+의원/ncn+은/jxc
"우리는	"/sl+우리/npp+는/jxc
당론은	당론/ncn+은/jxc
없고	없/paa+고/ecc
둘다	둘/nnc+다/mag
소신"이라고	소신/ncn+"/sr+이/jp+라고/jcr
말했는데	말/ncpa+하/xsv+는데/ecs
마침	마침/mag
당	당/ncn
입장과	입장/ncn+과/jct
같아	같/paa+아/ecs
고민거리가	고민/ncn+거리/xsn+가/jcs
없어진	없/pvg+어/ecx+지/px+ㄴ/etm
셈이다.	셈/nbn+이/jp+다/ef+./sf
법사위소위의	법사위/nq+소위/ncn+의/jcm
형사소송법	형사/ncn+소송/ncn+법/ncn
개정안	개정/ncn+안/ncn
처리에서는	처리/ncn+에서/jca+는/jxc
자민련	자민련/nq
함석재의원이	함석재/nq+의원/ncn+이/jcs
국민회의와의	국민회의/nq+와/jct+의/jcm
공조를	공조/ncn+를/jco
버리고	버리/pvg+고/ecc
신한국당	신한국당/nq
편에	편/ncn+에/jca
섰다.	서/pvg+었/ep+다/ef+./sf
이	이/mmd
일은	일/ncn+은/jxc
정치외의	정치/ncn+외/nbn+의/jcm
기준으로	기준/ncn+으로/jca
보면	보/pvg+면/ecs
검사출신	검사/ncn+출신/ncn
대	대/nbn
판사-변호사출신으로	판사/ncn+-/sd+변호/ncn+사/xsn+출신/ncn+으로/jca
맞선	맞서/pvg+ㄴ/etm
형국이었는데,	형국/ncn+이/jp+었/ep+는데/ecs+,/sp
우연인지	우연/ncn+이/jp+ㄴ지/ecs
함	함/nq
의원과	의원/ncn+과/jcj
신한국당	신한국당/nq
의원	의원/ncn
모두	모두/mag
검사	검사/ncn
출신이었다	출신/ncn+이/jp+었/ep+다/ef
이때문에	이/npd+때문/nbn+에/jca
정부측은	정부/ncn+측/xsn+은/jxc
당론없이	당론/ncn+없/paa+이/xsa
개인	개인/ncn
소신에	소신/ncn+에/jca
따라	따르/pvg+아/ecs
표결할	표결/ncn+하/xsm+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
크로스	크로스/ncn
보팅(cross	보팅/ncn+(/sl+cross/f
voting)을	voting/f+)/sr+을/jco
주장하고	주장/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
강경식	강경식/nq
재경원부총리는	재경원/nq+부총리/ncn+는/jxc
최근	최근/mag
자민련을	자민련/ncn+을/jco
방문한	방문/ncpa+하/xsv+ㄴ/etm
자리에서	자리/ncn+에서/jca
"당	"/sl+당/nq
입장으로	입장/ncn+으로/jca
도와줄	돕/pvg+아/ecx+주/px+ㄹ/etm
수	수/nbn
없으면	없/paa+으면/ecs
크로스	크로스/ncn
보팅으로	보팅/ncn+으로/jca
의원들을	의원/ncn+들/xsn+을/jco
풀어달라"고	풀/paa+어/ecx+달/px+라/ef+"/sr+고/jcr
말했다가	말/ncpa+하/xsv+다가/ecs
거절당하기도	거절/ncn+당하/pvg+기/etn+도/jxc
했다.	하/pvg+었/ep+다/ef+./sf
정치적	정치/ncn+적/xsn
이합집산	이합집산/ncn
때문에	때문/nbn+에/jca
'당은	'/sl+당/ncn+은/jxc
이념이	이념/ncn+이/jcs
같은	같/paa+은/etm
동지들의	동지/ncn+들/xsn+의/jcm
결사체'라는	결사/ncn+체/xsn+'/sp+라/ef+는/etm
정치의	정치/ncn+의/jcm
기초부터	기초/ncn+부터/jxc
흔들리고	흔들리/pvg+고/ecx
있다.	있/px+다/ef+./sf
한국은행이	한국은행/nq+이/jcs
돈을	돈/ncn+을/jco
쏟아붓고	쏟/pvg+아/ecs+붓/pvg+고/ecx
있는데도	있/px+는데/ecs+도/jxc
장단기	장단기/ncn
금리가	금리/ncn+가/jcs
