<tdmsfile>
<tdmsfile>
Han3.hwp
먼저	먼저/mag
출제될	출제/ncpa+되/xsv+ㄹ/etm
내용을	내용/ncn+을/jco
미리	미리/mag
알려주었다든가,	알리/pvg+어/ecs+주/pvg+었/ep+다/ef+든가/ecc+,/sp
학부모와	학부모/ncn+와/jcj
교사	교사/ncn
간에	간/nbn+에/jca
금품이	금품/ncn+이/jcs
수수됐다든가	수수/ncpa+되/xsv+었/ep+다/ef+든가/ecc
하는	하/pvg+는/etm
말들이	말/ncn+들/xsn+이/jcs
심심치	심심/ncps+치/ecx
않게	않/px+게/ecs
떠돌고	뜨/pvg+어/ecs+돌/pvg+고/ecx
있다.	있/px+다/ef+./sf
심지어	심지어/mag
어떤	어떻/pad+ㄴ/etm
중학교에서는	중학교/ncn+에서/jca+는/jxc
시험감독에	시험/ncn+감독/ncn+에/jca
학부모들이	학부모/ncn+들/xsn+이/jcs
나섰다고도	나서/pvg+었/ep+다/ef+고/jcr+도/jxc
한다.	하/pvg+ㄴ다/ef+./sf
도대체	도대체/mag
이	이/mmd
상황이	상황/ncn+이/jcs
어떻게	어떻/pad+게/ecs
교육적이라고	교육/ncn+적/xsn+이/jp+라/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있겠는가.	있/paa+겠/ep+는가/ef+./sf
그렇다고	그렇/pad+다고/ecs
내신반영을	내신/ncn+반영/ncn+을/jco
폐지하자는	폐지/ncpa+하/xsv+자/ef+는/etm
것은	것/nbn+은/jxc
아니다.	아니/paa+다/ef+./sf
특목고	특목고/ncn
사태도	사태/ncn+도/jxc
그	그/mmd
한	한/nnc
전형이다.	전형/ncn+이/jp+다/ef+./sf
특목고	특목고/ncn
사태를	사태/ncn+를/jco
이해갈등으로만	이해/ncn+갈등/ncn+으로/jca+만/jxc
보지	보/pvg+지/ecx
말아야	말/px+아야/ecx
할	하/px+ㄹ/etm
이유가	이유/ncn+가/jcs
여기에	여기/npd+에/jca
있다.	있/paa+다/ef+./sf
교육부는	교육부/nq+는/jxc
이	이/mmd
나라	나라/ncn
저	저/mmd
나라	나라/ncn
제도를	제도/ncn+를/jco
추종하지	추종/ncpa+하/xsv+지/ecx
말고,	말/px+고/ecc+,/sp
한국의	한국/nq+의/jcm
현실에	현실/ncn+에/jca
발을	발/ncn+을/jco
붙이고	붙이/pvg+고/ecc
현장에서	현장/ncn+에서/jca
대안을	대안/ncn+을/jco
모색해야	모색/ncpa+하/xsv+어야/ecx
한다	하/px+ㄴ다/ef
즉,	즉/maj+,/sp
학생들과	학생/ncn+들/xsn+과/jcj
학부모들을	학부모/ncn+들/xsn+을/jco
과도하게	과도/ncps+하/xsm+게/ecs
긴장시키고	긴장/ncn+시키/xsv+고/ecx
있는	있/px+는/etm
내신성적	내신/ncn+성적/ncn
반영비율을	반영/ncn+비율/ncn+을/jco
절반	절반/ncn
수준으로	수준/ncn+으로/jca
낮춰야	낮추/pvg+어야/ecx
한다.	하/px+ㄴ다/ef+./sf
그러면	그러면/maj
특목고	특목고/ncn
사태도	사태/ncn+도/jxc
자연	자연/mag
풀리게	풀리/pvg+게/ecx
될	되/px+ㄹ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
국회는	국회/ncn+는/jxc
4일	4/nno+일/nbu
강경식	강경식/nq
부총리	부/xp+총리/ncn
등	등/nbn
경제장관들을	경제/ncn+장관/ncn+들/xsn+을/jco
출석시킨	출석/ncn+시키/xsv+ㄴ/etm
가운데	가운데/ncn
예결특위	예결특위/nq
전체회의를	전체/ncn+회의/ncn+를/jco
열어	열/pvg+어/ecs
총	총/mma
1조5909억원	1조/nnc+5909억/nnc+원/nbu
규모의	규모/ncn+의/jcm
97년도	97/nno+년도/nbu
추가경정	추가/ncn+경정/ncn
예산안을	예산/ncn+안/ncn+을/jco
처리하기로	처리/ncpa+하/xsv+기/etn+로/jca
했으나	하/pvg+었/ep+으나/ecs
의결정족수	의결/ncn+정족/ncn+수/ncn
미달로	미달/ncn+로/jca
회의가	회의/ncn+가/jcs
유회되는	유회/ncpa+되/xsv+는/etm
바람에	바람/nbn+에/jca
처리하지	처리/ncpa+하/xsv+지/ecx
못했다.	못하/px+었/ep+다/ef+./sf
이날	이/mmd+날/ncn
예결위에는	예결위/ncn+에/jca+는/jxc
전체	전체/ncn
여야	여야/ncn
위원	위원/ncn
50명	50/nnc+명/nbu
가운데	가운데/ncn
18명만	18/nnc+명/nbu+만/jxc
참여했다.	참여/ncpa+하/xsv+었/ep+다/ef+./sf
예결위는	예결위/ncn+는/jxc
5일	5/nno+일/nbu
전체회의를	전체/ncn+회의/ncn+를/jco
다시	다시/mag
열어	열/pvg+어/ecs
추경예산을	추경/ncn+예산/ncn+을/jco
처리할	처리/ncpa+하/xsv+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
그러나	그러나/maj
교육위는	교육위/nq+는/jxc
교원단체의	교원/ncn+단체/ncn+의/jcm
선거인단	선거/ncn+인/xsn+단/xsn
참여비율에	참여/ncn+비율/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
결론을	결론/ncn+을/jco
내리지	내리/pvg+지/ecx
못해	못하/px+어/ecs
다시	다시/mag
논의하기로	논의/ncpa+하/xsv+기/etn+로/jca
했다.	하/pvg+었/ep+다/ef+./sf
이회창	이회창/nq
신한국당	신한국당/nq
총재가	총재/ncn+가/jcs
4일	4/nno+일/nbu
신한국당의	신한국당/nq+의/jcm
탈당사태와	탈당/ncn+사태/ncn+와/jcj
국민신당	국민신당/nq
창당과정에	창당/ncn+과정/ncn+에/jca
청와대가	청와대/nq+가/jcs
개입하고	개입/ncpa+하/xsv+고/ecx
있다는	있/px+다/ef+는/etm
의혹을	의혹/ncn+을/jco
정면으로	정면/ncn+으로/jca
제기하고	제기/ncpa+하/xsv+고/ecc
나섰다.	나서/pvg+었/ep+다/ef+./sf
이	이/nq
총재는	총재/ncn+는/jxc
단정적	단정/ncn+적/xsn
표현을	표현/ncn+을/jco
애써	애쓰/pvg+어/ecs
피했지만	피하/pvg+었/ep+지만/ecs
최근	최근/ncn
격화된	격화/ncpa+되/xsv+ㄴ/etm
신한국당	신한국당/ncn
내분과	내분/ncn+과/jcj
민주계	민주/ncn+계/xsn
의원들의	의원/ncn+들/xsn+의/jcm
탈당사태,	탈당/ncn+사태/ncn+,/sp
국민신당	국민신당/nq
창당작업이	창당/ncn+작업/ncn+이/jcs
모두	모두/mag
청와대의	청와대/nq+의/jcm
지원	지원/ncn
아래	아래/nbn
주도면밀하게	주도면밀/ncps+하/xsm+게/ecs
이뤄지고	이루/pvg+어/ecx+지/px+고/ecx
있다고	있/px+다/ef+고/jcr
확신하는	확신/ncpa+하/xsv+는/etm
듯했다.	듯하/pvg+었/ep+다/ef+./sf
실제로	실제/ncn+로/jca
이	이/nq
총재	총재/ncn
측근들은	측근/ncn+들/xsn+은/jxc
청와대의	청와대/nq+의/jcm
개입이	개입/ncn+이/jcs
조직적으로	조직/ncn+적/xsn+으로/jca
이뤄지고	이루/pvg+어/ecx+지/px+고/ecx
있다고	있/px+다/ef+고/jcr
공공연히	공공연/ncn+히/xsa
주장한다.	주장/ncpa+하/xsv+ㄴ다/ef+./sf
김영삼	김영삼/nq
대통령을	대통령/ncn+을/jco
비롯해	비롯/mag+하/pvg+어/ecs
청와대	청와대/nq
출신	출신/ncn
인사들이	인사/ncn+들/xsn+이/jcs
당내	당/ncn+내/nbn
의원들에게	의원/ncn+들/xsn+에게/jca
전화를	전화/ncn+를/jco
걸고,	걸/pvg+고/ecc+,/sp
탈당	탈당/ncn
의원들이	의원/ncn+들/xsn+이/jcs
청와대와	청와대/nq+와/jct
빈번한	빈번/ncps+하/xsm+ㄴ/etm
접촉을	접촉/ncn+을/jco
하고	하/pvg+고/ecx
있다는	있/px+다/ef+는/etm
게	거/nbn+이/jcs
이	이/nq
총재쪽의	총재/ncn+쪽/nbn+의/jcm
주장이다.	주장/ncn+이/jp+다/ef+./sf
최근	최근/mag
청와대의	청와대/nq+의/jcm
김용태	김용태/nq
비서실장과	비서/ncn+실장/ncn+과/jcj
김광일	김광일/nq
정치특보가	정치/ncn+특보/ncn+가/jcs
잇따라	잇따르/pvg+아/ecs
주류쪽	주류/ncn+쪽/nbn
핵심인	핵심/ncn+이/jp+ㄴ/etm
김윤환	김윤환/nq
선대위원장을	선대위/ncn+원장/ncn+을/jco
만난	만나/pvg+ㄴ/etm
것도	것/nbn+도/jxc
이런	이렇/pad+ㄴ/etm
맥락이라고	맥락/ncn+이/jp+라/ef+고/jcr
이	이/mmd
총재쪽은	총재/ncn+쪽/nbn+은/jxc
말했다.	말하/pvg+었/ep+다/ef+./sf
이	이/nq
총재는	총재/ncn+는/jxc
이런	이렇/pad+ㄴ/etm
의혹	의혹/ncn
제기를	제기/ncn+를/jco
통해	통하/pvg+어/ecs
일단	일단/mag
신한국당	신한국당/nq
내분의	내분/ncn+의/jcm
책임을	책임/ncn+을/jco
김	김/nq
대통령에게	대통령/ncn+에게/jca
돌리려	돌리/pvg+려/ecs
시도하고	시도/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
특히	특히/mag
대변인실과	대변/ncn+인/xsn+실/xsn+과/jcj
정세분석실을	정세/ncn+분석/ncn+실/xsn+을/jco
총동원해	총/xp+동원/ncpa+하/xsv+어/ecs
성명	성명/ncn
논평	논평/ncn
등	등/nbn
모두	모두/mag
5건의	5/nnc+건/nbu+의/jcm
보도자료를	보도/ncn+자료/ncn+를/jco
내는	내/pvg+는/etm
등	등/nbn
최근	최근/mag
들어	들/pvg+어/ecs
매우	매우/mag
이례적이라	이례/ncn+적/xsn+이라/jca
할	하/pvg+ㄹ/etm
만한	만하/px+ㄴ/etm
물량공세를	물량/ncn+공세/ncn+를/jco
펼쳤다.	펼치/pvg+었/ep+다/ef+./sf
국민회의는	국민회의/nq+는/jxc
`국민신당=김영삼	`/sl+국민신당/nq+=/sy+김영삼/nq
신당'이라는	신당/ncn+'/sr+이/jp+라는/etm
주장의	주장/ncn+의/jcm
근거로	근거/ncn+로/jca
최근의	최근/ncn+의/jcm
언론	언론/ncn
보도와	보도/ncn+와/jcj
자체	자체/ncn
정보	정보/ncn
등을	등/nbn+을/jco
종합해	종합/ncpa+하/xsv+어/ecs
몇가지	몇/nnc+가지/nbu
의혹을	의혹/ncn+을/jco
들고	들/pvg+고/ecc
나왔다.	나오/pvg+았/ep+다/ef+./sf
이	이/mmd
가운데	가운데/ncn
`김현철	`/sl+김현철/nq
인맥'	인맥/ncn+'/sr
부분은	부분/ncn+은/jxc
국민회의가	국민회의/nq+가/jcs
이날	이/mmd+날/ncn
처음으로	처음/ncn+으로/jca
제기한	제기/ncpa+하/xsv+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
전병민씨는	전병민/nq+씨/xsn+는/jxc
이원종	이원종/nq
전	전/ncn
수석의	수석/ncn+의/jcm
연락을	연락/ncn+을/jco
받고	받/pvg+고/ecc
청와대에	청와대/nq+에/jca
들어가	들어가/pvg+아/ecs
김영삼	김영삼/nq
대통령을	대통령/ncn+을/jco
만난	만나/pvg+ㄴ/etm
뒤	뒤/ncn
이	이/nq
후보를	후보/ncn+를/jco
돕고	돕/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것이	것/nbn+이/jcs
국민회의의	국민회의/nq+의/jcm
주장이다	주장/ncn+이/jp+다/ef
이원종	이원종/nq
전	전/ncn
수석의	수석/ncn+의/jcm
자금조성설에	자금/ncn+조성/ncn+설/xsn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
기업쪽으로부터	기업/ncn+쪽/nbn+으로부터/jca
확실한	확실/ncps+하/xsm+ㄴ/etm
제보를	제보/ncn+를/jco
받았다고	받/pvg+았/ep+다/ef+고/jcr
주장했다.	주장/ncpa+하/xsv+었/ep+다/ef+./sf
이인제	이인제/nq
후보가	후보/ncn+가/jcs
합법적으로는	합법/ncn+적/xsn+으로/jca+는/jxc
후원금	후원/ncn+금/xsn
모금을	모금/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
상태에서	상태/ncn+에서/jca
김	김/nq
대통령	대통령/ncn
주변인사들로부터	주변/ncn+인사/ncn+들/xsn+로부터/jca
자금	자금/ncn
지원을	지원/ncn+을/jco
받고	받/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
국민회의쪽의	국민회의/nq+쪽/nbn+의/jcm
이런	이렇/pad+ㄴ/etm
적극	적극/ncn
공세는	공세/ncn+는/jxc
최근의	최근/ncn+의/jcm
이	이/nq
후보	후보/ncn
지지율	지지/ncn+율/xsn
상승을	상승/ncn+을/jco
견제하기	견제/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
일종의	일종/ncn+의/jcm
`네가티브	`네가티브/ncn
전략'에서	전략/ncn+'/sr+에서/jca
비롯된	비롯/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
해석된다.	해석/ncpa+되/xsv+ㄴ다/ef+./sf
국민회의는	국민회의/nq+는/jxc
이와	이/npd+와/jct
함께	함께/mag
이	이/nq
후보에게	후보/ncn+에게/jca
대응하기	대응/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
`포지티브	`/sl+포지티브/ncn
전략'도	전략/ncn+'/sr+도/jxc
준비하고	준비/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
하나는	하나/ncn+는/jxc
`디제이티(김대중	`/sl+디제이티/ncn+(/sl+김대중/nq
김종필	김종필/nq
박태준)	박태준/nq+)/sr
연합'	연합/ncn+'/sl
결성	결성/ncn
이후	이후/ncn
박태준	박태준/nq
의원을	의원/ncn+을/jco
내세워	내/pvg+어/ecs+세우/pvg+어/ecs
대구경북을	대구/nq+경북/nq+을/jco
적극	적극/mag
설득하겠다는	설득/ncpa+하/xsv+겠/ep+다/ef+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
여기에는	여기/npd+에/jca+는/jxc
디제이티	디제이티/ncn
3인이	3/nnc+인/nbu+이/jcs
함께	함께/mag
참여하는	참여/ncpa+하/xsv+는/etm
경제현장	경제/ncn+현장/ncn
방문	방문/ncn
등	등/nbn
이벤트와	이벤트/ncn+와/jcj
인물	인물/ncn
영입이	영입/ncn+이/jcs
포함된다.	포함/ncpa+되/xsv+ㄴ다/ef+./sf
이	이/nq
후보의	후보/ncn+의/jcm
`젊은	`/sl+젊/paa+은/etm
이미지'에	이미지/ncn+'/sr+에/jca
맞서	맞서/pvg+어/ecs
국민회의와	국민회의/nq+와/jcj
자민련의	자민련/nq+의/jcm
젊은	젊/paa+은/etm
의원과	의원/ncn+과/jcj
당직자들이	당직/ncn+자/xsn+들/xsn+이/jcs
참여하는	참여/ncpa+하/xsv+는/etm
조직	조직/ncn
결성도	결성/ncn+도/jxc
준비중이다.	준비/ncn+중/nbn+이/jp+다/ef+./sf
국민신당과	국민신당/nq+과/jcj
청와대는	청와대/nq+는/jxc
4일	4/nno+일/nbu
창당자금	창당/ncn+자금/ncn
지원설과	지원/ncn+설/xsn+과/jcj
김현철씨	김현철/nq+씨/xsn
인맥의	인맥/ncn+의/jcm
`침투'	`/sl+침투/ncn+'/sr
주장은	주장/ncn+은/jxc
터무니없는	터무니/ncn+없/paa+는/etm
음해라며	음해/ncn+라며/ecs
의혹을	의혹/ncn+을/jco
제기한	제기/ncpa+하/xsv+ㄴ/etm
신한국당과	신한국당/nq+과/jcj
국민회의를	국민회의/nq+를/jco
강하게	강하/paa+게/ecs
비난했다.	비난/ncpa+하/xsv+었/ep+다/ef+./sf
그러나	그러나/maj
국민신당쪽은	국민신당/nq+쪽/nbn+은/jxc
최근	최근/mag
구성했다는	구성/ncpa+하/xsv+었/ep+다/ncn+는/etm
법정	법정/ncn
후원회를	후원/ncn+회/xsn+를/jco
통해	통하/pvg+어/ecs
아직	아직/mag
창당비용	창당/ncn+비용/ncn
등을	등/nbn+을/jco
충당할	충당/ncpa+하/xsv+ㄹ/etm
만큼	만큼/nbn
후원금이	후원/ncn+금/xsn+이/jcs
조성되지	조성/ncpa+되/xsv+지/ecx
않은	않/px+은/etm
탓인지	탓/nbn+이/jp+ㄴ지/ecs
당사	당사/ncn
임대,	임대/ncn+,/sp
창당	창당/ncn
행사	행사/ncn
비용	비용/ncn
등에	등/nbn+에/jca
관한	관하/pvg+ㄴ/etm
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
해명은	해명/ncn+은/jxc
피하고	피하/pvg+고/ecx
있다.	있/px+다/ef+./sf
4일	4/nno+일/nbu
출범한	출범/ncpa+하/xsv+ㄴ/etm
이인제	이인제/nq
전	전/ncn
경기지사의	경기/ncn+지사/ncn+의/jcm
국민신당	국민신당/nq
창당	창당/ncn
과정에	과정/ncn+에/jca
김영삼	김영삼/nq
대통령과	대통령/ncn+과/jcj
청와대	청와대/nq
비서들이	비서/ncn+들/xsn+이/jcs
조직과	조직/ncn+과/jcj
자금을	자금/ncn+을/jco
지원했다는	지원/ncpa+하/xsv+었/ep+다/ef+는/etm
의혹이	의혹/ncn+이/jcs
이회창	이회창/nq
신한국당	신한국당/nq
총재와	총재/ncn+와/jcj
국민회의에	국민회의/nq+에/jca
의해	의하/pvg+어/ecs
강하게	강하/paa+게/ecs
제기돼	제기/ncpa+되/xsv+어/ecs
파장이	파장/ncn+이/jcs
일고	일/pvg+고/ecx
있다.	있/px+다/ef+./sf
국민신당과	국민신당/nq+과/jcj
청와대쪽은	청와대/nq+쪽/nbn+은/jxc
이에	이/npd+에/jca
대해	대하/pvg+어/ecs
사실무근이라며	사실/ncn+무근/ncn+이/jp+라며/ecs
반발하고	반발/ncpa+하/xsv+고/ecx
있으나	있/px+으나/ecs
연말대선을	연말/ncn+대선/ncn+을/jco
공정하게	공정/ncps+하/xsm+게/ecs
관리해야	관리/ncpa+하/xsv+어야/ecx
할	하/px+ㄹ/etm
김	김/nq
대통령과	대통령/ncn+과/jcj
청와대의	청와대/nq+의/jcm
중립	중립/ncn
여부에	여부/ncn+에/jca
대한	대하/pvg+ㄴ/etm
논란은	논란/ncn+은/jxc
계속될	계속/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다.	보이/pvg+ㄴ다/ef+./sf
전국	전국/ncn
대학의	대학/ncn+의/jcm
학생회와	학생/ncn+회/xsn+와/jcj
학생단체가	학생/ncn+단체/ncn+가/jcs
참여하고	참여/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
`북녘동포돕기	`/sl+북녘/ncn+동포/ncn+돕/pvg+기/etn
전국학생연대회의'가	전국/ncn+학생/ncn+연대/ncn+회의/ncn+'/sr+가/jcs
북한동포돕기와	북녘/ncn+동포/ncn+돕/pvg+기/etn+와/jcj
관련해	관련/ncpa+하/xsv+어/ecs
대선후보들에게	대선/ncn+후보/ncn+들/xsn+에게/jca
공개질의를	공개/ncn+질의/ncn+를/jco
하고	하/pvg+고/ecx
나섰다.	나서/px+었/ep+다/ef+./sf
학생연대회의는	학생/ncn+연대/ncn+회의/ncn+는/jxc
지난	지나/pvg+ㄴ/etm
10월29일	10/nno+월/nbu+29/nno+일/nbu
전자메일	전자/ncn+메일/ncn
등을	등/nbn+을/jco
통해	통하/pvg+어/ecs
민간차원의	민간/ncn+차원/ncn+의/jcm
북한동포돕기운동에	북녘/ncn+동포/ncn+돕/pvg+기/etn+운동/ncn+에/jca
관한	관하/pvg+ㄴ/etm
5가지	5/nnc+가지/nbu
질의를	질의/ncn+를/jco
띄우고,	띄우/pvg+고/ecc+,/sp
이에	이/npd+에/jca
대한	대하/pvg+ㄴ/etm
답변을	답변/ncn+을/jco
기다리고	기다리/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
4일	4/nno+일/nbu
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
국민승리21	nq[국민승리/nq+21/nnc]nq
권영길	권영길/nq
후보까지	후보/ncn+까지/jxc
포함해	포함/ncpa+하/xsv+어/ecs
6명에게	6/nnc+명/nbu+에게/jca
보낸	보내/pvg+ㄴ/etm
질의내용은	질의/ncn+내용/ncn+은/jxc
`이번	`/sl+이/mmd+번/nbn
대선에서	대선/ncn+에서/jca
북녘동포돕기를	북녘/ncn+동포/ncn+돕/pvg+기/etn+를/jco
주요	주요/ncn
공약으로	공약/ncn+으로/jca
내세울	내/pvg+어/ecs+세우/pvg+ㄹ/etm
뜻이	뜻/ncn+이/jcs
있는가?	있/paa+는가/ef+?/sf
',	'/sr+,/sp
`민간단체들의	`/sl+민간/ncn+단체/ncn+들/xsn+의/jcm
북녘동포돕기활동에	북녘/ncn+동포/ncn+돕/pvg+기/etn+활동/ncn+에/jca
대해	대하/pvg+어/ecs
어떻게	어떻/pad+게/ecs
생각하며,	생각/ncpa+하/xsv+며/ecc+,/sp
향후	향후/mag
민간단체의	민간/ncn+단체/ncn+의/jcm
활동을	활동/ncn+을/jco
적극	적극/mag
지원할	지원/ncpa+하/xsv+ㄹ/etm
생각이나	생각/ncn+이나/jcj
방도는	방도/ncn+는/jxc
있는가?	있/paa+는가/ef+?/sf
',	'/sr+,/sp
`남북교류협력기금을	`/sl+남북/ncn+교류/ncn+협력/ncn+기금/ncn+을/jco
북녘동포돕기에	북녘/ncn+동포/ncn+돕/pvg+기/etn+에/jca
즉각	즉각/mag
활용하는	활용/ncpa+하/xsv+는/etm
것에	것/nbn+에/jca
대해	대하/pvg+어/ecs
어떻게	어떻/pad+게/ecs
생각하는가?	생각/ncpa+하/xsv+는가/ef+?/sf
',	'/sr+,/sp
`내년도	`/sl+내년/ncn+도/jxc
통일원의	통일원/nq+의/jcm
예산삭감에	예산/ncn+삭감/ncn+에/jca
대해	대하/pvg+어/ecs
어떻게	어떻/pad+게/ecs
생각하는가?	생각/ncpa+하/xsv+는가/ef+?/sf
',	'/sr+,/sp
`현재	`/sl+현재/ncn
대한적십자사로	대한적십자사/nq+로/jca
단일화돼	단일/ncn+화/xsn+되/xsv+어/ecx
있는	있/px+는/etm
대북지원창구를	대북/ncn+지원/ncn+창구/ncn+를/jco
다양화할	다양/ncn+화/xsn+하/xsv+ㄹ/etm
생각이	생각/ncn+이/jcs
있는가?	있/paa+는가/ef+?/sf
'	'/sl
등이다.	등/nbn+이/jp+다/ef+./sf
지난	지나/pvg+ㄴ/etm
10월2일	10/nno+월/nbu+2/nno+일/nbu
한국기독학생회총연맹	한국기독학생회총연맹/nq
등	등/nbn
4개	4/nnc+개/nbu
종교학생회의	종교/ncn+학생/ncn+회/xsn+의/jcm
주도로	주도/ncn+로/jca
`21세기	`/sl+nq[21/nno+세기/nbu
진보학생연합'	+진보/ncn+학생/ncn+연합/ncn]nq+'/sr
등	등/nbn
전국	전국/ncn
40여개	40/nnc+여/xsn+개/nbu
대학의	대학/ncn+의/jcm
학생회와	학생ncn+회/xsn+와/jcj
단체가	단체/ncn+가/jcs
모여	모이/pvg+어/ecs
결성된	결성/ncpa+되/xsv+ㄴ/etm
학생연대회의는	학생/ncn+연대/ncn+회의/ncn+는/jxc
북한에	북한/nq+에/jca
식량과	식량/ncn+과/jcj
의약품	의약/ncn+품/xsn
보내기운동을	보내/pvg+기/etn+운동/ncn+을/jco
전개하고	전개/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
신한국당내	신한국당/nq+내/nbn
주류와	주류/ncn+와/jcj
비주류쪽이	비/xp+주류/ncn+쪽/nbn+이/jcs
타협의	타협/ncn+의/jcm
여지를	여지/ncn+를/jco
보이지	보이/pvg+지/ecx
않은	않/px+은/etm
채	채/nbn
빠른	빠르/paa+ㄴ/etm
속도로	속도/ncn+로/jca
제	저/npp+의/jcm
갈	가/pvg+ㄹ/etm
길을	길/ncn+을/jco
가고	가/pvg+고/ecx
있다.	있/px+다/ef+./sf
비주류쪽은	비/xp+주류/ncn+쪽/nbn+은/jxc
29일	29/nno+일/nbu
이회창	이회창/nq
총재와	총재/ncn+와/jcj
조순	조순/nq
민주당	민주당/nq
총재,	총재/ncn+,/sp
이인제	이인제/nq
전	전/ncn
경기지사	경기/nq+지사/ncn
등	등/nbn
반DJP(김대중	반/xp+DJP/f+(/sl+김대중/nq
김종필)	김종필/nq+)/sr
세력을	세력/ncn+을/jco
한데	한데/mag
묶어	묶/pvg+어/ecs
새	새/mma
단일후보를	단일/ncn+후보/ncn+를/jco
세운다는	세우/pvg+ㄴ다/ef+는/etm
목표	목표/ncn
아래	아래/ncn
`정권창출을	`/sl+정권/ncn+창출/ncn+을/jco
위한	위하/pvg+ㄴ/etm
국민연대	nq[국민/ncn+연대/ncn
추진협의회'를	추진/ncn+협의/ncn+회/xsn]nq+'/sr+를/jco
발족시켰다.	발족/ncn+시키/xsv+었/ep+다/ef+./sf
그러나	그러나/maj
주류쪽은	주류/ncn+쪽/nbn+은/jxc
국민연대	nq[국민/ncn+연대/ncn
추진협의회를	+추진/ncn+협의/ncn+회/xsn]nq+를/jco
아예	아예/mag
무시하는	무시/ncpa+하/xsv+는/etm
반응을	반응/ncn+을/jco
보이면서	보이/pvg+면서/ecs
`이회창	`/sl+이회창/nq
후보'	후보/ncn+'/sr
체제로	체제/ncn+로/jca
계속	계속/mag
밀고	밀/pvg+고/ecx
나간다는	나가/px+ㄴ다/ef+는/etm
입장을	입장/ncn+을/jco
재확인했다.	재/xp+확인/ncpa+하/xsv+었/ep+다/ef+./sf
비주류쪽은	비/xp+주류/ncn+쪽/nbn+은/jxc
이날	이/mmd+날/ncn
국민연대	nq[국민/ncn+연대/ncn
추진협의회를	+추진/ncn+협의/ncn+회/xsn]nq+를/jco
발족시키면서	발족/ncn+시키/xsv+면서/ecc
옛	옛/mma
민주계의	민주/ncn+계/xsn+의/jcm
색깔을	색깔/ncn+을/jco
지우기	지우/pvg+기/etn
위해	위하/pvg+어/ecs
노력했다.	노력/ncpa+하/xsv+었/ep+다/ef+./sf
발족식	발족/ncn+식/xsn
참석자들도	참석/ncn+자/xsn+들/xsn+도/jxc
국민연대의	국민연대/nq+의/jcm
성격을	성격/ncn+을/jco
계파를	계파/ncn+를/jco
초월한	초월/ncpa+하/xsv+ㄴ/etm
