<tdmsfile>


자연이	자연/ncn+이/jcs
이용해	이용/ncpa+하/xsv+어/ecs
투명한	투명/ncps+하/xsm+ㄴ/etm
상태로	상태/ncn+로/jca
만든	만들/pvg+ㄴ/etm
것도	것/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
화장비누는	화장/ncn+비누/ncn+는/jxc
세수나	세수/ncn+나/jcj
목욕용이므로	목욕/ncn+용/xsn+이/jp+므로/ecs
,	,/sp
그	그/mmd
원료에도	원료/ncn+에/jca+도/jxc
매우	매우/mag
주의를	주의/ncn+를/jco
기울인	기울이/pvg+ㄴ/etm
비누입니다	비누/ncn+이/jp+ㅂ니다/ef
.	./sf
세탁비누는	세탁/ncn+비누/ncn+는/jxc
비누	비누/ncn
중에서	중/nbn+에서/jca
가장	가장/mag
값이	값/ncn+이/jcs
싸고	싸/paa+고/ecs
세척력이	세척/ncn+력/xsn+이/jcs
크며	크/paa+며/ecs
,	,/sp
찬물에	차/paa+ㄴ/etm+물/ncn+에/jca
잘	잘/mag
녹고	녹/pvg+고/ecs
빨리	빠르/paa+이/xsa
헹구어집니다	헹구/pvg+어/ecx+지/px+ㅂ니다/ef
.	./sf
손이	손/ncn+이/jcs
거칠어지지	거칠/paa+어/ecx+지/px+지/ecx
않게	않/px+게/ecs
하거나	하/pvg+거나/ecs
빨래감을	빨래/ncn+감/xsn+을/jco
상하게	상하/pvg+게/ecs
하지	하/pvg+지/ecx
않아야	않/px+아야/ecs
좋은	좋/paa+은/etm
비누입니다	비누/ncn+이/jp+ㅂ니다/ef
.	./sf
물에	물/ncn+에/jca
빨리	빠르/paa+이/xsa
녹는	녹/pvg+는/etm
소금보다	소금/ncn+보다/jca
설탕은	설탕/ncn+은/jxc
물에	물/ncn+에/jca
천천히	천천/ncn+히/xsa
녹지만	녹/pvg+지만/ecs
잘	잘/mag
녹여	녹이/pvg+어/ecx
보면	보/px+면/ecs
훨씬	훨씬/mag
많이	많/paa+이/xsa
녹습니다	녹/pvg+습니다/ef
.	./sf
보통	보통/mag
200	200/nnc
을	을/jco
섞은	섞/pvg+은/etm
뒤	뒤/ncn
,	,/sp
사나흘이	사나흘/ncn+이/jcs
지나서	지나/pvg+서/ecs
설탕	설탕/ncn
한	한/nnc
숟갈	숟갈/nbu
정도를	정도/ncn+를/jco
넣으면	넣/pvg+으면/ecs
큰	크/paa+ㄴ/etm
비눗방울을	비눗방울/ncn+을/jco
만들	만들/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
설탕은	설탕/ncn+은/jxc
끈기가	끈기/ncn+가/jcs
있어	있/paa+어/ecs
오래가는	오래/mag+가/pvg+는/etm
비눗방울을	비눗방울/ncn+을/jco
만들어	만들/pvg+어/ecx
줄	주/px+ㄹ/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
아름다움을	아름다움/ncn+을/jco
더	더/mag
잘	잘/mag
감상할	감상/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
해	하/px+어/ecx
줍니다	주/px+ㅂ니다/ef
.	./sf
설탕으로	설탕/ncn+으로/jca
절인	절이/pvg+ㄴ/etm
식품은	식품/ncn+은/jxc
오랫동안	오랫동안/ncn
썩지	썩/pvg+지/ecx
않으며	않/px+으며/ecs
,	,/sp
비눗방울도	비눗방울/ncn+도/jxc
오래	오래/mag
유지시킨다는	유지/ncpa+시키/xsv+ㄴ다/ef+는/etm
사실은	사실/ncn+은/jxc
재미	재미/ncn
있지요	있/paa+지/ef+요/jxf
.	./sf
송진은	송진/ncn+은/jxc
소나무과	소나무/ncn+과/ncn
등의	등/nbn+의/jcm
나무가	나무/ncn+가/jcs
손상을	손상/ncn+을/jco
입었을	입/pvg+었/ep+을/etm
때	때/ncn
분비되는	분비/ncpa+되/xsv+는/etm
발삼으로	발삼/ncn+으로/jca
무색투명하고	무색/ncn+투명/ncps+하/xsm+고/ecc
점성이	점성/ncn+이/jcs
있는	있/paa+는/etm
액체입니다	액체/ncn+이/jp+ㅂ니다/ef
.	./sf
이것에	이것/npd+에/jca
수증기를	수증기/ncn+를/jco
날려	날리/pvg+어/ecs
보내서	보내/pvg+서/ecs
테레빈유를	테레빈유/ncn+를/jco
얻고	얻/pvg+고/ecx
나면	나/px+면/ecs
로진이	로진/ncn+이/jcs
고체로	고체/ncn+로/jca
남습니다	남/pvg+습니다/ef
.	./sf
성분은	성분/ncn+은/jxc
로진이	로진/ncn+이/jcs
70	70/nnc
정유는	정유/ncn+는/jxc
18	18/nnc
물	물/ncn
,	,/sp
기타	기타/ncn
불순물이	불순/ncn+물/xsn+이/jcs
5	5/nnc
이며	이/jp+며/ecs
,	,/sp
그	그/mmd
중	중/nbn
송진산은	송진/ncn+산/ncn+은/jxc
전체의	전체/ncn+의/jcm
60	60/nnc
차지합니다	차지/ncpa+하/xsv+ㅂ니다/ef
.	./sf

</tdmsfile>
