<tdmsfile>
sbs.hwp
외환당국	외환/ncn+당국/ncn
그러나	그러나/maj
구제금융은	구제/ncpa+금융/ncn+은/jxc
국가	국가/ncn
부도를	부도/ncn+를/jco
의미하고	의미/ncpa+하/xsv+고/ecs
2류국가라는	2/nno+류/nbu+국가/ncn+라/ef+는/etm
멍에를	멍에/ncn+를/jco
피할	피하/pvg+ㄹ/etm
수	수/nbn
없습니다.	없/paa+습니다/ef+./sf
따라서	따라서/maj
구제금융에	구제/ncpa+금융/ncn+에/jca
대한	대하/pvg+ㄴ/etm
결론은	결론/ncn+은/jxc
신중한	신중/ncps+하/xsm+ㄴ/etm
판단과	판단/ncn+과/jct
과감한	과감/ncps+하/xsm+ㄴ/etm
결단이	결단/ncn+이/jcs
필요한	필요/ncps+하/xsm+ㄴ/etm
것으로	것/nbn+으로/jca
지적되고	지적/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
이사때	이사/ncn+때/ncn
카드	카드/ncn
조심	조심/ncn
이사할	이사/ncpa+하/xsv+ㄹ/etm
때는	때/ncn+는/jxc
이것	이것/npd
저것	저것/npd
챙기실게	챙기/pvg+시/ep+ㄹ/etm+거/nbn+이/jcs
많으시겠지만	많/paa+으시겠/ep+지만/ecs
특히	특히/mag
안	안/mag
쓰는	쓰/pvg+는/etm
신용카드를	신용/ncn+카드/ncn+를/jco
잘	잘/mag
챙기시기	챙기/pvg+시/ep+기/etn
바랍니다.	바라/pvg+ㅂ니다/ef+./sf
서랍	서랍/ncn
속에	속/ncn+에/jca
방치해	방치/ncpa+하/xsv+어/ecx
두고	두/px+고/ecs
사용하지	사용/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
신용카드를	신용/ncn+카드/ncn+를/jco
이삿짐	이삿짐/ncn
센터	센터/ncn
직원들이	직원/ncn+들/xsn+이/jcs
훔쳐	훔치/pvg+어/ecs
두	두/nnc
달	달/nbu
동안	동안/ncn
2천만원이	2천만/nnc+원/nbu+이/jcs
넘게	넘/pvg+게/ecs
사용했는	사용/ncpa+하/xsv+었/ep+는/etm
데도	데/nbn+도/jxc
주인은	주인/ncn+은/jxc
까맣게	까맣/paa+게/ecs
모르고	모르/pvg+고/ecx
있었습니다.	있/px+었/ep+습니다/ef+./sf
박진호기자가	박진호/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
"이처럼	"/sl+이/npd+처럼/jca
많은	많/paa+은/etm
사람들이	사람/ncn+들/xsn+이/jcs
많게는	많/paa+게/ecs+는/jxc
대여섯장씩	대여섯/nnc+장/nbu+씩/xsn
신용카드를	신용/ncn+카드/ncn+를/jco
발급받지만	발급/ncpa+받/xsv+지만/ecs
실제로	실제로/mag
사용하는	사용/ncpa+하/xsv+는/etm
카드는	카드/ncn+는/jxc
한두장에	한/nnc+두/nnc+장/nbu+에/jca
불과합니다.	불과/ncps+하/xsm+ㅂ니다/ef+./sf
"	"/sl
서울	서울/nq
송파경찰서는	송파/nq+경찰/ncn+서/xsn+는/jxc
이런	이런/mmd
휴면	휴면/ncn
카드를	카드/ncn+를/jco
훔쳐	훔치/pvg+어/ecs
2천백만원	2천백만/nnc+원/nbu
어치를	어치/xsn+를/jco
사용한	사용/ncpa+하/xsv+ㄴ/etm
혐의로	혐의/ncn+로/jca
이삿짐	이삿짐/ncn
센터	센터/ncn
직원	직원/ncn
38살	38/nnc+살/nbu
양권동씨등	양권동/nq+씨/xsn+등/nbn
3명에	3/nnc+명/nbu+에/jca
대해	대하/pvg+어/ecs
구속영장을	구속/ncn+영장/ncn+을/jco
신청했습니다.	신청/ncpa+하/xsv+었/ep+습니다/ef+./sf
이들은	이/npd+들/xsn+은/jxc
지난	지나/pvg+ㄴ/etm
9월말	9/nno+월/nbu+말/ncn
서울	서울/nq
송파동의	송파동/nq+의/jcm
27살	27/nnc+살/nbu
이모씨	이/nq+모/ncn+씨/xsn
집에서	집/ncn+에서/jca
이삿짐을	이삿짐/ncn+을/jco
나르다가	나르/pvg+다가/ecs
서랍	서랍/ncn
안에	안/ncn+에/jca
있던	있/paa+던/etm
신용카드를	신용/ncn+카드/ncn+를/jco
훔쳐	훔치/pvg+어/ecs
48차례나	48/nnc+차례/nbu+나/jcj
사용했습니다.	사용/ncpa+하/xsv+었/ep+습니다/ef+./sf
이씨가	이/nq+씨/xsn+가/jcs
분실사실을	분실/ncpa+사실/ncn+을/jco
알게	알/pvg+게/ecs
된	되/pvg+ㄴ/etm
것은	것/nbn+은/jxc
두	두/nnc
달이	달/nbu+이/jcs
지난	지나/pvg+ㄴ/etm
뒤.	뒤/ncn+./sf
"통장에서	"/sl+통장/ncn+에서/jca
돈이	돈/ncn+이/jcs
자동인출된	자동/ncn+인출/ncpa+되/xsv+ㄴ/etm
걸	것/nbn+을/jco
보고	보/pvg+고/ecs
놀래서	놀라/pvg+어서/ecs
찾아보니	찾/pvg+아/ecs+보/pvg+니/ecs
카드가	카드/ncn+가/jcs
없어졌더라구요.	없/paa+어/ecx+지/px+었/ep+더/ep+라구/ef+요/jxf+./sf
"	"/sl
시중에	시중/ncn+에/jca
발급된	발급/ncpa+되/xsv+ㄴ/etm
신용카드는	신용/ncn+카드/ncn+는/jxc
4천8백만장.	4천8백만/nnc+장/nbu+./sf
이중에	이/mmd+중/nbn+에/jca
한번도	한/nnc+번/nbu+도/jxc
사용하지	사용/ncpa+하/xsv+지/ecx
않은	않/px+은/etm
이른바	이른바/mag
'휴면카드'는	'/sl+휴면/ncn+카드/ncn+'/sr+는/jxc
35%에	35/nnc+%/su+에/jca
달하는	달하/pvg+는/etm
천6백만장	천/nnc+6백만/nnc+장/nbu
정도로	정도/ncn+로/jca
추정됩니다.	추정/ncpa+되/xsv+ㅂ니다/ef+./sf
"15일	"/sl+15/nno+일/nbu
이내에	이내/ncn+에/jca
신고하시면	신고/ncpa+하/xsv+시/ep+면/ecs
보상	보상/ncn
받으실	받/pvg+으시/ep+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문에	때문/nbn+에/jca
한달에	한/nnc+달/nbu+에/jca
한두번	한두/nnc+번/nbu
정도	정도/ncn
확인해	확인/ncpa+하/xsv+어/ecx
봐야.	보/px+아야/ecs+./sf
"	"/sl
이씨는	이/npd+씨/xsn+는/jxc
카드를	카드/ncn+를/jco
발급받은	발급/ncpa+받/xsv+은/etm
뒤	뒤/ncn
서랍	서랍/ncn
속에	속/ncn+에/jca
넣어두고	넣/pvg+어/ecx+두/px+고/ecs
이사	이사/ncn
때도	때/ncn+도/jxc
챙기지	챙기/pvg+지/ecx
않았다가	않/px+았/ep+다가/ecs
무려	무려/mag
천5백만원을	천5백만/nnc+원/nbu+을/jco
물게	물/pvg+게/ecs
됐습니다.	되/pvg+었/ep+습니다/ef+./sf
SBS	SBS/f
박진홉니다.	박진호/nq+이/jp+ㅂ니다/ef+./sf
각당	각/mma+당/ncn
본격	본격/ncn
득표전	득표/ncn+전/xsn
돌입	돌입/ncn
대통령선거가	대통령/ncn+선거/ncn+가/jcs
이제	이제/mag
꼭	꼭/mag
30일	30/nnc+일/nbu
앞으로	앞/ncn+으로/jca
다가왔습니다.	다가오/pvg+았/ep+습니다/ef+./sf
각	각/mma
당은	당/ncn+은/jxc
후보등록일까지	후보/ncn+등록/ncn+일/xsn+까지/jxc
앞으로	앞/ncn+으로/jca
남은	남/pvg+은/etm
일주일이	일/nnc+주일/nbu+이/jcs
판세형성의	판세/ncn+형성/ncn+의/jcm
결정적	결정/ncn+적/xsn
시기가	시기/ncn+가/jcs
될	되/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecs
총력을	총력/ncn+을/jco
기울인	기울이/pvg+ㄴ/etm
득표전에	득표/ncn+전/nxs+에/jca
들어갔습니다.	들/pvg+어/ecs+가/pvg+았/ep+습니다/ef+./sf
먼저	먼저/mag
이번	이/mmd+번/nbn
대선의	대선/ncn+의/jcm
쟁점과	쟁점/ncn+과/jcj
변수,	변수/ncn+,/sf
각	각/mma
당의	당/ncn+의/jcm
전략을	전략/ncn+을/jco
방문신기자가	방문신/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
이제	이제/mag
30일,	30/nnc+일/nbu+,/sp
당초	당초/ncn
5명의	5/nnc+명/nbu+의/jcm
유력후보로	유력/ncn+후보/ncn+로/jca
출발했던	출발/ncpa+하/xsv+었/ep+던/etm
대선전은	대선/ncn+전/xsn+은/jxc
후보간	후보/ncn+간/nbn
연대를	연대/ncn+를/jco
거쳐	거치/pvg+어/ecs
1강2중의	1/nnc+강/ncn+2/nnc+중/nbn+의/jcm
새로운	새롭/paa+ㄴ/etm
3자구도로	3/nnc+자/nbu+구도/ncn+로/jca
유권자들에게	유권/ncn+자/xsn+들/xsn+에게/jca
다가섰습니다.	다가서/pvg+었/ep+습니다/ef+./sf
쟁점도	쟁점/ncn+도/jxc
3김청산과	3/nnc+김/nq+청산/ncn+과/jcj
정권교체,세대교체로	정권/ncn+교체/ncn+,/sp+세대/ncn+교체/ncn+로/jca
압축됐습니다	압축/ncpa+되/xsv+었/ep+습니다/ef
11월	11/nno+월/nbu
20일	20/nno+일/nbu
선거인명부	선거/ncn+인/xsn+명부/ncn
작성,	작성/ncn+,/sp
26일	26/nno+일/nbu
후보자등록,	후보/ncn+자/xsn+등록/ncn+,/sp
12월	12/nno+월/nbu
1일	1/nno+일/nbu
선전벽보	선전/ncn+벽보/ncn
부착,	부착/ncn+,/sp
12월	12/nno+월/nbu
11일	11/nno+일/nbu
부재자투표로	부재/ncn+자/xsn+투표/ncn+로/jca
일정도	일정/ncn+도/jxc
숨가쁘게	숨/ncn+가쁘/paa+게/ecs
이어집니다.	잇/pvg+어ecx+지/px+ㅂ니다/ef+./sf
각당의	각/mma+당/ncn+의/jcm
선거전략도	선거/ncn+전략/ncn+도/jxc
바뀌고	바뀌/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
신한국당의	신한국당/nq+의/jcm
최우선	최우선/ncn
과제는	과제/ncn+는/jxc
이회창-조순	이회창/nq+-/sd+조순/nq
연대의	연대/ncn+의/jcm
극대화	극대/ncn+화/xsn
전략입니다.	전략/ncn+이/jp+ㅂ니다/ef+./sf
이번주부터	이/mmd+번/nbn+주/ncn+부터/jxc
읍	읍/ncn
면	면/ncn
동	동/ncn
차원의	차원/ncn+의/jcm
조직까지	조직/ncn+까지/jxc
가동해	가동/ncpa+하/xsv+어/ecs
막판	막판/ncn
이회창-김대중	이회창/nq+-/sd+김대중/nq
양자	양자/ncn
대결구도로	대결/ncpa+구도/ncn+로/jca
유도해	유도/ncpa+하/xsv+어/ecx
나간다는	나가/px+ㄴ다/ef+는/etm
구상입니다.	구상/ncn+이/jp+ㅂ니다/ef+./sf
국민회의는	국민회의/nq+는/jxc
DJT연대의	DJT/f+연대/ncn+의/jcm
상징성,	상징/ncn+성/xsn+,/sp
즉	즉/maj
집권경륜과	집권/ncn+경륜/ncn+과/jcj
개혁,경제살리기의	개혁/ncn+,/sp+경제/ncn+살리/pvg+기/xsn+의/jcm
연대라는	연대/ncn+라/ef+는/etm
점에	점/ncn+에/jca
홍보에	홍보/ncn+에/jca
초점을	초점/ncn+을/jco
맞추고	맞추/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
국민회의는	국민회의/nq+는/jxc
특히	특히/mag
준비된	준비/ncpa+되/xsv+ㄴ/etm
대통령의	대통령/ncn+의/jcm
이미지를	이미지/ncn+를/jco
부각시켜	부각/ncpa+시키/xsv+어/ecs
안정적인	안정/ncpa+적/xsn+이/jp+ㄴ/etm
1위를	1/nno+위/nbu+를/jco
고수해	고수/ncpa+하/xsv+어/ecx
나간다는	나가/px+ㄴ다/ef+는/etm
전략입니다.	전략/ncn+이/jp+ㅂ니다/ef+./sf
국민신당은	국민신당/nq+은/jxc
2위	2/nno+위/nbu
재탈환을	재/xp+탈환/ncn+을/jco
목표로	목표/ncn+로/jca
선거전략을	선거/ncn+전략/ncn+을/jco
공격형으로	공격/ncn+형/xsn+으로/jca
수정했습니다.	수정/ncpa+하/xsv+었/ep+습니다/ef+./sf
국민신당은	국민신당/nq+은/jxc
이	이/mmd
시점에서	시점/ncn+에서/jca
부실한	부실/ncps+하/xsm+ㄴ/etm
조직을	조직/ncn+을/jco
강화하고	강화/ncpa+하/xsv+고/ecs
외부인사를	외부/ncn+인사/ncn+를/jco
영입하는데	영입/ncpa+하/xsv+는데/ecs
당운을	당운/ncn+을/jco
걸고	걸/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
26일	26/nno+일/nbu
이후	이후/ncn
실시되는	실시/ncpa+되/xsv+는/etm
후보	후보/ncn
합동토론회와	합동/ncn+토론/ncn+회/xsn+와/jcj
텔레비젼	텔레비젼/ncn
후보	후보/ncn
유세도	유세/ncn+도/jxc
결정적인	결정/ncn+적/xsn+이/jp+ㄴ/etm
변수가	변수/ncn+가/jcs
될	되/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
아직까지	아직/ncn+까지/jxc
공방	공방/ncn
수준에	수준/ncn+에/jca
머물고	머물/pvg+고/ecx
있지만	있/px+지만/ecs
여권	여권/ncn
일부에서	일부/ncn+에서/jca
제기하고	제기/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
이회창	이회창/nq,
이인제	이인제/nq
연대의	연대/ncn+의/jcm
성사	성사/ncn
여부도	여부/ncn+도/jxc
관심거립니다.	관심/ncn+거리/xsn+ㅂ니다/ef+./sf
선거때면	선거/ncn+때/ncn+면/ecs
나타나곤	나타나/pvg+고/ecs+ㄴ/etm
했던	하/pvg+었/ep+던/etm
이른바	이른바/mag
북풍의	북풍/ncn+의/jcm
영향력과	영향/ncn+력/xsn+과/jcj
지역별	지역/ncn+별/xsn
표몰림현상도	표/ncn+몰림/ncn+현상/ncn+도/jxc
아직은	아직/mag+은/jxc
대선	대선/ncn
변수로	변수/ncn+로/jca
남아	남/pvg+아/ecx
있습니다.	있/px+습니다/ef+./sf
SBS	SBS/f
방문신입니다.	방문신/nq+이/jp+ㅂ니다/ef+./sf
3당:'지역감정'또	3/nnc+당/nbu+:/sf+'/sr+지역/ncn+감정/ncn+'/sl+또/mag
논란	논란/ncn
지역감정론이	지역/ncn+감정/ncn+론/xsn+이/jcs
또	또/mag
다시	다시/mag
대선쟁점으로	대선/ncn+쟁점/ncn+으로/jca
부각되고	부각/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
신한국당	신한국당/nq
김윤환	김윤환/nq
선대위원장이	선대위/ncn+원장/ncn+이/jcs
오늘	오늘/ncn
영남권	영남/nq+권/xsn
단결론을	단결/ncn+론/xsn+을/jco
피력한데	피력/ncpa+하/xsv+ㄴ데/ecs
대해	대하/pvg+어/ecs
국민회의가	국민회의/nq+가/jcs
지역감정의	지역/ncn+감정/ncn+의/jcm
도발이라며	도발/ncn+이/jp+라며/ecs
강력히	강력/ncn+히/xsa
반발하고	반발/ncpa+하/xsv+고/ecs
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
한동안	한동안/mag
잠잠했던	잠잠/ncps+하/xsm+었/ep+던/etm
병역시비공방과	병역/ncn+시비/ncn+공방/ncn+과/jcj
후보사퇴공방도	후보/ncn+사퇴/ncn+공방/ncn+도/jxc
재개됐습니다.	재개/ncpa+되/xsv+었/ep+습니다/ef+./sf
백수현기자의	백수현/nq+기자/ncn+의/jcm
보돕니다.	보도/ncpa+이/jp+ㅂ니다/ef+./sf
신한국당	신한국당/nq
김윤환	김윤환/nq
선대위원장은	선대위/ncn+원장/ncn+은/jxc
오늘	오늘/mag
경남지역	경남/nq+지역/ncn
필승대회에서	필승/ncn+대회/ncn+에서/jca
이회창	이회창/nq
총재	총재/ncn
지지를	지지/ncn+를/jco
호소하며	호소/ncpa+하/xsv+며/ecs
영남권	영남/nq+권/xsn
단결론을	단결/ncn+론/xsn+을/jco
피력했습니다.	피력/ncpa+하/xsv+었/ep+습니다/ef+./sf
김위원장은	김/nq+위원/ncn+장/xsn+은/jxc
"우리가	"/sl+우리/npp+가/jcs
남이냐,	남/ncn+이/jp+냐/ef+,/sp
TK와	TK/f+와/jcj
P.	P/f+./sf
K가	K/f+가/jcs
함께	함께/mag
손을	손/ncn+을/jco
잡고	잡/pvg+고/ecs
문민정부를	문민정부/ncn+를/jco
탄생시켰다며	탄생/ncpa+시키/xsv+었/ep+다/ef+며/ecs
이번에도	이/mmd+번/nbn+에/jca+도/jxc
영남이	영남/nq+이/jcs
뭉쳐서	뭉치/pvg+어서/ecs
이	이/mmd
나라를	나라/ncn+를/jco
살려내자"고	살리/pvg+어/ecx+내/px+자/ef+"/sr+고/jcr
말했습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
김위원장의	김/nq+위원/ncn+장/xsn+의/jcm
발언이	발언/ncn+이/jcs
전해지자	전하/pvg+어/ecx+지/px+자/ecs
국민회의는	국민회의/nq+는/jxc
망국적	망국/ncn+적/xsn
지역감정을	지역/ncn+감정/ncn+을/jco
다시	다시/mag
도발하고	도발/ncpa+하/xsv+고/ecx
있다고	있/px+다/ef+고/jcr
반발하며	반발/ncpa+하/xsv+며/ecs
김고문과	김/nq+고문/ncn+과/jcj
이회창총재의	이회창/nq+총재/ncn+의/jcm
사과를	사과/ncn+를/jco
요구했습니다.	요구/ncpa+하/xsv+었/ep+습니다/ef+./sf
국민회의는	국민회의/nq+는/jxc
내일	내일/ncn
긴급대책회의를	긴급/ncn+대책/ncn+회의/ncn+를/jco
열어	열/pvg+어/ecs
대응방안을	대응/ncpa+방안/ncn+을/jco
논의한	논의/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
자민련과의	자민련/nq+과/jct+의/jcm
합동의총에서	합동/ncn+의총/ncn+에서/jca
김위원장을	김/nq+위원/ncn+장/xsn+을/jco
규탄할	규탄/ncpa+하/xsv+ㄹ/etm
계획이어서	계획/ncn+이/jp+어서/ecs
대선때마다	대선/ncn+때/ncn+마다/jxc
되풀이된	되풀이/ncpa+되/xsv+ㄴ/etm
지역감정론이	지역/ncn+감정/ncn+론/xsn+이/jcs
다시	다시/mag
재연될	재연/ncpa+되/xsv+ㄹ/etm
조짐을	조짐/ncn+을/jco
보이고	보이/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
그동안	그/mma+동안/ncn
잠잠했던	잠잠/ncps+하/xsv+었/ep+던/etm
3당간의	3/nnc+당/nbu+간/nbn+의/jcm
병역문제	병역/ncn+문제/ncn
공방도	공방/ncn+도/jxc
다시	다시/mag
불거졌습니다.	불거지/pvg+었/ep+습니다/ef+./sf
또	또/maj
신한국당과	신한국당/nq+과/jcj
국민신당은	국민신당/nq+은/jxc
지지율을	지지/ncn+율/xsn+을/jco
놓고	놓/pvg+고/ecs
날카로운	날카롭/paa+ㄴ/etm
신경전을	신경/ncn+전/xsn+을/jco
벌이며	벌이/pvg+며/ecs
서로	서로/mag
상대방	상대방/ncn
후보의	후보/ncn+의/jcm
사퇴를	사퇴/ncn+를/jco
요구했습니다.	요구/ncpa+하/xsv+었/ep+습니다/ef+./sf
이런	이런/mmd
공방전은	공방/ncn+전/xsn+은/jxc
판세를	판세/ncn+를/jco
유리하게	유리/ncpa+하/xsv+게/ecs
이끌기위한	이끌/pvg+기/etn+위하/pvg+ㄴ/etm
선거전략차원에서	선거/ncn+전략/ncn+차원/ncn+에서/jca
제기되고	제기/ncpa+되/xsv+고/ecx
있어	있/px+어/ecs
세후보간의	세/nnc+후보/ncn+간/nbn+의/jcm
접전이	접전/ncn+이/jcs
치열해질수록	치열/ncps+하/xsm+어/ecx+지/px+ㄹ수록/ecs
이전투구식	이전투구/ncn+식/xsn
공방은	공방/ncn+은/jxc
더욱	더욱/mag
가열될	가열/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
SBS	SBS/f
백수현입니다.	백수현/nq+이/jp+ㅂ니다/ef+./sf
신한국:PK	신한국/nq+:/sf+PK/f
공략	공략/ncn
신한국당은	신한국당/nq+은/jxc
오늘	오늘/mag
경남지역	경남/nq+지역/ncn
필승결의대회를	필승/ncn+결의/ncn+대회/ncn+를/jco
시작으로	시작/ncn+으로/jca
2위	2/nno+위/nbu
굳히기를	굳히/pvg+기/etn+를/jco
위한	위하/pvg+ㄴ/etm
전략지	전략/ncn+지/xsn
공략에	공략/ncn+에/jca
들어갔습니다.	들/pvg+어/ecs+가/pvg+았/ep+습니다/ef+./sf
이회창	이회창/nq
총재는	총재/ncn+는/jxc
조순	조순/nq
총재와	총재/ncn+와/jct
함께	함께/mag
기자회견을	기자/ncn+회견/ncn+을/jco
갖고	갖/pvg+고/ecs
"대통령은	"/sl+대통령/ncn+은/jxc
정부조직을	정부/ncn+조직/ncn+을/jco
경제위기에	경제/ncn+위기/ncn+에/jca
대처하기위한	대처/ncpa+하/xsv+기/etn+위하/pvg+ㄴ/etm
비상체제로	비상/ncn+체제/ncn+로/jca
전환하라	전환/ncpa+하/xsv+라/ef
"고	"/sr+고/jcr
촉구했습니다	촉구/ncpa+하/xsv+었/ep+습니다/ef
민성기기자의	민성기/nq+기자/ncn+의/jcm
보돕니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
전략지역인	전략/ncn+지역/ncn+이/jp+ㄴ/etm
경남을	경남/nq+을/jco
찾은	찾/pvg+은/etm
이회창	이회창/nq
총재는	총재/ncn+는/jxc
2위	2/nno+위/nbu
탈환의	탈환/ncn+의/jcm
상승세를	상승/ncn+세/xsn+를/jco
이어가기	잇/pvg+어/ecx+가/px+기/etn
위해	위하/pvg+어/ecs
김영삼	김영삼/nq
대통령과의	대통령/ncn+과/jct+의/jcm
지난	지나/pvg+ㄴ/etm
관계를	관계/ncn+를/jco
거론하며	거론/ncpa+하/xsv+며/ecs
지역정서를	지역/ncn+정서/ncn+를/jco
달래는데	달래/pvg+는데/ecs
주력했습니다.	주력/ncpa+하/xsv+었/ep+습니다/ef+./sf
또	또/maj
깨끗한	깨끗/ncps+하/xsm+ㄴ/etm
정치와	정치/ncn+와/jcj
합당의	합당/ncn+의/jcm
당위성을	당위/ncn+성/xsn+을/jco
강조하며	강조/ncpa+하/xsv+며/ecs
구	구/xp
정치에	정치/ncn+에/jca
맞설	맞서/pvg+ㄹ/etm
정치개혁의	정치/ncn+개혁/ncn+의/jcm
기수임을	기수/ncn+이/jp+ㅁ/etn+을/jco
부각시켰습니다.	부각/ncpa+시키/xsv+었/ep+습니다/ef+./sf
김대통령의	김/nq+대통령/ncn+의/jcm
직계인사인	직계/ncn+인사/ncn+이/jp+ㄴ/etm
강삼재	강삼재/nq
전	전/mma
사무총장도	사무/ncn+총장/ncn+도/jxc
오랜	오래/paa+ㄴ/etm
잠행을	잠행/ncn+을/jco
끝내고	끝내/pvg+고/ecs
이총재	이/nq+총재/ncn
지지를	지지/ncn+를/jco
선언해	선언/ncpa+하/xsv+어/ecs
대선행보에	대선/ncn+행보/ncn+에/jca
탄력을	탄력/ncn+을/jco
붙여줬습니다.	붙이/pvg+어/ecx+주/px+었/ep+습니다/ef+./sf
이총재는	이/nq+총재/ncn+는/jxc
이에앞서	이/npd+에/jca+앞/ncn+서/pvg+어/ecs
조순총재와의	조순/nq+총재/ncn+와/jct+의/jcm
공동	공동/ncn
기자회견을	기자/ncn+회견/ncn+을/jco
갖고	갖/pvg+고/ecs
정부의	정부/ncn+의/jcm
경제정책을	경제/ncn+정책/ncn+을/jco
강도높게	강도/ncn+높/paa+게/ecs
비판했습니다.	비판/ncpa+하/xsv+었/ep+습니다/ef+./sf
이총재는	이/nq+총재/ncn+는/jxc
구체적인	구체/ncn+적/xsn+이/jp+ㄴ/etm
대안으로	대안/ncn+으로/jca
정부조직의	정부/ncn+조직/ncn+의/jcm
비상체제	비상/ncn+체제/ncn
전환과	전환/ncn+과/jcj
금융기관	금융/ncn+기관/ncn
외자차입에	외자/ncn+차입/ncn+에/jca
대한	대하/pvg+ㄴ/etm
지급보증,	지급/ncn+보증/ncn+,/sp
부실채권	부실/ncn+채권/ncn
정리기금의	정리/ncn+기금/ncn+의/jcm
10조원	10조/nnc+원/nbu
이상	이상/ncn
확대,	확대/ncn+,/sf
그리고	그리고/maj
실명제의	실명/ncn+제/xsn+의/jcm
획기적인	획기/ncn+적/xsn+이/jp+ㄴ/etm
보완등을	보완/ncn+등/nbn+을/jco
제시했습니다.	제시/ncpa+하/xsv+었/ep+습니다/ef+./sf
아울러	아울러/mag
마산	마산/nq
수출자유공단도	수출/ncn+자유/ncn+공단/ncn+도/jxc
방문해	방문/ncpa+하/xsv+어/ecs
적극적인	적극/ncn+적/xsn+이/jp+ㄴ/etm
외국기업	외국/ncn+기업/ncn
유치를	유치/ncn+를/jco
약속했습니다.	약속/ncpa+하/xsv+었/ep+습니다/ef+./sf
이총재는	이/nq+총재/ncn+는/jxc
오전에는	오전/ncn+에/jca+는/jxc
대북정책	대북/ncn+정책/ncn
간담회에	간담/ncn+회/xsn+에/jca
참석해	참석/ncpa+하/xsv+어/ecs
"남북한	"/sl+남북한/nq
신뢰강화와	신뢰/ncn+강화/ncn+와/jcj
식량분배의	식량/ncn+분배/ncn+의/jcm
투명성을	투명/ncn+성/xsn+을/jco
전제로	전제/ncn+로/jca
인도적	인도/nq+적/xsn
차원의	차원/ncn+의/jcm
대북지원을	대북/ncn+지원/ncn+을/jco
활성화해야	활성/ncn+화/xsn+하/xsv+어야/ecx
한다"고	하/px+ㄴ다/ef+"/sr+고/jcr
주장했습니다.	주장/ncpa+하/xsv+었/ep+습니다/ef+./sf
신한국당은	신한국당/nq+은/jxc
이와함께	이/ndd+와/jct+함께/mag
신상우,	신상우/nq+,/sf
박관용	박관용/nq
의원등	의원/ncn+등/nbn
비주류측	비/xp+주류/ncn+측/nbn
인사를	인사/ncn+를/jco
선거대책기구에	선거/ncn+대책/ncn+기구/ncn+에/jca
중용하고	중용/ncn+하고/jcj
서울과	서울/nq+과/jcj
전남지역	전남/nq+지역/ncn
선대위를	선대위/ncn+를/jco
발족하는등,	발족/ncpa+하/xsv+는/etm+등/nbn+,/sp
조직강화작업에도	조직/ncn+강화/ncn+작업/ncn+에/jca+도/jxc
