<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0451.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0451.txt </filename>
<title>재미있는 물리실험이야기  </title>
<author>L. J. 가리펠시타인 저 ; 장경룡 역</author>
<date>1993  </date>
<publisher>팬더북 </publisher>
<kdc>420  </kdc>
<ddc>530 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제	제/xp
전동기	전동/ncn+기/xsn
(	(/sl
모터	모터/ncn
)	)/sr
가	가/jcs
드럼을	드럼/ncn+을/jco
한쪽	한쪽/ncn
방향으로	방향/ncn+으로/jca
돌리기	돌리/pvg+기/etn
시작하면	시작/ncpa+하/xsv+면/ecs
로프가	로프/ncn+가/jcs
감기면서	감기/pvg+면서/ecs
짐이	짐/ncn+이/jcs
올라갑니다	오르/pvg+아/ecx+가/px+ㅂ니다/ef
.	./sf
또한	또한/maj
모터가	모터/ncn+가/jcs
거꾸로	거꾸로/mag
돌아가기	돌/pvg+아/ecx+가/px+기/etn
시작하면	시작/ncpa+하/xsv+면/ecs
드럼에	드럼/ncn+에/jca
감겨	감기/pvg+어/ecx
있던	있/px+던/etm
로프가	로프/ncn+가/jcs
내려가기	내리/pvg+어/ecx+가/px+기/etn
시작하고	시작/ncpa+하/xsv+고/ecx
짐도	짐/ncn+도/jxc
내려놓게	내리/pvg+어/ecx+놓/px+게/ecx
됩니다	되/pvg+ㅂ니다/ef
.	./sf
작업하는	작업/ncpa+하/xsv+는/etm
인부는	인부/ncn+는/jxc
누르는	누르/paa+는/etm
단추식으로	단추/ncn+식/xsn+으로/jca
된	되/pvg+ㄴ/etm
스위치를	스위치/ncn+를/jco
누르면서	누르/pvg+면서/ecs
운전을	운전/ncn+을/jco
합니다	하/pvg+ㅂ니다/ef
.	./sf
전동기가	전동/ncn+기/xsn+가/jcs
없는	없/paa+는/etm
수동식	수동/ncn+식/xsn
장치로	장치/ncn+로/jca
흔히	흔히/mag
쓰이고	쓰이/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
이것은	이것/npd+은/jxc
자전거의	자전거/ncn+의/jcm
페달을	페달/ncn+을/jco
돌리는	돌리/pvg+는/etm
축에	축/ncn+에/jca
붙어	붙/pvg+어/ecx
있는	있/px+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
체인과	체인/ncn+과/jct
맞물리는	맞물리/pvg+는/etm
기어	기어/ncn
(	(/sl
톱니바퀴	톱니/ncn+바퀴/ncn
)	)/sr
같은	같/paa+은/etm
톱니바퀴가	톱니/ncn+바퀴/ncn+가/jcs
붙어	붙/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
그리고	그리고/maj
톱니바퀴가	톱니/ncn+바퀴/ncn+가/jcs
있는	있/paa+는/etm
데서	데/nbn+서/jca
긴	길/paa+은/etm
쇠사슬이	쇠/ncn+사슬/ncn+이/jcs
늘어져	늘/pvg+어/ecx+지/px+어/ecx
있는데	있/px+는데/ecs
,	,/sp
작업하는	작업/ncpa+하/xsv+는/etm
사람은	사람/ncn+은/jxc
그	그/mmd
밑에	밑/ncn+에/jca
서서	서/pvg+서/ecs
쇠사슬을	쇠/ncn+사슬/ncn+을/jco
잡아당길	잡/pvg+아/ecs+당기/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
얼개로	얼개/ncn+로/jca
되어	되/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
물론	물론/mag
수동식	수동/ncn+식/xsn
장치는	장치/ncn+는/jxc
짐을	짐/ncn+을/jco
들어올리거나	들/pvg+어/ecs+올리/pvg+거나/ecs
내리는	내리/pvg+는/etm
일이	일/ncn+이/jcs
적은	적/paa+은/etm
곳이나	곳/ncn+이나/jcj
,	,/sp
짐이	짐/ncn+이/jcs
별로	별로/mag
무겁지	무겁/paa+지/ecx
않은	않/px+은/etm
경우	경우/ncn
등에	등/nbn+에/jca
쓰이고	쓰이/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
4	4/nno
.	./sf
나이프를	나이프/ncn+를/jco
위로	위/ncn+로/jca
해도	하/pvg+어/ecs+도/jxc
된다	되/pvg+ㄴ다/ef
.	./sf
연필로	연필/ncn+로/jca
하는	하/pvg+는/etm
실험에서는	실험/ncn+에서/jca+는/jxc
접는	접/pvg+는/etm
칼은	칼/ncn+은/jxc
아래에	아래/ncn+에/jca
있었습니다만	있/paa+었/ep+습니다/ef+만/jxc
,	,/sp
그것을	그것/npd+을/jco
위에	위/ncn+에/jca
놓고	놓/pvg+고/ecx
할	하/px+ㄹ/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
그러기	그러기/mad
위해서는	위하/pvg+어서/ecs+는/etm
어쨌든	어쨌든/mag
무게의	무게/ncn+의/jcm
대부분이	대부분/ncn+이/jcs
받침점의	받침/ncn+점/ncn+의/jcm
아래쪽에	아래/ncn+쪽/nbn+에/jca
오도록	오/pvg+도록/ecs
좀더	좀더/mag
무거운	무겁/paa+ㄴ/etm
물건을	물건/ncn+을/jco
사용하면	사용/ncn+하/xsv+면/ecs
좋습니다	좋/paa+습니다/ef
.	./sf
이	이/mmd
실험에	실험/ncn+에/jca
가장	가장/mag
좋은	좋/paa+은/etm
것은	것/nbn+은/jxc
수프를	수프/ncn+를/jco
큰	크/paa+ㄴ/etm
남비에서	남비/ncn+에서/jca
수프	수프/ncn
접시에	접시/ncn+에/jca
떠놓을	뜨/pvg+어/ecx+놓/px+을/etm
때	때/ncn
사용하는	사용/ncpa+하/xsv+는/etm
국자입니다	국자/ncn+이/jp+ㅂ니다/ef
.	./sf
이것은	이것/npd+은/jxc
나이프보다도	나이프/ncn+보다/jca+도/jxc
더	더/mag
무겁기	무겁/paa+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
,	,/sp
국자의	국자/ncn+의/jcm
자루	자루/ncn
끝이	끝/ncn+이/jcs
갈고리처럼	갈고리/ncn+처럼/jca
구부러져	구부러지/pvg+어/ecx
있어서	있/px+어서/ecs
손쉽게	손쉽/paa+게/ecs
매달아	매달/pvg+아/ecx
놓을	놓/px+을/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
접는	접/pvg+는/etm
식으로	식/ncn+으로/jca
된	되/pvg+ㄴ/etm
나이프를	나이프/ncn+를/jco
반쯤	반/ncn+쯤/xsn
벌려	벌리/pvg+어/ecs
테이블	테이블/ncn
가에	가/ncn+에/jca
세운	세우/pvg+ㄴ/etm
다음	다음/ncn
,	,/sp
그림에서처럼	그림/ncn+에서/jca+처럼/jca
국자를	국자/ncn+를/jco
이	이/mmd
나이프에	나이프/ncn+에/jca
매답니다	매달/pvg+ㅂ니다/ef
.	./sf
그러면	그러면/maj
몇	몇/mma
번인가	번/nbu+이/jp+ㄴ가/ef
건들거리다가	건들거리/pvg+다가/ecs
균형이	균형/ncn+이/jcs
잡혀	잡히/pvg+어/ecs
멈춰	멈추/pvg+어/ecs
섭니다	서/pvg+ㅂ니다/ef
.	./sf
만일에	만일/mag+에/jca
국자가	국자/ncn+가/jcs
없었더라면	없/paa+었/ep+더/ep+라면/ecs
,	,/sp
나이프는	나이프/ncn+는/jxc
단	단/mma
1초도	1/nno+초/nbu+도/jxc
그대로	그대로/mag
있지	있/paa+지/ecx
못할	못하/px+ㄹ/etm
것은	것/nbn+은/jxc
뻔한	뻔/nbn+하/pvg+ㄴ/etm
노릇입니다	노릇/ncn+이/jp+ㅂ니다/ef
.	./sf
국자가	국자/ncn+가/jcs
무거우면	무겁/paa+으면/ecs
무거울수록	무겁/paa+ㄹ수록/ecs
나이프는	나이프/ncn+는/jxc
똑바로	똑바로/mag
섭니다	서/pvg+ㅂ니다/ef
.	./sf
이것은	이것/npd+은/jxc
국자에	국자/ncn+에/jca
모래를	모래/ncn+를/jco
넣어	넣/pvg+어/ecx
보면	보/px+면/ecs
간단히	간단/ncn+히/xsa
확인할	확인/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
그러면	그러면/maj
나이프는	나이프/ncn+는/jxc
한층	한층/mag
더	더/mag
똑바로	똑바로/mag
서려고	서/pvg+려고/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
국자와	국자/ncn+와/jcj
나이프를	나이프/ncn+를/jco
써서	쓰/pvg+어서/ecs
좀더	좀더/mag
어려운	어렵/paa+ㄴ/etm
실험을	실험/ncn+을/jco
해	하/pvg+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
우선	우선/mag
국자를	국자/ncn+를/jco
그림에서	그림/ncn+에서/jca
보는	보/pvg+는/etm
것처럼	것/nbn+처럼/jca
나이프의	나이프/ncn+의/jcm
칼날	칼/ncn+날/ncn
밑둥에	밑둥/ncn+에/jca
걸쳐	걸치/pvg+어/ecx
놓습니다	놓/px+습니다/ef
.	./sf
국자가	국자/ncn+가/jcs
미끄러지지	미끄럽/paa+지/px+지/ecx
않도록	않/px+도록/ecx
주의하면서	주의/ncpa+하/xsv+면서/ecc
나이프를	나이프/ncn+를/jco
잔뜩	잔뜩/mag
벌린	벌리/pvg+ㄴ/etm
상태에서	상태/ncn+에서/jca
약	약/xp
45도	45/nno+도/nbu
각도가	각도/ncn+가/jcs
되게	되/pvg+게/ecs
접습니다	접/pvg+습니다/ef
.	./sf
그리고는	그리고/maj+는/jxc
나이프	나이프/ncn
자루	자루/ncn
끝	끝/ncn
(	(/sl
받침점	받침/ncn+점/ncn
)	)/sr
을	을/jco
손가락으로	손가락/ncn+으로/jca
받치고	받치/pvg+고/ecc
균형이	균형/ncn+이/jcs
잘	잘/mag
잡힙니다	잡히/pvg+ㅂ니다/ef
.	./sf
이것을	이것/npd+을/jco
테이블	테이블/ncn
끝에	끝/ncn+에/jca
얹어	얹/pvg+어/ecx
놓거나	놓/px+거나/ecc
물을	물/ncn+을/jco
넣어	넣/pvg+어/ecs
무겁게	무겁/paa+게/ecx
한	하/px+ㄴ/etm
(	(/sl
쓰러지지	쓰러지/pvg+지/ecx
않도록	않/px+도록/ecs
)	)/sr
컵의	컵/ncn+의/jcm
가장자리에도	가장자리/ncn+에/jca+도/jxc
올려놓을	올리/pvg+어/ecx+놓/px+을/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
5	5/nno
.	./sf
포크를	포크/ncn+를/jco
사용한	사용/ncpa+하/xsv+ㄴ/etm
실험	실험/ncn
무거운	무겁/paa+ㄴ/etm
포크가	포크/ncn+가/jcs
있으면	있/paa+으면/ecs
두	두/nnc
가지	가지/nbu
재미있는	재미/ncps+있/xsm+는/etm
실험을	실험/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
첫번째	첫/nno+번째/nbu
실험에서는	실험/ncn+에서/jca+는/jxc
한	한/nnc
개의	개/nbu+의/jcm
병과	병/ncn+과/jcj
달걀	달걀/ncn
한개	한/nnc+개/ncn
,	,/sp
그리고	그리고/maj
코르크	코르크/ncn
마개	마개/ncn
(	(/sl
당근	당근/nq
토막이라도	토막/ncn+이/jp+라/jca+도/jxc
좋다	좋/paa+다/ef
)	)/sr
한	한/nnc
개를	개/nbu+를/jco
준비합니다	준비/ncpa+하/xsv+ㅂ니다/ef
.	./sf
그리하여	그리하여/maj
코르크	코르크/ncn
마개의	마개/ncn+의/jcm
밑면을	밑/ncn+면/ncn+을/jco
도려내어	도리/pvg+어/ecx+내/px+어/ecs
그림에서처럼	그림/ncn+에서/jca+처럼/jca
달걀	달걀/ncn
표면과	표면/ncn+과/jct
딱	딱/mag
맞춥니다	맞추/pvg+ㅂ니다/ef
.	./sf
그리고는	그리고/maj+는/jxc
포크를	포크/ncn+를/jco
코르크	코르크/ncn
마개의	마개/ncn+의/jcm
양쪽에서	양쪽/ncn+에서/jca
푹	푹/mag
찔러	찌르/pvg+어/ecx
보십시오	보/px+십시오/ef
.	./sf
이리하여	이리하여/maj
달걀에	달걀/ncn+에/jca
포크를	포크/ncn+를/jco
찌른	찌르/pvg+ㄴ/etm
모자를	모자/ncn+를/jco
씌운	씌우/pvg+ㄴ/etm
다음에는	다음/ncn+에/jca+는/jxc
병의	병/ncn+의/jcm
주둥이	주둥이/ncn
위에	위/ncn+에/jca
잘	잘/mag
앉을	앉/pvg+을/etm
만한	만하/px+ㄴ/etm
위치를	위치/ncn+를/jco
찾아내기는	찾/pvg+아/ecx+내/px+기/etn+는/jxc
손쉬울	손쉽/paa+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
병의	병/ncn+의/jcm
주동이	주동/ncn+이/jcs
위에	위/ncn+에/jca
쑥	쑥/mag
올려	올리/pvg+어/ecx
놓으면	놓/px+으면/ecs
되는	되/pvg+는/etm
것이니까요	것/nbn+이/jp+니까요/ef
.	./sf
그	그/mmd
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
병의	병/ncn+의/jcm
주둥이	주둥이/ncn
가에	가/ncn+에/jca
얹어	얹/pvg+어/ecx
놓을	놓/px+을/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
다만	다만/mag
신중히	신중/ncn+히/xsa
해주십시오	하/pvg+어/ecx+주/px+십시오/ef
.	./sf
두번째	두/nno+번째/nbu
실험은	실험/ncn+은/jxc
두툼한	두툼/ncps+하/xsm+ㄴ/etm
큰	크/paa+ㄴ/etm
코인	코/ncn+이/jp+ㄴ/etm
(	(/sl
동전	동전/ncn
)	)/sr
이	이/jcs
필요합니다	필요/ncps+하/xsm+ㅂ니다/ef
.	./sf
코인은	코인/ncn+은/jxc
포크의	포크/ncn+의/jcm
이	이/mmd
사이에	사이/ncn+에/jca
꼭	꼭/mag
끼어	끼/pvg+어/ecs
들어가지	들어가/pvg+지/ecx
않으면	않/px+으면/ecs
안됩니다	안/mag+되/pvg+ㅂ니다/ef
.	./sf
포크	포크/ncn
두	두/nnc
개를	개/nbu+를/jco
사용하는데	사용/ncpa+하/xsv+는데/ecs
,	,/sp
한쪽	한쪽/ncn
포크의	포크/ncn+의/jcm
이가	이/ncn+가/jcs
다른	다르/paa+ㄴ/etm
쪽	쪽/nbn
포크의	포크/ncn+의/jcm
이	이/mmd
위에	위/ncn+에/jca
걸리게	걸리/pvg+게/ecx
한	하/px+ㄴ/etm
다음	다음/ncn
,	,/sp
한가운데의	한/xp+가운데/ncn+의/jcm
이와	이/npd+와/jct
이	이/mmd
사이의	사이/ncn+의/jcm
틈새에	틈새/ncn+에/jca
코인을	코인/ncn+을/jco
찔러	찌르/pvg+어/ecs
넣습니다	넣/pvg+습니다/ef
.	./sf
몇	몇/mma
번은	번/nbu+은/jxc
실패할	실패/ncpa+하/xsv+ㄹ/etm
것입니다만	것/nbn+이/jp+ㅂ니다/ef+만/jxc
,	,/sp
익숙해지면	익숙/ncps+하/xsm+어/ecx+지/px+면/ecs
이	이/mmd
코인과	코인/ncn+과/jcj
포크로	포크/ncn+로/jca
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
천평을	천평/ncn+을/jco
컵의	컵/ncn+의/jcm
가장자리에	가장자리/ncn+에/jca
올려놓을	올리/pvg+어/ecx+놓/px+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
그러면	그러면/maj
그림에서처럼	그림/ncn+에서/jca+처럼/jca
코인과	코인/ncn+과/jcj
포크를	포크/ncn+를/jco
떨어뜨리지	떨어뜨리/pvg+지/ecx
않고	않/px+고/ecc
컵에	컵/ncn+에/jca
담긴	담기/pvg+ㄴ/etm
물을	물/ncn+을/jco
따를	따르/pvg+ㄹ/etm
수	수/nbn
있을까요	있/paa+을까요/ef
?	?/sf
이것은	이것/npd+은/jxc
그렇게	그렇/pad+게/ecs
어려운	어렵/paa+ㄴ/etm
일은	일/ncn+은/jxc
아닙니다	아니/paa+ㅂ니다/ef
.	./sf
한번	한/nnc+번/nbu
실험해	실험/ncpa+하/xsv+어/ecx
보십시오	보/px+십시오/ef
.	./sf
6	6/nno
.	./sf
바늘	바늘/ncn
끝에	끝/ncn+에/jca
접시가	접시/ncn+가/jcs
올라	올르/pvg+아/ecs
앉았다	앉/pvg+았/ep+다/ef
!	!/sf
바늘	바늘/ncn
끝에	끝/ncn+에/jca
접시를	접시/ncn+를/jco
올려놓고	올리/pvg+어/ecx+놓/px+고/ecc
균형을	균형/ncn+을/jco
잡으려면	잡/pvg+으려면/ecs
어떻게	어떻/pad+게/ecx
해야	하/px+어야/ecx
좋을까요	좋/px+을까요/ef
?	?/sf
그렇게	그렇/pad+게/ecx
하기	하/px+기/etn
위해서는	위하/pvg+어서/ecs+는/etm
여러분은	여러분/npp+은/jxc
퍼뜩	퍼뜩/mag
,	,/sp
접시보다도	접시/npd+보다/jca+도/jxc
뭔가	무엇/npd+ㄴ가/ef
무거운	무겁/paa+ㄴ/etm
것이	것/nbn+이/jcs
필요하다는	필요/ncps+하/xsm+다/ef+는/etm
것을	것/nbn+을/jco
생각하게	생각/ncpa+하/xsv+게/ecx
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
여기서는	여기/npd+서/jca+는/jxc
포크	포크/ncn
네	네/nnc
개를	개/nbu+를/jco
사용하여	사용/ncpa+하/xsv+어/ecs
실험해	실험/ncpa+하/xsv+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
다만	다만/mag
,	,/sp
포크는	포크/ncn+는/jxc
무거운	무겁/paa+ㄴ/etm
것이	것/nbn+이/jcs
아니면	아니/paa+면/ecs
성공할	성공/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없습니다	없/paa+습니다/ef
.	./sf
그	그/mmd
포크를	포크/ncn+를/jco
들고	들/pvg+고/ecc
식사를	식사/ncn+를/jco
하면	하/pvg+면/ecs
손이	손/ncn+이/jcs
힘겨울	힘겹/paa+ㄹ/etm
만큼	만큼/nbn
무거운	무겁/paa+ㄴ/etm
것이	것/nbn+이/jcs
좋습니다	좋/paa+습니다/ef
.	./sf
다음에는	다음/ncn+에/jca+는/jxc
코르크	코르크/nnc
마개	마개/ncn
두	두/nnc
개를	개/nbu+를/jco
준비하여	준비/ncpa+하/xsv+어/ecs
세로로	세로/ncn+로/jca
자릅니다	자르/pvg+ㅂ니다/ef
.	./sf
만일	만일/mag
코르크	코르크/ncn
마개를	마개/ncn+를/jco
구할	구하/pvg+ㄹ/etm
수	수/nbn
없거든	없/paa+거든/ecs
당근	당근/ncn
토막	토막/ncn
두	두/nnc
개	개/nbu
(	(/sl
크기가	크기/ncn+가/jcs
같은	같/paa+은/etm
것	것/nbn
)	)/sr
을	을/jco
구해서	구하/pvg+어서/ecs
그것들을	그것/npd+들/xsn+을/jco
두쪽으로	두/nnc+쪽/nbu+으로/jca
잘라서	자르/pvg+아서/ecs
써도	쓰/pvg+어/ecs+도/jxc
됩니다	되/pvg+ㅂ니다/ef
.	./sf
여기까지	여기/npd+까지/jxc
준비가	준비/ncn+가/jcs
되거든	되/pvg+거든/ecs
,	,/sp
이번에는	이번/npd+에/jca+는/jxc
네	네/npp
쪽이	쪽/nbn+이/jcs
된	되/pvg+ㄴ/etm
코르크	코르크/ncn
마개를	마개/ncn+를/jco
포크에	포크/ncn+에/jca
하나씩	하나/nnc+씩/xsn
끼우는데	끼우/pvg+는데/ecs
,	,/sp
이때	이때/npd
코르크	코르크/ncn
마개의	마개/ncn+의/jcm
잘린	잘리/pvg+ㄴ/etm
절단면과	절단/ncn+면/xsn+과/jcj
포크	포크/ncn
손잡이	손잡이/ncn
사이가	사이/ncn+가/jcs
직각보다	직각/ncn+보다/jca
약간	약간/mag
작은	작/paa+은/etm
각도가	각도/ncn+가/jcs
되게	되/pvg+게/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
그리고	그리고/maj
코르크	코르크/mmd
마개가	마개/ncn+가/jcs
꽂혀	꽂히/pvg+어/ecx
있는	있/px+는/etm
포크를	포크/ncn+를/jco
접시가에	접시/ncn+가/ncn+에/jca
같은	같/paa+은/etm
간격이	간격/ncn+이/jcs
되도록	되/pvg+도록/ecs
해서	하/pvg+어서/ecs
올려	올리/pvg+어/ecx
놓습니다	놓/px+습니다/ef
.	./sf
안정성이	안정/ncn+성/xsn+이/jcs
있도록	있/paa+도록/ecx
하기	하/px+기/etn
위해서는	위하/pvg+어서/ecs+는/etm
포크의	포크/ncn+의/jcm
이빨	이빨/ncn
부분이	부분/ncn+이/jcs
접시가에	접시/ncn+가/ncn+에/jca
닿아	닿/pvg+아/ecx
있지	있/px+지/ecx
않으면	않/px+으면/ecs
안됩니다	안/mag+되/pvg+ㅂ니다/ef
.	./sf
그리하여	그리하여/maj
마지막으로	마지막/ncn+으로/jca
,	,/sp
다른	다르/paa+ㄴ/etm
코르크	코르크/ncn
마개에	마개/ncn+에/jca
꽂아	꽂/pvg+아/ecx
놓은	놓/px+은/etm
바늘끝에	바늘/ncn+끝/ncn+에/jca
포크를	포크/ncn+를/jco
걸쳐	걸치/pvg+어/ecx
놓은	놓/px+은/etm
접시를	접시/ncn+를/jco
얹어	얹/pvg+어/ecs
균형이	균형/ncn+이/jcs
잘	잘/mag
잡히게	잡히/pvg+게/ecx
해	하/px+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
언뜻	언뜻/mag
보아서는	보/pvg+아서/ecx+는/etm
불가능한	불/xp+가능/ncpa+하/xsv+ㄴ/etm
실험인	실험/ncn+이/jp+ㄴ/etm
것처럼	것/nbn+처럼/jca
보입니다만	보/pvg+이/jp+ㅂ니다/ef+만/jxc
,	,/sp
그래도	그래도/maj
역시	역시/mag
접시는	접시/ncn+는/jxc
바늘	바늘/ncn
위에서	위/ncn+에서/jca
까딱도	까딱/mag+도/jxc
않고	않/px+고/ecc
가만히	가만/ncn+히/xsa
있을	있/paa+을/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
또한	또한/maj
충분히	충분/ncn+히/xsa
주의하면서	주의/ncpa+하/xsv+면/ecs+서/jxc
빨리	빨리/mag
돌려	돌리/pvg+어/ecx
주면	주/px+면/ecs
빙글빙글	빙글빙글/mag
외전시킬	외전/ncpa+시키/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
그리하여	그리하여/maj
접시는	접시/ncn+는/jxc
오랫동안	오랫동안/ncn
계속	계속/mag
돌고	돌/pvg+고/ecx
있을	있/px+을/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
왜냐하면	왜냐하면/maj
바늘	바늘/ncn
끝과	끝/ncn+과/jcj
접시	접시/ncn
사이의	사이/ncn+의/jcm
마찰에	마찰/ncn+에/jca
의한	의하/pvg+ㄴ/etm
저항은	저항/ncn+은/jxc
아주	아주/mag
사소한	사소/ncps+하/xsm+ㄴ/etm
것이니까요	것/nbn+이/jp+니까요/ef
.	./sf
7	7/nno
.	./sf
국자를	국자/ncn+를/jco
사용한	사용/ncpa+하/xsv+ㄴ/etm
실험	실험/ncn
나이프는	나이프/ncn+는/jxc
연필보다	연필/ncn+보다/jca
무겁다	무겁/paa+다/ef
.	./sf
또	또/maj
국자는	국자/ncn+는/jxc
나이프보다	나이프/ncn+보다/jca
무겁다	무겁/paa+다/ef
.	./sf
그렇다면	그렇다면/maj
국자보다	국자/ncn+보다/jca
더	더/mag
무거운	무겁/paa+ㄴ/etm
것으로는	것/nbn+으로/jca+는/jxc
어떤	어떤/mmd
것이	것/nbn+이/jcs
좋을까	좋/paa+ㄹ까/ef
?	?/sf
접시일까	접시/ncn+이/jp+ㄹ까/ef
?	?/sf
그렇다	그렇/pad+다/ef
,	,/sp
접시라면	접시/ncn+라면/jca
안성맞춤이다	안성맞춤/ncn+이/jp+다/ef
!	!/sf
자	자/maj
,	,/sp
보십시오	보/pvg+십시오/ef
!	!/sf
국자가	국자/ncn+가/jcs
자기의	자기/npp+의/jcm
걸프랜드	걸프랜드/ncn
(	(/sl
구멍	구멍/ncn
뚫린	뚫리/pvg+ㄴ/etm
국자	국자/ncn
)	)/sr
하고	하/pvg+고/ecc
손을	손/ncn+을/jco
잡고	잡/pvg+고/ecc
능란하게	능란/ncps+하/xsm+게/ecs
균형을	균형/ncn+을/jco
잡고	잡고/mag
있지	있/paa+지/ecx
않습니까	않/px+습니까/ef
.	./sf
엎어	엎/pvg+어/ecx
놓은	놓/px+은/etm
접시는	접시/ncn+는/jxc
병의	병/ncn+의/jcm
주둥이에	주둥이/ncn+에/jca
가장자리를	가장자리/ncn+를/jco
살짝	살짝/mag
얹어	얹/pvg+어/ecs
놓고도	놓/pvg+고/ecc+도/jxc
확고하게	확고/ncps+하/xsm+게/ecs
안정된	안정/ncpa+되/xsv+ㄴ/etm
자세로	자세/ncn+로/jca
균형을	균형/ncn+을/jco
잡고	잡/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
8	8/nno
.	./sf
열심히	열심/ncn+히/xsa
켜대는	켜/pvg+대/px+는/etm
장난감	장난/ncn+감/xsn
톱	톱/ncn
나무	나무/ncn
판자는	판자/ncn+는/jxc
어떻게	어떻/pad+게/ecs
켜는지	켜/pvg+는지/ecs
알고	알/pvg+고/ecx
있습니까	있/px+습니까/ef
?	?/sf
나무를	나무/ncn+를/jco
켜는	켜/pvg+는/etm
데에는	데/nbn+에/jca+는/jxc
특별한	특별/ncps+하/xsm+ㄴ/etm
기계가	기계/ncn+가/jcs
있어야	있/paa+어야/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
그것을	그것/npd+을/jco
제재용	제재/ncn+용/xsn
(	(/sl
製材用	製材用/ncn
)	)/sr
톱대	톱대/ncn
(	(/sl
臺	臺/ncn
)	)/sr
라고	라고/jcr
부르고	부르/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
그	그/mmd
기계	기계/ncn
속에서는	속/ncn+에서/jca+는/jxc
톱이	톱/ncn+이/jcs
달린	달리/pvg+ㄴ/etm
,	,/sp
강철로	강철/ncn+로/jca
된	되/pvg+ㄴ/etm
테가	테/ncn+가/jcs
위	위/ncn
아래로	아래/ncn+로/jca
움직이고	움직이/pvg+고/ecc
,	,/sp
톱의	톱/ncn+의/jcm
날카로운	날카롭/paa+ㄴ/etm
이가	이/npd+가/jcs
번쩍번쩍	번쩍번쩍/mag
빛납니다	빛나/pvg+ㅂ니다/ef
.	./sf
기계는	기계/ncn+는/jxc
통나무를	통나무/ncn+를/jco
붙잡으면	붙잡/pvg+으면/ecs
톱쪽으로	톱/ncn+쪽/nbn+으로/jca
똑바로	똑바로/mag
밀어냅니다	밀/pvg+어/ecx+내/px+ㅂ니다/ef
.	./sf
그러면	그러면/maj
톱은	톱/ncn+은/jxc
그	그/mmd
통나무를	통나무/ncn+를/jco
사정없이	사정/ncn+없/paa+이/xsa
쌩쌩	쌩쌩/mag
소리를	소리/ncn+를/jco
내며	내/pvg+며/ecc
켜댑니다	켜/pvg+대/px+ㅂ니다/ef
!	!/sf
그리고	그리고/maj
톱밥이	톱밥/ncn+이/jcs
분수처럼	분수/ncn+처럼/jca
날아	날/pvg+아/ecs
흩어지죠	흩어지/pvg+죠/ef
!	!/sf
기계의	기계/ncn+의/jcm
반대쪽에서	반대/ncn+쪽/nbn+에서/jca
나오는	나오/pvg+는/etm
것은	것/nbn+은/jxc
이젠	이제/ncn+ㄴ/etm
통나무가	통나무/ncn+가/jcs
아닌	아니/paa+ㄴ/etm
,	,/sp
긴	길/paa+ㄴ/etm
판자	판자/ncn
