<tdmsfile>
sbsns.hwp
이렇게	이렇/pad+게/ecs
인사를	인사/ncn+를/jco
묶는	묶/pvg+는/etm
연대	연대/ncn
구상도	구상/ncn+도/jxc
점차	점차/mag
가시화되고	가시/ncn+화/xsn+되/xsv+고/ecx
있습니다	있/px+습니다/ef
국민회의는	국민회의/nq+는/jxc
이들	이/npd+들/xsn
인사의	인사/ncn+의/jcm
영입과	영입/ncn+과/jct
함께	함께/mag
노무현,	노무현/nq+,/sp
김정길	김정기/nq
전	전/mma
의원등을	의원/ncn+등/nbn+을/jco
중심으로	중심/ncn+으로/jca
한	하/pvg+ㄴ/etm
통추	통추/nq
그룹과의	그룹/ncn+과/jct+의/jcm
연대도	연대/ncn+도/jxc
적극	적극/mag
모색하고	모색/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
국민회의와	국민회의/nq+와/jcj
자민련은	자민련/nq+은/jxc
이같은	이/npd+같/paa+은/etm
세불리기	세/ncn+불리/pvg+기/etn
속에	속/nbn+에/jca
다음달	다음/ncn+달/xsn
10일	10/nno+일/nbu
공동선거대책위원회를	공동선거대책위원회/nq+를/jco
구성해	구성/ncpa+하/xsv+어/ecs
양당	양당/ncn
합동으로	합동/ncn+으로/jca
선거운동에	선거/ncn+운동/ncn+에/jca
들어갈	들/pvg+어/ecs+가/pvg+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
공동선거대책위원장은	공동선거대책위원장/nq+은/jxc
자민련	자민련/nq
김종필	김종필/nq
총재가	총재/ncn+가/jcs
맡는	맡/pvg+는/etm
것으로	것/nbn+으로/jca
두	두/nnc
당	당/nbu
사이에	사이/ncn+에/jca
의견이	의견/ncn+이/jcs
정리되고	정리/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
김종필	김종필/nq
총재와	총재/ncn+와/jcj
박태준	박태준/nq
의원이	의원/ncn+이/jcs
김대중	김대중/nq
후보의	후보/ncn+의/jcm
지원유세에	지원/ncn+유세/ncn+에/jca
나섬으로써	나서/pvg+ㅁ/etn+으로써/jca
이른바	이른바/mag
'DJ대세론'	'/sl+DJ/f+대세/ncn+론/xsn+'/sr
확산의	확산/ncn+의/jcm
최전방에	최전방/ncn+에/jca
선다는	서/pvg+ㄴ다/ef+는/etm
전략입니다.	전략/ncn+이/jp+ㅂ니다/ef+./sf
SBS	SBS/f
양철훈입니다.	양철훈/nq+이/jp+ㅂ니다/ef+./sf
예견됐던	예견/ncpa+되/xsv+었/ep+던/etm
상황이기는	상황/ncn+이/jp+기/etn+는/jxc
하지만	하/pvg+지만/ecs
DJP	DJP/nq
단일화	단일/ncn+화/xsn
협상이	협상/ncn+이/jcs
타결되자	타결/ncpa+되/xsv+자/ecs
오늘	오늘/ncn
정치권이	정치/ncn+권/xsn+이/jcs
크게	크/paa+게/ecs
술렁였습니다.	술렁/ncn+이/jp+었/ep+습니다/ef+./sf
다른	다르/paa+ㄴ/etm
정당들은	정당/ncn+들/xsn+은/jxc
일제히	일제/ncn+히/xsa
정치적	정치/ncn+적/xsn
야합이라고	야합/ncn+이/jp+라/ef+고/jcr
비난하고	비난/ncpa+하/xsv+고/ecs
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
반	반/ncn
DJP	DJP/f
연대	연대/ncn
방안도	방안/ncn+도/jxc
점차	점차/mag
공론화	공론/ncn+화/xsn
단계를	단계/ncn+를/jco
맞고	맞/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
신경렬기잡니다.	신경렬/nq+기자/ncn+ㅂ니다/ef+./sf
신한국당은	신한국당/nq+은/jxc
DJP	DJP/f
연대를	연대/ncn+를/jco
밀실	밀실/ncn
흥정에	흥정/ncn+에/jca
의한	의하/pvg+ㄴ/etm
정치적	정치/ncn+적/xsn
야합이라고	야합/ncn+이/jp+라/ef+고/jcr
비난했습니다.	비난/ncpa+하/xsv+었/ep+습니다/ef+./sf
합의	합의/ncn
약속이	약속/ncn+이/jcs
지켜지지	지키/pvg+어ecx+/지/px+지/ecx
않을	않/px+을/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
의구심도	의구/ncn+심/xsn+도/jxc
제기했습니다.	제기/ncpa+하/xsv+었/ep+습니다/ef+./sf
선거에	선거/ncn+에/jca
미칠	미치/pvg+ㄹ/etm
영향과	영향/ncn+과/jcj
대응책도	대응/ncn+책/xsn+도/jxc
집중	집중/ncn
논의됐습니다.	논의/ncpa+되/xsv+었/ep+습니다/ef+./sf
박찬종	박찬종/nq
공동선대위원장은	공동/ncn+선대위/ncn+원장/ncn+은/jxc
DJP	DJP/f
연대의	연대/ncn+의/jcm
파괴력을	파괴/ncn+력/xsn+을/jco
우려했고	우려/ncpa+하/xsv+었/ep+고/ecs
김덕룡	김덕룡/nq
공동선대위원장은	공동/ncn+선대위/ncn+원장/ncn+은/jxc
3김정치	3/nnc+김/nq+정치/ncn
청산을	청산/ncn+을/jco
위한	위하/pvg+ㄴ/etm
범국민	범/xp+국민/ncn
연대를	연대/ncn+를/jco
공식으로	공식/ncn+으로/jca
제안했습니다.	제안/ncpa+하/xsv+었/ep+습니다/ef+./sf
초선의원들도	초선/ncn+의원/ncn+들/xsn+도/jxc
이회창	이회창/nq
총재의	총재/ncn+의/jcm
용단을	용단/ncn+을/jco
촉구하며	촉구/ncpa+하/xsv+며/ecs
반	반/xp
DJP	DJP/f
연대	연대/ncn
추진의사를	추진/ncn+의사/ncn+를/jco
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
신한국당은	신한국당/nq+은/jxc
조만간	조만간/mag
이회창	이회창/nq
총재가	총재/ncn+가/jcs
참석하는	참석/ncpa+하/xsv+는/etm
지도부	지도/ncn+부/xsn
회의를	회의/ncn+를/jco
열어	열/pvg+어/ecs
반	반/xp
DJP	DJP/f
연대방안을	연대/ncn+방안/ncn+을/jco
공식	공식/ncn
논의할	논의/ncpa+하/xsv+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
민주당도	민주당/nq+도/jxc
DJP	DJP/nq
연대를	연대/ncn+를/jco
구태정치의	구태/ncn+정치/ncn+의/jcm
표본이라고	표본/ncn+이/jp+라/ef+고/jcr
비난했습니다.	비난/ncpa+하/xsv+었/ep+습니다/ef+./sf
조순	조순/nq
총재는	총재/ncn+는/jxc
정책이	정책/ncn+이/jcs
뒷받침되지	뒷받침/ncpa+되/xsv+지/ecx
않는	않/px+는/etm
연대는	연대/ncn+는/jxc
야합에	야합/ncn+에/jca
불과하다면서	불과/ncps+하/xsm+다면서/ecs
김대중,	김대중/nq+,/sp
김종필	김종필/nq
총재는	총재/ncn+는/jxc
구시대적	구/xp+시대/ncn+적/xsn
인물로	인물/ncn+로/jca
건전세력	건전/ncn+세력/ncn
연대에서	연대/ncn+에서/jca
제외된다고	제외/ncpa+되/xsv+ㄴ다/ef+고/jcr
말했습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
조	조/nq
총재는	총재/ncn+는/jxc
모레	모레/ncn
이인제	이인제/nq
지사를	지사/ncn+를/jco
만나는데	만나/pvg+는데/ecs
이어	잇/pvg+어/ecs
반	반/ncn
DJP	DJP/f
연대를	연대/ncn+를/jco
구체적으로	구체/ncn+적/xsn+으로/jca
논의할	논의/ncpa+하/xsv+ㄹ/etm
대선후보간	대선/ncn+후보/ncn+간/nbn
회담을	회담/ncn+을/jco
포함해	포함/ncpa+하/xsv+어/ecs
협의체	협의/ncn+체/xsn
구성을	구성/ncn+을/jco
제의하는	제의/ncpa+하/xsv+는/etm
방안을	방안/ncn+을/jco
검토하고	검토/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
SBS	SBS/f
신경렬입니다.	신경렬/nq+이/jp+ㅂ니다/ef+./sf
신한국당의	신한국당/nq+의/jcm
분당                           분당ncn
위기가	위기/ncn+가/jcs
현실로	현실/ncn+로/jca
다가왔습니다.	다가오/pvg+었/ep+습니다/ef+./sf
비주류측의	비/xp+주류/ncn+측/nbn+의/jcm
이만섭	이만섭/ncn
고문이	고문/ncn+이/jcs
오늘	오늘/ncn
탈당을	탈당/ncn+을/jco
선언한데	선언/ncpa+하/xsv+ㄴ데/ecs
이어	잇/pvg+어/ecs
서석재,	서석재/nq+,/sp
김운환	김운환/nq
의원	의원/ncn
등	등/nbn
10여명도	10/nnc+여/xsn+명/nbu+도/jxc
이달말과	이/mmd+달/ncn+말/ncn+과/jcj
다음달초	다음/ncn+달/ncn+초/ncn
탈당하겠다고	탈당/ncpa+하/xsv+겠/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
주류측은	주류/ncn+측/xsn+은/jxc
오늘	오늘/ncn
경기지역	경기/ncn+지역/ncn
필승대회를	필승/ncn+대회/ncn+를/jco
강행하는	강행/ncpa+하/xsv+는/etm
등	등/nbn
주류중심의	주류/ncn+중심/ncn+의/jcm
체제구축을	체제/ncn+구축/ncn+을/jco
계속했습니다.	계속/ncpa+하/xsv+었/ep+습니다/ef+./sf
김성준	김성준/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
신한국당	신한국당/nq
이만섭	이만섭/nq
고문이	고문/ncn+이/jcs
오늘	오늘/ncn
의원직을	의원/ncn+직/xsn+을/jco
버리면서	버리/pvg+면서/ecs
내분	내분/ncn
이후	이후/ncn
처음으로	처음/ncn+으로/jca
탈당했습니다.	탈당/ncpa+하/xsv+었/ep+습니다/ef+./sf
오는	오/pvg+는/jxc
31일에는	31/nno+일/nbu+에/jca+는/jxc
서석재.	서석재/nq+./sf
김운환.	김운환/nq+./sf
한이헌	한이헌/nq
의원	의원/ncn
등	등/nbn
3명,	3/nnc+명/nbu+,/sp
다음달	다음/ncn+달/ncn
2일에는	2/nno+일/nbu+에/jca+는/jxc
박범진.	박범진/nq+./sf
김학원	김학원/nq
의원	의원/ncn
등	등/nbn
8명이	8/nnc+명/nbu+이/jcs
잇따라	잇따르/pvg+아/ecs
탈당할	탈당/ncpa+하/xsv+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
비주류측은	비/xp+주류/ncn+측/nbn+은/jxc
내일	내일/ncn
가칭	가칭/ncn
'국민연대	'/sl+nq[국민/ncn+연대/ncn
추진협의회'	추진/ncn+협의/ncn+회/xsn]nq+'/sl
준비모임을	준비/ncn+모임/ncn+을/jco
갖고	갖/pvg+고/ecs
이	이/nq
총재의	총재/ncn+의/jcm
용퇴와	용퇴/ncn+와/jcj
반DJP연대를	반/xp+DJP/f+연대/ncn+를/jco
촉구하는	촉구/ncpa+하/xsv+는/etm
서명에	서명/ncn+에/jca
들어가기로	들/pvg+어/ecs+가/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
개혁성향의	개혁/ncn+성향/ncn+의/jcm
초선	초선/ncn
의원들도	의원/ncn+들/xsn+도/jxc
이	이/nq
총재의	총재/ncn+의/jcm
용단을	용단/ncn+을/jco
촉구하는	촉구/ncpa+하/xsv+는/etm
결의문을	결의/ncn+문/xsn+을/jco
채택했습니다.	채택/ncpa+하/xsv+었/ep+습니다/ef+./sf
홍준표.	홍준표/nq+./sf
김문수	김문수/nq
의원	의원/ncn
처럼	처럼/jca
이	이/nq
총재를	총재/ncn+를/jco
지지해온	지지/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
일부	일부/ncn
의원도	의원/ncn+도/jxc
동참했습니다.	동참/ncpa+하/xsv+었/ep+습니다/ef+./sf
김덕룡	김덕룡/nq
선대위원장에	선대위/ncn+원장/ncn+에/jca
이어	잇/pvg+어/ecs
박찬종	박찬종/nq
선대위원장도	선대위/ncn+원장/ncn+도/jxc
이	이/nq
총재를	총재/ncn+를/jco
후원하는	후원/ncpa+하/xsv+는/etm
김윤환	김윤환/nq
선대위원장을	선대위/ncn+원장/ncn+을/jco
비난하고	비난/ncpa+하/xsv+고/ecs
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
이	이/nq
총재측은	총재/ncn+측/nbn+은/jxc
어제에	어제/ncn+에/jca
이어	잇/pvg+어/ecs
오늘도	오늘/ncn+도/jxc
필승결의대회를	필승/ncn+결의/ncn+대회/ncn+를/jco
강행하며	강행/ncpa+하/xsv+며/ecs
세몰이를	세/ncn+몰/pvg+이/etn+를/jco
계속했습니다.	계속/ncpa+하/xsv+었/ep+습니다/ef+./sf
김태호	김태호/nq
사무총장은	사무/ncn+총장/ncn+은/jxc
"비주류의	"/sl+비/xp+주류/ncn+의/jcm
공세에	공세/ncn+에/jca
맞대응을	맞대응/ncn+을/jco
않고	않/pvg+고/ecs
여론심판에	여론/ncn+심판/ncn+에/jca
맡기기로	맡기/pvg+기/etn+로/jca
했다"면서	했다"면서/ncn
"인내를	"/sl+인내/ncn+를/jco
갖고	갖/pvg+고/ecs
비주류측을	비/xp+주류/ncn+측/nbn+을/jco
계속	계속/mag
설득하겠다"고	설득/ncpa+하/xsv+겠/ep+다/ef+"/sr+고/jcr
말했습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
오늘	오늘/mag
이만섭	이만섭/nq
고문의	고문/ncn+의/jcm
탈당으로	탈당/ncn+으로/jca
자리가	자리/ncn+가/jcs
빈	비/pvg+ㄴ/etm
전국구	전국/ncn+구/xsn
의원직은	의원/ncn+직/xsn+은/jxc
김찬진	김찬진/nq
변호사가	변호/ncn+사/xsn+가/jcs
승계하게	승계/ncpa+하/xsv+게/ecx
됐습니다.	되/px+었/ep+습니다/ef+./sf
SBS	SBS/f
김성준입니다.	김성준/nq+이/jp+ㅂ니다/ef+./sf
신한국당의	신한국당/nq+의/jcm
탈당사태가	탈당/ncn+사태/ncn+가/jcs
현실화되자	현실/ncpa+화/xsn+되/xsv+자/ecs
이인제	이인제/nq
전	전/mma
지사의	지사/ncn+의/jcm
국민신당측이	국민신당/nq+측/nbn+이/jcs
세력	세력/ncn
확대에	확대/ncn+에/jca
본격적으로	본격/ncn+적/xsn+으로/jca
나서고	나서/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
국민신당은	국민신당/nq+은/jxc
내달	내달/ncn
4일	4/nno+일/nbu
창당대회까지	창당/ncn+대회/ncn+까지/jxc
세를	세/ncn+를/jco
최대한	최대한/mag
불린다는	불리/pvg+ㄴ다/ef+는/etm
전략	전략/ncn
아래	아래/ncn
신한국당	신한국당/nq
탈당파와	탈당/ncn+파/ncn+와/jct
함께	함께/mag
DJP에	DJP/f+에/jca
반대하는	반대/ncpa+하/xsv+는/etm
다른	다르/paa+ㄴ/etm
당	당/ncn
의원들의	의원/ncn+들/xsn+의/jcm
영입에	영입/ncn+에/jca
박차를	박차/ncn+를/jco
가하기로	가하/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
이성철	이성철/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
가칭	가칭/ncn
국민신당은	국민신당/nq+은/jxc
신한국당	신한국당/nq
탈당사태로	탈당/ncn+사태/ncn+로/jca
영입이	영입/ncn+이/jcs
본격화될	본격/ncpa+화/xsn+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecs
오늘도	오늘/ncn+도/jxc
광주	광주/nq
호남지역	호남/nq+지역/ncn
지구당	지구당/ncn
대회를	대회/ncn+를/jco
갖는	갖/pvg+는/etm
등	등/nbn
당	당/ncn
체제	체제/ncn
갖추기에	갖추/pvg+기/etn+에/jca
주력했습니다.	주력/ncpa+하/xsv+었/ep+습니다/ef+./sf
이	이/nq
전지사는	전/mma+지사/ncn+는/jxc
오늘	오늘/mag
탈당한	탈당/ncpa+하/xsv+ㄴ/etm
이만섭	이만섭/nq
고문과	고문/ncn+과/jcj
며칠내	며칠/ncn+내/nbn
탈당의사를	탈당/ncn+의사/ncn+를/jco
밝힌	밝히/pvg+ㄴ/etm
이수성	이수성/nq
고문으로부터	고문/ncn+으로/jca+부터/jxc
긍정적인	긍정/ncn+적/xsn+이/jp+ㄴ/etm
답을	답/ncn+을/jco
얻어낸	얻/pvg+어/ecs+내/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌으며	알리/pvg+어/ecx++지/px+었/ep+으며/ecs
두	두/nnc
사람을	사람/ncn+을/jco
최고위원으로	최고/ncn+위원/ncn+으로/jca
위촉해	위촉/ncpa+하/xsv+어/ecs#
이	이/npd
가운데	가운데/ncn
대표최고위원을	대표/ncn+최고/ncn+위원/ncn+을/jco
뽑는	뽑/pvg+는/etm
집단지도체제를	집단/ncn+지도/ncn+체제/ncn+를/jco
구상하고	구상/ncpa+하/xsv+고/ecx
있다고	있/px+다/ef+고/jcr
공개했습니다.	공개/ncpa+하/xsv+었/ep+습니다/ef+./sf
국민신당은	국민신당/nq+은/jxc
이	이/mmd
고문의	고문/ncn+의/jcm
탈당으로	탈당/ncn+으로/jca
영입의	영입/ncn+의/jcm
물꼬가	물꼬/ncn+가/jcs
터졌다고	터지/pvg+었/ep+다/ef+고/jcr
보고	보/pvg+고/ecs
김운환,	김운환/nq+,/sp
김학원	김학원/nq
의원	의원/ncn
등	등/nbn
연이어	연잇/pvg+어/ecs
탈당할	탈당/ncpa+하/xsv+ㄹ/etm
의원들을	의원/ncn+들/xsn+을/jco
곧바로	곧바로/mag
신당에	신당/ncn+에/jca
합류시키기로	합류/ncps+시키/xsv+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
또	또/maj
부산.	부산/nq+./sf
경남지역	경남/nq+지역/ncn
초재선	초재선/ncn
의원들에	의원/ncn+들/xsn+에/jca
대한	대하/pvg+ㄴ/etm
설득	설득/ncn
노력에도	노력/ncn+에/jca+도/jxc
공을	공/ncn+을/jco
들이고	들이/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
신당의	신당/ncn+의/jcm
색깔이	색깔/ncn+이/jcs
민주계	민주계/nq
일색으로	일색/ncn+으로/jca
보이지	보이/pvg+지/ecx
않도록	않/px+도록/ecs
이부영	이부영/nq
의원	의원/ncn
등	등/nbn
민주당	민주당/nq
출신과	출신/ncn+과/jcj
'DJP	'/sl+DJP/f
단일화'에	단일/ncn+화/xsn+'/sr+에/jca
거부감을	거부/ncn+감/xsn+을/jco
갖는	갖/pvg+는/etm
자민련내	자민련/nq+내/nbn
대구.	대구/nq+./sf
경북지역	경북/nq+지역/ncn
의원,	의원/ncn+,/sp
그리고	그리고/maj
제정구	제정구/nq
의원	의원/ncn
등	등/nbn
통추소속들에게도	통추/nq+소속/ncn+들/xsn+에게/jca+도/jxc
신당	신당/ncn
참여를	참여/ncn+를/jco
적극	적극/mag
호소하고	호소/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
이	이/nq
전지사는	전/mma+지사/ncn+는/jxc
탈당	탈당/ncn
후	후/ncn
신당에	신당/ncn+에/jca
합류하지	합류/ncpa+하/xsv+지/ecx
않고	않/px+고/ecs
연대추진	연대/ncn+추진/ncn
의사를	의사/ncn+를/jco
밝힌	밝히/pvg+ㄴ/etm
서석재	서석재/nq
의원을	의원/ncn+을/jco
매개로	매개/ncn+로/jca
민주당	민주당/nq
조순	조순/nq
총재와의	총재/ncn+와/jct+의/jcm
연대가	연대/ncn+가/jcs
성과를	성과/ncn+를/jco
거두게	거두/pvg+게/ecx
될	되/px+ㄹ/etm
것으로	것/nbn+으로/jca
기대하고	기대/ncpa+하/xsv+고/ecs
모레	모레/ncn
조순	조순/nq
총재를	총재/ncn+를/jco
만나	만나/pvg+아/ecs
의사를	의사/ncn+를/jco
타진할	타진/ncpa+하/xsv+ㄹ/etm
방침입니다.	방침/ncn+이/jp+ㅂ니다/ef+./sf
이	이/nq
전	전/mma
지사는	지사/ncn+는/jxc
오늘	오늘/ncn
'DJP	'/sl+DJP/f
단일화'를	단일/ncn+화/xsn+'/sr+를/jco
강력하게	강력/ncps+하/xsm+게/ecs
비난하면서도	비난/ncpa+하/xsv+면서/ecs+도/jxc
김대중	김대중/nq
총재와의	총재/ncn+와/jct+의/jcm
양자구도가	양자/ncn+구도/ncn+가/jcs
분명해져	분명/ncps+하/xsm+어/ecx+지/px+어/ecs
불리하지만은	불리/ncps+하/xsm+지만/ecs+은/jxc
않을	않/px+을/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
평가했습니다.	평가/ncpa+하/xsv+었/ep+습니다/ef+./sf
SBS	SBS/f
이성철입니다.	이성철/nq+이/jp+ㅂ니다/ef+./sf
김영삼	김영삼/nq
대통령은	대통령/ncn+은/jxc
오늘	오늘/ncn
제	제/xp
34회	34/nno+회/nbu
<저축의                        </sl+저축/ncn+의/jcm
날>을	날/ncn+>/sr+을/jco
맞아	맞/pvg+아/ecs
연예인	연예/ncn+인/xsn
김용림씨	김용림/nq+씨/xsn
등	등/ncn
저축유공자와	저축/ncn+유공/ncn+자/xsn+와/jcj
원로금융인	원로/ncn+금융/ncn+인/xsn
60여명을	60/nnc+여/xsn+명/nbu+을/jco
청와대로	청와대/nq+로/jca
초청해	초청/ncpa+하/xsv+어/ecs
오찬을	오찬/ncn+을/jco
함께	함께/mag
하면서	하/pvg+면서/ecs
수상을	수상/ncn+을/jco
축하하고	축하/ncpa+하/xsv+고/ecc
노고를	노고/ncn+를/jco
치하했습니다.	치하/ncpa+하/xsv+었/ep+습니다/ef+./sf
김	김/nq
대통령은	대통령/ncn+은/jxc
이	이/mmd
자리에서	자리/ncn+에서/jca
"최근의	"/sl+최근/ncn+의/jcm
어려운	어렵/paa+ㄴ/etm
경제여건을	경제/ncn+여건/ncn+을/jco
극복하기	극복/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
모든	모든/mma
국력을	국력/ncn+을/jco
결집해	결집/ncpa+하/xsv+어/ecx
나가야	나가/px+아야/ecx
한다"면서	하/px+ㄴ다/ef+"/sr+면서/ecs
"우리	"/sl+우리/npp
기업들이	기업/ncn+들/xsn+이/jcs
고질화된	고질/ncn+화/xsn+되/xsv+ㄴ/etm
고비용.	고/xp+비용/ncn+./sf
저효율	저/xp+효율/ncn
구조를	구조/ncn+를/jco
조속히	조속/ncn+히/xsa
타파하고	타파/ncpa+하/xsv+고/ecs
국민들도	국민/ncn+들/xsn+도/jxc
건전한	건전/ncpa+하/xsm+ㄴ/etm
소비생활과	소비/ncn+생활/ncn+과/jct
저축하는	저축/ncpa+하/xsv+는/etm
기풍을	기풍/ncn+을/jco
일으켜주기	일으키/pvg+어/ecx+주/px+기/etn
바란다"고	바라/pvg+ㄴ다/ef+"/sr+고/jcr
당부했습니다.	당부/ncpa+하/xsv+었/ep+습니다/ef+./sf
우리나라	우리/npp+나라/ncn
월드컵축구	월드컵/ncn+축구/ncn
대표팀이	대표/ncn+팀/ncn+이/jcs
이번주말	이/mmd+번/nbn+주말/ncn
일본	일본/nq
전	전/xsn
경기를	경기/ncn+를/jco
앞두고	앞/ncn+두/pvg+고/ecs
막바지	막바지/ncn
전술훈련에	전술/ncn+훈련/ncn+에/jca
구슬땀을	구슬땀/ncn+을/jco
흘리고	흘리/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
대표팀의	대표/ncn+팀/ncn+의/jcm
차범근감독은	차범근/nq+감독/ncn+은/jxc
현재	현재/ncn
3-5-2	3/nnc+-/sd+5/nnc+-/sd+2/nnc
전술을	전술/ncn+을/jco
우선	우선/mag
고려하고	고려/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
울산에서	울산/nq+에서/jca
정규진기자의	정규진/nq+기자/ncn+의/jcm
보돕니다.	보도/ncn+ㅂ니다/ef+./sf
미드필드를	미드필드/ncn+를/jco
강화하는	강화/ncpa+하/xsv+는/etm
3-5-2전술은	3/nnc+-/sd+5/nnc+-/sd+2/nnc+전술/ncn+은/jxc
지난달	지나/pvg+ㄴ/etm+달/ncn
일본과의	일본/nq+과/jct+의/jcm
원정경기에서	원정/ncn+경기/ncn+에서/jca
성공을	성공/ncn+을/jco
거둔	거두/pvg+ㄴ/etm
전술로	전술/ncn+로/jca
우리팀의	우리/npp+팀/ncn+의/jcm
단골메늅니다.	단골/ncn+메뉴/ncn+ㅂ니다/ef+./sf
{3-5-2	{/sl+3/nnc+-/sd+5/nnc+-/sd+2/nnc
:	:/sp
김도훈,	김도훈/nq+,/sp
최용수와	최용수/nq+와/jct
투톱}	투톱/ncn+}/sr
차범근감독은	차범근/nq+감독/ncn+은/jxc
이럴경우	이렇/paa+ㄹ/etm+경우/ncn
최전방에는	최전방/ncn+에/jca+는/jxc
최용수와	최용수/nq+와/jct
함께	함께/mag
김도훈을	김도훈/nq+을/jco
두톱으로	두/nnc+톱/ncn+으로/jca
내세운다는	내/pvg+어/ecs+세우/pvg+ㄴ다/ef+는/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
김도훈은	김도훈/nq+은/jxc
지난주	지나/pvg+ㄴ/etm+주/ncn
연습경기에서	연습/ncn+경기/ncn+에서/jca
두골을	두/nnc+골/nbu+을/jco
넣는등	넣/pvg+는/etm+등/nbn
최근에	최근/ncn+에/jca
컨디션이	컨디션/ncn+이/jcs
최고조에	최고조/ncn+에/jca
달해있습니다.	달하/pvg+어/ecx+있/px+습니다/ef+./sf
3-5-2가	3/nnc+-/sd+5/nnc+-/sd+2/nnc+가/jcs
공격수의	공격/ncn+수/xsn+의/jcm
적극적인	적극/ncn+적/xsn+이/jp+ㄴ/etm
수비가담이	수비/ncn+가담/ncn+이/jcs
뒷받침돼야하는	뒷받침/ncpa+되/xsv+어야/ecs+하/px+는/etm
만큼	만큼/nbn
차범근감독은	차범근/nq+감독/ncn+은/jxc
수비를	수비/ncn+를/jco
좀더	좀더/mag
