<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0009.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0009.txt </filename>
<title>임상의학의 탄생  </title>
<author>미셸 푸꼬 저 ; 홍성민 역  </author>
<date>1993  </date>
<publisher>인간사랑  </publisher>
<kdc>166.8  </kdc>
<ddc>194  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제목	제목/ncn
규정할수	규정/ncpa+하/xsv+ㄹ/etm+수/nbn
있는지식이	있/paa+는/etm+지식/ncn+이/jcs
기능감퇴	기능/ncn+감퇴/ncn
'	'/sl
역사적	역사/ncn+적/xsn
'	'/sr
인	이/jp+ㄴ/etm
성격을	성격/ncn+을/jco
갖는다면	갖/pvg+는/ep+다/ef+면/ecs
,	,/sp
늑막의	늑막/ncn+의/jcm
기능감퇴	기능/ncn+감퇴/ncn
,	,/sp
장액의	장액/ncn+의/jcm
분출	분출/ncn
,	,/sp
늑막의	늑막/ncn+의/jcm
염증과	염증/ncn+과/jct
같이	같/paa+이/xsa
발병의	발병/ncn+의/jcm
기원이나	기원/ncn+이나/jcj
원칙	원칙/ncn
혹은	혹은/maj
원인	원인/ncn
따위를	따위/nbn+를/jco
캐는	캐/pvg+는/etm
작업은	작업/ncn+은/jxc
철학적인	철학/ncn+적/xsn+이/jp+ㄴ/etm
지식에	지식/ncn+에/jca
속한다	속하/pvg+ㄴ다/ef
.	./sf
그렇다고	그렇/pad+다고/ecs
'	'/sl
역사적	역사/ncn+적/xsn
'	'/sr
인	이/jp+ㄴ/etm
것과	것/nbn+과/jcj
'	'/sl
철학적	철학/ncn+적/xsn
'	'/sr
인	이/jp+ㄴ/etm
것의	것/nbn+의/jcm
구분이	구분/ncn+이/jcs
반드시	반드시/mag
원인들	원인/ncn+들/xsn
추구하느냐	추구/ncpa+하/xsv+느냐/ef
혹은	혹은/maj
결과	결과/ncn
쪽을	쪽/nbn+을/jco
강조하느냐에	강조/ncpa+하/xsv+느냐/ef+에/jca
따라	따르/pvg+아/ecs
결정되는	결정/ncpa+되/xsv+는/etm
것만은	것/nbn+만/jxc+은/jxc
아니다	아니/paa+다/ef
.	./sf
큐렌은	큐렌/nq+은/jxc
자신의	자신/ncn+의/jcm
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
체계를	체계/ncn+를/jco
발병의	발병/ncn+의/jcm
원인이나	원인/ncn+이나/jcj
결과를	결과/ncn+를/jco
구분하는	구분/ncpa+하/xsv+는/etm
방법이	방법/ncn+이/jcc
아니라	아니/paa+라/ecs
연이어	연잇/pvg+어/ecs
발생하는	발생/ncpa+하/xsv+는/etm
결과들을	결과/ncn+들/xsn+을/jco
모으는	모으/pvg+는/etm
데서	데/nbn+서/jca
출발했는데	출발/ncpa+하/xsv+었/ep+는데/ecs
,	,/sp
왜냐하면	왜냐하면/maj
시텐남은	시텐남/nq+은/jxc
생각하기에	생각/ncpa+하/xsv+기/etn+에/jca
자연법칙에	자연/ncn+법칙/ncn+에/jca
따라	따르/pvg+아/ecs
형성되는	형성/ncpa+되/xsv+는/etm
질병의	질병/ncn+의/jcm
다양한	다양/ncps+하/xsm+ㄴ/etm
형태를	형태/ncn+를/jco
연구하면서도	연구/ncpa+하/xsv+면서/ecs+도/jxc
역사적인	역사/ncn+적/xsn+이/jp+ㄴ/etm
탐구	탐구/ncn
또한	또한/maj
가능하다고	가능/ncps+하/xsm+다/ef+고/jcr
믿었기	믿/pvg+었/ep+기/etn
때문이야	때문/nbn+이/jp+야/ef
.	./sf
그렇다고	그렇/pad+다고/ecs
큐렌의	큐렌/nq+의/jcm
방법이	방법/ncn+이/jcs
가시적인	가시/ncn+적/xsn+이/jp+ㄴ/etm
곳과	곳/ncn+과/jcj
숨겨져	숨기/pvg+어/ecx+지/px+어/ecx
있는	있/px+는/etm
것을	것/nbn+을/jco
구분하는	구분/ncpa+하/xsv+는/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
할	하/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없다	없/paa+다/ef
.	./sf
폐결핵의	폐결핵/ncn+의/jcm
경우	경우/ncn
,	,/sp
소모열에서	소모열/ncn+에서/jca
그런	그런/mmd
것처럼	것/nbn+처럼/jca
,	,/sp
비록	비록/mag
'	'/sl
역사적	역사/ncn+적/xsn
'	'/sr
인	이/jp+ㄴ/etm
연구를	연구/ncn+를/jco
하고	하/pvg+고/ecx
있음에도	있/px+음/etn+에/jca+도/jxc
불구하고	불구/ncpa+하/xsv+고/ecc
은밀하게	은밀/ncps+하/xsm+게/ecs
숨겨져있어	숨기/pvg+어/ecx+지/px+어/ecx+있/px+어/ecs
첫번째	첫/nno+번째/nbu
실험에서	실험/ncn+에서/jca
금방	금방/mag
드러나지	드러나/pvg+지/ecx
않는	않/px+는/etm
양상들이	양상/ncn+들/xsn+이/jcs
많이	많/paa+이/xsa
있다	있/paa+다/ef
.	./sf
암초들이	암초/ncn+들/xsn+이/jcs
물	물/ncn
아래	아래/ncn
숨겨져	숨기/pvg+어/ecx+지/px+어/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
'	'/sr
역사적	역사/ncn+적/xsn
;	;/sy
경험은	경험/ncn+은/jxc
직접적이든	직접/ncn+적/xsn+이/jp+든/ecc
간접적이든	간접/ncn+적/xsn+이/jp+든/ecc
,	,/sp
시간이	시간/ncn+이/jcs
걸리든	걸리/pvg+든/ecc
아니든	아니/paa+든/ecc
,	,/sp
그것이	그것/npd+이/jcs
실제적인	실제/ncn+적/xsn+이/jp+ㄴ/etm
것이든	것/nbn+이/jp+든/ecc
명목적인	명목/ncn+적/xsn+이/jp+ㄴ/etm
것이든	것/nbn+이/jp+든/ecc
의학적	의학/ncn+적/xsn
시선	시선/ncn
안으로	안/ncn+으로/jca
포착된	포착/ncpa+되/xsv+ㄴ/etm
모든	모든/mma
자료들을	자료/ncn+들/xsn+을/jco
끌어	끌/pvg+어/ecs
모은다	모으/pvg+ㄴ다/ef
.	./sf
관찰된	관찰/ncpa+되/xsv+ㄴ/etm
질병의	질병/ncn+의/jcm
원인들	원인/ncn+들/xsn
,	,/sp
점차	점차/mag
분명해지는	분명/ncpa+하/xsv+어/ecx+지/px+는/etm
증상들	증상/ncn+들/xsn
,	,/sp
질병의	질병/ncn+의/jcm
기본적인	기본/ncn+적/xsn+이/jp+ㄴ/etm
원인들이	원인/ncn+들/xsn+이/jcs
'	'/sl
철학적	철학/ncn+적/xsn
'	'/sr
인	이/jp+ㄴ/etm
지식체계에	지식/ncn+체계/ncn+에/jca
속한다기보다는	속하/pvg+ㄴ다/ef+기/etn+보다/jca+는/jxc
그것은	그것/npd+은/jxc
너무나	너무나/mag
단순한	단순/ncps+하/xsm+ㄴ/etm
자료에	자료/ncn+에/jca
불구하여	불구/ncpa+하/xsv+여/ecs
또다른	또/mmg+다르/paa+ㄴ/etm
지식의	지식/ncn+의/jcm
형성과정을	형성/ncn+과정/ncn+을/jco
거쳐야	거치/pvg+어야/ecs
하는데	하/px+는데/ecs
,	,/sp
그렇게	그렇/pad+게/ecs
함으로써	하/pvg+ㅁ/etn+으로써/jca
의학적	의학/ncn+적/xsn
경험에	경험/ncn+에/jca
근본적인	근본/ncn+적/xsn+이/jp+ㄴ/etm
모습을	모습/ncn+을/jco
결정한다	결정/ncpa+하/xsv+ㄴ다/ef
.	./sf
'	'/sl
약사적	약사/ncn+적/xsn
'	'/sr
인	이/jp+ㄴ/etm
경험은	경험/ncn+은/jxc
의학적	의학/ncn+적/xsn
시선이	시선/ncn+이/jcs
점유하고	점유/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
인식의	인식/ncn+의/jcm
차원과	차원/ncn+과/jcj
분포를	분포/ncn+를/jco
결정하려	결정/ncpa+하/xsv+려/ecs
한다는	하/px+ㄴ다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러기에	그러하/pad+기/etn+에/jca
원인과	원인/ncn+과/jcj
결과가	결과/ncn+가/jcs
똑같은	똑같/paa+은/etm
자료로	자료/ncn+로/jca
취급될수	취급/ncpa+되/xsv+ㄹ/etm+수/nbn
있으며	있/paa+으며/ecc
,	,/sp
앞서	앞/ncn+서/pvg+어/ecs
일어난	일어나/pvg+ㄴ/etm
선례가	선례/ncn+가/jcs
뒤이어	뒤/ncn+잇/pvg+어/ecs
발생하는	발생/ncpa+하/xsv+는/etm
사례와	사례/ncn+와/jct
겹쳐서	겹치/pvg+어서/ecs
일어날	일어나/pvg+ㄹ/etm
수더	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
정리하자면	정리/ncpa+하/xsv+자면/ecs
,	,/sp
동질적인	동질/ncn+적/xsn+이/jp+ㄴ/etm
인식의	인식/ncn+의/jcm
공간	공간/ncn
속에서는	속/ncn+에서/jca+는/jxc
사건의	사건/ncn+의/jcm
흐름을	흐름/ncn+을/jco
시간적으로	시간/ncn+적/xsn+으로/jca
매듭짓고	매듭/ncn+짓/pvg+고/ecx
있던	있/px+던/etm
고리들이	고리/ncn+들/xsn+이/jcs
여지없이	여지/ncn+없/paa+이/jp
풀려버리고	풀리/pvg+어/ecx+버리/px+고/ecc
시간의	시간/ncn+의/jcm
개념	개념/ncn
또한	또한/maj
무시되어버리기	무시/ncpa+되/xsv+어/ecx+버리/px+기/etn
마련이어서	마련/ncn+이/jp+어서/ecs
,	,/sp
예컨대	예컨대/maj
국부적인	국부/ncn+적/xsn+이/jp+ㄴ/etm
발혈상은	발혈상/ncn+은/jxc
'	'/sl
역사적	역사/ncn+적/xsn
'	'/sr
인	이/jp+ㄴ/etm
요인들	요인/ncn+들/xsn
-	-/sd
발적	발적/ncn
,	,/sp
종양	종양/ncn
,	,/sp
열	열/ncn
,	,/sp
통증	통증/ncn
-	-/sd
에	에/jca
대한	대하/pvg+ㄴ/etm
상호연결성을	상호/ncn+연결/ncn+성/xsn+을/jco
문제삼지	문제/ncn+삼/pvg+지/ecx
않은	않/px+은/etm
채	채/nbn
그것들이	그것/npd+들/xsn+이/jcs
교묘하게	교묘/ncps+하/xsm+게/ecs
엉켜	엉키/pvg+어/ecs
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
현상이라고	현상/ncn+이/jp+라/ef+고/jcr
생각할	생각/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
기본적으로	기본/ncn+적/xsn+으로/jca
공간	공간/ncn
속의	속/ncn+의/jcm
영역은	영역/ncn+은/jxc
질병이	질병/ncn+이/jcs
어떠한	어떠하/pad+ㄴ/etm
구심층을	구심/ncn+층/xsn+을/jco
갖는가	갖/pvg+는가/ef
,	,/sp
혹은	혹은/maj
어떠한	어떠하/pad+ㄴ/etm
발전단계를	발전/ncn+단계/ncn+를/jco
거치는가를	거치/pvg+는가/ef+를/jco
문제삼지	문제/ncn+삼/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf
그곳에는	그/mmd+곳/ncn+에/jca+는/jxc
단지	단지/mag
질병이	질병/ncn+이/jcs
드러나는	드러나/pvg+는/etm
표면	표면/ncn
,	,/sp
즉	즉/maj
한	한/nnc
폭의	폭/nbu+의/jcm
그림과	그림/ncn+과/jct
같은	같/paa+은/etm
것으로	것/nbn+으로/jca
생각해	생각/ncpa+하/xsv+어/ecx
볼	보/px+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
질병의	질병/ncn+의/jcm
흐름을	흐름/ncn+을/jco
기술하는	기술/ncpa+하/xsv+는/etm
사람은	사람/ncn+은/jxc
그러므로	그러므로/maj
그다지	그다지/mag
흥미롭지	흥미/ncps+롭/xsm+지/ecx
않더라도	않/px+더라도/ecs
질병의	질병/ncn+의/jcm
독특한	독특/ncps+하/xsm+ㄴ/etm
현상들을	현상/ncn+들/xsn+을/jco
놓치지	놓치/pvg+지/ecx
말아야	말/px+아야/ecs
한다	하/px+ㄴ다/ef
.	./sf
그것은	그것/npd+은/jxc
마치	마치/mag
초상화를	초상/ncn+화/xsn+를/jco
그리는	그리/pvg+는/etm
화가가	화가/ncn+가/jcs
자연현상의	자연/ncn+현상/ncn+의/jcm
조그만	조그맣/paa+ㄴ/etm
부분까지	부분/ncn+까지/jxc
놓치지	놓치/pvg+지/ecx
않은채	않/px+은/etm+채/nbn
,	,/sp
모델의	모델/ncn+의/jcm
섬세한	섬세/ncps+하/xsm+ㄴ/etm
특징들을	특징/ncn+들/xsn+을/jco
표현하는	표현/ncpa+하/xsv+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
의학이	의학/ncn+이/jcs
만들어	만들/px+어/ecx
놓은	놓/px+은/etm
구조의	구조/ncn+의/jcm
첫번째	첫/nno+번째/nbu
특징을	특징/ncn+을/jco
표만들기와	표/ncn+만들기/ncn+와/jcj
그림그리기이다	그림/ncn+그리기/ncn+이/jp+다/ef
.	./sf
2	2/nno
.	./sf
분류하기	분류/ncpa+하/xsv+기/xsn
의학이	의학/ncn+이/jcs
마련한	마련/ncpa+하/xsv+ㄴ/etm
공간화는	공간/ncn+화/xsn+는/jxc
질병의	질병/ncn+의/jcm
본질을	본질/ncn+을/jco
파악하기	파악/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
유추의	유추/ncn+의/jcm
방법이	방법/ncn+이/jcs
동원되는	동원/ncpa+되/xsv+는/etm
영역이다	영역/ncn+이/jp+다/ef
.	./sf
대상을	대상/ncn+을/jco
그려내고	그리/pvg+어/ecx+내/px+고/ecx
있는	있/px+는/etm
초상화는	초상/ncn+화/xsn+는/jxc
기본적으로	기본/ncn+적/xsn+으로/jca
모델과	모델/ncn+과/jct
비슷해야만	비슷/ncps+하/xsm+어야/ecs+만/jxc
하지만	하/px+지만/ecs
,	,/sp
더	더/mag
나아가	나아가/pvg+아/ecs
초상화끼리도	초상/ncn+화/xsn+끼리/xsn+도/jxc
닮은	닮/pvg+은/etm
점이	점/ncn+이/jcs
많다	많/paa+다/ef
.	./sf
하나의	하나/nnc+의/jcm
질병과	질병/ncn+과/jcj
다른질병	다르/paa+ㄴ/etm+질병/ncn
사이에	사이/ncn+에/jca
놓인	놓이/pvg+ㄴ/etm
거리는	거리/ncn+는/etm
오직	오직/mag
유사성에	유사/ncn+성/xsn+에/jca
의해서만	의하/pvg+어서/ecs+만/jxc
결정될	결정/ncpa+되/xsv+ㄹ/etm
뿐	뿐/nbn
,	,/sp
여기에	여기/npd+에/jca
계보적인	계보/ncn+적/xsn+이/jp+ㄴ/etm
논리가	논리/ncn+가/jcs
끼어들	끼/pvg+어/ecx+들/px+ㄹ/etm
자리는	자리/ncn+는/jxc
없다	없/paa+다/ef
.	./sf
자율신경의	자율/ncn+신경/ncn+의/jcm
움직임이	움직이/pvg+ㅁ/etn+이/jcs
둔해짐	둔하/paa+어/ecx+지/px+ㅁ/etn
,	,/sp
내부뿐만아니라	내부/ncn+뿐/jxc+만/jxc+아니/paa+라/ecs
외부의	외부/ncn+의/jcm
신경이	신경/ncn+이/jcs
마비됨	마비/ncpa+되/xsv+ㅁ/etn
-	-/sd
이것	이것/npd
뇌일혈	뇌일혈/ncn
,	,/sp
실신	실신/ncn
,	,/sp
마비	마비/ncn
따위와	따위/nbn+와/jct
같은	같/paa+은/etm
독특한	독특/ncps+하/xsm+ㄴ/etm
현상을	현상/ncn+을/jco
기술하는일상적인	기술/ncpa+하/xsv+는/jxc+일상/ncn+적/xsn+이/jp+ㄴ/etm
표현이다	표현/ncn+이/jp+다/ef
.	./sf
그러나	그러나/maj
이와	이/npd+와/jct
같은	같/paa+은/etm
공통적인	공통/ncn+적/xsn+이/jp+ㄴ/etm
현상	현상/ncn
속에서도	속/ncn+에서/jca+도/jxc
몇가지	몇/mma+가지/nbu
작은	작/paa+은/etm
특성들이	특성/ncn+들/xsn+이/jco
없지는	없/paa+지/ecx+는/jxc
않다	않/px+다/ef
.	./sf
뇌일혈의	뇌일혈/ncn+의/jcm
경우는	경우/ncn+는/jxc
모든	모든/mma
감각과	감각/ncn+과/jcj
수의근이	수의근/ncn+이/jcs
더	더/maj
이상	이상/ncn
기능하지	기능/ncps+하/xsm+지/ecx
않는	않/px+는/etm
상태이지만	상태/ncn+이/jp+지만/ecs
숨을	숨/pvg+을/etm
쉴	쉬/pvg+ㄹ/etm
수있고	수/nbn+있/paa+고/ecc
심장이	심장/ncn+이/jcs
아직도	아직/mag+도/jxc
움직이고	움직이/pvg+고/ecx
있는	있/px+는/etm
상태를	상태/ncn+를/jco
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf
한편	한편/maj
,	,/sp
마비의	마비/ncn+의/jcm
경우는	경우/ncn+는/jxc
신경계나	신경/ncn+계/xsn+나/jcj
근육의	근육/ncn+의/jcm
일부만이	일부/ncn+만/jxc+이/jcs
기능정지	기능/ncn+정지/ncn
상태에	상태/ncn+에/jca
빠진	빠지/pvg+ㄴ/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
실신은	실신/ncn+은/jxc
마비의	마비/ncn+의/jcm
상태	상태/ncn
보다	보다/jca
광범위하게	광범위/ncpa+하/xsv+게/jca
나타나는	나타나/pvg+는/etm
상태를	상태/ncn+를/jco
말하지만	말/ncpa+하/xsv+지만/ecs
호흡은	호흡/ncn+은/jxc
없다	없/paa+다/ef
.	./sf
그러나	그러나/maj
중요한	중요/ncps+하/xsm+ㄴ/etm
사실은	사실/ncn+은/jxc
이와	이/npd+와/jct
같은	같/paa+은/etm
국부적인	국부/ncn+적/xsn+이/jp+ㄴ/etm
차별성	차별/ncn+성/xsn
,	,/sp
예컨대	예컨대/maj
마비가	마비/ncn+가/jcs
하나의	하나/nnc+의/jcm
징후적인	징후/ncn+적/xsn+이/jp+ㄴ/etm
현상이고	현상/ncn+이/jp+고/ecc
실신이	실신/ncn+이/jcs
잠시	잠시/mag
스쳐가는	스치/pvg+어/ecx+가/px+는/etm
일시적인	일시/ncn+적/xsn+이/jp+ㄴ/etm
현상이며	현상/ncn+이/jp+며/ecc
,	,/sp
뇌일혈이	뇌일혈/ncn+이/jcs
기능의	기능/ncn+의/jcm
급작스런	급작/ncps+스럽/xsm+ㄴ/etm
발작이라는	발작/ncn+이/jp+라/ef+는/etm
본질적인	본질/ncn+적/xsn+이/jp+ㄴ/etm
차이가	차이/ncn+가/jcs
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
의학적	의학/ncn+적/xsn
시선에서는	시선/ncn+에서/jca+는/etm
무시되고	무시/ncpa+되/xsv+고/ecx
만다는	말/px+ㄴ다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
왜냐하면	왜냐하면/maj
분류하기의	분류/ncpa+하/xsv+기/etn+의/jcm
시선은	시선/ncn+은/jxc
질병이	질병/ncn+이/jcs
분배되어	분배/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
지식의	지식/ncn+의/jcm
표면적인	표면/ncn+적/xsn+이/jp+ㄴ/etm
공간이	공간/ncn+이/jcs
중요할	중요/ncps+하/xsm+ㄹ/etm
뿐이어서	뿐/nbn+이/jp+어서/ecs
,	,/sp
그곳에서는	그/mmd+곳/ncn+에서/jca+는/jxc
하나의	하나/nnc+의/jcm
질병이	질병/ncn+이/jcs
다른	다르/paa+ㄴ/etm
것과	것/nbn+과/jct
구분되기	구분/ncpa+되/xsv+기/etn
위해서	위하/pvg+어서/ecs
측정될	측정/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
경험적인	경험/ncpa+적/xsn+이/jp+ㄴ/etm
거리가	거리/ncn+가/jcc
아니라	아니/paa+라/ecs
일종의	일종/ncn+의/jcm
유사성이	유사/ncn+성/xsn+이/jcs
어느	어느/mmd
정도	정도/ncn
쌓이면	쌓이/pvg+면/ecs
그것이	그것/npd+이/jcs
질병의	질병/ncn+의/jcm
본질처럼	본질/ncn+처럼/jca
등장하게	등장/ncpa+하/xsv+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
급작스럽게	급작/ncps+스럽/xsm+게/ecs
운동기능이	운동/ncn+기능/ncn+이/jcs
마비되는	마비/ncpa+되/xsv+는/etm
뇌일혈과	뇌일혈/ncn+과/jcj
점차로	점차로/mag
운동기능을	운동/ncn+기능/ncn+을/jco
회복해	회복/ncpa+하/xsv+어/ecx
가는	가/px+는/jxc
다른	다르/paa+ㄴ/etm
양상의	양상/ncn+의/jcm
마비상태	마비/ncn+상태/ncn
사이에는	사이/ncn+에/jca+는/jxc
근본적으로	근본/ncn+적/xsn+으로/jca
아무런	아무렇/pad+ㄴ/etm
차이가	차이/ncn+가/jcs
없다	없/paa+다/ef
.	./sf
시간의	시간/ncn+의/jcm
흐름이	흐름/ncn+이/jcs
허락해야만	허락/ncpa+하/xsv+어야/ecs+만/jxc
등장할	등장/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
우연성의	우연/ncn+성/xsn+의/jcm
공간	공간/ncn
,	,/sp
그곳에서는	그/mmd+곳/ncn+에서/jca+는/jxc
개별성이란	개별/ncn+성/xsn+이/jp+란/jxc
위축되기	위축/ncpa+되/xsv+기/etn
마련이다	마련/ncn+이/jp+다/ef
.	./sf
깊이가	깊이/ncn+가/jcs
없는	없/paa+는/jxc
,	,/sp
동질성만이	동질/ncn+성/xsn+만/jxc+이/jcs
질병에	질병/ncn+에/jca
대해서	대하/pvg+어서/ecs
이러쿵저러쿵	이러쿵저러쿵/mag
떠들고	떠들/pvg+고/ecx
있다	있/px+다/ef
.	./sf
유사성이	유사/ncn+성/xsn+이/jcs
넘쳐	넘치/pvg+어/ecs
흐른다	흐르/pvg+ㄴ다/ef
.	./sf
3	3/nno
.	./sf
유사성은	유사/ncn+성/xsn+은/jxc
여러	여러/mma
가지	가지/nbu
질병에	질병/ncn+에/jca
질서를	질서/ncn+를/jco
부여한다	부여/ncpa+하/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
질병	질병/ncn
사이에서	사이/ncn+에서/jca
동질성을	동질/ncn+성/xsn+을/jco
발견했다고	발견/ncpa+하/xsv+었/ep+다/ef+고/jcr
해서	하/pvg+어서/ecs
반드시	반드시/mag
질병의	질병/ncn+의/jcm
'	'/sl
지도그리기	지도/ncn+그리기/ncn
'	'/sr
를	를/jco
자동적으로	자동/ncn+적/xsn+으로/jca
해낼수	하/pvg+어/ecx+내/px+ㄹ/etm+수/nbn
있는	있/paa+는/etm
것은	것/nbn+은/jxc
아니다	아니/paa+다/ef
.	./sf
따라서	따라서/maj
질병이	질병/ncn+이/jcs
갖는	갖/pvg+는/etm
특성을	특성/ncn+을/jco
전제로	전제/ncn+로/jca
하여	하/pvg+여/ecs
위치를	위치/ncn+를/jco
정해야만	정하/pvg+어야/ecs+만/jxc
한다	하/px+ㄴ다/ef
.	./sf
이제	이제/mag
자연의	자연/ncn+의/jcm
신비는	신비/ncn+는/jxc
그	그/mmd
베일이	베일/ncn+이/jcs
벗겨지고	벗기/pvg+어/ecx+지/px+고/ecc
,	,/sp
암호를	암호/ncn+를/jco
해독하듯이	해독/ncpa+하/xsv+듯이/ecs
질병은	질병/ncn+은/jxc
하나하나	하나/nnc+하나/nnc
자신이	자신/npp+이/jcs
자리를	자리/ncn+를/jco
부여받기에	부여/ncn+받/pvg+기/etn+에/jca
이른다	이르/paa+ㄴ다/ef
.	./sf
식물이나	식물/ncn+이나/jcj
동물을	동물/ncn+을/jco
구분하듯이	구분/ncpa+하/xsv+듯이/ecs
질병에	질병/ncn+에/jca
자리매김을	자리/ncn+매김/ncn+을/jco
하는	하/pvg+는/etm
것도	것/nbn+도/jxc
마찬가지다	마찬가지/ncn+다/ef
.	./sf
인간의	인간/ncn+의/jcm
경우	경우/ncn
하나의	하나/nnc+의/jcm
질병이	질병/ncn+이/jcs
발생하고	발생/ncpa+하/xsv+고/ecc
그것이	그것/npd+이/jcs
사라져	사라지/pvg+어/ecx
가는	가/px+는/etm
과정은	과정/ncn+은/jxc
,	,/sp
식물이나	식물/ncn+이나/jcj
동물이	동물/ncn+이/jcs
성장하고	성장/ncpa+하/xsv+고/ecc
쇠퇴하다가	쇠퇴/ncpa+하/xsv+다가/ecs
죽어가는	죽/pvg+어/ecx+가/px+는/etm
과정과	과정/ncn+과/jct
별반	별반/mag
다를	다르/paa+ㄹ/etm
것이	것/nbn+이/jcs
없다	없/paa+다/ef
.	./sf
열이나다가	열/ncn+이/jcs+나/pvg+다가/ecs
오한이	오한/ncn+이/jcs
들고	들/pvg+고/ecc
,	,/sp
다시	다시/mag
열이	열/ncn+이/jcs
나기	나/pvg+기/etn
시작하는	시작/ncpa+하/xsv+는/etm
과정으로	과정/ncn+으로/jca
질병을	질병/ncn+을/jco
파악하려는	파악/ncpa+하/xsv+려/ecs+는/etm
것이	것/nbn+이/jcs
하등어색할	하등/mag+어색/ncps+하/xsm+ㄹ/etm
것은	것/nbn+은/jxc
없는	없/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이와	이/npd+와/jct
같은	같/paa+은/etm
생물학적	생물/ncn+학/xsn+적/xsn
모델이	모델/ncn+이/jcs
의학적	의학/ncn+적/xsn
사고에	사고/ncn+에/jca
주는	주/pvg+는/etm
영향은	영향/ncn+은/jxc
다음의	다음/ncn+의/jcm
두가지로	두/nnc+가지/nbn+로/jca
정리해	정리/ncpa+하/xsv+어/ecx
볼	보/px+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
첫째는	첫째/nno+는/jxc
질병의	질병/ncn+의/jcm
본질을	본질/ncn+을/jco
결정함에	결정/ncpa+하/xsv+ㅁ/etn+에/jca
있어서	있/paa+어서/ecs
유사성의	유사/ncn+성/xsn+의/jcm
기준을	기준/ncn+을/jco
적용하게	적용/ncpa+하/xsv+게/ecx
해준다는	하/px+어/ecx+주/px+ㄴ다/ef+는/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
두번째로는	두/nno+번째/nbn+로/jca+는/jxc
의사들이	의사/ncn+들/xsn+이/jcs
질병의	질병/ncn+의/jcm
존재론적인	존재/ncn+론/xsn+적/xsn+이/jp+ㄴ/etm
질서와	질서/ncn+와/jcj
연계성을	연계/ncn+성/xsn+을/jco
갖고	갖/pvg+고/ecs
대화를	대화/ncn+를/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
만들어	만들/pvg+어/ecx
준다는	주/px+ㄴ다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
결국	결국/mag
질병의	질병/ncn+의/jcm
질서란	질서/ncn+란/jxc
인간의	인간/ncn+의/jcm
삶을	삶/ncn+을/jco
그대로	그대로/mag
옮겨	옮기/pvg+어/ecs
놓은	놓/pvg+은/etm
것에	것/nbn+에/jca
불과하다	불과/ncps+하/xsm+다/ef
.	./sf
일상생활의	일상/ncn+생활/ncn+의/jcm
구조와	구조/ncn+와/jcj
배치	배치/ncn
,	,/sp
질서가	질서/ncn+가/jcs
바로	바로/mag
질병을	질병/ncn+을/jco
분배하고	분배/ncpa+하/xsv+고/ecc
질서지우는	질서/ncn+지우/pvg+는/jxc
체계이다	체계/ncn+이/jp+다/ef
.	./sf
일상생활을	일상/ncn+생활/ncn+을/jco
관장하는	관장/ncpa+하/xsv+는/jxc
합리성이	합리/ncn+성/xsn+이/jcs
그것에	그것/npd+에/jca
위협을	위협/ncn+을/jco
주고	주/pvg+고/ecx
